# maelstrom - GimmeMotifs version 0.16.1
# method: mwu with motif score
# motif table: /home/ia1014/gimmemotifs/output/shared.out/motif.nr.score.txt.gz
# activity values: BH-corrected -log10 Mann-Whitney U p-value
	FOXG1	NeuroD1	shared
GM.5.0.Unknown.0134	-0.0	-0.0	inf
GM.5.0.AP-2.0002	-0.0	-0.0	inf
GM.5.0.Paired_box.0015	-0.0	-0.0	inf
GM.5.0.bHLH.0105	-0.0	-0.0	inf
GM.5.0.Runt.0006	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0189	-0.0	-0.0	inf
GM.5.0.Paired_box.0004	-0.0	-0.0	inf
GM.5.0.Homeodomain.0185	-0.0	-0.0	inf
GM.5.0.Unknown.0185	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0147	-0.0	-0.0	inf
GM.5.0.GATA.0021	-0.0	-0.0	inf
GM.5.0.bZIP.0047	-0.0	-0.0	inf
GM.5.0.Mixed.0105	-0.0	-0.0	inf
GM.5.0.Homeodomain.0146	-0.0	-0.0	inf
GM.5.0.Mixed.0042	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0116	-0.0	-0.0	inf
GM.5.0.Unknown.0070	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0084	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0150	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0235	-0.0	-0.0	inf
GM.5.0.GATA.0020	-0.0	-0.0	inf
GM.5.0.STAT.0014	-0.0	-0.0	inf
GM.5.0.Unknown.0093	-0.0	-0.0	inf
GM.5.0.GATA.0015	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0200	-0.0	-0.0	inf
GM.5.0.Unknown.0020	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0195	-0.0	-0.0	inf
GM.5.0.bHLH.0055	-0.0	-0.0	inf
GM.5.0.GATA.0023	-0.0	-0.0	inf
GM.5.0.Homeodomain.0125	-0.0	-0.0	inf
GM.5.0.bHLH.0100	-0.0	-0.0	inf
GM.5.0.Sox.0016	-0.0	-0.0	inf
GM.5.0.Unknown.0065	-0.0	-0.0	inf
GM.5.0.Homeodomain.0085	-0.0	-0.0	inf
GM.5.0.Unknown.0036	-0.0	-0.0	inf
GM.5.0.Mixed.0073	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0112	-0.0	-0.0	inf
GM.5.0.SAND.0007	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0168	-0.0	-0.0	inf
GM.5.0.Rel.0016	-0.0	-0.0	inf
GM.5.0.Mixed.0017	-0.0	-0.0	inf
GM.5.0.Forkhead.0024	-0.0	-0.0	inf
GM.5.0.IRF.0012	-0.0	-0.0	inf
GM.5.0.Mixed.0075	-0.0	-0.0	inf
GM.5.0.C2H2_ZF_Homeodomain.0002	-0.0	-0.0	inf
GM.5.0.Unknown.0122	-0.0	-0.0	inf
GM.5.0.Forkhead.0015	-0.0	-0.0	inf
GM.5.0.THAP_finger.0004	-0.0	-0.0	inf
GM.5.0.Sox.0027	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0272	-0.0	-0.0	inf
GM.5.0.MADS_box.0004	-0.0	-0.0	inf
GM.5.0.Forkhead.0042	-0.0	-0.0	inf
GM.5.0.GCM.0003	-0.0	-0.0	inf
GM.5.0.MADS_box.0018	-0.0	-0.0	inf
GM.5.0.T-box.0021	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0252	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0063	-0.0	-0.0	inf
GM.5.0.TEA.0003	-0.0	-0.0	inf
GM.5.0.Mixed.0100	-0.0	-0.0	inf
GM.5.0.GATA.0006	-0.0	-0.0	inf
GM.5.0.MADS_box.0015	-0.0	-0.0	inf
GM.5.0.DM.0008	-0.0	-0.0	inf
GM.5.0.Unknown.0079	-0.0	-0.0	inf
GM.5.0.HSF.0004	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0162	-0.0	-0.0	inf
GM.5.0.T-box.0022	-0.0	-0.0	inf
GM.5.0.Mixed.0106	-0.0	-0.0	inf
GM.5.0.Mixed.0056	-0.0	-0.0	inf
GM.5.0.bZIP.0092	-0.0	-0.0	inf
GM.5.0.Homeodomain.0010	-0.0	-0.0	inf
GM.5.0.Mixed.0048	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0039	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0208	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0232	-0.0	-0.0	inf
GM.5.0.Unknown.0186	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0086	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0147	-0.0	-0.0	inf
GM.5.0.Rel.0020	-0.0	-0.0	inf
GM.5.0.Unknown.0148	-0.0	-0.0	inf
GM.5.0.bZIP.0079	-0.0	-0.0	inf
GM.5.0.bHLH.0113	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0128	-0.0	-0.0	inf
GM.5.0.STAT.0015	-0.0	-0.0	inf
GM.5.0.MBD.0003	-0.0	-0.0	inf
GM.5.0.p53.0005	-0.0	-0.0	inf
GM.5.0.Unknown.0172	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0070	-0.0	-0.0	inf
GM.5.0.Unknown.0034	-0.0	-0.0	inf
GM.5.0.Paired_box.0002	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0314	-0.0	-0.0	inf
GM.5.0.IRF.0008	-0.0	-0.0	inf
GM.5.0.Homeodomain.0184	-0.0	-0.0	inf
GM.5.0.Homeodomain.0113	-0.0	-0.0	inf
GM.5.0.Unknown.0056	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0174	-0.0	-0.0	inf
GM.5.0.Unknown.0119	-0.0	-0.0	inf
GM.5.0.bZIP.0082	-0.0	-0.0	inf
GM.5.0.bHLH.0126	-0.0	-0.0	inf
GM.5.0.Homeodomain.0138	-0.0	-0.0	inf
GM.5.0.Unknown.0074	-0.0	-0.0	inf
GM.5.0.Myb_SANT.0006	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0165	-0.0	-0.0	inf
GM.5.0.Unknown.0139	-0.0	-0.0	inf
GM.5.0.Mixed.0063	-0.0	-0.0	inf
GM.5.0.Forkhead.0037	-0.0	-0.0	inf
GM.5.0.Unknown.0085	-0.0	-0.0	inf
GM.5.0.Forkhead.0031	-0.0	-0.0	inf
GM.5.0.STAT.0019	-0.0	-0.0	inf
GM.5.0.T-box.0002	-0.0	-0.0	inf
GM.5.0.bHLH.0108	-0.0	-0.0	inf
GM.5.0.Unknown.0005	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0124	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0090	-0.0	-0.0	inf
GM.5.0.bHLH.0111	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0069	-0.0	-0.0	inf
GM.5.0.Mixed.0074	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0144	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0210	-0.0	-0.0	inf
GM.5.0.Unknown.0075	-0.0	-0.0	inf
GM.5.0.Sox.0030	-0.0	-0.0	inf
GM.5.0.bZIP.0084	-0.0	-0.0	inf
GM.5.0.Homeodomain_POU.0021	-0.0	-0.0	inf
GM.5.0.Ets.0019	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0170	-0.0	-0.0	inf
GM.5.0.Unknown.0050	-0.0	-0.0	inf
GM.5.0.bZIP.0034	-0.0	-0.0	inf
GM.5.0.Mixed.0031	-0.0	-0.0	inf
GM.5.0.Myb_SANT.0007	-0.0	-0.0	inf
GM.5.0.Mixed.0087	-0.0	-0.0	inf
GM.5.0.Homeodomain.0052	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0136	-0.0	-0.0	inf
GM.5.0.Sox.0005	-0.0	-0.0	inf
GM.5.0.Mixed.0061	-0.0	-0.0	inf
GM.5.0.ARID_BRIGHT.0003	-0.0	-0.0	inf
GM.5.0.Unknown.0089	-0.0	-0.0	inf
GM.5.0.E2F.0012	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0172	-0.0	-0.0	inf
GM.5.0.Unknown.0183	-0.0	-0.0	inf
GM.5.0.Homeodomain.0133	-0.0	-0.0	inf
GM.5.0.Homeodomain.0160	-0.0	-0.0	inf
GM.5.0.bHLH.0083	-0.0	-0.0	inf
GM.5.0.HSF.0003	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0079	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0108	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0078	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0088	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0109	-0.0	-0.0	inf
GM.5.0.bZIP.0038	-0.0	-0.0	inf
GM.5.0.E2F.0005	-0.0	-0.0	inf
GM.5.0.Homeodomain.0056	-0.0	-0.0	inf
GM.5.0.Homeodomain.0198	-0.0	-0.0	inf
GM.5.0.Paired_box.0022	-0.0	-0.0	inf
GM.5.0.Forkhead.0048	-0.0	-0.0	inf
GM.5.0.STAT.0004	-0.0	-0.0	inf
GM.5.0.bHLH.0136	-0.0	-0.0	inf
GM.5.0.Homeodomain_POU.0023	-0.0	-0.0	inf
GM.5.0.Homeodomain.0188	-0.0	-0.0	inf
GM.5.0.Ets.0031	-0.0	-0.0	inf
GM.5.0.GATA.0024	-0.0	-0.0	inf
GM.5.0.bZIP.0065	-0.0	-0.0	inf
GM.5.0.Mixed.0050	-0.0	-0.0	inf
GM.5.0.bHLH.0119	-0.0	-0.0	inf
GM.5.0.bHLH.0062	-0.0	-0.0	inf
GM.5.0.Unknown.0109	-0.0	-0.0	inf
GM.5.0.bZIP.0076	-0.0	-0.0	inf
GM.5.0.bHLH.0028	-0.0	184.28511409303505	inf
GM.5.0.Homeodomain.0033	-0.0	-0.0	inf
GM.5.0.Unknown.0140	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0243	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0094	-0.0	-0.0	inf
GM.5.0.Forkhead.0044	-0.0	-0.0	inf
GM.5.0.GATA.0004	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0105	-0.0	-0.0	inf
GM.5.0.Unknown.0057	-0.0	-0.0	inf
GM.5.0.Unknown.0009	-0.0	-0.0	inf
GM.5.0.bZIP.0020	-0.0	-0.0	inf
GM.5.0.Unknown.0198	-0.0	-0.0	inf
GM.5.0.Unknown.0073	-0.0	-0.0	inf
GM.5.0.Nuclear_receptor.0121	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0036	-0.0	-0.0	inf
GM.5.0.Homeodomain.0130	-0.0	-0.0	inf
GM.5.0.TBP.0001	-0.0	-0.0	inf
GM.5.0.Homeodomain.0151	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0183	-0.0	-0.0	inf
GM.5.0.bZIP.0041	-0.0	-0.0	inf
GM.5.0.Mixed.0080	-0.0	-0.0	40.526921437493876
GM.5.0.Forkhead.0047	-0.0	-0.0	inf
GM.5.0.Mixed.0034	-0.0	-0.0	inf
GM.5.0.Forkhead.0013	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0229	-0.0	-0.0	inf
GM.5.0.RFX.0002	-0.0	-0.0	inf
GM.5.0.SAND.0005	-0.0	-0.0	inf
GM.5.0.Unknown.0173	-0.0	-0.0	inf
GM.5.0.SMAD.0002	-0.0	-0.0	inf
GM.5.0.RFX.0009	-0.0	-0.0	inf
GM.5.0.bHLH.0137	-0.0	inf	inf
GM.5.0.bZIP.0017	-0.0	-0.0	inf
GM.5.0.Unknown.0004	-0.0	-0.0	inf
GM.5.0.Ets.0046	-0.0	-0.0	inf
GM.5.0.MADS_box.0017	-0.0	-0.0	inf
GM.5.0.Homeodomain.0079	-0.0	-0.0	inf
GM.5.0.CENPB.0001	-0.0	-0.0	inf
GM.5.0.Homeodomain.0074	-0.0	-0.0	inf
GM.5.0.bZIP.0096	-0.0	-0.0	inf
GM.5.0.Homeodomain.0119	-0.0	-0.0	inf
GM.5.0.Homeodomain_POU.0002	-0.0	-0.0	inf
GM.5.0.bHLH.0045	-0.0	inf	inf
GM.5.0.THAP_finger.0005	-0.0	-0.0	inf
GM.5.0.bZIP.0089	-0.0	-0.0	inf
GM.5.0.Homeodomain.0169	-0.0	-0.0	inf
GM.5.0.RFX.0003	-0.0	-0.0	inf
GM.5.0.Mixed.0010	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0064	-0.0	-0.0	inf
GM.5.0.C2H2_ZF.0226	-0.0	-0.0	inf
GM.5.0.MADS_box.0002	-0.0	-0.0	inf
GM.5.0.Homeodomain.0045	-0.0	-0.0	inf
GM.5.0.SMAD.0012	-0.0	-0.0	inf
GM.5.0.Unknown.0064	-0.0	-0.0	inf
GM.5.0.Homeodomain.0178	-0.0	-0.0	inf
GM.5.0.Unknown.0124	-0.0	-0.0	inf
GM.5.0.RFX.0018	-0.0	-0.0	inf
GM.5.0.SAND.0004	-0.0	-0.0	inf
GM.5.0.Forkhead.0043	192.17497870535982	-0.0	-0.0
