Chrom	Start	End	X4.8851361.8851762	.	..1	X8851361.1	X8851762.1	X0	X1	X401	X8851353	cluster_1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr19	40395989	40396390	19:40395989-40396390	.	.	40395989	40396390	0	1	401	40395985	cluster_2	Intron (ENSMUST00000099466/ENSMUSG00000025006, intron 2 of 21)	19	40295049	40402267	107219	2	ENSMUST00000099466	5877	ENSMUSG00000025006	ENSMUSG00000025006
chr14	24550970	24551371	14:24550970-24551371	.	.	24550970	24551371	0	1	401	24550968	cluster_2	Distal Intergenic	14	24490681	24496146	5466	1	ENSMUST00000169826	60290	ENSMUSG00000025290	ENSMUSG00000025290
chr15	16914768	16915169	15:16914768-16915169	.	.	16914768	16915169	0	1	401	16914767	cluster_2	Distal Intergenic	15	16778101	16857094	78994	1	ENSMUST00000026432	136668	ENSMUSG00000025370	ENSMUSG00000025370
chr7	141502215	141502616	7:141502215-141502616	.	.	141502215	141502616	0	1	401	141502214	cluster_2	Intron (ENSMUST00000153191/ENSMUSG00000025512, intron 10 of 12)	7	141491489	141492960	1472	1	ENSMUST00000130402	10727	ENSMUSG00000025511	ENSMUSG00000025511
chr6	116418513	116418914	6:116418513-116418914	.	.	116418513	116418914	0	1	401	116418512	cluster_2	Intron (ENSMUST00000026795/ENSMUSG00000025701, intron 7 of 13)	6	116412591	116414020	1430	2	ENSMUST00000167585	-4494	ENSMUSG00000025701	ENSMUSG00000025701
chr9	5673559	5673960	9:5673559-5673960	.	.	5673559	5673960	0	1	401	5673554	cluster_2	Distal Intergenic	9	5345504	5358823	13320	1	ENSMUST00000151332	328056	ENSMUSG00000025887	ENSMUSG00000025887
chr1	152508926	152509327	1:152508926-152509327	.	.	152508926	152509327	0	1	401	152508925	cluster_2	3' UTR	1	152557543	152592759	35217	2	ENSMUST00000128251	83432	ENSMUSG00000026482	ENSMUSG00000026482
chr1	181365321	181365722	1:181365321-181365722	.	.	181365321	181365722	0	1	401	181365320	cluster_2	Intron (ENSMUST00000161880/ENSMUSG00000026514, intron 1 of 5)	1	181353198	181459287	106090	1	ENSMUST00000162685	12124	ENSMUSG00000026514	ENSMUSG00000026514
chr1	172107703	172108104	1:172107703-172108104	.	.	172107703	172108104	0	1	401	172107702	cluster_2	Intron (ENSMUST00000135192/ENSMUSG00000026553, intron 13 of 32)	1	172112191	172115568	3378	1	ENSMUST00000133909	-4087	ENSMUSG00000026553	ENSMUSG00000026553
chr2	4490768	4491169	2:4490768-4491169	.	.	4490768	4491169	0	1	401	4490764	cluster_2	Intron (ENSMUST00000177457/ENSMUSG00000026657, intron 5 of 24)	2	4473194	4498103	24910	1	ENSMUST00000123919	17575	ENSMUSG00000026657	ENSMUSG00000026657
chr2	84947430	84947831	2:84947430-84947831	.	.	84947430	84947831	0	1	401	84947422	cluster_2	Exon (ENSMUST00000155537/ENSMUSG00000027074, exon 6 of 6)	2	84936890	84948133	11244	1	ENSMUST00000155537	10541	ENSMUSG00000027074	ENSMUSG00000027074
chr2	119355089	119355490	2:119355089-119355490	.	.	119355089	119355490	0	1	401	119355088	cluster_2	Distal Intergenic	2	119351229	119354381	3153	1	ENSMUST00000028780	3861	ENSMUSG00000027313	ENSMUSG00000027313
chr2	127641606	127642007	2:127641606-127642007	.	.	127641606	127642007	0	1	401	127641605	cluster_2	Intron (ENSMUST00000028854/ENSMUSG00000027375, intron 1 of 3)	2	127634874	127656219	21346	2	ENSMUST00000028853	14212	ENSMUSG00000027375	ENSMUSG00000027375
chr2	170811335	170811736	2:170811335-170811736	.	.	170811335	170811736	0	1	401	170811334	cluster_2	Intron (ENSMUST00000029075/ENSMUSG00000027560, intron 2 of 7)	2	170731807	170879769	147963	1	ENSMUST00000029075	79529	ENSMUSG00000027560	ENSMUSG00000027560
chr3	21944447	21944848	3:21944447-21944848	.	.	21944447	21944848	0	1	401	21944445	cluster_2	Distal Intergenic	3	22076652	22216594	139943	1	ENSMUST00000063988	-131804	ENSMUSG00000027630	ENSMUSG00000027630
chr2	158059819	158060220	2:158059819-158060220	.	.	158059819	158060220	0	1	401	158059818	cluster_2	Intron (ENSMUST00000103123/ENSMUSG00000027651, intron 6 of 6)	2	158047959	158070510	22552	1	ENSMUST00000135603	11861	ENSMUSG00000027651	ENSMUSG00000027651
chr2	165543332	165543733	2:165543332-165543733	.	.	165543332	165543733	0	1	401	165543331	cluster_2	Distal Intergenic	2	165508781	165514777	5997	1	ENSMUST00000148463	34552	ENSMUSG00000027661	ENSMUSG00000027661
chr3	101095797	101096198	3:101095797-101096198	.	.	101095797	101096198	0	1	401	101095796	cluster_2	Intron (ENSMUST00000102694/ENSMUSG00000027864, intron 1 of 8)	3	101040232	101110278	70047	2	ENSMUST00000102694	14080	ENSMUSG00000027864	ENSMUSG00000027864
chr4	48629506	48629907	4:48629506-48629907	.	.	48629506	48629907	0	1	401	48629502	cluster_2	Intron (ENSMUST00000030032/ENSMUSG00000028347, intron 5 of 9)	4	48636934	48660239	23306	1	ENSMUST00000141720	-7027	ENSMUSG00000028347	ENSMUSG00000028347
chr4	76460614	76461015	4:76460614-76461015	.	.	76460614	76461015	0	1	401	76460607	cluster_2	Intron (ENSMUST00000173376/ENSMUSG00000028399, intron 1 of 30)	4	75941238	76449980	508743	2	ENSMUST00000107289	-10635	ENSMUSG00000028399	ENSMUSG00000028399
chr4	41196854	41197255	4:41196854-41197255	.	.	41196854	41197255	0	1	401	41196850	cluster_2	Promoter (1-2kb)	4	41195193	41195765	573	2	ENSMUST00000136057	-1090	ENSMUSG00000028433	ENSMUSG00000028433
chr5	35144631	35145032	5:35144631-35145032	.	.	35144631	35145032	0	1	401	35144628	cluster_2	Distal Intergenic	5	35091490	35105766	14277	2	ENSMUST00000030986	-38866	ENSMUSG00000029103	ENSMUSG00000029103
chr5	97899349	97899750	5:97899349-97899750	.	.	97899349	97899750	0	1	401	97899340	cluster_2	Intron (ENSMUST00000031281/ENSMUSG00000029338, intron 16 of 16)	5	97882783	98030733	147951	2	ENSMUST00000031281	130983	ENSMUSG00000029338	ENSMUSG00000029338
chr5	128772977	128773378	5:128772977-128773378	.	.	128772977	128773378	0	1	401	128772976	cluster_2	Exon (ENSMUST00000111346/ENSMUSG00000029420, exon 5 of 22)	5	128736246	128755474	19229	1	ENSMUST00000086056	36732	ENSMUSG00000029423	ENSMUSG00000029423
chr5	139610879	139611280	5:139610879-139611280	.	.	139610879	139611280	0	1	401	139610878	cluster_2	Distal Intergenic	5	139543898	139548176	4279	1	ENSMUST00000031523	66982	ENSMUSG00000029546	ENSMUSG00000029546
chr5	131819333	131819734	5:131819333-131819734	.	.	131819333	131819734	0	1	401	131819332	cluster_2	Intron (ENSMUST00000161226/ENSMUSG00000029673, intron 4 of 18)	5	131437788	131616605	178818	2	ENSMUST00000161804	-202729	ENSMUSG00000029673	ENSMUSG00000029673
chr6	97419732	97420133	6:97419732-97420133	.	.	97419732	97420133	0	1	401	97419723	cluster_2	Intron (ENSMUST00000113355/ENSMUSG00000030064, intron 4 of 23)	6	97396257	97431429	35173	2	ENSMUST00000124050	11296	ENSMUSG00000030064	ENSMUSG00000030064
chr7	51831858	51832259	7:51831858-51832259	.	.	51831858	51832259	0	1	401	51831853	cluster_2	Distal Intergenic	7	51862015	51994975	132961	1	ENSMUST00000129604	-29756	ENSMUSG00000030498	ENSMUSG00000030498
chr7	79194741	79195142	7:79194741-79195142	.	.	79194741	79195142	0	1	401	79194734	cluster_2	Distal Intergenic	7	79133769	79149060	15292	2	ENSMUST00000107409	-45682	ENSMUSG00000030605	ENSMUSG00000030605
chr7	78680812	78681213	7:78680812-78681213	.	.	78680812	78681213	0	1	401	78680805	cluster_2	Distal Intergenic	7	78775236	78783066	7831	2	ENSMUST00000032841	101853	ENSMUSG00000030612	ENSMUSG00000030612
chr7	82829496	82829897	7:82829496-82829897	.	.	82829496	82829897	0	1	401	82829488	cluster_2	Distal Intergenic	7	82851963	82859849	7887	1	ENSMUST00000179662	-22066	ENSMUSG00000030636	ENSMUSG00000030636
chr7	132730458	132730859	7:132730458-132730859	.	.	132730458	132730859	0	1	401	132730457	cluster_2	Intron (ENSMUST00000124096/ENSMUSG00000030849, intron 2 of 6)	7	132713365	132776916	63552	2	ENSMUST00000106168	46057	ENSMUSG00000030956	ENSMUSG00000030956
chr7	133537422	133537823	7:133537422-133537823	.	.	133537422	133537823	0	1	401	133537421	cluster_2	Distal Intergenic	7	133587024	133602115	15092	2	ENSMUST00000033275	64292	ENSMUSG00000030976	ENSMUSG00000030976
chrX	73506486	73506887	X:73506486-73506887	.	.	73506486	73506887	0	1	401	73506479	cluster_2	Intron (ENSMUST00000033744/ENSMUSG00000031376, intron 1 of 20)	20	73503086	73571005	67920	1	ENSMUST00000114479	3401	ENSMUSG00000031376	ENSMUSG00000031376
chr8	48236948	48237349	8:48236948-48237349	.	.	48236948	48237349	0	1	401	48236944	cluster_2	Intron (ENSMUST00000129821/ENSMUSG00000031561, intron 21 of 23)	8	48275915	48300099	24185	2	ENSMUST00000145344	62750	ENSMUSG00000031561	ENSMUSG00000031561
chr8	93705880	93706281	8:93705880-93706281	.	.	93705880	93706281	0	1	401	93705871	cluster_2	Distal Intergenic	8	93809966	93950403	140438	1	ENSMUST00000137202	-103685	ENSMUSG00000031748	ENSMUSG00000031748
chr9	23285021	23285422	9:23285021-23285422	.	.	23285021	23285422	0	1	401	23285019	cluster_2	Intron (ENSMUST00000071982/ENSMUSG00000031963, intron 3 of 14)	9	23223076	23485202	262127	1	ENSMUST00000071982	61946	ENSMUSG00000031963	ENSMUSG00000031963
chr9	43661159	43661560	9:43661159-43661560	.	.	43661159	43661560	0	1	401	43661155	cluster_2	Distal Intergenic	9	43744576	43807454	62879	1	ENSMUST00000034510	-83016	ENSMUSG00000032012	ENSMUSG00000032012
chr9	41238977	41239378	9:41238977-41239378	.	.	41238977	41239378	0	1	401	41238973	cluster_2	Distal Intergenic	9	41159846	41161697	1852	2	ENSMUST00000132996	-77281	ENSMUSG00000032020	ENSMUSG00000032020
chr9	34843204	34843605	9:34843204-34843605	.	.	34843204	34843605	0	1	401	34843201	cluster_2	Intron (ENSMUST00000115148/ENSMUSG00000032036, intron 2 of 16)	9	34904913	35036716	131804	1	ENSMUST00000045091	-61308	ENSMUSG00000032036	ENSMUSG00000032036
chr9	70100386	70100787	9:70100386-70100787	.	.	70100386	70100787	0	1	401	70100379	cluster_2	Promoter (2-3kb)	9	70102550	70103076	527	2	ENSMUST00000145427	2289	ENSMUSG00000032224	ENSMUSG00000032224
chr9	120117639	120118040	9:120117639-120118040	.	.	120117639	120118040	0	1	401	120117638	cluster_2	Promoter (2-3kb)	9	120114989	120120280	5292	1	ENSMUST00000154969	2651	ENSMUSG00000032519	ENSMUSG00000032519
chr9	121366990	121367391	9:121366990-121367391	.	.	121366990	121367391	0	1	401	121366989	cluster_2	Promoter (<=1kb)	9	121366958	121474916	107959	1	ENSMUST00000045903	33	ENSMUSG00000032536	ENSMUSG00000032536
chr9	95322117	95322518	9:95322117-95322518	.	.	95322117	95322518	0	1	401	95322108	cluster_2	Distal Intergenic	9	95400929	95407270	6342	2	ENSMUST00000036267	84752	ENSMUSG00000033350	ENSMUSG00000033350
chr19	60603567	60603968	19:60603567-60603968	.	.	60603567	60603968	0	1	401	60603561	cluster_2	Distal Intergenic	19	60524696	60581023	56328	2	ENSMUST00000166712	-22545	ENSMUSG00000033417	ENSMUSG00000033417
chr19	54522979	54523380	19:54522979-54523380	.	.	54522979	54523380	0	1	401	54522974	cluster_2	Distal Intergenic	19	54045182	54048982	3801	1	ENSMUST00000036700	477798	ENSMUSG00000033717	ENSMUSG00000033717
chr5	128407597	128407998	5:128407597-128407998	.	.	128407597	128407998	0	1	401	128407596	cluster_2	Intron (ENSMUST00000044441/ENSMUSG00000034310, intron 1 of 8)	5	127783491	128433077	649587	2	ENSMUST00000044441	25079	ENSMUSG00000034310	ENSMUSG00000034310
chr1	90433991	90434392	1:90433991-90434392	.	.	90433991	90434392	0	1	401	90433982	cluster_2	Distal Intergenic	1	90603425	90613341	9917	1	ENSMUST00000036153	-169033	ENSMUSG00000034432	ENSMUSG00000034432
chr18	53028004	53028405	18:53028004-53028405	.	.	53028004	53028405	0	1	401	53027999	cluster_2	Distal Intergenic	18	53176365	53220860	44496	1	ENSMUST00000037850	-147960	ENSMUSG00000034484	ENSMUSG00000034484
chr9	60739102	60739503	9:60739102-60739503	.	.	60739102	60739503	0	1	401	60739096	cluster_2	Distal Intergenic	9	60712989	60738801	25813	1	ENSMUST00000038407	26114	ENSMUSG00000034839	ENSMUSG00000034839
chr14	63439354	63439755	14:63439354-63439755	.	.	63439354	63439755	0	1	401	63439348	cluster_2	Promoter (2-3kb)	14	63436409	63442056	5648	1	ENSMUST00000128313	2946	ENSMUSG00000035095	ENSMUSG00000035095
chr6	101473337	101473738	6:101473337-101473738	.	.	101473337	101473738	0	1	401	101473336	cluster_2	Distal Intergenic	6	101149609	101377897	228289	2	ENSMUST00000075994	-95441	ENSMUSG00000035357	ENSMUSG00000035357
chr6	101242391	101242792	6:101242391-101242792	.	.	101242391	101242792	0	1	401	101242390	cluster_2	Intron (ENSMUST00000075994/ENSMUSG00000035357, intron 3 of 9)	6	101169856	101199200	29345	2	ENSMUST00000144505	-43192	ENSMUSG00000035357	ENSMUSG00000035357
chr10	86880542	86880943	10:86880542-86880943	.	.	86880542	86880943	0	1	401	86880534	cluster_2	Promoter (1-2kb)	10	86871859	86878958	7100	2	ENSMUST00000159023	-1585	ENSMUSG00000035459	ENSMUSG00000035459
chr2	27108485	27108886	2:27108485-27108886	.	.	27108485	27108886	0	1	401	27108483	cluster_2	3' UTR	2	27104663	27108981	4319	1	ENSMUST00000139633	3823	ENSMUSG00000036040	ENSMUSG00000036040
chr19	7062862	7063263	19:7062862-7063263	.	.	7062862	7063263	0	1	401	7062855	cluster_2	Intron (ENSMUST00000040261/ENSMUSG00000036278, intron 1 of 10)	19	7056768	7198061	141294	1	ENSMUST00000040261	6095	ENSMUSG00000036278	ENSMUSG00000036278
