Chrom	Start	End	Name	Score	Strand	Conc	Conc_NEUROD1_Foxg1KD	Conc_NEUROD1_Control	Fold	p.value	FDR	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr12	111646861	111647344	DiffBind	0	.	5.34	4.01	6.02	-2.01	5.36e-05	0.00317	Intron (ENSMUST00000075281/ENSMUSG00000007411, intron 14 of 15)	12	111669355	111672338	2984	2	ENSMUST00000001304	24994	ENSMUSG00000001270	ENSMUSG00000001270
chr8	8392281	8392791	DiffBind	0	.	5.65	3.99	6.41	-2.42	2.7e-05	0.00194	Distal Intergenic	8	8620597	8639363	18767	2	ENSMUST00000152698	246572	ENSMUSG00000001300	ENSMUSG00000001300
chr1	186766414	186766876	DiffBind	0	.	5.49	3.97	6.22	-2.25	7.47e-06	0.000773	Distal Intergenic	1	186720978	186749358	28381	2	ENSMUST00000001339	-17057	ENSMUSG00000001305	ENSMUSG00000001305
chr9	78089005	78089628	DiffBind	0	.	4.83	5.63	2.89	2.75	0.00195	0.0331	Promoter (1-2kb)	9	78085698	78087636	1939	2	ENSMUST00000162451	-1370	ENSMUSG00000001366	ENSMUSG00000001366
chr6	28507140	28507768	DiffBind	0	.	6.29	5.22	6.89	-1.67	3.27e-06	0.000439	Intron (ENSMUST00000168362/ENSMUSG00000001424, intron 1 of 3)	6	28480359	28935162	454804	1	ENSMUST00000167201	26782	ENSMUSG00000001424	ENSMUSG00000001424
chr6	28753229	28754043	DiffBind	0	.	6.47	5.52	7.04	-1.52	1.41e-05	0.00122	Intron (ENSMUST00000164915/ENSMUSG00000001424, intron 14 of 16)	6	28764690	28874987	110298	1	ENSMUST00000171195	-10647	ENSMUSG00000001424	ENSMUSG00000001424
chr10	77202045	77202407	DiffBind	0	.	5.89	5.01	6.44	-1.42	0.000469	0.0132	Distal Intergenic	10	77052178	77166548	114371	2	ENSMUST00000081654	-35498	ENSMUSG00000001435	ENSMUSG00000001435
chr10	77093828	77094260	DiffBind	0	.	5.23	3.97	5.89	-1.93	0.000249	0.00896	Intron (ENSMUST00000081654/ENSMUSG00000001435, intron 3 of 41)	10	77080725	77089428	8704	2	ENSMUST00000156009	-4401	ENSMUSG00000001435	ENSMUSG00000001435
chr11	97175567	97175851	DiffBind	0	.	4.95	3.75	5.59	-1.84	0.00262	0.0397	Exon (ENSMUST00000001479/ENSMUSG00000001440, exon 14 of 22)	11	97164221	97165400	1180	2	ENSMUST00000153727	-10168	ENSMUSG00000001440	ENSMUSG00000001440
chr13	72769148	72769647	DiffBind	0	.	5.49	3.65	6.28	-2.62	1.37e-06	0.00024	Distal Intergenic	13	72632597	72633772	1176	1	ENSMUST00000172353	136552	ENSMUSG00000001504	ENSMUSG00000001504
chr8	109965701	109966270	DiffBind	0	.	5.74	4.53	6.39	-1.86	0.000372	0.0114	Distal Intergenic	8	109952911	109962203	9293	2	ENSMUST00000051430	-3499	ENSMUSG00000001672	ENSMUSG00000001672
chr7	83704330	83704744	DiffBind	0	.	4.57	5.27	3.14	2.13	0.00158	0.0289	Intron (ENSMUST00000001792/ENSMUSG00000001741, intron 2 of 18)	7	83722510	83732407	9898	2	ENSMUST00000131916	27663	ENSMUSG00000001741	ENSMUSG00000001741
chr9	18317049	18317567	DiffBind	0	.	6.42	5.57	6.95	-1.38	0.00134	0.026	Distal Intergenic	9	18292267	18314000	21734	1	ENSMUST00000001825	24783	ENSMUSG00000001774	ENSMUSG00000001774
chr10	86042630	86043190	DiffBind	0	.	5.64	4.87	6.13	-1.26	0.00353	0.0477	Promoter (<=1kb)	10	86042452	86046809	4358	1	ENSMUST00000130383	179	ENSMUSG00000001786	ENSMUSG00000001786
chr7	101633461	101634388	DiffBind	0	.	7.41	7.75	6.97	0.78	0.00377	0.0497	Distal Intergenic	7	101663633	101722922	59290	1	ENSMUST00000137214	-29245	ENSMUSG00000001829	ENSMUSG00000001829
chr9	37517161	37517794	DiffBind	0	.	5.98	5.28	6.45	-1.18	0.00237	0.0374	Exon (ENSMUST00000048604/ENSMUSG00000042138, exon 2 of 4)	9	37528078	37538319	10242	1	ENSMUST00000002011	-10284	ENSMUSG00000001946	ENSMUSG00000001946
chr9	37609766	37610151	DiffBind	0	.	6.02	4.85	6.66	-1.81	2.42e-05	0.00179	Intron (ENSMUST00000002013/ENSMUSG00000001948, intron 2 of 4)	9	37603295	37613720	10426	2	ENSMUST00000002013	3569	ENSMUSG00000001948	ENSMUSG00000001948
chr17	31998255	31999316	DiffBind	0	.	6.4	5.54	6.94	-1.4	4.67e-05	0.00288	Intron (ENSMUST00000002145/ENSMUSG00000002076, intron 6 of 7)	17	31946328	32013403	67076	2	ENSMUST00000133308	14087	ENSMUSG00000002076	ENSMUSG00000002076
chr2	6667583	6668164	DiffBind	0	.	6.69	5.97	7.17	-1.2	0.000121	0.00551	Intron (ENSMUST00000100429/ENSMUSG00000002107, intron 1 of 11)	2	6607882	6616180	8299	2	ENSMUST00000148321	-51404	ENSMUSG00000002107	ENSMUSG00000002107
chr5	27717264	27717740	DiffBind	0	.	6.76	5.99	7.25	-1.26	3.13e-05	0.00217	Intron (ENSMUST00000071500/ENSMUSG00000061576, intron 20 of 25)	5	27740667	27791339	50673	2	ENSMUST00000002291	73599	ENSMUSG00000002221	ENSMUSG00000002221
chr6	71459239	71459919	DiffBind	0	.	6.41	4.85	7.14	-2.29	1.05e-05	0.000994	Distal Intergenic	6	71388634	71440637	52004	2	ENSMUST00000002292	-18603	ENSMUSG00000002222	ENSMUSG00000002222
chr17	25765859	25766352	DiffBind	0	.	6.68	5.56	7.31	-1.75	5.75e-05	0.0033	Distal Intergenic	17	25773776	25782791	9016	1	ENSMUST00000134108	-7424	ENSMUSG00000002280	ENSMUSG00000002280
chr14	55615330	55615790	DiffBind	0	.	6.25	5.36	6.8	-1.44	0.00134	0.026	Promoter (2-3kb)	14	55618037	55625395	7359	1	ENSMUST00000002395	-2247	ENSMUSG00000002324	ENSMUSG00000002324
chr8	70199722	70200765	DiffBind	0	.	7.52	7.05	7.87	-0.82	0.000579	0.0153	Intron (ENSMUST00000063788/ENSMUSG00000002346, intron 1 of 8)	8	70184340	70212256	27917	2	ENSMUST00000063788	11491	ENSMUSG00000002346	ENSMUSG00000002346
chr16	89867257	89867696	DiffBind	0	.	5.13	3.72	5.83	-2.11	9.32e-05	0.00462	Exon (ENSMUST00000002588/ENSMUSG00000002489, exon 22 of 28)	16	89787111	89857817	70707	2	ENSMUST00000114122	-9441	ENSMUSG00000002489	ENSMUSG00000002489
chr16	89936491	89937023	DiffBind	0	.	6.15	5.48	6.61	-1.12	0.00346	0.0471	Intron (ENSMUST00000002588/ENSMUSG00000002489, intron 2 of 27)	16	89898421	89918985	20565	2	ENSMUST00000139544	-17507	ENSMUSG00000002489	ENSMUSG00000002489
chr16	89921263	89921871	DiffBind	0	.	6.74	6.06	7.21	-1.15	0.000133	0.00587	Promoter (2-3kb)	16	89898421	89918985	20565	2	ENSMUST00000139544	-2279	ENSMUSG00000002489	ENSMUSG00000002489
chr7	25782471	25783304	DiffBind	0	.	6.21	5.27	6.78	-1.5	0.000118	0.00543	Intron (ENSMUST00000002677/ENSMUSG00000002602, intron 4 of 19)	7	25778680	25787066	8387	2	ENSMUST00000147680	3762	ENSMUSG00000002602	ENSMUSG00000002602
chr12	81605407	81606075	DiffBind	0	.	4.77	2.45	5.62	-3.17	0.000178	0.00723	Distal Intergenic	12	81581678	81595008	13331	2	ENSMUST00000159187	-10400	ENSMUSG00000002679	ENSMUSG00000002679
chr12	50341620	50342077	DiffBind	0	.	5.26	3.88	5.95	-2.07	0.00117	0.0239	Exon (ENSMUST00000002765/ENSMUSG00000002688, exon 1 of 19)	12	50341231	50649223	307993	2	ENSMUST00000002765	307146	ENSMUSG00000002688	ENSMUSG00000002688
chr16	38629733	38630107	DiffBind	0	.	5.76	4.73	6.36	-1.62	0.000373	0.0114	Intron (ENSMUST00000023487/ENSMUSG00000022799, intron 3 of 11)	16	38588039	38591306	3268	1	ENSMUST00000165140	41695	ENSMUSG00000002845	ENSMUSG00000002845
chr17	70004591	70005089	DiffBind	0	.	5.8	5.01	6.31	-1.3	0.00152	0.0281	Intron (ENSMUST00000133983/ENSMUSG00000003279, intron 1 of 13)	17	69969421	70594408	624988	1	ENSMUST00000130971	35171	ENSMUSG00000003279	ENSMUSG00000003279
chr17	70248117	70248939	DiffBind	0	.	6.18	6.74	5.24	1.5	0.00013	0.00579	Intron (ENSMUST00000133983/ENSMUSG00000003279, intron 2 of 13)	17	70424794	70819804	395011	1	ENSMUST00000155016	-175855	ENSMUSG00000003279	ENSMUSG00000003279
chr17	70437196	70437738	DiffBind	0	.	6.54	5.75	7.04	-1.3	0.00356	0.0478	Intron (ENSMUST00000133983/ENSMUSG00000003279, intron 4 of 13)	17	70424794	70819804	395011	1	ENSMUST00000155016	12403	ENSMUSG00000003279	ENSMUSG00000003279
chr9	22061312	22061926	DiffBind	0	.	7.01	6.15	7.54	-1.39	1.13e-06	0.000205	Intron (ENSMUST00000043922/ENSMUSG00000038895, intron 3 of 8)	9	22015005	22052023	37019	2	ENSMUST00000003501	-9290	ENSMUSG00000003410	ENSMUSG00000003410
chr8	72008160	72008546	DiffBind	0	.	5.34	4.47	5.87	-1.4	0.00376	0.0497	Promoter (1-2kb)	8	71988482	72009626	21145	2	ENSMUST00000003574	1080	ENSMUSG00000003484	ENSMUSG00000003484
chr2	112572543	112573294	DiffBind	0	.	5.29	4.08	5.94	-1.86	0.00241	0.0377	Intron (ENSMUST00000003705/ENSMUSG00000003604, intron 2 of 5)	2	112559634	112630911	71278	1	ENSMUST00000099588	12910	ENSMUSG00000003604	ENSMUSG00000003604
chr2	112593187	112594434	DiffBind	0	.	6.5	7	5.71	1.29	0.00119	0.0242	Intron (ENSMUST00000003705/ENSMUSG00000003604, intron 2 of 5)	2	112559634	112630911	71278	1	ENSMUST00000099588	33554	ENSMUSG00000003604	ENSMUSG00000003604
chr7	27231796	27232109	DiffBind	0	.	4.82	3.33	5.53	-2.21	0.00215	0.0352	Promoter (<=1kb)	7	27233023	27257950	24928	1	ENSMUST00000003860	-914	ENSMUSG00000003762	ENSMUSG00000003762
chr11	90198052	90198557	DiffBind	0	.	6.39	5.21	7.03	-1.82	6.51e-07	0.000144	Intron (ENSMUST00000153734/ENSMUSG00000003948, intron 1 of 1)	11	90187686	90228088	40403	1	ENSMUST00000124877	10367	ENSMUSG00000003948	ENSMUSG00000003948
chr5	9718116	9718580	DiffBind	0	.	5.12	3.33	5.89	-2.57	0.000148	0.00633	Intron (ENSMUST00000004076/ENSMUSG00000003974, intron 1 of 5)	5	9485236	9725352	240117	2	ENSMUST00000004076	6772	ENSMUSG00000003974	ENSMUSG00000003974
chr1	158310185	158311013	DiffBind	0	.	7.1	6.08	7.69	-1.61	7.76e-08	3.07e-05	Intron (ENSMUST00000004133/ENSMUSG00000004031, intron 1 of 7)	1	158245271	158356260	110990	2	ENSMUST00000004133	45247	ENSMUSG00000004031	ENSMUSG00000004031
chr2	33268946	33269745	DiffBind	0	.	5.17	5.91	3.58	2.33	0.00135	0.026	Intron (ENSMUST00000042615/ENSMUSG00000038831, intron 6 of 16)	2	33216098	33230124	14027	1	ENSMUST00000139148	52849	ENSMUSG00000004105	ENSMUSG00000004105
chr1	80260433	80260842	DiffBind	0	.	5.52	4.55	6.1	-1.55	0.00213	0.035	Distal Intergenic	1	80267242	80276566	9325	2	ENSMUST00000167794	15724	ENSMUSG00000004364	ENSMUSG00000004364
chr5	122179686	122180068	DiffBind	0	.	5.67	4.53	6.29	-1.76	7.08e-05	0.00382	Distal Intergenic	5	122172732	122174675	1944	1	ENSMUST00000134719	6955	ENSMUSG00000004455	ENSMUSG00000004455
chr5	113910407	113910796	DiffBind	0	.	5.31	3.89	6.01	-2.12	0.000825	0.0192	Promoter (1-2kb)	5	113842436	113908758	66323	2	ENSMUST00000004646	-1650	ENSMUSG00000004530	ENSMUSG00000004530
chr5	113859093	113859559	DiffBind	0	.	5.86	4.79	6.47	-1.67	0.00168	0.0301	Promoter (<=1kb)	5	113848612	113858774	10163	2	ENSMUST00000168493	-320	ENSMUSG00000004530	ENSMUSG00000004530
chr6	52757985	52758588	DiffBind	0	.	6.84	6.33	7.21	-0.88	0.00232	0.0369	Promoter (<=1kb)	6	52757475	52758825	1351	1	ENSMUST00000149586	511	ENSMUSG00000004535	ENSMUSG00000004535
chr6	55396267	55397482	DiffBind	0	.	6.99	7.41	6.39	1.02	0.00175	0.0309	Distal Intergenic	6	55376295	55388530	12236	1	ENSMUST00000063578	19973	ENSMUSG00000004654	ENSMUSG00000004654
chr11	61644679	61645271	DiffBind	0	.	5.77	4.61	6.4	-1.78	7.21e-05	0.00386	Distal Intergenic	11	61653265	61672784	19520	1	ENSMUST00000004959	-7994	ENSMUSG00000004837	ENSMUSG00000004837
chr8	84273512	84274617	DiffBind	0	.	7.16	6.69	7.52	-0.82	0.00272	0.0406	Distal Intergenic	8	84257795	84270380	12586	2	ENSMUST00000098578	-3133	ENSMUSG00000004994	ENSMUSG00000004994
chr11	119340686	119341025	DiffBind	0	.	5.21	4	5.85	-1.86	0.00255	0.039	Exon (ENSMUST00000106250/ENSMUSG00000013483, exon 20 of 23)	11	119346418	119347861	1444	2	ENSMUST00000126132	6836	ENSMUSG00000005043	ENSMUSG00000005043
chr2	118404342	118404751	DiffBind	0	.	6.11	5.41	6.58	-1.17	0.00262	0.0397	Intron (ENSMUST00000110877/ENSMUSG00000005102, intron 2 of 10)	2	118412346	118475234	62889	1	ENSMUST00000110870	-7595	ENSMUSG00000005102	ENSMUSG00000005102
chr15	66878228	66878738	DiffBind	0	.	6.4	5.07	7.08	-2.01	1.47e-06	0.000252	Distal Intergenic	15	66891320	66923201	31882	1	ENSMUST00000005255	-12582	ENSMUSG00000005124	ENSMUSG00000005124
chr5	72389838	72390314	DiffBind	0	.	5.91	4.7	6.55	-1.85	5.85e-05	0.00334	Intron (ENSMUST00000167460/ENSMUSG00000005220, intron 5 of 21)	5	72358384	72380288	21905	2	ENSMUST00000176439	-9551	ENSMUSG00000005220	ENSMUSG00000005220
chr15	10133813	10134223	DiffBind	0	.	5.4	3.77	6.15	-2.38	2.64e-06	0.000383	Distal Intergenic	15	10177238	10329388	152151	1	ENSMUST00000005400	-43015	ENSMUSG00000005268	ENSMUSG00000005268
chr15	8615395	8615965	DiffBind	0	.	5.52	6.04	4.7	1.34	0.00274	0.0408	Distal Intergenic	15	8642256	8643247	992	2	ENSMUST00000128879	27282	ENSMUSG00000005360	ENSMUSG00000005360
chr11	59717653	59718074	DiffBind	0	.	5.86	4.97	6.41	-1.44	0.000652	0.0165	Intron (ENSMUST00000138234/ENSMUSG00000005417, intron 3 of 3)	11	59727681	59776602	48922	1	ENSMUST00000133861	-9607	ENSMUSG00000005417	ENSMUSG00000005417
chr2	90963273	90963667	DiffBind	0	.	5.89	5.06	6.41	-1.34	0.00168	0.0301	Promoter (1-2kb)	2	90965092	90987816	22725	1	ENSMUST00000133657	-1425	ENSMUSG00000005506	ENSMUSG00000005506
chr8	3693384	3693852	DiffBind	0	.	6.38	5.72	6.83	-1.11	0.00152	0.0282	Promoter (<=1kb)	8	3681737	3694174	12438	2	ENSMUST00000005678	322	ENSMUSG00000005540	ENSMUSG00000005540
chr13	82902019	82902551	DiffBind	0	.	6.61	4.8	7.39	-2.6	2.09e-09	2.35e-06	Distal Intergenic	13	83504034	83667079	163046	1	ENSMUST00000005722	-601483	ENSMUSG00000005583	ENSMUSG00000005583
chr13	83604304	83604714	DiffBind	0	.	5.45	4.5	6.01	-1.51	0.00119	0.0242	Intron (ENSMUST00000005722/ENSMUSG00000005583, intron 4 of 10)	13	83504034	83667079	163046	1	ENSMUST00000163888	100271	ENSMUSG00000005583	ENSMUSG00000005583
chr13	83582412	83582854	DiffBind	0	.	5.38	3.14	6.22	-3.08	3.24e-06	0.000438	Intron (ENSMUST00000005722/ENSMUSG00000005583, intron 3 of 10)	13	83504034	83667079	163046	1	ENSMUST00000163888	78379	ENSMUSG00000005583	ENSMUSG00000005583
chr7	111020780	111021538	DiffBind	0	.	6.18	5.23	6.74	-1.51	0.000181	0.0073	Distal Intergenic	7	111028951	111056377	27427	1	ENSMUST00000005749	-7413	ENSMUSG00000005609	ENSMUSG00000005609
chr7	111237740	111238429	DiffBind	0	.	6.78	5.44	7.47	-2.03	1.33e-09	1.66e-06	Distal Intergenic	7	111070568	111083030	12463	2	ENSMUST00000162415	-154711	ENSMUSG00000005610	ENSMUSG00000005610
chr16	32454083	32454578	DiffBind	0	.	6.31	4.53	7.09	-2.56	1.01e-05	0.000965	Intron (ENSMUST00000115137/ENSMUSG00000005615, intron 2 of 8)	16	32431230	32472037	40808	1	ENSMUST00000115140	22854	ENSMUSG00000005615	ENSMUSG00000005615
chr18	10964623	10965270	DiffBind	0	.	4.92	5.76	2.7	3.05	1.39e-06	0.000242	Distal Intergenic	18	11052510	11085635	33126	1	ENSMUST00000047762	-87240	ENSMUSG00000005836	ENSMUSG00000005836
chr13	28029165	28029804	DiffBind	0	.	5.24	6.08	2.99	3.09	5.86e-08	2.6e-05	Distal Intergenic	13	28016212	28023548	7337	1	ENSMUST00000021779	12954	ENSMUSG00000005891	ENSMUSG00000005891
chr17	28947967	28949177	DiffBind	0	.	6.41	5.55	6.94	-1.39	5.38e-05	0.00317	Promoter (2-3kb)	17	28951950	28964121	12172	1	ENSMUST00000153462	-2773	ENSMUSG00000005936	ENSMUSG00000005936
chr11	73193165	73193651	DiffBind	0	.	5.34	4.26	5.95	-1.69	0.00136	0.0261	Intron (ENSMUST00000006103/ENSMUSG00000005949, intron 2 of 10)	11	73186352	73188806	2455	2	ENSMUST00000130101	-4360	ENSMUSG00000005949	ENSMUSG00000005949
chr2	105435899	105436235	DiffBind	0	.	6.02	4.44	6.76	-2.32	5.33e-07	0.000125	Distal Intergenic	2	105386291	105399319	13029	2	ENSMUST00000006128	-36581	ENSMUSG00000005973	ENSMUSG00000005973
chr11	75647490	75648346	DiffBind	0	.	6.94	7.33	6.4	0.93	0.00331	0.0459	Promoter (<=1kb)	11	75646846	75647864	1019	1	ENSMUST00000139856	645	ENSMUSG00000006127	ENSMUSG00000006127
chr16	17456872	17457294	DiffBind	0	.	5.34	4.28	5.94	-1.67	0.00366	0.0488	Intron (ENSMUST00000006293/ENSMUSG00000006134, intron 1 of 2)	16	17451987	17486255	34269	1	ENSMUST00000006293	4886	ENSMUSG00000006134	ENSMUSG00000006134
chr13	29399610	29400529	DiffBind	0	.	6.38	5.74	6.83	-1.09	0.00197	0.0333	Intron (ENSMUST00000140278/ENSMUSG00000006191, intron 13 of 16)	13	29402593	29474607	72015	2	ENSMUST00000110323	74078	ENSMUSG00000006191	ENSMUSG00000006191
chr7	130923330	130923754	DiffBind	0	.	5.41	4	6.11	-2.11	0.000817	0.0191	Intron (ENSMUST00000124096/ENSMUSG00000030849, intron 2 of 6)	7	130936111	130979934	43824	1	ENSMUST00000150717	-12357	ENSMUSG00000006205	ENSMUSG00000006205
chr4	94786574	94787014	DiffBind	0	.	4.62	5.45	2.45	3	1.53e-05	0.0013	Intron (ENSMUST00000073939/ENSMUSG00000006386, intron 2 of 21)	4	94804843	94820194	15352	1	ENSMUST00000131958	-17829	ENSMUSG00000006386	ENSMUSG00000006386
chr4	118355544	118355919	DiffBind	0	.	5.77	4.15	6.52	-2.37	8.02e-05	0.00414	Distal Intergenic	4	118359990	118362744	2755	1	ENSMUST00000153202	-4071	ENSMUSG00000006395	ENSMUSG00000006395
chr2	167510559	167510845	DiffBind	0	.	4.6	2.67	5.4	-2.73	0.000268	0.00939	Intron (ENSMUST00000109214/ENSMUSG00000006418, intron 4 of 7)	2	167503446	167516164	12719	1	ENSMUST00000127939	7114	ENSMUSG00000006418	ENSMUSG00000006418
chr2	167491170	167491744	DiffBind	0	.	6.79	6.29	7.16	-0.87	0.00316	0.0445	Promoter (<=1kb)	2	167492645	167516166	23522	1	ENSMUST00000109214	-901	ENSMUSG00000006418	ENSMUSG00000006418
chr2	167516218	167516536	DiffBind	0	.	4.79	3.61	5.43	-1.82	0.00208	0.0344	Distal Intergenic	2	167503446	167516164	12719	1	ENSMUST00000127939	12773	ENSMUSG00000006418	ENSMUSG00000006418
chr19	47296526	47297180	DiffBind	0	.	5.31	5.96	4.08	1.88	0.000893	0.0202	Intron (ENSMUST00000081619/ENSMUSG00000053617, intron 8 of 14)	19	47228843	47259440	30598	1	ENSMUST00000111807	67684	ENSMUSG00000006435	ENSMUSG00000006435
chr18	6235341	6235764	DiffBind	0	.	5.25	3.83	5.96	-2.13	0.00241	0.0377	Intron (ENSMUST00000025083/ENSMUSG00000006740, intron 1 of 25)	18	6214569	6241470	26902	2	ENSMUST00000163210	5706	ENSMUSG00000006740	ENSMUSG00000006740
chr11	100564145	100564702	DiffBind	0	.	7.5	6.17	8.17	-2	1.03e-07	3.72e-05	Intron (ENSMUST00000092684/ENSMUSG00000006784, intron 9 of 11)	11	100574904	100581728	6825	1	ENSMUST00000103120	-10202	ENSMUSG00000006782	ENSMUSG00000006782
chr9	120861852	120862522	DiffBind	0	.	4.8	5.67	2.23	3.44	2e-05	0.00158	Distal Intergenic	9	120929216	120950635	21420	1	ENSMUST00000130466	-66694	ENSMUSG00000006932	ENSMUSG00000006932
chr17	35039396	35039745	DiffBind	0	.	4.82	3.54	5.49	-1.94	0.00153	0.0283	5' UTR	17	35039146	35043767	4622	2	ENSMUST00000173685	4022	ENSMUSG00000007035	ENSMUSG00000007035
