Chrom	Start	End	X3_153568209_153572871	X119.842719313788	X.2.5453964683659103	X8.811523713474979e.13	X1.7349890191832198e.08	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr15	16440590	16442083	15_16440590_16442083	36.9848662916975	-1.99229223582594	0.000168247482082269	0.0171647301668387	Distal Intergenic	15	16778101	16857094	78994	1	ENSMUST00000026432	-336018	ENSMUSG00000025370	ENSMUSG00000025370
chr14	121618377	121619494	14_121618377_121619494	34.4741398983591	-2.18746172329948	7.88592637575836e-05	0.0107085441612884	Exon (ENSMUST00000040700/ENSMUSG00000025558, exon 28 of 54)	14	121542039	121698417	156379	2	ENSMUST00000040700	78923	ENSMUSG00000025558	ENSMUSG00000025558
chr1	4076985	4078452	1_4076985_4078452	42.6622128093137	-1.7092245564631	0.000190081809446573	0.0188645665941985	Distal Intergenic	1	4343507	4360314	16808	2	ENSMUST00000027032	281862	ENSMUSG00000025900	ENSMUSG00000025900
chr1	51513508	51516114	1_51513508_51516114	110.327062161919	-1.61337010847319	2.30277696334167e-07	0.000156350615200681	Distal Intergenic	1	51469498	51478399	8902	2	ENSMUST00000027279	-35110	ENSMUSG00000026107	ENSMUSG00000026107
chr1	23655464	23657797	1_23655464_23657797	58.619380593671	-1.69574035661581	0.00013610305410982	0.015066381912672	Distal Intergenic	1	23761753	23815740	53988	1	ENSMUST00000144602	-103956	ENSMUSG00000026156	ENSMUSG00000026156
chr2	155050447	155053434	2_155050447_155053434	167.547409586114	-0.765847043786039	0.000680879507269299	0.0399003496968229	Promoter (2-3kb)	2	155047615	155051011	3397	1	ENSMUST00000148300	2833	ENSMUSG00000027596	ENSMUSG00000027596
chr3	18940112	18943168	3_18940112_18943168	104.96277018671	-1.41077549572817	8.41442780423839e-06	0.00226959018445827	Distal Intergenic	3	19132146	19163065	30920	2	ENSMUST00000029125	219897	ENSMUSG00000027599	ENSMUSG00000027599
chr3	53918878	53920306	3_53918878_53920306	27.4058351824261	-2.36189490318968	0.000233199420297122	0.021658946158728	Distal Intergenic	3	53855212	53863830	8619	2	ENSMUST00000146598	-55049	ENSMUSG00000027746	ENSMUSG00000027746
chr3	65187548	65188890	3_65187548_65188890	54.0814868534595	-1.34940732784201	0.000679872524858127	0.0399003496968229	Promoter (<=1kb)	3	65188103	65378223	190121	1	ENSMUST00000161404	0	ENSMUSG00000027827	ENSMUSG00000027827
chr3	65187548	65188890	3_65187548_65188890	54.0814868534595	-1.34940732784201	0.000679872524858127	0.0399003496968229	Promoter (<=1kb)	3	65188103	65378223	190121	1	ENSMUST00000161404	0	ENSMUSG00000027827	ENSMUSG00000027827
chr3	65187548	65188890	3_65187548_65188890	54.0814868534595	-1.34940732784201	0.000679872524858127	0.0399003496968229	Promoter (<=1kb)	3	65188103	65378223	190121	1	ENSMUST00000161404	0	ENSMUSG00000027827	ENSMUSG00000027827
chr1	21959680	21962872	1_21959680_21962872	127.353205258271	-0.92170241429751	0.00032843500852975	0.0257644833384493	Promoter (<=1kb)	1	21398403	21961581	563179	2	ENSMUST00000029667	0	ENSMUSG00000028033	ENSMUSG00000028033
chr1	21959680	21962872	1_21959680_21962872	127.353205258271	-0.92170241429751	0.00032843500852975	0.0257644833384493	Promoter (<=1kb)	1	21398403	21961581	563179	2	ENSMUST00000029667	0	ENSMUSG00000028033	ENSMUSG00000028033
chr3	134694128	134696239	3_134694128_134696239	66.5263379599657	-1.24998508351584	0.000440498954071051	0.0308662790236975	Distal Intergenic	3	134829007	134934581	105575	1	ENSMUST00000029822	-132768	ENSMUSG00000028172	ENSMUSG00000028172
chr4	85333408	85335400	4_85333408_85335400	88.6818504785562	-0.967666719629067	0.00093840936976432	0.047867495283947	Intron (ENSMUST00000107188/ENSMUSG00000028488, intron 1 of 11)	4	85376341	85387604	11264	1	ENSMUST00000133109	-40941	ENSMUSG00000028488	ENSMUSG00000028488
chr4	108593026	108594797	4_108593026_108594797	63.4812569095154	-1.90922172470193	1.52406956875984e-05	0.00322246146099429	Exon (ENSMUST00000139772/ENSMUSG00000028587, exon 2 of 3)	4	108588022	108588780	759	1	ENSMUST00000143497	5005	ENSMUSG00000028587	ENSMUSG00000028587
chr4	108593026	108594797	4_108593026_108594797	63.4812569095154	-1.90922172470193	1.52406956875984e-05	0.00322246146099429	Exon (ENSMUST00000139772/ENSMUSG00000028587, exon 2 of 3)	4	108588022	108588780	759	1	ENSMUST00000143497	5005	ENSMUSG00000028587	ENSMUSG00000028587
chr5	13500011	13501007	5_13500011_13501007	28.6399110392917	-2.4826718180667	9.73555143129295e-05	0.0124475979014388	Intron (ENSMUST00000095012/ENSMUSG00000028883, intron 5 of 17)	5	13399324	13451177	51854	1	ENSMUST00000141968	100688	ENSMUSG00000028883	ENSMUSG00000028883
chr5	71729379	71736284	5_71729379_71736284	422.808907585958	-0.560070933770449	0.000195699535030776	0.0190758606176039	Intron (ENSMUST00000031122/ENSMUSG00000029212, intron 3 of 8)	5	71699932	72138389	438458	1	ENSMUST00000031122	29448	ENSMUSG00000029212	ENSMUSG00000029212
chr5	71745067	71747104	5_71745067_71747104	75.4307519596311	-1.52619983306176	4.95941803262154e-05	0.00776135336181557	Intron (ENSMUST00000031122/ENSMUSG00000029212, intron 3 of 8)	5	71699932	72138389	438458	1	ENSMUST00000031122	45136	ENSMUSG00000029212	ENSMUSG00000029212
chr5	108245917	108247134	5_108245917_108247134	32.2073736575458	-2.69193843006803	1.53840211951987e-05	0.00322246146099429	Distal Intergenic	5	108268897	108280526	11630	1	ENSMUST00000031190	-21763	ENSMUSG00000029265	ENSMUSG00000029265
chr5	108383704	108386543	5_108383704_108386543	108.35705781175	-1.23602470913845	3.17855218665128e-05	0.00558800826385391	Promoter (1-2kb)	5	108388391	108431743	43353	1	ENSMUST00000031456	-1848	ENSMUSG00000029491	ENSMUSG00000029491
chr6	31928372	31931186	6_31928372_31931186	70.1258425994859	-1.87598346669185	9.24136163796779e-06	0.00234496997719377	Distal Intergenic	6	32050246	32058921	8676	1	ENSMUST00000031778	-119060	ENSMUSG00000029766	ENSMUSG00000029766
chr6	58932181	58935517	6_58932181_58935517	204.145538355153	-0.758292835682968	0.000326952531224398	0.0257644833384493	Exon (ENSMUST00000089860/ENSMUSG00000037709, exon 1 of 18)	6	58907262	58916823	9562	1	ENSMUST00000131132	24920	ENSMUSG00000029804	ENSMUSG00000029804
chr6	89415582	89418676	6_89415582_89418676	106.348095647782	-0.978388111144693	0.00068369146033303	0.0399462458574402	Intron (ENSMUST00000032172/ENSMUSG00000030086, intron 6 of 7)	6	89316316	89362613	46298	2	ENSMUST00000163139	-52970	ENSMUSG00000030084	ENSMUSG00000030084
chr6	135386234	135392922	6_135386234_135392922	244.197556136983	-0.640923441011097	0.000727883500087708	0.0415421046861651	Distal Intergenic	6	135367493	135383173	15681	1	ENSMUST00000111907	18742	ENSMUSG00000030208	ENSMUSG00000030208
chr7	55863506	55869829	7_55863506_55869829	235.602388130589	-0.688576229543508	0.000292726545263466	0.0249514531438859	Intron (ENSMUST00000168271/ENSMUSG00000030447, intron 1 of 11)	7	55842255	55930471	88217	1	ENSMUST00000163845	21252	ENSMUSG00000030447	ENSMUSG00000030447
chr7	56257542	56258104	7_56257542_56258104	26.1622926359076	-1.99278600064331	0.000623706831677516	0.0384765140661934	Intron (ENSMUST00000032633/ENSMUSG00000030450, intron 2 of 23)	7	56239808	56536513	296706	1	ENSMUST00000144739	17735	ENSMUSG00000030450	ENSMUSG00000030450
chr7	65056112	65059094	7_65056112_65059094	101.980960331551	-1.25316846666169	5.16427444658681e-05	0.00794410655103862	Intron (ENSMUST00000119118/ENSMUSG00000030518, intron 1 of 9)	7	64786690	65156416	369727	2	ENSMUST00000148459	97322	ENSMUSG00000030518	ENSMUSG00000030518
chr7	78752665	78754628	7_78752665_78754628	53.0687636039311	-1.62457422686357	0.00013585418925703	0.015066381912672	Distal Intergenic	7	78775236	78783066	7831	2	ENSMUST00000032841	28438	ENSMUSG00000030612	ENSMUSG00000030612
chr5	47930708	47932584	5_47930708_47932584	39.2158537366268	-1.51869222295578	0.000771955479877429	0.0424575513932586	Distal Intergenic	5	47983155	47990332	7178	1	ENSMUST00000174061	-50571	ENSMUSG00000031558	ENSMUSG00000031558
chr3	126967295	126968496	3_126967295_126968496	29.2409871606765	-2.4989611343569	5.81404088208767e-05	0.00854316902748554	Intron (ENSMUST00000044443/ENSMUSG00000032826, intron 6 of 24)	3	126921607	126998452	76846	2	ENSMUST00000044443	29956	ENSMUSG00000032826	ENSMUSG00000032826
chr3	126967295	126968496	3_126967295_126968496	29.2409871606765	-2.4989611343569	5.81404088208767e-05	0.00854316902748554	Intron (ENSMUST00000044443/ENSMUSG00000032826, intron 6 of 24)	3	126921607	126998452	76846	2	ENSMUST00000044443	29956	ENSMUSG00000032826	ENSMUSG00000032826
chr5	14832270	14835019	5_14832270_14835019	126.581031714637	-1.22572685365988	3.11511284498725e-05	0.00557605199252718	Intron (ENSMUST00000030691/ENSMUSG00000061601, intron 22 of 24)	5	14913397	14914853	1457	2	ENSMUST00000154544	79834	ENSMUSG00000033219	ENSMUSG00000033219
chr3	117570234	117571708	3_117570234_117571708	29.9317419429608	-1.82976171318878	0.000972963578589637	0.0486234844224111	Distal Intergenic	3	117575227	117689507	114281	1	ENSMUST00000106473	-3519	ENSMUSG00000033342	ENSMUSG00000033342
chr1	6894005	6894931	1_6894005_6894931	27.4367391990786	-2.19002466487283	0.00030760334036475	0.0254483603856383	Distal Intergenic	1	6857341	6859604	2264	1	ENSMUST00000130338	36665	ENSMUSG00000033740	ENSMUSG00000033740
chr5	131133684	131138852	5_131133684_131138852	123.01450749212	-0.828480693950154	0.000991199499177878	0.0490369802482724	Intron (ENSMUST00000086023/ENSMUSG00000034040, intron 2 of 10)	5	131085272	131306915	221644	2	ENSMUST00000160807	168063	ENSMUSG00000034040	ENSMUSG00000034040
chr10	122929832	122931920	10_122929832_122931920	50.7835547734399	-1.26587836143241	0.000939074316138471	0.047867495283947	Intron (ENSMUST00000067918/ENSMUSG00000034613, intron 9 of 9)	10	122895368	122941449	46082	1	ENSMUST00000162969	34465	ENSMUSG00000034613	ENSMUSG00000034613
chr5	96500773	96502680	5_96500773_96502680	58.2685617791057	-1.72981676181388	4.5782654164826e-05	0.00745008645045806	Intron (ENSMUST00000036019/ENSMUSG00000034687, intron 2 of 73)	5	96373955	96784728	410774	1	ENSMUST00000036019	126819	ENSMUSG00000034687	ENSMUSG00000034687
chr9	72930571	72932244	9_72930571_72932244	70.2646222033685	-1.49538628841273	4.47170560887464e-05	0.00739898180157493	Intron (ENSMUST00000038489/ENSMUSG00000034910, intron 1 of 2)	9	72925645	72952181	26537	1	ENSMUST00000038489	4927	ENSMUSG00000034910	ENSMUSG00000034910
chr12	38213540	38214593	12_38213540_38214593	27.5749264772031	-1.96707477487251	0.000552091181435876	0.0352944005275078	Exon (ENSMUST00000040500/ENSMUSG00000036095, exon 17 of 25)	12	37880705	38633410	752706	1	ENSMUST00000040500	332836	ENSMUSG00000036095	ENSMUSG00000036095
chr5	76614603	76616317	5_76614603_76616317	55.7368713849234	-1.49093096886743	0.000189175687159841	0.0188645665941985	Exon (ENSMUST00000130651/ENSMUSG00000036403, exon 12 of 24)	5	76591714	76646465	54752	1	ENSMUST00000049060	22890	ENSMUSG00000036403	ENSMUSG00000036403
chr18	39051579	39052539	18_39051579_39052539	35.8218439885088	-2.25061809141058	4.80238635753853e-05	0.00762572478870433	Intron (ENSMUST00000148850/ENSMUSG00000036452, intron 2 of 5)	18	39099311	39126933	27623	1	ENSMUST00000123820	-46772	ENSMUSG00000036452	ENSMUSG00000036452
chr2	44898981	44902734	2_44898981_44902734	110.882577178316	-0.936683161095022	0.000556095829438228	0.0354353620765007	Intron (ENSMUST00000130991/ENSMUSG00000036890, intron 1 of 5)	2	44791193	44927149	135957	2	ENSMUST00000133442	24415	ENSMUSG00000036890	ENSMUSG00000036890
chr2	148281481	148282578	2_148281481_148282578	31.964526698794	-1.97107900905778	0.00027059215605083	0.0236313926994929	Distal Intergenic	2	148395377	148396764	1388	1	ENSMUST00000109962	-112799	ENSMUSG00000037014	ENSMUSG00000037014
chr8	64652807	64661742	8_64652807_64661742	527.25751804511	-0.62133531103734	9.54495708616755e-06	0.00237898993704606	Intron (ENSMUST00000048967/ENSMUSG00000037852, intron 1 of 8)	8	64592558	64693040	100483	2	ENSMUST00000048967	31298	ENSMUSG00000037852	ENSMUSG00000037852
chr6	55805827	55813168	6_55805827_55813168	233.171515208051	-0.848482486537699	4.08247003784877e-05	0.00687041325173011	Distal Intergenic	6	55836895	55978622	141728	1	ENSMUST00000044729	-23727	ENSMUSG00000037973	ENSMUSG00000037973
chr6	55774305	55777553	6_55774305_55777553	119.942610021689	-1.23898944892719	5.65871811181217e-05	0.00848127203238175	Distal Intergenic	6	55836895	55978622	141728	1	ENSMUST00000044729	-59342	ENSMUSG00000037973	ENSMUSG00000037973
chr6	55676251	55684307	6_55676251_55684307	368.004870170478	-0.677722799998054	2.39180005016416e-05	0.00444288141393702	Promoter (<=1kb)	6	55677818	55681263	3446	2	ENSMUST00000044767	0	ENSMUSG00000037984	ENSMUSG00000037984
chr10	56204053	56205795	10_56204053_56205795	45.5952447436749	-2.07858775978184	2.17945891643104e-05	0.00416636369558516	Intron (ENSMUST00000099739/ENSMUSG00000038122, intron 3 of 32)	10	56014298	56228689	214392	2	ENSMUST00000099739	22894	ENSMUSG00000038122	ENSMUSG00000038122
chr3	152596738	152598789	3_152596738_152598789	53.6571893426346	-1.61410085411666	0.000107805571014342	0.0130993087460019	Intron (ENSMUST00000045262/ENSMUSG00000039058, intron 6 of 13)	3	152462815	152668140	205326	2	ENSMUST00000045262	69351	ENSMUSG00000039058	ENSMUSG00000039058
chr4	70347294	70348514	4_70347294_70348514	24.1271763338213	-2.27401721484626	0.000427892605864288	0.030637110579883	Intron (ENSMUST00000144099/ENSMUSG00000039298, intron 11 of 36)	4	70398886	70403541	4656	2	ENSMUST00000126416	55027	ENSMUSG00000039298	ENSMUSG00000039298
chr5	19931983	19935039	5_19931983_19935039	114.232122129929	-1.03716946500452	0.000217779492776866	0.0210199912391004	Intron (ENSMUST00000088516/ENSMUSG00000040003, intron 2 of 22)	5	19907861	20702938	795078	1	ENSMUST00000115267	24123	ENSMUSG00000040003	ENSMUSG00000040003
chr17	49003884	49005938	17_49003884_49005938	79.6366823275622	-1.05138871674232	0.000911894388211848	0.0474204467979737	Intron (ENSMUST00000046254/ENSMUSG00000040490, intron 1 of 2)	17	48932379	49097588	165210	1	ENSMUST00000046254	71506	ENSMUSG00000040490	ENSMUSG00000040490
chr1	22240950	22242976	1_22240950_22242976	60.4881776673822	-2.79374183685763	6.40216318838011e-09	9.00418522708602e-06	Distal Intergenic	1	22286915	22315805	28891	2	ENSMUST00000164877	72829	ENSMUSG00000041670	ENSMUSG00000041670
chr1	130085082	130087694	1_130085082_130087694	100.245670599285	-2.37938143096424	8.95845081435604e-10	2.51988423620958e-06	Intron (ENSMUST00000073527/ENSMUSG00000042581, intron 15 of 27)	1	130163831	130219276	55446	1	ENSMUST00000140834	-76137	ENSMUSG00000042581	ENSMUSG00000042581
chr5	102108716	102111256	5_102108716_102111256	49.4173050147273	-1.60374138277454	0.000190657630891087	0.0188645665941985	Distal Intergenic	5	101929306	102069921	140616	2	ENSMUST00000174698	-38796	ENSMUSG00000043940	ENSMUSG00000043940
chr3	135191465	135193532	3_135191465_135193532	59.3830527340505	-1.67536436700117	6.63279317821659e-05	0.00926238990631806	Distal Intergenic	3	135212563	135273540	60978	1	ENSMUST00000062893	-19031	ENSMUSG00000045328	ENSMUSG00000045328
chr6	59358203	59359889	6_59358203_59359889	67.541303834532	-1.47246837439837	6.61961766603027e-05	0.00926238990631806	Intron (ENSMUST00000051065/ENSMUSG00000045441, intron 1 of 1)	6	59352461	59426290	73830	2	ENSMUST00000051065	66401	ENSMUSG00000045441	ENSMUSG00000045441
chr10	40757027	40759220	10_40757027_40759220	86.0247102917327	-1.25534419522379	0.000166451968319051	0.0171593678335189	Intron (ENSMUST00000058747/ENSMUSG00000045555, intron 4 of 4)	10	40683282	40811083	127802	1	ENSMUST00000058747	73746	ENSMUSG00000045555	ENSMUSG00000045555
chr10	40686484	40689259	10_40686484_40689259	74.9631522063472	-1.54731328997783	2.38818211259549e-05	0.00444288141393702	Intron (ENSMUST00000058747/ENSMUSG00000045555, intron 1 of 4)	10	40683282	40811083	127802	1	ENSMUST00000058747	3203	ENSMUSG00000045555	ENSMUSG00000045555
chr7	10454219	10454874	7_10454219_10454874	19.6271005843811	-2.45832244072173	0.00065157490401317	0.0391143593293272	Distal Intergenic	7	10446789	10447787	999	1	ENSMUST00000055964	7431	ENSMUSG00000046716	ENSMUSG00000046716
chr1	44216199	44217907	1_44216199_44217907	58.9630069647635	-2.01919888945662	3.90879480676225e-06	0.00137923289633551	Promoter (1-2kb)	1	44206425	44218913	12489	2	ENSMUST00000150062	1006	ENSMUSG00000046828	ENSMUSG00000046828
chr3	141284565	141286797	3_141284565_141286797	38.7205195020488	-1.96128256832491	9.3433540230025e-05	0.0121834861399284	Distal Intergenic	3	141210004	141212355	2352	2	ENSMUST00000057860	-72211	ENSMUSG00000047674	ENSMUSG00000047674
chr15	41295602	41298032	15_41295602_41298032	62.7647513591642	-1.73200404994149	3.59254163338008e-05	0.00616475631043951	Distal Intergenic	15	41173701	41173871	171	1	ENSMUST00000060066	121902	ENSMUSG00000048559	ENSMUSG00000048559
chr3	138095521	138096090	3_138095521_138096090	27.3071094394167	-2.17788331134486	0.00026764668890755	0.0236313926994929	Intron (ENSMUST00000029805/ENSMUSG00000028158, intron 15 of 17)	3	138048761	138067388	18628	2	ENSMUST00000053318	-28134	ENSMUSG00000049349	ENSMUSG00000049349
chr3	67491580	67493324	3_67491580_67493324	80.4770558257401	-1.26650878682602	0.000161179884389411	0.0167917032996164	Intron (ENSMUST00000178314/ENSMUSG00000049404, intron 2 of 5)	3	67478886	67515523	36638	2	ENSMUST00000178314	22199	ENSMUSG00000049404	ENSMUSG00000049404
chr7	87623672	87627225	7_87623672_87627225	77.500754716335	-1.57692274241495	2.8531640944434e-05	0.00520174083514727	Intron (ENSMUST00000107263/ENSMUSG00000049583, intron 1 of 7)	7	87602544	88130869	528326	1	ENSMUST00000167164	21129	ENSMUSG00000049583	ENSMUSG00000049583
chr14	88345920	88348273	14_88345920_88348273	48.6460158314433	-1.85033565427414	0.000104425094847281	0.013013481756601	Distal Intergenic	14	88464747	88471396	6650	2	ENSMUST00000061628	123123	ENSMUSG00000050505	ENSMUSG00000050505
chr14	88469384	88471529	14_88469384_88471529	101.12659909861	-1.0367716379164	0.000714130608108822	0.0409948445296289	Promoter (<=1kb)	14	88464747	88471396	6650	2	ENSMUST00000061628	0	ENSMUSG00000050505	ENSMUSG00000050505
chr5	31812133	31814684	5_31812133_31814684	94.1955415020171	-0.924243185725685	0.000998901107093074	0.0491709069966566	Intron (ENSMUST00000080598/ENSMUSG00000052139, intron 4 of 11)	5	31785383	31820643	35261	1	ENSMUST00000135978	26751	ENSMUSG00000052139	ENSMUSG00000052139
chr7	90938446	90943141	7_90938446_90943141	99.7064429813541	-1.90398420901568	5.74364402060806e-08	4.7121812819072e-05	Distal Intergenic	7	91090706	92447003	1356298	1	ENSMUST00000107196	-147565	ENSMUSG00000052572	ENSMUSG00000052572
chr7	91979699	91980824	7_91979699_91980824	25.3465708696933	-2.01334280000061	0.000826475863302537	0.0446888652146201	Intron (ENSMUST00000107196/ENSMUSG00000052572, intron 9 of 22)	7	92062394	92447003	384610	1	ENSMUST00000098308	-81570	ENSMUSG00000052572	ENSMUSG00000052572
