loc	cluster
chr1:105492629-105493030	cluster_1
chr6:51882880-51883281	cluster_1
chr17:79258341-79258742	cluster_1
chr19:25351329-25351730	cluster_1
chr5:136637909-136638310	cluster_1
chr4:41681201-41681602	cluster_1
chr4:7961822-7962223	cluster_1
chr1:87252711-87253112	cluster_1
chr8:55997872-55998273	cluster_1
chr18:19893522-19893923	cluster_1
chr4:142829519-142829920	cluster_1
chr6:47318724-47319125	cluster_1
chr1:12410047-12410448	cluster_1
chr8:6089993-6090394	cluster_1
chr3:145731022-145731423	cluster_1
chr4:130881196-130881597	cluster_1
chr2:116850237-116850638	cluster_1
chr14:74915031-74915432	cluster_1
chr17:85250746-85251147	cluster_1
chr8:124194550-124194951	cluster_1
chr6:94107403-94107804	cluster_1
chr4:37974894-37975295	cluster_1
chr2:108023222-108023623	cluster_1
chr1:71404131-71404532	cluster_1
chr2:31894489-31894890	cluster_1
chr11:41200435-41200836	cluster_1
chr19:48429255-48429656	cluster_1
chr8:58418286-58418687	cluster_1
chr7:139706583-139706984	cluster_1
chr3:4757088-4757489	cluster_1
chr6:104932164-104932565	cluster_1
chr10:91001541-91001942	cluster_1
chr17:90346927-90347328	cluster_1
chr4:13536905-13537306	cluster_1
chr19:49087196-49087597	cluster_1
chr11:35022073-35022474	cluster_1
chr3:21020889-21021290	cluster_1
chr8:25206772-25207173	cluster_1
chr14:87338031-87338432	cluster_1
chr2:131587541-131587942	cluster_1
chr1:118337937-118338338	cluster_1
chr8:83785019-83785420	cluster_1
chr9:28701730-28702131	cluster_1
chr10:97078068-97078469	cluster_1
chr8:62194747-62195148	cluster_1
chr14:63757534-63757935	cluster_1
chr2:72839625-72840026	cluster_1
chr11:89945136-89945537	cluster_1
chr1:33873653-33874054	cluster_1
chr3:64965649-64966050	cluster_1
chr14:105721084-105721485	cluster_1
chr13:63112042-63112443	cluster_1
chr3:134223921-134224322	cluster_1
chr1:6540335-6540736	cluster_1
chr15:56108267-56108668	cluster_1
chr10:98118074-98118475	cluster_1
chr19:40995967-40996368	cluster_1
chr5:22686463-22686864	cluster_1
chr3:68250588-68250989	cluster_1
chr2:119596767-119597168	cluster_1
chr14:76331479-76331880	cluster_1
chr11:49973879-49974280	cluster_1
chr13:103803719-103804120	cluster_1
chr5:149603089-149603490	cluster_1
chr12:108606317-108606718	cluster_1
chr16:63761180-63761581	cluster_1
chr8:50770659-50771060	cluster_1
chr1:48459915-48460316	cluster_1
chr16:83254187-83254588	cluster_1
chr1:80852764-80853165	cluster_1
chr3:144718993-144719394	cluster_1
chr8:83200625-83201026	cluster_1
chr1:87730045-87730446	cluster_1
chr16:50553996-50554397	cluster_1
chr2:7235390-7235791	cluster_1
chr8:5864747-5865148	cluster_1
chr4:92969943-92970344	cluster_1
chr10:34116973-34117374	cluster_1
chr16:40942342-40942743	cluster_1
chr10:38991022-38991423	cluster_1
chr5:74474949-74475350	cluster_1
chr16:85542695-85543096	cluster_1
chr13:96644515-96644916	cluster_1
chr10:26880280-26880681	cluster_1
chr4:65893696-65894097	cluster_1
chr8:126683014-126683415	cluster_1
chr1:71018271-71018672	cluster_1
chr12:100003095-100003496	cluster_1
chr13:85863786-85864187	cluster_1
chr10:59114962-59115363	cluster_1
chr13:18060293-18060694	cluster_1
chr7:119861575-119861976	cluster_1
chr14:13677670-13678071	cluster_1
chr11:60288965-60289366	cluster_1
chr7:95295393-95295794	cluster_1
chr14:66228743-66229144	cluster_1
chr1:140852112-140852513	cluster_1
chr4:47651745-47652146	cluster_1
chr16:63967412-63967813	cluster_1
chr7:37921895-37922296	cluster_1
chr13:115687556-115687957	cluster_1
chr14:39333776-39334177	cluster_1
chr6:8832918-8833319	cluster_1
chr4:141954999-141955400	cluster_1
chr12:45901113-45901514	cluster_1
chr3:130128551-130128952	cluster_1
chr2:58388569-58388970	cluster_1
chr15:20223170-20223571	cluster_1
chr11:39517050-39517451	cluster_1
chr8:105406375-105406776	cluster_1
chr5:54345163-54345564	cluster_1
chr13:101198470-101198871	cluster_1
chr6:69726421-69726822	cluster_1
chr16:35399601-35400002	cluster_1
chr10:69334767-69335168	cluster_1
chr5:57847481-57847882	cluster_1
chr2:123486684-123487085	cluster_1
chr8:11011144-11011545	cluster_1
chr14:23895934-23896335	cluster_1
chr2:57138582-57138983	cluster_1
chr7:99708232-99708633	cluster_1
chr12:70421051-70421452	cluster_1
chr2:135749631-135750032	cluster_1
chr2:61476361-61476762	cluster_1
chr6:109281388-109281789	cluster_1
chr10:122407990-122408391	cluster_1
chr4:110083337-110083738	cluster_1
chr10:101437411-101437812	cluster_1
chr1:6769985-6770386	cluster_1
chr12:16279120-16279521	cluster_1
chr8:125702816-125703217	cluster_1
chr18:36142598-36142999	cluster_1
chr2:121727694-121728095	cluster_1
chr9:49423952-49424353	cluster_1
chr16:11599511-11599912	cluster_1
chr2:168380624-168381025	cluster_1
chr4:82919499-82919900	cluster_1
chr11:21847431-21847832	cluster_1
chr10:108583743-108584144	cluster_1
chr4:48871138-48871539	cluster_1
chr1:24539848-24540249	cluster_1
chr12:74407627-74408028	cluster_1
chr7:90940121-90940522	cluster_1
chr13:25847129-25847530	cluster_1
chr5:131665173-131665574	cluster_1
chr8:38927876-38928277	cluster_1
chr14:57472167-57472568	cluster_1
chr5:122709560-122709961	cluster_1
chr4:111489103-111489504	cluster_1
chr7:137272188-137272589	cluster_1
chr10:120421983-120422384	cluster_1
chr10:18522540-18522941	cluster_1
chr4:59629116-59629517	cluster_1
chr12:79413531-79413932	cluster_1
chr2:169565782-169566183	cluster_1
chr3:32236948-32237349	cluster_1
chr14:72490299-72490700	cluster_1
chr13:72476907-72477308	cluster_1
chr16:44538336-44538737	cluster_1
chr7:76690868-76691269	cluster_1
chr10:58833169-58833570	cluster_1
chr4:34966517-34966918	cluster_1
chr17:71161883-71162284	cluster_1
chr15:37801270-37801671	cluster_1
chr5:116826335-116826736	cluster_1
chr10:45813739-45814140	cluster_1
chr5:110611402-110611803	cluster_1
chr3:155419535-155419936	cluster_1
chr2:78447692-78448093	cluster_1
chr8:54430679-54431080	cluster_1
chr15:41777389-41777790	cluster_1
chr1:88934684-88935085	cluster_1
chr7:113821436-113821837	cluster_1
chr2:135541069-135541470	cluster_1
chr11:17451449-17451850	cluster_1
chr8:124184089-124184490	cluster_1
chr7:94973295-94973696	cluster_1
chr4:10508113-10508514	cluster_1
chr2:51768673-51769074	cluster_1
chr1:113395208-113395609	cluster_1
chr5:40714060-40714461	cluster_1
chr7:36023972-36024373	cluster_1
chr6:37047543-37047944	cluster_1
chr1:104226876-104227277	cluster_1
chr15:94648393-94648794	cluster_1
chr1:62348415-62348816	cluster_1
chr14:53561450-53561851	cluster_1
chr2:48627025-48627426	cluster_1
chr10:121067948-121068349	cluster_1
chr10:50957637-50958038	cluster_1
chr19:45460736-45461137	cluster_1
chr3:147228799-147229200	cluster_1
chr2:23159908-23160309	cluster_1
chr8:108286063-108286464	cluster_1
chr9:32491655-32492056	cluster_1
chr18:38643770-38644171	cluster_1
chr1:33483904-33484305	cluster_1
chr16:89921397-89921798	cluster_1
chr11:82692661-82693062	cluster_1
chr1:156197567-156197968	cluster_1
chr19:18911959-18912360	cluster_1
chr2:52629642-52630043	cluster_1
chr4:6008592-6008993	cluster_1
chr16:97127350-97127751	cluster_1
chr4:76438939-76439340	cluster_1
chr17:78269996-78270397	cluster_1
chr2:9369461-9369862	cluster_1
chr2:76992853-76993254	cluster_1
chr2:180787527-180787928	cluster_1
chr16:97297070-97297471	cluster_1
chr10:89913189-89913590	cluster_1
chr7:122676711-122677112	cluster_1
chr12:5870136-5870537	cluster_1
chr2:80603721-80604122	cluster_1
chr6:81219953-81220354	cluster_1
chr11:35556122-35556523	cluster_1
chr4:105820084-105820485	cluster_1
chr12:62415676-62416077	cluster_1
chr18:38938410-38938811	cluster_1
chr10:92896061-92896462	cluster_1
chr3:152155596-152155997	cluster_1
chr1:187539316-187539717	cluster_1
chr2:129876935-129877336	cluster_1
chr13:98235451-98235852	cluster_1
chr4:74553872-74554273	cluster_1
chr1:102589896-102590297	cluster_1
chr8:127439631-127440032	cluster_1
chr10:99862027-99862428	cluster_1
chr4:126102037-126102438	cluster_1
chr15:93874136-93874537	cluster_1
chr9:29248332-29248733	cluster_1
chr11:116432640-116433041	cluster_1
chr13:20270120-20270521	cluster_1
chr4:15447331-15447732	cluster_1
chr11:39255362-39255763	cluster_1
chr16:20746691-20747092	cluster_1
chr9:46025944-46026345	cluster_1
chr3:53563638-53564039	cluster_1
chr10:70733442-70733843	cluster_1
chr16:20116884-20117285	cluster_1
chr2:96352608-96353009	cluster_1
chr1:173137455-173137856	cluster_1
chr2:123533427-123533828	cluster_1
chr19:14340800-14341201	cluster_1
chr11:38673666-38674067	cluster_1
chr5:133639330-133639731	cluster_1
chr18:40289531-40289932	cluster_1
chr7:101376723-101377124	cluster_1
chr6:29805349-29805750	cluster_1
chr16:86309779-86310180	cluster_1
chr7:100295799-100296200	cluster_1
chr13:28684310-28684711	cluster_1
chr16:85021019-85021420	cluster_1
chr10:74480804-74481205	cluster_1
chr7:94249394-94249795	cluster_1
chr17:57694724-57695125	cluster_1
chr6:144880039-144880440	cluster_1
chr3:42217207-42217608	cluster_1
chr3:108855403-108855804	cluster_1
chr14:9896604-9897005	cluster_1
chr7:111748423-111748824	cluster_1
chr17:6173135-6173536	cluster_1
chr17:37062188-37062589	cluster_1
chr8:60773826-60774227	cluster_1
chr1:32428437-32428838	cluster_1
chr5:85571989-85572390	cluster_1
chr16:96472802-96473203	cluster_1
chr19:51065435-51065836	cluster_1
chr8:100001557-100001958	cluster_1
chr2:131539746-131540147	cluster_1
chr15:26580008-26580409	cluster_1
chr11:60333974-60334375	cluster_1
chr6:6464340-6464741	cluster_1
chr4:6795609-6796010	cluster_1
chr3:107127690-107128091	cluster_1
chr2:169914678-169915079	cluster_1
chr15:67630685-67631086	cluster_1
chr7:28917600-28918001	cluster_1
chr17:70437258-70437659	cluster_1
chr14:102306309-102306710	cluster_1
chr9:13873853-13874254	cluster_1
chr3:120917991-120918392	cluster_1
chr18:28851998-28852399	cluster_1
chr13:35803693-35804094	cluster_1
chr6:24324664-24325065	cluster_1
chr4:105579448-105579849	cluster_1
chr5:30593418-30593819	cluster_1
chr16:65129190-65129591	cluster_1
chr18:62759609-62760010	cluster_1
chr8:109965775-109966176	cluster_1
chr2:60017469-60017870	cluster_1
chr14:39303003-39303404	cluster_1
chr14:59887366-59887767	cluster_1
chr16:44617027-44617428	cluster_1
chr2:128384569-128384970	cluster_1
chr14:45553874-45554275	cluster_1
chr1:98738497-98738898	cluster_1
chr3:124157837-124158238	cluster_1
chr5:45957666-45958067	cluster_1
chr16:48050904-48051305	cluster_1
chr6:11576052-11576453	cluster_1
chr11:10642639-10643040	cluster_1
chr13:7249735-7250136	cluster_1
chr1:3900335-3900736	cluster_1
chr3:145219397-145219798	cluster_1
chr13:30724607-30725008	cluster_1
chr8:24626823-24627224	cluster_1
chr16:92899805-92900206	cluster_1
chr1:69329508-69329909	cluster_1
chr7:105437980-105438381	cluster_1
chr3:65992726-65993127	cluster_1
chr11:49745848-49746249	cluster_1
chr15:56940849-56941250	cluster_1
chr1:8582900-8583301	cluster_1
chr15:17601996-17602397	cluster_1
chr4:4708262-4708663	cluster_1
chr2:137694019-137694420	cluster_1
chr5:34876059-34876460	cluster_1
chr3:83997531-83997932	cluster_1
chr13:69073875-69074276	cluster_1
chr3:127408966-127409367	cluster_1
chr3:35585355-35585756	cluster_1
chr17:28406415-28406816	cluster_1
chr7:125882395-125882796	cluster_1
chr10:14725690-14726091	cluster_1
chr11:15922640-15923041	cluster_1
chr1:88653647-88654048	cluster_1
chr19:45920803-45921204	cluster_1
chr16:15413294-15413695	cluster_1
chr15:97502047-97502448	cluster_1
chr9:28196537-28196938	cluster_1
chr13:41697182-41697583	cluster_1
chr15:13094368-13094769	cluster_1
chr2:120150402-120150803	cluster_1
chr15:41016557-41016958	cluster_1
chr13:18290280-18290681	cluster_1
chr6:6197503-6197904	cluster_1
chr11:107802731-107803132	cluster_1
chr11:112557490-112557891	cluster_1
chr1:25745574-25745975	cluster_1
chr5:136292922-136293323	cluster_1
chr5:80393659-80394060	cluster_1
chr15:99619752-99620153	cluster_1
chr18:61891318-61891719	cluster_1
chr13:8199500-8199901	cluster_1
chr1:172363651-172364052	cluster_1
chr4:31440387-31440788	cluster_1
chr18:69085074-69085475	cluster_1
chr19:47635311-47635712	cluster_1
chr1:53952390-53952791	cluster_1
chr5:98083378-98083779	cluster_1
chr4:36696677-36697078	cluster_1
chr11:18673321-18673722	cluster_1
chr11:44088181-44088582	cluster_1
chr18:34457627-34458028	cluster_1
chr3:125014765-125015166	cluster_1
chr13:6059515-6059916	cluster_1
chr13:18903603-18904004	cluster_1
chr6:53972139-53972540	cluster_1
chr11:52655968-52656369	cluster_1
chr9:26057981-26058382	cluster_1
chr8:44899667-44900068	cluster_1
chr15:88386728-88387129	cluster_1
chr15:102635838-102636239	cluster_1
chr16:85885235-85885636	cluster_1
chr11:27070397-27070798	cluster_1
chr13:13827854-13828255	cluster_1
chr2:80181317-80181718	cluster_1
chr9:5123667-5124068	cluster_1
chr11:99076788-99077189	cluster_1
chr15:41059195-41059596	cluster_1
chr2:51087607-51088008	cluster_1
chr18:84786270-84786671	cluster_1
chr5:115866061-115866462	cluster_1
chr13:117048563-117048964	cluster_1
chr14:119781069-119781470	cluster_1
chr14:91889044-91889445	cluster_1
chr10:76866770-76867171	cluster_1
chr6:50823146-50823547	cluster_1
chr5:89140080-89140481	cluster_1
chr6:101355404-101355805	cluster_1
chr12:61842547-61842948	cluster_1
chr2:154572281-154572682	cluster_1
chr2:105764475-105764876	cluster_1
chr1:56900139-56900540	cluster_1
chr11:118254402-118254803	cluster_1
chr1:46269162-46269563	cluster_1
chr4:99957188-99957589	cluster_1
chr18:24787764-24788165	cluster_1
chr10:43815065-43815466	cluster_1
chr12:86276846-86277247	cluster_1
chr10:63032976-63033377	cluster_1
chr12:51252922-51253323	cluster_1
chr8:112663990-112664391	cluster_1
chr3:8863131-8863532	cluster_1
chr13:49012810-49013211	cluster_1
chr4:86873055-86873456	cluster_1
chr2:118534016-118534417	cluster_1
chr13:42198034-42198435	cluster_1
chr5:143053663-143054064	cluster_1
chr2:72813760-72814161	cluster_1
chr2:22024445-22024846	cluster_1
chr6:125986060-125986461	cluster_1
chr12:15844705-15845106	cluster_1
chr17:68422928-68423329	cluster_1
chr19:18589410-18589811	cluster_1
chr7:83445140-83445541	cluster_1
chr8:113465132-113465533	cluster_1
chr7:51032793-51033194	cluster_1
chr5:108246482-108246883	cluster_1
chr8:123146376-123146777	cluster_1
chr19:28178080-28178481	cluster_1
chr2:174774186-174774587	cluster_1
chr18:84368922-84369323	cluster_1
chr3:52326760-52327161	cluster_1
chr11:65877941-65878342	cluster_1
chr14:27369412-27369813	cluster_1
chr17:62337943-62338344	cluster_1
chr6:65780883-65781284	cluster_1
chr1:115681076-115681477	cluster_1
chr1:59603049-59603450	cluster_1
chr3:142345717-142346118	cluster_1
chr6:5963674-5964075	cluster_1
chr16:77152283-77152684	cluster_1
chr4:25389795-25390196	cluster_1
chr1:93857349-93857750	cluster_1
chr5:15779541-15779942	cluster_1
chr2:56333810-56334211	cluster_1
chr2:153186096-153186497	cluster_1
chr3:117169718-117170119	cluster_1
chr11:90955355-90955756	cluster_1
chr11:58382475-58382876	cluster_1
chr7:112812217-112812618	cluster_1
chr8:126961490-126961891	cluster_1
chr1:132212262-132212663	cluster_1
chr7:81868246-81868647	cluster_1
chr18:64818779-64819180	cluster_1
chr15:103432608-103433009	cluster_1
chr10:51236419-51236820	cluster_1
chr12:86659683-86660084	cluster_1
chr9:10816727-10817128	cluster_1
chr18:54719519-54719920	cluster_1
chr16:69496025-69496426	cluster_1
chr16:65844444-65844845	cluster_1
chr19:40741711-40742112	cluster_1
chr1:163530542-163530943	cluster_1
chr4:142441956-142442357	cluster_1
chr1:131086454-131086855	cluster_1
chr10:84286075-84286476	cluster_1
chr11:40972753-40973154	cluster_1
chr2:14070491-14070892	cluster_1
chr4:104283879-104284280	cluster_1
chr5:35918484-35918885	cluster_1
chr12:33302024-33302425	cluster_1
chr3:32347866-32348267	cluster_1
chr1:178896665-178897066	cluster_1
chr5:7665375-7665776	cluster_1
chr6:66197952-66198353	cluster_1
chr5:99715139-99715540	cluster_1
chr5:16056842-16057243	cluster_1
chr15:90062077-90062478	cluster_1
chr2:99856458-99856859	cluster_1
chr1:98350041-98350442	cluster_1
chr5:139078041-139078442	cluster_1
chr10:126953067-126953468	cluster_1
chr1:128787338-128787739	cluster_1
chr1:30104602-30105003	cluster_1
chr3:60273760-60274161	cluster_1
chr11:88372562-88372963	cluster_1
chr5:85315633-85316034	cluster_1
chr1:193433515-193433916	cluster_1
chr19:61021489-61021890	cluster_1
chr11:112140539-112140940	cluster_1
chr5:37514954-37515355	cluster_1
chr8:89859770-89860171	cluster_1
chr6:40187106-40187507	cluster_1
chr4:109797561-109797962	cluster_1
chr12:17985760-17986161	cluster_1
chr10:26629805-26630206	cluster_1
chr11:38862118-38862519	cluster_1
chr17:83889837-83890238	cluster_1
chr10:52516692-52517093	cluster_1
chr10:19789151-19789552	cluster_1
chr9:37609769-37610170	cluster_1
chr9:10604537-10604938	cluster_1
chr14:29882752-29883153	cluster_1
chr9:27541634-27542035	cluster_1
chr9:44904982-44905383	cluster_1
chr6:6415143-6415544	cluster_1
chr2:105435851-105436252	cluster_1
chr9:42187425-42187826	cluster_1
chr4:151422402-151422803	cluster_1
chr1:186102735-186103136	cluster_1
chr14:24124222-24124623	cluster_1
chr8:70200050-70200451	cluster_1
chr8:3933803-3934204	cluster_1
chr6:67057205-67057606	cluster_1
chr3:84245795-84246196	cluster_1
chr3:18941246-18941647	cluster_1
chr8:122709483-122709884	cluster_1
chr14:118566348-118566749	cluster_1
chr4:102200180-102200581	cluster_1
chr10:12108321-12108722	cluster_1
chr5:31579995-31580396	cluster_1
chr4:58640258-58640659	cluster_1
chr13:28673685-28674086	cluster_1
chr10:70455861-70456262	cluster_1
chr15:44774929-44775330	cluster_1
chr14:15702114-15702515	cluster_1
chr2:143556963-143557364	cluster_1
chr7:18978344-18978745	cluster_1
chr2:95951454-95951855	cluster_1
chr2:81666651-81667052	cluster_1
chr2:79010298-79010699	cluster_1
chr4:102137869-102138270	cluster_1
chr8:78806050-78806451	cluster_1
chr2:120464579-120464980	cluster_1
chr10:45815758-45816159	cluster_1
chr3:40427920-40428321	cluster_1
chr1:13991325-13991726	cluster_1
chr16:38911289-38911690	cluster_1
chr4:13600751-13601152	cluster_1
chr4:72605128-72605529	cluster_1
chr16:37405486-37405887	cluster_1
chr12:40622970-40623371	cluster_1
chr2:109943329-109943730	cluster_1
chr10:74086649-74087050	cluster_1
chr6:145691871-145692272	cluster_1
chr2:45650489-45650890	cluster_1
chr10:117013952-117014353	cluster_1
chr3:145743013-145743414	cluster_1
chr10:70654058-70654459	cluster_1
chr3:138712750-138713151	cluster_1
chr5:132341301-132341702	cluster_1
chr14:88347119-88347520	cluster_1
chr11:90198122-90198523	cluster_1
chr10:73315815-73316216	cluster_1
chr15:53826815-53827216	cluster_1
chr11:66083681-66084082	cluster_1
chr9:47734935-47735336	cluster_1
chr12:44410537-44410938	cluster_1
chr15:7725517-7725918	cluster_1
chr5:97256498-97256899	cluster_1
chr14:60130212-60130613	cluster_1
chr5:54440837-54441238	cluster_1
chr18:29603036-29603437	cluster_1
chr4:13837290-13837691	cluster_1
chr12:83880018-83880419	cluster_1
chr5:22795368-22795769	cluster_1
chr16:9735306-9735707	cluster_1
chr18:57617048-57617449	cluster_1
chr11:20878611-20879012	cluster_1
chr2:42013687-42014088	cluster_1
chr3:71220803-71221204	cluster_1
chr7:75142008-75142409	cluster_1
chr2:171237444-171237845	cluster_1
chr13:18651635-18652036	cluster_1
chr11:81553743-81554144	cluster_1
chr4:120304640-120305041	cluster_1
chr1:178218765-178219166	cluster_1
chr17:52920732-52921133	cluster_1
chr13:105733593-105733994	cluster_1
chr4:132097105-132097506	cluster_1
chr4:18625329-18625730	cluster_1
chr16:15052952-15053353	cluster_1
chr15:84157058-84157459	cluster_1
chr16:26860588-26860989	cluster_1
chr10:30257802-30258203	cluster_1
chr1:145121379-145121780	cluster_1
chr8:26849302-26849703	cluster_1
chr15:50959267-50959668	cluster_1
chr7:103570921-103571322	cluster_1
chr14:51929731-51930132	cluster_1
chr15:32685159-32685560	cluster_1
chr16:86817324-86817725	cluster_1
chr13:63957096-63957497	cluster_1
chr6:98510523-98510924	cluster_1
chr8:48488660-48489061	cluster_1
chr5:89088467-89088868	cluster_1
chr7:30883975-30884376	cluster_1
chr7:143031077-143031478	cluster_1
chr6:16828222-16828623	cluster_1
chr6:138801419-138801820	cluster_1
chr19:17011294-17011695	cluster_1
chr13:109672002-109672403	cluster_1
chr19:23518709-23519110	cluster_1
chr2:94122617-94123018	cluster_1
chr19:36641074-36641475	cluster_1
chr6:31330897-31331298	cluster_1
chr6:60657340-60657741	cluster_1
chr9:14308032-14308433	cluster_1
chr19:52791979-52792380	cluster_1
chr3:7424636-7425037	cluster_1
chr2:120470892-120471293	cluster_1
chr2:123349666-123350067	cluster_1
chr1:33201499-33201900	cluster_1
chr3:99547613-99548014	cluster_1
chr1:193093329-193093730	cluster_1
chr10:59002375-59002776	cluster_1
chr3:22023545-22023946	cluster_1
chr18:47512487-47512888	cluster_1
chr15:51017118-51017519	cluster_1
chr7:107482213-107482614	cluster_1
chr18:51594923-51595324	cluster_1
chr10:19502825-19503226	cluster_1
chr6:4441718-4442119	cluster_1
chr3:8955855-8956256	cluster_1
chr3:6118688-6119089	cluster_1
chr12:69773617-69774018	cluster_1
chr2:71201831-71202232	cluster_1
chr1:29405782-29406183	cluster_1
chr6:114361272-114361673	cluster_1
chr18:75995991-75996392	cluster_1
chr8:85304823-85305224	cluster_1
chr11:10228954-10229355	cluster_1
chr5:4585840-4586241	cluster_1
chr4:128845544-128845945	cluster_1
chr1:3764713-3765114	cluster_1
