# Note: this mapping is specifically created for this non-redundant set of motifs.
# It also includes factors for motifs that were similar, but this can be
# specific to this analysis.
Motif	Factor	Evidence	Curated
GM.5.0.Myb_SANT.0009	ARNT	Unknown	N
GM.5.0.Myb_SANT.0009	ARNT	ChIP-seq	N
GM.5.0.Myb_SANT.0009	Arnt	ChIP-seq	N
GM.5.0.Myb_SANT.0009	EPAS1	ChIP-seq	N
GM.5.0.Myb_SANT.0009	Epas1	ChIP-seq	N
GM.5.0.Myb_SANT.0009	HIF2a	ChIP-seq	N
GM.5.0.Myb_SANT.0009	HIF1A	Unknown	N
GM.5.0.Myb_SANT.0009	HIF1A	JASPAR	N
GM.5.0.Myb_SANT.0009	ARNT	JASPAR	N
GM.5.0.Myb_SANT.0009	HIF1A	ChIP-seq	N
GM.5.0.Myb_SANT.0009	Hif1a	ChIP-seq	N
GM.5.0.Myb_SANT.0009	SIM1	ChIP-seq	N
GM.5.0.Myb_SANT.0009	NPAS1	ChIP-seq	N
GM.5.0.Myb_SANT.0009	NPAS3	ChIP-seq	N
GM.5.0.Myb_SANT.0009	Npas1	ChIP-seq	N
GM.5.0.Myb_SANT.0009	Sim1	ChIP-seq	N
GM.5.0.Myb_SANT.0009	Npas3	ChIP-seq	N
GM.5.0.Myb_SANT.0009	ARNT	COMPILED	N
GM.5.0.Myb_SANT.0009	HIF1A	COMPILED	N
GM.5.0.Myb_SANT.0009	HIF1b	ChIP-seq	N
GM.5.0.Myb_SANT.0009	HIF1a	ChIP-seq	N
GM.5.0.Mixed.0035	MYBL1	SELEX	N
GM.5.0.Mixed.0035	MYBL2	SELEX	N
GM.5.0.Mixed.0035	MYBL2	HT-SELEX	N
GM.5.0.Mixed.0035	MYBL1	HT-SELEX	N
GM.5.0.Mixed.0035	MYBL2	HT-SELEX	N
GM.5.0.Unknown.0079	EGR1	ChIP-seq	N
GM.5.0.Unknown.0079	Egr1	ChIP-seq	N
GM.5.0.Unknown.0079	EGR	TRANSFAC	N
GM.5.0.Unknown.0079	Egr1	JASPAR	N
GM.5.0.Unknown.0079	Egr2	ChIP-seq	N
GM.5.0.Unknown.0079	EGR1	JASPAR	N
GM.5.0.Unknown.0079	Egr4	JASPAR	N
GM.5.0.Unknown.0079	Egr2	JASPAR	N
GM.5.0.Unknown.0079	EGR1	ChIP-seq	N
GM.5.0.Unknown.0079	Egr4	ChIP-seq	N
GM.5.0.Unknown.0079	EGR2	ChIP-seq	N
GM.5.0.Homeodomain.0041	CCNT2	ChIP-seq	N
GM.5.0.Homeodomain.0041	GATA1	ChIP-seq	N
GM.5.0.Homeodomain.0041	GATA2	ChIP-seq	N
GM.5.0.Homeodomain.0041	GATA1	ChIP-seq	N
GM.5.0.Homeodomain.0041	Gata1	ChIP-seq	N
GM.5.0.Homeodomain.0041	GATA2	ChIP-seq	N
GM.5.0.Homeodomain.0041	Gata	JASPAR	N
GM.5.0.Homeodomain.0041	Gata2	ChIP-seq	N
GM.5.0.Homeodomain.0041	TAL1	ChIP-seq	N
GM.5.0.Homeodomain.0041	Tal1	ChIP-seq	N
GM.5.0.Homeodomain.0041	TAL1	ChIP-seq	N
GM.5.0.C2H2_ZF.0028	ZEB1	JASPAR	N
GM.5.0.C2H2_ZF.0028	Zeb1	JASPAR	N
GM.5.0.C2H2_ZF.0028	ZEB1	ChIP-seq	N
GM.5.0.C2H2_ZF.0028	Zeb1	ChIP-seq	N
GM.5.0.C2H2_ZF.0028	NHLH2	B1H	N
GM.5.0.C2H2_ZF.0028	Nhlh1	B1H	N
GM.5.0.C2H2_ZF.0028	SNAI1	ChIP-seq	N
GM.5.0.C2H2_ZF.0028	SNAI3	ChIP-seq	N
GM.5.0.C2H2_ZF.0028	Snai3	ChIP-seq	N
GM.5.0.C2H2_ZF.0028	SNAI2	ChIP-seq	N
GM.5.0.C2H2_ZF.0028	Snai2	ChIP-seq	N
GM.5.0.C2H2_ZF.0028	Snai1	ChIP-seq	N
GM.5.0.C2H2_ZF.0028	ZEB1	Unknown	N
GM.5.0.C2H2_ZF.0028	ZEB1	ChIP-seq	N
GM.5.0.Unknown.0145	CEBPB	ChIP-seq	N
GM.5.0.Unknown.0145	NFY	TRANSFAC	N
GM.5.0.Homeodomain.0055	Dlx3	PBM	N
GM.5.0.Homeodomain.0055	Dlx4	PBM	N
GM.5.0.Homeodomain.0055	DLX5	HT-SELEX	N
GM.5.0.Homeodomain.0055	ISX	HT-SELEX	N
GM.5.0.Homeodomain.0055	Cdx4	PBM	N
GM.5.0.Homeodomain.0055	OTP	JASPAR	N
GM.5.0.Homeodomain.0055	Prrxl1	JASPAR	N
GM.5.0.Homeodomain.0055	Vsx2	JASPAR	N
GM.5.0.Homeodomain.0055	OTP	B1H	N
GM.5.0.Homeodomain.0055	Prrxl1	B1H	N
GM.5.0.Homeodomain.0055	Vsx2	B1H	N
GM.5.0.Homeodomain.0055	DLX5	SELEX	N
GM.5.0.Homeodomain.0055	Dlx6	SELEX	N
GM.5.0.Homeodomain.0055	ISX	SELEX	N
GM.5.0.Homeodomain.0055	DLX2	ChIP-seq	N
GM.5.0.Homeodomain.0055	Dlx6	ChIP-seq	N
GM.5.0.Homeodomain.0055	PRRX2	ChIP-seq	N
GM.5.0.Homeodomain.0055	Prrxl1	ChIP-seq	N
GM.5.0.Homeodomain.0055	ISX	HT-SELEX	N
GM.5.0.Homeodomain.0055	MSX2	Unknown	N
GM.5.0.Homeodomain.0055	Msx2	PBM	N
GM.5.0.Homeodomain.0055	Prrx2	ChIP-seq	N
GM.5.0.Ets.0027	FEV	ChIP-seq	N
GM.5.0.Ets.0027	Fev	ChIP-seq	N
GM.5.0.Ets.0027	ETS2	ChIP-seq	N
GM.5.0.Ets.0027	ENSG00000235187	ChIP-seq	N
GM.5.0.Ets.0027	Etv2	ChIP-seq	N
GM.5.0.Ets.0027	Ets2	ChIP-seq	N
GM.5.0.Ets.0027	Erf	ChIP-seq	N
GM.5.0.Ets.0027	ENSMUSG00000044690	ChIP-seq	N
GM.5.0.Ets.0027	Fev	ChIP-seq	N
GM.5.0.Ets.0027	SPI1	Unknown	N
GM.5.0.Ets.0027	SPI1	JASPAR	N
GM.5.0.bZIP.0097	Fosb	PBM	N
GM.5.0.bZIP.0097	Fos	PBM	N
GM.5.0.bZIP.0097	Fosl1	PBM	N
GM.5.0.bZIP.0097	Jdp2	PBM	N
GM.5.0.bZIP.0097	Junb	PBM	N
GM.5.0.bZIP.0097	Jund	PBM	N
GM.5.0.bZIP.0097	JUND	ChIP-seq	N
GM.5.0.DP_E2F.0001	IRF2	ChIP-seq	N
GM.5.0.DP_E2F.0001	IRF1	JASPAR	N
GM.5.0.DP_E2F.0001	IRF3	ChIP-seq	N
GM.5.0.bHLH.0067	Tcfap4	PBM	N
GM.5.0.bHLH.0067	ATOH7	B1H	N
GM.5.0.bHLH.0067	Atoh7	B1H	N
GM.5.0.bHLH.0067	TCF3	TRANSFAC	N
GM.5.0.Homeodomain.0170	RARg	ChIP-seq	N
GM.5.0.Homeodomain.0170	Rara	ChIP-seq	N
GM.5.0.Homeodomain.0170	Rxra	ChIP-seq	N
GM.5.0.Homeodomain.0170	Rxrg	ChIP-seq	N
GM.5.0.bZIP.0072	BACH1	ChIP-seq	N
GM.5.0.bZIP.0072	Bach1	ChIP-seq	N
GM.5.0.bZIP.0072	Bach2	ChIP-seq	N
GM.5.0.bZIP.0072	MAFK	ChIP-seq	N
GM.5.0.bZIP.0072	MAFK	ChIP-seq	N
GM.5.0.bZIP.0072	NFE2	ChIP-seq	N
GM.5.0.bZIP.0072	Bach2	ChIP-seq	N
GM.5.0.Unknown.0079	SREBF1	TRANSFAC	N
GM.5.0.Unknown.0079	SREBF	TRANSFAC	N
GM.5.0.Unknown.0060	GTF3C2	ChIP-seq	N
GM.5.0.Unknown.0060	POLR3A	ChIP-seq	N
GM.5.0.Unknown.0060	POLR3G	ChIP-seq	N
GM.5.0.Unknown.0060	HSF1	ChIP-seq	N
GM.5.0.Unknown.0060	HSF1	ChIP-seq	N
GM.5.0.Unknown.0060	Hsf1	ChIP-seq	N
GM.5.0.Unknown.0060	Hsf4	ChIP-seq	N
GM.5.0.Unknown.0026	HOXB7	Unknown	N
GM.5.0.Unknown.0026	HOXB8	Unknown	N
GM.5.0.Unknown.0026	HOXB7	ChIP-seq	N
GM.5.0.Unknown.0026	Hoxb7	ChIP-seq	N
GM.5.0.Unknown.0026	HOXB8	ChIP-seq	N
GM.5.0.Unknown.0026	Hoxb8	ChIP-seq	N
GM.5.0.Unknown.0026	HOXA5	ChIP-seq	N
GM.5.0.Unknown.0026	HOXA6	ChIP-seq	N
GM.5.0.Unknown.0026	HOXD3	ChIP-seq	N
GM.5.0.Unknown.0026	AC012531.1	ChIP-seq	N
GM.5.0.Unknown.0026	HOXB4	ChIP-seq	N
GM.5.0.Unknown.0026	HOXC5	ChIP-seq	N
GM.5.0.Unknown.0026	Hoxd4	ChIP-seq	N
GM.5.0.Unknown.0026	Hoxb2	ChIP-seq	N
GM.5.0.Unknown.0026	HOXB6	ChIP-seq	N
GM.5.0.Unknown.0026	HOXB9	ChIP-seq	N
GM.5.0.Unknown.0026	HOXC9	ChIP-seq	N
GM.5.0.Unknown.0026	Hoxb9	ChIP-seq	N
GM.5.0.Unknown.0026	NP_032296.2	ChIP-seq	N
GM.5.0.C2H2_ZF.0149	ZBTB6	Transfac	N
GM.5.0.C2H2_ZF.0149	Zbtb6	Transfac	N
GM.5.0.C2H2_ZF.0149	ZBTB6	ChIP-seq	N
GM.5.0.C2H2_ZF.0149	Zbtb6	ChIP-seq	N
GM.5.0.C2H2_ZF.0149	ZBTB6	Unknown	N
GM.5.0.C2H2_ZF.0149	ZBTB6	TRANSFAC	N
GM.5.0.ARID_BRIGHT.0001	ARID3A	JASPAR	Y
GM.5.0.ARID_BRIGHT.0001	ARID3B	PBM	N
GM.5.0.ARID_BRIGHT.0001	ARID3C	PBM	N
GM.5.0.ARID_BRIGHT.0001	Arid3c	PBM	N
GM.5.0.ARID_BRIGHT.0001	Arid3a	PBM	Y
GM.5.0.ARID_BRIGHT.0001	ARID3B	JASPAR	N
GM.5.0.ARID_BRIGHT.0001	ARID3C	JASPAR	N
GM.5.0.ARID_BRIGHT.0001	Arid3a	JASPAR	Y
GM.5.0.ARID_BRIGHT.0001	Arid3c	JASPAR	N
GM.5.0.ARID_BRIGHT.0001	ARID3A	ChIP-seq	Y
GM.5.0.ARID_BRIGHT.0001	ARID3B	ChIP-seq	N
GM.5.0.ARID_BRIGHT.0001	ARID3C	ChIP-seq	N
GM.5.0.ARID_BRIGHT.0001	Arid3c	ChIP-seq	N
GM.5.0.ARID_BRIGHT.0001	Arid3a	SELEX	Y
GM.5.0.Homeodomain_POU.0001	POU3F2	Transfac	Y
GM.5.0.Homeodomain_POU.0001	POU3F2	TRANSFAC	Y
GM.5.0.Homeodomain_POU.0001	NANOG	ChIP-seq	N
GM.5.0.Homeodomain_POU.0001	POU5F1	ChIP-seq	N
GM.5.0.Unknown.0079	ZIC5	Transfac	N
GM.5.0.Unknown.0079	ZIC1	Transfac	N
GM.5.0.Unknown.0079	Zic4	Transfac	N
GM.5.0.Unknown.0079	ZIC5	ChIP-seq	N
GM.5.0.Unknown.0079	ZIC1	ChIP-seq	N
GM.5.0.Unknown.0079	Zic4	ChIP-seq	N
GM.5.0.Unknown.0079	ZIC1	TRANSFAC	N
GM.5.0.Unknown.0079	Zic1	ChIP-seq	N
GM.5.0.Unknown.0099	IRX4	JASPAR	N
GM.5.0.Unknown.0099	IRX6	JASPAR	N
GM.5.0.Unknown.0099	IRX1	JASPAR	N
GM.5.0.Unknown.0099	IRX3	JASPAR	N
GM.5.0.Unknown.0099	Irx1	JASPAR	N
GM.5.0.Unknown.0099	IRX4	B1H	N
GM.5.0.Unknown.0099	IRX6	B1H	N
GM.5.0.Unknown.0099	IRX1	B1H	N
GM.5.0.Unknown.0099	IRX3	B1H	N
GM.5.0.Unknown.0099	Irx1	B1H	N
GM.5.0.C2H2_ZF.0025	HNF4	TRANSFAC	N
GM.5.0.C2H2_ZF.0025	NR2C1	ChIP-seq	N
GM.5.0.C2H2_ZF.0025	Nr2c2	ChIP-seq	N
GM.5.0.C2H2_ZF.0025	NR2C1	Unknown	N
GM.5.0.C2H2_ZF.0025	Nr2c1	ChIP-seq	N
GM.5.0.Sox.0034	SOX9	JASPAR	N
GM.5.0.Sox.0034	Sox9	JASPAR	N
GM.5.0.Sox.0034	SRY	Transfac	N
GM.5.0.Sox.0034	SRY	ChIP-seq	N
GM.5.0.Sox.0034	SOX9	SELEX	N
GM.5.0.Sox.0034	SRY	TRANSFAC	N
GM.5.0.Sox.0034	Sry	ChIP-seq	N
GM.5.0.Homeodomain_POU.0001	DMRT1	TRANSFAC	N
GM.5.0.Homeodomain_POU.0001	DMRT1	ChIP-seq	N
GM.5.0.Homeodomain_POU.0001	DMRT6	ChIP-seq	N
GM.5.0.GCM.0002	USF1	JASPAR	N
GM.5.0.GCM.0002	SREBF1	Transfac	N
GM.5.0.GCM.0002	MITF	ChIP-seq	N
GM.5.0.GCM.0002	TFE3	ChIP-seq	N
GM.5.0.GCM.0002	USF2	ChIP-seq	N
GM.5.0.GCM.0002	USF1	ChIP-seq	N
GM.5.0.GCM.0002	EBOX	TRANSFAC	N
GM.5.0.GCM.0002	SREBF1	TRANSFAC	N
GM.5.0.GCM.0002	TFE	TRANSFAC	N
GM.5.0.C2H2_ZF.0149	ATF4	Unknown	N
GM.5.0.C2H2_ZF.0149	ATF4	HT-SELEX	N
GM.5.0.C2H2_ZF.0149	Atf4	HT-SELEX	N
GM.5.0.C2H2_ZF.0149	ATF4	ChIP-seq	N
GM.5.0.C2H2_ZF.0149	Atf4	ChIP-seq	N
GM.5.0.C2H2_ZF.0149	Chop	ChIP-seq	N
GM.5.0.C2H2_ZF.0149	CEBPG	ChIP-seq	N
GM.5.0.C2H2_ZF.0149	Cebpg	ChIP-seq	N
GM.5.0.C2H2_ZF.0149	ATF3	ChIP-seq	N
GM.5.0.C2H2_ZF.0149	Ddit3	ChIP-seq	N
GM.5.0.C2H2_ZF.0149	ATF4	SELEX	N
GM.5.0.C2H2_ZF.0149	Atf5	SELEX	N
GM.5.0.C2H2_ZF.0149	Atf4	SELEX	N
GM.5.0.C2H2_ZF.0149	ATF4	HT-SELEX	N
GM.5.0.C2H2_ZF.0149	MYC	ChIP-seq	N
GM.5.0.T-box.0013	Tbet	ChIP-seq	N
GM.5.0.T-box.0013	Eomes	PBM	N
GM.5.0.T-box.0013	EOMES	HT-SELEX	N
GM.5.0.T-box.0013	TBX10	PBM	N
GM.5.0.T-box.0013	Tbx1	PBM	N
GM.5.0.T-box.0013	Tbx10	PBM	N
GM.5.0.T-box.0013	EOMES	SELEX	N
GM.5.0.T-box.0013	Tbx21	SELEX	N
GM.5.0.T-box.0013	TBR1	SELEX	N
GM.5.0.T-box.0013	TBX20	SELEX	N
GM.5.0.T-box.0013	TBX21	SELEX	N
GM.5.0.T-box.0013	TBX20	HT-SELEX	N
GM.5.0.T-box.0013	TBX21	HT-SELEX	N
GM.5.0.T-box.0013	EOMES	HT-SELEX	N
GM.5.0.T-box.0013	TBR1	HT-SELEX	N
GM.5.0.T-box.0013	TBR1	HT-SELEX	N
GM.5.0.T-box.0013	TBX20	HT-SELEX	N
GM.5.0.T-box.0013	TBX21	HT-SELEX	N
GM.5.0.C2H2_ZF.0028	FIGLA	Unknown	N
GM.5.0.C2H2_ZF.0028	FIGLA	HT-SELEX	N
GM.5.0.C2H2_ZF.0028	ID4	HT-SELEX	N
GM.5.0.C2H2_ZF.0028	TCF3	Transfac	N
GM.5.0.C2H2_ZF.0028	FIGLA	SELEX	N
GM.5.0.C2H2_ZF.0028	ID2	SELEX	N
GM.5.0.C2H2_ZF.0028	ID3	SELEX	N
GM.5.0.C2H2_ZF.0028	ID1	SELEX	N
GM.5.0.C2H2_ZF.0028	ID4	SELEX	N
GM.5.0.C2H2_ZF.0028	Id3	SELEX	N
GM.5.0.C2H2_ZF.0028	Id4	SELEX	N
GM.5.0.C2H2_ZF.0028	Id1	SELEX	N
GM.5.0.C2H2_ZF.0028	MYF6	ChIP-seq	N
GM.5.0.C2H2_ZF.0028	Myf5	ChIP-seq	N
GM.5.0.C2H2_ZF.0028	FIGLA	HT-SELEX	N
GM.5.0.C2H2_ZF.0028	ID4	HT-SELEX	N
GM.5.0.C2H2_ZF.0028	Myf6	ChIP-seq	N
GM.5.0.C2H2_ZF.0028	TCF3	TRANSFAC	N
GM.5.0.C2H2_ZF.0028	Tcf3	PBM	N
GM.5.0.Mixed.0035	CRX	ChIP-seq	N
GM.5.0.Mixed.0035	Crx	ChIP-seq	N
GM.5.0.Mixed.0035	DMBX1	HT-SELEX	N
GM.5.0.Mixed.0035	DPRX	HT-SELEX	N
GM.5.0.Mixed.0035	GSC2	HT-SELEX	N
GM.5.0.Mixed.0035	GSC	HT-SELEX	N
GM.5.0.Mixed.0035	Otx1	PBM	N
GM.5.0.Mixed.0035	Prrxl1	PBM	N
GM.5.0.Mixed.0035	Gsc	PBM	N
GM.5.0.Mixed.0035	Gsc2	PBM	N
GM.5.0.Mixed.0035	Pitx1	PBM	N
GM.5.0.Mixed.0035	OTP	PBM	N
GM.5.0.Mixed.0035	Otx2	PBM	N
GM.5.0.Mixed.0035	Pitx3	PBM	N
GM.5.0.Mixed.0035	Pitx2	PBM	N
GM.5.0.Mixed.0035	Dmbx1	PBM	N
GM.5.0.Mixed.0035	Crx	PBM	N
GM.5.0.Mixed.0035	ENSMUSG00000040953	PBM	N
GM.5.0.Mixed.0035	Obox6	PBM	N
GM.5.0.Mixed.0035	Gm4830	PBM	N
GM.5.0.Mixed.0035	Obox1	PBM	N
GM.5.0.Mixed.0035	Gm5889	PBM	N
GM.5.0.Mixed.0035	NP_663755.2	PBM	N
GM.5.0.Mixed.0035	Q8VHG7_MOUSE	PBM	N
GM.5.0.Mixed.0035	Crx	JASPAR	N
GM.5.0.Mixed.0035	Prrxl1	JASPAR	N
GM.5.0.Mixed.0035	Gsc2	B1H	N
GM.5.0.Mixed.0035	DMBX1	SELEX	N
GM.5.0.Mixed.0035	Prrxl1	SELEX	N
GM.5.0.Mixed.0035	DPRX	SELEX	N
GM.5.0.Mixed.0035	GSC	SELEX	N
GM.5.0.Mixed.0035	Gsc2	SELEX	N
GM.5.0.Mixed.0035	GSC2	SELEX	N
GM.5.0.Mixed.0035	OTX1	SELEX	N
GM.5.0.Mixed.0035	OTX2	SELEX	N
GM.5.0.Mixed.0035	OTP	SELEX	N
GM.5.0.Mixed.0035	PITX1	SELEX	N
GM.5.0.Mixed.0035	PITX3	SELEX	N
GM.5.0.Mixed.0035	Otx1	SELEX	N
GM.5.0.Mixed.0035	OTX1	ChIP-seq	N
GM.5.0.Mixed.0035	Prrxl1	ChIP-seq	N
GM.5.0.Mixed.0035	GSC	HT-SELEX	N
GM.5.0.Mixed.0035	Pitx1	HT-SELEX	N
GM.5.0.Mixed.0035	OTX1	HT-SELEX	N
GM.5.0.Mixed.0035	OTX2	HT-SELEX	N
GM.5.0.Mixed.0035	PITX3	HT-SELEX	N
GM.5.0.Mixed.0035	GSC2	HT-SELEX	N
GM.5.0.Mixed.0035	Otx2	ChIP-seq	N
GM.5.0.Mixed.0035	OTX1	HT-SELEX	N
GM.5.0.Mixed.0035	Otx1	HT-SELEX	N
GM.5.0.Mixed.0035	OTX2	HT-SELEX	N
GM.5.0.Mixed.0035	OTX2	ChIP-seq	N
GM.5.0.Mixed.0035	PITX1	HT-SELEX	N
GM.5.0.Mixed.0035	PITX3	Unknown	N
GM.5.0.Mixed.0035	PITX3	HT-SELEX	N
GM.5.0.Mixed.0035	GSC	ChIP-seq	N
GM.5.0.Homeodomain.0041	GATA2	Transfac	N
GM.5.0.Homeodomain.0041	GATA3	Transfac	N
GM.5.0.Homeodomain.0041	Gata2	Transfac	N
GM.5.0.RFX.0006	RFX7	PBM	N
GM.5.0.RFX.0006	RFX6	PBM	N
GM.5.0.RFX.0006	RFX8	PBM	N
GM.5.0.RFX.0006	Rfx5	PBM	N
GM.5.0.RFX.0006	Rfx6	PBM	N
GM.5.0.RFX.0006	Rfx8	PBM	N
GM.5.0.RFX.0006	ARID2	PBM	N
GM.5.0.RFX.0006	Arid2	PBM	N
GM.5.0.RFX.0006	ARID2	JASPAR	N
GM.5.0.RFX.0006	Arid2	JASPAR	N
GM.5.0.RFX.0006	RFX7	JASPAR	N
GM.5.0.RFX.0006	RFX6	JASPAR	N
GM.5.0.RFX.0006	RFX8	JASPAR	N
GM.5.0.RFX.0006	Rfx5	JASPAR	N
GM.5.0.RFX.0006	Rfx6	JASPAR	N
GM.5.0.RFX.0006	Rfx8	JASPAR	N
GM.5.0.RFX.0006	ARID2	DeBoer11	N
GM.5.0.RFX.0006	Arid2	DeBoer11	N
GM.5.0.RFX.0006	RFX7	DeBoer11	N
GM.5.0.RFX.0006	RFX6	DeBoer11	N
GM.5.0.RFX.0006	RFX8	DeBoer11	N
GM.5.0.RFX.0006	Rfx5	DeBoer11	N
GM.5.0.RFX.0006	Rfx6	DeBoer11	N
GM.5.0.RFX.0006	Rfx8	DeBoer11	N
GM.5.0.RFX.0006	Rfx3	PBM	N
GM.5.0.RFX.0006	RFX5	ChIP-seq	N
GM.5.0.RFX.0006	Rfx4	PBM	N
GM.5.0.RFX.0006	Rfx7	PBM	N
GM.5.0.RFX.0006	Rfx5	ChIP-seq	N
GM.5.0.bHLH.0067	ATOH1	ChIP-seq	N
GM.5.0.bHLH.0067	Atoh1	ChIP-seq	N
GM.5.0.bHLH.0067	BHLHA15	ChIP-seq	N
GM.5.0.bHLH.0067	Bhlha15	ChIP-seq	N
GM.5.0.bHLH.0067	GATA1	ChIP-seq	N
GM.5.0.bHLH.0067	GATA2	ChIP-seq	N
GM.5.0.bHLH.0067	NeuroD1	ChIP-seq	N
GM.5.0.bHLH.0067	NEUROD1	ChIP-seq	N
GM.5.0.bHLH.0067	Tcf21	ChIP-seq	N
GM.5.0.bHLH.0067	Neurod1	ChIP-seq	N
GM.5.0.bHLH.0067	NEUROD2	ChIP-seq	N
GM.5.0.bHLH.0067	Neurod2	ChIP-seq	N
GM.5.0.bHLH.0067	Neurog2	ChIP-seq	N
GM.5.0.bHLH.0067	OLIG2	ChIP-seq	N
GM.5.0.bHLH.0067	Olig2	ChIP-seq	N
GM.5.0.bHLH.0067	PTF1A	ChIP-seq	N
GM.5.0.bHLH.0067	Ptf1a	ChIP-seq	N
GM.5.0.Unknown.0026	DMRT2	PBM	N
GM.5.0.Unknown.0026	Dmrta1	PBM	N
GM.5.0.Unknown.0026	Dmrt2	PBM	N
GM.5.0.Unknown.0026	Dmrt3	PBM	N
GM.5.0.bHLH.0067	Atoh1	HT-SELEX	N
GM.5.0.bHLH.0067	TCF21	PBM	N
GM.5.0.bHLH.0067	TCF15	PBM	N
GM.5.0.bHLH.0067	TCF23	PBM	N
GM.5.0.bHLH.0067	ENSG00000187728	PBM	N
GM.5.0.bHLH.0067	Tcf21	PBM	N
GM.5.0.bHLH.0067	Tcf15	PBM	N
GM.5.0.bHLH.0067	Bhlha15	PBM	N
GM.5.0.bHLH.0067	NEUROD4	PBM	N
GM.5.0.bHLH.0067	NEUROD6	PBM	N
GM.5.0.bHLH.0067	ATOH7	PBM	N
GM.5.0.bHLH.0067	Neurod1	PBM	N
GM.5.0.bHLH.0067	Atoh7	PBM	N
GM.5.0.bHLH.0067	Neurod6	PBM	N
GM.5.0.bHLH.0067	Neurod4	PBM	N
GM.5.0.bHLH.0067	Atoh1	PBM	N
GM.5.0.bHLH.0067	NEUROG3	SELEX	N
GM.5.0.bHLH.0067	NEUROD4	SELEX	N
GM.5.0.bHLH.0067	NEUROD6	SELEX	N
GM.5.0.bHLH.0067	NEUROG2	SELEX	N
GM.5.0.bHLH.0067	NEUROG1	SELEX	N
GM.5.0.bHLH.0067	Neurog2	SELEX	N
GM.5.0.bHLH.0067	Neurod1	SELEX	N
GM.5.0.bHLH.0067	Neurod6	SELEX	N
GM.5.0.bHLH.0067	Neurod2	SELEX	N
GM.5.0.bHLH.0067	Neurog3	SELEX	N
GM.5.0.bHLH.0067	Neurod4	SELEX	N
GM.5.0.bHLH.0067	ATOH7	SELEX	N
GM.5.0.bHLH.0067	Atoh7	SELEX	N
GM.5.0.bHLH.0067	Atoh1	SELEX	N
GM.5.0.bHLH.0067	TAL1	SELEX	N
GM.5.0.bHLH.0067	TCF3	SELEX	N
GM.5.0.bHLH.0067	Atoh1	HT-SELEX	N
GM.5.0.bHLH.0067	NEUROG2	HT-SELEX	N
GM.5.0.bHLH.0067	TAL1	JASPAR	N
GM.5.0.AP-2.0004	BCL3	ChIP-seq	N
GM.5.0.AP-2.0004	NFKB1	Transfac	N
