.	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	Chrom	Start	End	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	Shared
ENSMUSG00000000184	39256.45825	-0.661545433	0.187447369	7.18355E-05	0.000658731	Ccnd2	chr6	127131694	127132439	Intron (ENSMUST00000000188/ENSMUSG00000000184, intron 4 of 4)	6	127125779	127151048	25270	2	ENSMUST00000000188	18609	ENSMUSG00000000184	Shared
ENSMUSG00000000194	4403.066644	-0.648036451	0.092297208	4.65616E-13	3.00925E-11	Gpr107	chr2	31152136	31152626	Promoter (<=1kb)	2	31152316	31218775	66460	1	ENSMUST00000056433	0	ENSMUSG00000000194	Shared
ENSMUSG00000000197	2912.565959	0.094276694	0.15823599	0.510738933	0.675188726	Nalcn	chr14	123366279	123366695	Intron (ENSMUST00000000201/ENSMUSG00000000197, intron 17 of 43)	14	123276641	123627144	350504	2	ENSMUST00000000201	260449	ENSMUSG00000000197	Shared
ENSMUSG00000000202	315.2770553	0.148621077	0.198557557	0.348211957	0.530619939	Btbd17	chr11	114795020	114796253	Promoter (<=1kb)	11	114791217	114795873	4657	2	ENSMUST00000156053	0	ENSMUSG00000000202	Shared
ENSMUSG00000000204	11.61799642	-4.020197363	0.872996825	5.95845E-07	1.01716E-05	Slfn4	chr11	83180766	83181199	Intron (ENSMUST00000000208/ENSMUSG00000000204, intron 5 of 7)	11	83175194	83190049	14856	1	ENSMUST00000167596	5573	ENSMUSG00000000204	Shared
ENSMUSG00000000214	32.0858322	0.15098687	0.254032149	0.38388716	0.56475273	Th	chr7	142902881	142903362	Promoter (2-3kb)	7	142892752	142900014	7263	2	ENSMUST00000000219	-2868	ENSMUSG00000000214	Shared
ENSMUSG00000000215	246.1757653	0.068216126	0.260923376	0.675920952	0.804637494	Ins2	chr7	142674346	142674581	Distal Intergenic	7	142678713	142679533	821	2	ENSMUST00000162317	4952	ENSMUSG00000000215	Shared
ENSMUSG00000000244	9.189209939	0.116880734	0.330945731	0.323738717	0.50661462	Tspan32	chr7	143027119	143027966	Intron (ENSMUST00000133630/ENSMUSG00000059277, intron 4 of 4)	7	143017409	143018903	1495	1	ENSMUST00000154264	9711	ENSMUSG00000000244	Shared
ENSMUSG00000000247	6008.342447	-0.218904903	0.099855594	0.020667805	0.06943847	Lhx2	chr2	38348394	38348911	Promoter (1-2kb)	2	38350759	38369733	18975	1	ENSMUST00000000253	-1848	ENSMUSG00000000247	Shared
ENSMUSG00000000253	1290.068143	0.336134837	0.126118935	0.003821579	0.018293117	Gmpr	chr13	45538974	45539552	Promoter (<=1kb)	13	45538809	45542550	3742	1	ENSMUST00000129176	166	ENSMUSG00000000253	Shared
ENSMUSG00000000263	2.211074927	0.09790225	0.347026694	0.077233785	.	Glra1	chr11	55581848	55582736	Intron (ENSMUST00000108853/ENSMUSG00000000263, intron 1 of 7)	11	55514238	55607733	93496	2	ENSMUST00000108853	24997	ENSMUSG00000000263	Shared
ENSMUSG00000000275	769.4536205	-0.051190307	0.115685311	0.617213818	0.760761536	Trim25	chr11	88998003	88998270	Promoter (1-2kb)	11	88999376	89013702	14327	1	ENSMUST00000100627	-1106	ENSMUSG00000000275	Shared
ENSMUSG00000000282	2264.118533	0.396934317	0.138678583	0.001575256	0.008868868	Mnt	chr11	74829758	74830791	Promoter (<=1kb)	11	74830920	74845725	14806	1	ENSMUST00000000291	-129	ENSMUSG00000000282	Shared
ENSMUSG00000000296	540.4532135	-0.211540062	0.196050387	0.176812231	0.337459631	Tpd52l1	chr10	31426370	31427097	Intron (ENSMUST00000000305/ENSMUSG00000000296, intron 1 of 6)	10	31332380	31445921	113542	2	ENSMUST00000000305	18824	ENSMUSG00000000296	Shared
ENSMUSG00000000301	152.5968507	0.039930004	0.159200973	0.77535825	0.870791539	Pemt	chr11	60011628	60012047	Intron (ENSMUST00000102692/ENSMUSG00000000301, intron 2 of 6)	11	59976859	60021226	44368	2	ENSMUST00000143646	9179	ENSMUSG00000000301	Shared
ENSMUSG00000000305	2765.271404	-0.515077336	0.141539612	8.92157E-05	0.000788787	Cdh4	chr2	179470600	179470945	Intron (ENSMUST00000000314/ENSMUSG00000000305, intron 2 of 15)	2	179444233	179780319	336087	1	ENSMUST00000124708	26368	ENSMUSG00000000305	Shared
ENSMUSG00000000308	2269.529992	0.171221463	0.144947766	0.183496815	0.346620326	Ckmt1	chr2	121358362	121358872	Promoter (<=1kb)	2	121358610	121363737	5128	1	ENSMUST00000000317	0	ENSMUSG00000000308	Shared
ENSMUSG00000000320	51.39796423	-0.659847709	0.392334748	0.010735281	0.041794457	Alox12	chr11	70248931	70249380	Exon (ENSMUST00000108574/ENSMUSG00000000320, exon 1 of 8)	11	70248963	70255341	6379	2	ENSMUST00000108574	5961	ENSMUSG00000000320	Shared
ENSMUSG00000000325	5665.809036	-0.030956502	0.180840994	0.834710749	0.907964375	Arvcf	chr16	18381769	18382227	Promoter (<=1kb)	16	18380783	18406747	25965	1	ENSMUST00000115612	987	ENSMUSG00000000325	Shared
ENSMUSG00000000374	5052.351902	0.061874337	0.098044271	0.506402162	0.671386115	Trappc10	chr10	78219410	78219898	Intron (ENSMUST00000000384/ENSMUSG00000000374, intron 5 of 22)	10	78186725	78244642	57918	2	ENSMUST00000000384	24744	ENSMUSG00000000374	Shared
ENSMUSG00000000378	2765.155597	-0.205777979	0.123771005	0.072170333	0.17862886	Ccm2	chr11	6568527	6568948	Intron (ENSMUST00000000388/ENSMUSG00000000378, intron 1 of 9)	11	6561230	6596742	35513	1	ENSMUST00000109721	7298	ENSMUSG00000000378	Shared
ENSMUSG00000000385	22.12579646	-0.080626396	0.269711415	0.610515132	0.754819558	Tmprss2	chr16	97670205	97670982	Distal Intergenic	16	97564684	97611195	46512	2	ENSMUST00000000395	-59011	ENSMUSG00000000385	Shared
ENSMUSG00000000386	20.93935738	-0.712277909	0.900333099	0.016844124	0.058963739	Mx1	chr16	97421579	97422037	Exon (ENSMUST00000047275/ENSMUSG00000040605, exon 7 of 9)	16	97448131	97457492	9362	2	ENSMUST00000170016	35455	ENSMUSG00000000386	Shared
ENSMUSG00000000392	84.97465775	0.352581043	0.235517727	0.052867556	0.142022688	Fap	chr2	62587760	62588509	Distal Intergenic	2	62500943	62574075	73133	2	ENSMUST00000102732	-13686	ENSMUSG00000000392	Shared
ENSMUSG00000000399	4283.334147	0.016558743	0.078508256	0.835141279	0.908185837	Ndufa9	chr6	126802829	126803596	Distal Intergenic	6	126821863	126849144	27282	2	ENSMUST00000088194	45548	ENSMUSG00000000399	Shared
ENSMUSG00000000416	2311.847998	-0.422400022	0.178587448	0.005940722	0.026096607	Cttnbp2	chr6	18372886	18373307	Intron (ENSMUST00000152499/ENSMUSG00000000416, intron 18 of 18)	6	18367526	18382860	15335	2	ENSMUST00000149570	9553	ENSMUSG00000000416	Shared
ENSMUSG00000000420	3153.196132	0.153862029	0.086567679	0.064836406	0.165394156	Galnt1	chr18	24353728	24354754	Distal Intergenic	18	24280033	24283191	3159	1	ENSMUST00000170191	73696	ENSMUSG00000000420	Shared
ENSMUSG00000000440	50.06232818	-0.583231217	0.589972757	0.019525896	0.066359745	Pparg	chr6	115307026	115307525	Distal Intergenic	6	115361221	115490401	129181	1	ENSMUST00000171644	-53696	ENSMUSG00000000440	Shared
ENSMUSG00000000489	1441.314794	-0.679749379	0.171253578	1.10951E-05	0.000132415	Pdgfb	chr15	80010228	80010579	Intron (ENSMUST00000000500/ENSMUSG00000000489, intron 1 of 6)	15	79995900	80014808	18909	2	ENSMUST00000000500	4229	ENSMUSG00000000489	Shared
ENSMUSG00000000530	173.1977785	0.304567948	0.202454558	0.064244281	0.164360385	Acvrl1	chr15	101140553	101140817	Promoter (2-3kb)	15	101137600	101142624	5025	1	ENSMUST00000128525	2954	ENSMUSG00000000530	Shared
ENSMUSG00000000531	307.9031237	-0.539277807	0.268399486	0.008127809	0.033575136	Grasp	chr15	101240898	101241664	Distal Intergenic	15	101224207	101232755	8549	1	ENSMUST00000000543	16692	ENSMUSG00000000531	Shared
ENSMUSG00000000532	5462.015673	-0.102412549	0.118440671	0.352360761	0.534285723	Acvr1b	chr15	101160675	101161622	Distal Intergenic	15	101174104	101213678	39575	1	ENSMUST00000000544	-12482	ENSMUSG00000000532	Shared
ENSMUSG00000000538	9061.221798	-0.062589157	0.091265281	0.473960411	0.644597631	Tom1l2	chr11	60255913	60257043	Exon (ENSMUST00000142225/ENSMUSG00000000538, exon 2 of 9)	11	60229902	60245669	15768	2	ENSMUST00000143124	-10245	ENSMUSG00000000538	Shared
ENSMUSG00000000560	3555.654311	-1.569597858	0.203543809	6.50578E-16	7.03773E-14	Gabra2	chr5	70995563	70996270	Intron (ENSMUST00000000572/ENSMUSG00000000560, intron 8 of 9)	5	70961057	71095849	134793	2	ENSMUST00000000572	99579	ENSMUSG00000000560	Shared
ENSMUSG00000000594	5164.227351	-0.423697118	0.231650291	0.020239745	0.068306606	Gm2a	chr11	55097826	55098362	Promoter (<=1kb)	11	55098115	55113029	14915	1	ENSMUST00000000608	0	ENSMUSG00000000594	Shared
ENSMUSG00000000605	7623.015847	-0.906023694	0.107023986	3.14457E-18	5.12996E-16	Clcn4	chr7	7298153	7299819	Promoter (<=1kb)	7	7282316	7299511	17196	2	ENSMUST00000000619	0	ENSMUSG00000000605	Shared
ENSMUSG00000000627	3993.051029	-0.632526037	0.197906033	0.000262309	0.001959161	Sema4f	chr6	82853111	82853551	Distal Intergenic	6	82914084	82917586	3503	2	ENSMUST00000125579	64035	ENSMUSG00000000627	Shared
ENSMUSG00000000628	524.1898121	-0.075837799	0.118390317	0.49031553	0.658036917	Hk2	chr6	82738002	82738407	Exon (ENSMUST00000000642/ENSMUSG00000000628, exon 10 of 18)	6	82725062	82726309	1248	2	ENSMUST00000168725	-11694	ENSMUSG00000000628	Shared
ENSMUSG00000000631	7976.89526	-0.20221116	0.078107767	0.007153926	0.03026914	Myo18a	chr11	77763729	77764154	Promoter (<=1kb)	11	77763301	77780195	16895	1	ENSMUST00000100795	429	ENSMUSG00000000631	Shared
ENSMUSG00000000632	4680.17147	-1.885798805	0.153700863	6.13721E-36	6.20748E-33	Sez6	chr11	77950360	77951585	Promoter (<=1kb)	11	77951305	77954762	3458	1	ENSMUST00000138346	0	ENSMUSG00000000632	Shared
ENSMUSG00000000673	1.810816247	0.045221252	0.328048954	0.431999328	.	Haao	chr17	83834003	83834544	Intron (ENSMUST00000000687/ENSMUSG00000000673, intron 7 of 9)	17	83831356	83846790	15435	2	ENSMUST00000000687	12246	ENSMUSG00000000673	Shared
ENSMUSG00000000708	1148.369013	0.3186938	0.240509853	0.074962745	0.183455937	Kat2b	chr17	53568000	53568461	Promoter (1-2kb)	17	53566971	53672720	105750	1	ENSMUST00000000724	1030	ENSMUSG00000000708	Shared
ENSMUSG00000000711	6834.86114	-0.364489442	0.082076114	3.53461E-06	4.93796E-05	Rab5b	chr10	128695758	128696908	Promoter (<=1kb)	10	128677193	128696268	19076	2	ENSMUST00000000727	0	ENSMUSG00000000711	Shared
ENSMUSG00000000732	302.2837099	0.055693489	0.225708722	0.732607733	0.844079587	Icosl	chr10	78104545	78105389	Distal Intergenic	10	78069360	78079525	10166	1	ENSMUST00000105393	35186	ENSMUSG00000000732	Shared
ENSMUSG00000000739	10.21030826	-0.04994641	0.295878979	0.712036771	0.830381174	Sult5a1	chr8	123145918	123146812	Intron (ENSMUST00000127664/ENSMUSG00000092329, intron 1 of 15)	8	123148120	123158228	10109	2	ENSMUST00000146007	11416	ENSMUSG00000000739	Shared
ENSMUSG00000000751	4543.533203	-0.183349848	0.079790945	0.018262062	0.062880553	Rpa1	chr11	75268028	75268290	Distal Intergenic	11	75301305	75342188	40884	2	ENSMUST00000135770	73898	ENSMUSG00000000751	Shared
ENSMUSG00000000759	1717.222007	-0.077777517	0.076623253	0.313849833	0.496509601	Tubgcp3	chr8	12609724	12610281	Distal Intergenic	8	12615167	12637955	22789	2	ENSMUST00000164611	27674	ENSMUSG00000000759	Shared
ENSMUSG00000000766	5.170128289	-0.02892895	0.324068967	0.566576838	0.721062149	Oprm1	chr10	6433496	6433818	Distal Intergenic	10	6758506	6979704	221199	1	ENSMUST00000147171	-324688	ENSMUSG00000000766	Shared
ENSMUSG00000000782	945.6350888	-0.600031911	0.279672692	0.004854243	0.022106368	Tcf7	chr11	52286550	52287180	Distal Intergenic	11	52253236	52283014	29779	2	ENSMUST00000109071	-3537	ENSMUSG00000000782	Shared
ENSMUSG00000000791	10.63866819	-0.012234044	0.304074144	0.909336118	0.950166957	Il12rb1	chr8	70801188	70801548	Distal Intergenic	8	70808449	70821424	12976	1	ENSMUST00000000808	-6901	ENSMUSG00000000791	Shared
ENSMUSG00000000794	1293.945429	-0.408983749	0.147771702	0.002090575	0.011184936	Kcnn3	chr3	89539880	89540527	Intron (ENSMUST00000000811/ENSMUSG00000000794, intron 1 of 7)	3	89520164	89667761	147598	1	ENSMUST00000000811	19717	ENSMUSG00000000794	Shared
ENSMUSG00000000805	8.07368549	-0.014597	0.30995189	0.877317373	0.933083761	Car4	chr11	84939446	84940399	Distal Intergenic	11	84957786	84962555	4770	1	ENSMUST00000139416	-17387	ENSMUSG00000000805	Shared
ENSMUSG00000000811	447.7286049	-0.195679574	0.113851058	0.070575631	0.175734874	Txnrd3	chr6	89637132	89637461	Distal Intergenic	6	89643988	89675529	31542	1	ENSMUST00000000828	-6527	ENSMUSG00000000811	Shared
ENSMUSG00000000817	6.298998199	-0.153859161	0.340069742	0.254560753	0.432586481	Fasl	chr1	161785679	161786042	Promoter (2-3kb)	1	161780691	161788495	7805	2	ENSMUST00000000834	2453	ENSMUSG00000000817	Shared
ENSMUSG00000000826	13788.00077	-0.403091072	0.115813913	0.000202018	0.001583964	Dnajc5	chr2	181537784	181538209	Intron (ENSMUST00000072334/ENSMUSG00000000826, intron 1 of 4)	2	181549326	181550258	933	1	ENSMUST00000141523	-11117	ENSMUSG00000000826	Shared
ENSMUSG00000000861	3972.32574	-0.260058424	0.203158613	0.112009174	0.244716878	Bcl11a	chr11	24153158	24153387	Intron (ENSMUST00000000881/ENSMUSG00000000861, intron 2 of 4)	11	24142379	24163291	20913	1	ENSMUST00000127494	10780	ENSMUSG00000000861	Shared
ENSMUSG00000000889	5.918050062	-0.076043	0.332905476	0.17436884	0.334310232	Dbh	chr2	27164639	27165349	Promoter (<=1kb)	2	27165233	27183200	17968	1	ENSMUST00000000910	0	ENSMUSG00000000889	Shared
ENSMUSG00000000903	16.52146678	0.137132286	0.328338749	0.32059661	0.503462984	Vpreb3	chr10	75943939	75944776	Promoter (<=1kb)	10	75943057	75949637	6581	1	ENSMUST00000121151	883	ENSMUSG00000000903	Shared
ENSMUSG00000000915	2801.143603	-0.124414142	0.133124539	0.31110736	0.493444471	Hip1r	chr5	123974687	123975264	Promoter (1-2kb)	5	123973628	124003211	29584	1	ENSMUST00000000939	1060	ENSMUSG00000000915	Shared
ENSMUSG00000000934	808.336417	0.090071982	0.129329846	0.454187553	0.627750752	Top1mt	chr15	75671726	75672270	Intron (ENSMUST00000000958/ENSMUSG00000000934, intron 3 of 13)	15	75657035	75678800	21766	2	ENSMUST00000000958	6530	ENSMUSG00000000934	Shared
ENSMUSG00000000959	2340.288833	0.234724436	0.078590227	0.002088896	0.011178907	Oxa1l	chr14	54376100	54377162	Intron (ENSMUST00000000984/ENSMUSG00000000958, intron 4 of 9)	14	54360841	54369669	8829	1	ENSMUST00000000985	15260	ENSMUSG00000000959	Shared
ENSMUSG00000001018	2300.415781	-0.082898157	0.118463452	0.442058533	0.617654515	Snapin	chr3	90490707	90491355	Promoter (<=1kb)	3	90488034	90491033	3000	2	ENSMUST00000149884	0	ENSMUSG00000001018	Shared
ENSMUSG00000001029	3.886967011	-0.015774526	0.323883656	0.874037472	.	Icam2	chr11	106378200	106378646	Promoter (2-3kb)	11	106378560	106380801	2242	2	ENSMUST00000173795	2155	ENSMUSG00000001029	Shared
ENSMUSG00000001036	4050.281387	-0.125024787	0.125600979	0.280438906	0.460919615	Epn2	chr11	61564548	61565089	Intron (ENSMUST00000108711/ENSMUSG00000001036, intron 1 of 9)	11	61546506	61579658	33153	2	ENSMUST00000147501	14569	ENSMUSG00000001036	Shared
ENSMUSG00000001039	990.2600113	0.1945686	0.145474068	0.130603737	0.272847568	B9d1	chr11	61515527	61515911	Downstream (1-2kb)	11	61512315	61512931	617	1	ENSMUST00000146562	3213	ENSMUSG00000001039	Shared
ENSMUSG00000001052	3108.924731	-0.196686706	0.104191381	0.044969957	0.125819152	Sec24b	chr3	129989261	129989498	Promoter (<=1kb)	3	129988757	129990497	1741	2	ENSMUST00000172324	999	ENSMUSG00000001052	Shared
ENSMUSG00000001053	724.3174589	-0.022734079	0.110239496	0.826096897	0.90271792	N4bp3	chr11	51646158	51646563	Exon (ENSMUST00000001080/ENSMUSG00000001053, exon 4 of 5)	11	51645619	51650820	5202	2	ENSMUST00000142721	4257	ENSMUSG00000001053	Shared
ENSMUSG00000001054	2102.295329	-0.246120091	0.073828468	0.000603535	0.003985934	Rmnd5b	chr11	51630006	51630473	Intron (ENSMUST00000136020/ENSMUSG00000001054, intron 1 of 8)	11	51624039	51625834	1796	2	ENSMUST00000147009	-4173	ENSMUSG00000001054	Shared
ENSMUSG00000001089	2239.708501	0.168568558	0.115523496	0.117325588	0.252675325	Luzp1	chr4	136545125	136545603	Promoter (<=1kb)	4	136545265	136554780	9516	1	ENSMUST00000168936	0	ENSMUSG00000001089	Shared
ENSMUSG00000001103	36.55553152	-1.564122059	0.528474363	0.00012909	0.001082204	Sebox	chr11	78502948	78503349	Promoter (<=1kb)	11	78503449	78505081	1633	1	ENSMUST00000001130	-100	ENSMUSG00000001103	Shared
ENSMUSG00000001119	4783.879726	-0.038304162	0.138878472	0.758418073	0.860707266	Col6a1	chr10	76701397	76701891	Distal Intergenic	10	76715016	76719236	4221	2	ENSMUST00000137599	17345	ENSMUSG00000001119	Shared
ENSMUSG00000001120	3243.243221	0.125788901	0.133257556	0.289604079	0.470327626	Pcbp3	chr10	76762609	76763276	Exon (ENSMUST00000001148/ENSMUSG00000001120, exon 2 of 16)	10	76762370	76788422	26053	2	ENSMUST00000173854	25146	ENSMUSG00000001120	Shared
ENSMUSG00000001123	886.9747664	0.156529176	0.114937971	0.150875177	0.30122917	Lgals9	chr11	78973173	78973673	Promoter (2-3kb)	11	78966881	78970330	3450	2	ENSMUST00000140073	-2844	ENSMUSG00000001123	Shared
ENSMUSG00000001143	3078.27519	-0.516182071	0.144812022	0.000107964	0.000930946	Lman2l	chr1	36440948	36441641	Promoter (<=1kb)	1	36423186	36441872	18687	2	ENSMUST00000134594	231	ENSMUSG00000001143	Shared
ENSMUSG00000001156	573.1270058	0.040037053	0.114649572	0.709928462	0.828973843	Mxd1	chr6	86649083	86649627	Exon (ENSMUST00000001184/ENSMUSG00000001156, exon 1 of 6)	6	86647044	86669159	22116	2	ENSMUST00000001184	19532	ENSMUSG00000001156	Shared
ENSMUSG00000001157	1542.960376	-0.097159211	0.094057225	0.270959297	0.450278126	Gmcl1	chr6	86736344	86736918	Promoter (2-3kb)	6	86691768	86733378	41611	2	ENSMUST00000001185	-2967	ENSMUSG00000001157	Shared
ENSMUSG00000001175	61053.57153	-0.107864482	0.068481677	0.145005859	0.2929766	Calm1	chr12	100201663	100202324	Promoter (1-2kb)	12	100200144	100209806	9663	1	ENSMUST00000001204	1520	ENSMUSG00000001175	Shared
ENSMUSG00000001211	9452.965862	-0.352743661	0.092431439	6.57866E-05	0.000612424	Agpat3	chr10	78300166	78300400	Promoter (1-2kb)	10	78271563	78298198	26636	2	ENSMUST00000105389	-1969	ENSMUSG00000001211	Shared
ENSMUSG00000001227	4351.749462	-0.175761837	0.170018942	0.228253551	0.400797217	Sema6b	chr17	56142361	56142666	Promoter (2-3kb)	17	56123085	56140343	17259	2	ENSMUST00000001256	-2019	ENSMUSG00000001227	Shared
ENSMUSG00000001248	5328.255355	-0.329628442	0.104076513	0.000816642	0.005144771	Gramd1a	chr7	31149421	31150298	Promoter (<=1kb)	7	31130127	31151014	20888	2	ENSMUST00000085636	716	ENSMUSG00000001248	Shared
ENSMUSG00000001249	53.32058806	-0.049396896	0.251225034	0.760609307	0.862222789	Hpn	chr7	31095051	31095470	Distal Intergenic	7	31098733	31099285	553	2	ENSMUST00000171225	3815	ENSMUSG00000001249	Shared
ENSMUSG00000001260	371.9923226	-0.595798614	0.152954638	2.00992E-05	0.000223643	Gabrg1	chr5	70715667	70716253	Distal Intergenic	5	70751047	70842617	91571	2	ENSMUST00000031119	126364	ENSMUSG00000001260	Shared
ENSMUSG00000001270	60173.78622	0.03742876	0.170514314	0.799993237	0.887034817	Ckb	chr12	111646839	111647256	Intron (ENSMUST00000075281/ENSMUSG00000007411, intron 14 of 15)	12	111669355	111672338	2984	2	ENSMUST00000001304	25082	ENSMUSG00000001270	Shared
ENSMUSG00000001288	687.884805	0.211866534	0.122849375	0.062279756	0.16082299	Rarg	chr15	102246467	102247106	Promoter (<=1kb)	15	102234940	102246500	11561	2	ENSMUST00000063339	0	ENSMUSG00000001288	Shared
ENSMUSG00000001289	5093.663496	0.275922134	0.100521248	0.003837317	0.018338078	Pfdn5	chr15	102325984	102326298	Promoter (<=1kb)	15	102326116	102331873	5758	1	ENSMUST00000166658	0	ENSMUSG00000001289	Shared
ENSMUSG00000001300	3944.085397	-1.170017022	0.11983235	1.59729E-23	5.57098E-21	Efnb2	chr8	8163922	8164264	Distal Intergenic	8	8620597	8639363	18767	2	ENSMUST00000152698	475099	ENSMUSG00000001300	Shared
ENSMUSG00000001305	451.4794429	0.132982683	0.113640873	0.209641728	0.379188351	Rrp15	chr1	186772524	186773514	Distal Intergenic	1	186720978	186749358	28381	2	ENSMUST00000001339	-23167	ENSMUSG00000001305	Shared
ENSMUSG00000001313	3647.951274	0.938901743	0.161460506	5.43905E-10	1.92018E-08	Rnd2	chr11	101467834	101468088	Promoter (<=1kb)	11	101468175	101471853	3679	1	ENSMUST00000001347	-87	ENSMUSG00000001313	Shared
ENSMUSG00000001334	456.6735022	0.463406981	0.153614481	0.000822137	0.005171332	Fndc5	chr4	129144386	129145413	3' UTR	4	129136999	129144593	7595	1	ENSMUST00000102600	7388	ENSMUSG00000001334	Shared
ENSMUSG00000001366	2504.407093	-0.078039342	0.126102355	0.495485705	0.66233928	Fbxo9	chr9	78089195	78089423	Promoter (1-2kb)	9	78085698	78087636	1939	2	ENSMUST00000162451	-1560	ENSMUSG00000001366	Shared
ENSMUSG00000001376	2417.079422	-0.137947073	0.090521551	0.111834961	0.244497311	Vps50	chr6	3531427	3531853	Intron (ENSMUST00000001412/ENSMUSG00000001376, intron 9 of 27)	6	3517812	3533017	15206	1	ENSMUST00000163988	13616	ENSMUSG00000001376	Shared
ENSMUSG00000001419	4004.784232	0.155655993	0.151137215	0.241954269	0.417399228	Mef2d	chr3	88138311	88139657	Promoter (2-3kb)	3	88142372	88172086	29715	1	ENSMUST00000001455	-2715	ENSMUSG00000001419	Shared
ENSMUSG00000001424	5523.993074	-0.085278128	0.08726305	0.288686682	0.469403013	Snd1	chr6	28486553	28486878	Intron (ENSMUST00000168362/ENSMUSG00000001424, intron 1 of 3)	6	28480359	28935162	454804	1	ENSMUST00000167201	6195	ENSMUSG00000001424	Shared
ENSMUSG00000001435	19534.58091	0.152820728	0.158782649	0.26780103	0.447012709	Col18a1	chr10	77082758	77083371	Intron (ENSMUST00000081654/ENSMUSG00000001435, intron 6 of 41)	10	77080725	77089428	8704	2	ENSMUST00000156009	6057	ENSMUSG00000001435	Shared
ENSMUSG00000001436	844.1784367	0.080518311	0.123736394	0.481782889	0.651164966	Slc19a1	chr10	77033254	77034061	Promoter (<=1kb)	10	77033268	77046268	13001	1	ENSMUST00000136925	0	ENSMUSG00000001436	Shared
