.	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	Chrom	Start	End	NeuroD1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	NEUROD1_unique
ENSMUSG00000021263	3.551722699	0.358902994	0.643208114	0.016174564	.	Degs2	chr12	108695947	108696184	NeuroD1	Intron (ENSMUST00000167978/ENSMUSG00000021263, intron 1 of 2)	12	108686792	108702306	15515	2	ENSMUST00000167978	6122	ENSMUSG00000021263	NEUROD1_unique
ENSMUSG00000021264	2856.948674	-0.035698876	0.082214566	0.653117268	0.787736062	Yy1	chr12	108775197	108775521	NeuroD1	Distal Intergenic	12	108792973	108816632	23660	1	ENSMUST00000021692	-17452	ENSMUSG00000021264	NEUROD1_unique
ENSMUSG00000021268	64904.705	-0.509946993	0.126279182	1.5105E-05	0.000173121	Meg3	chr12	109509696	109510593	NeuroD1	Distal Intergenic	12	109541001	109545319	4319	1	ENSMUST00000129245	-30408	ENSMUSG00000021268	NEUROD1_unique
ENSMUSG00000021271	418.0790253	0.312731045	0.125821811	0.007090471	0.030070549	Zfp839	chr12	110846319	110846852	NeuroD1	Distal Intergenic	12	110850279	110869998	19720	1	ENSMUST00000170060	-3427	ENSMUSG00000021271	NEUROD1_unique
ENSMUSG00000021273	9248.366117	-0.182990089	0.095254951	0.043418618	0.122772605	Fdft1	chr14	63158890	63159129	NeuroD1	Exon (ENSMUST00000054963/ENSMUSG00000021273, exon 5 of 8)	14	63145153	63177793	32641	2	ENSMUST00000054963	18664	ENSMUSG00000021273	NEUROD1_unique
ENSMUSG00000021276	1855.674017	0.277446461	0.115023987	0.009856723	0.039058109	Cinp	chr12	110875458	110875699	NeuroD1	Intron (ENSMUST00000043716/ENSMUSG00000021276, intron 4 of 4)	12	110872610	110889145	16536	2	ENSMUST00000043716	13446	ENSMUSG00000021276	NEUROD1_unique
ENSMUSG00000021277	7713.405702	-0.133211681	0.107039813	0.186115223	0.349965128	Traf3	chr12	111119674	111120088	NeuroD1	Distal Intergenic	12	111166370	111267153	100784	1	ENSMUST00000117269	-46282	ENSMUSG00000021277	NEUROD1_unique
ENSMUSG00000021278	60.11309279	0.000581533	0.271858588	0.998340103	0.999130359	Amn	chr12	111304000	111304227	NeuroD1	Intron (ENSMUST00000041965/ENSMUSG00000021279, intron 26 of 36)	12	111271111	111276426	5316	1	ENSMUST00000021707	32890	ENSMUSG00000021278	NEUROD1_unique
ENSMUSG00000021279	7613.797602	-0.031506429	0.108939133	0.758107078	0.86064022	Cdc42bpb	chr12	111350586	111350768	NeuroD1	Intron (ENSMUST00000041965/ENSMUSG00000021279, intron 1 of 36)	12	111292972	111377718	84747	2	ENSMUST00000041965	26950	ENSMUSG00000021279	NEUROD1_unique
ENSMUSG00000021281	712.136234	-0.663333225	0.386019337	0.006698708	0.028745897	Tnfaip2	chr12	111452278	111453031	NeuroD1	Promoter (1-2kb)	12	111450519	111453626	3108	1	ENSMUST00000127028	1760	ENSMUSG00000021281	NEUROD1_unique
ENSMUSG00000021282	9222.621593	0.094524663	0.109651894	0.356332471	0.538411231	Eif5	chr12	111527657	111527897	NeuroD1	Distal Intergenic	12	111538101	111546753	8653	1	ENSMUST00000166123	-10204	ENSMUSG00000021282	NEUROD1_unique
ENSMUSG00000021285	3560.396993	0.148848394	0.118426537	0.176460269	0.337074106	Ppp1r13b	chr12	111896768	111897021	NeuroD1	Intron (ENSMUST00000054815/ENSMUSG00000021285, intron 1 of 16)	12	111866013	111908040	42028	2	ENSMUST00000163747	11019	ENSMUSG00000021285	NEUROD1_unique
ENSMUSG00000021287	176.4927009	-0.232676626	0.237065237	0.185632109	0.349316458	Xrcc3	chr12	111809729	111810063	NeuroD1	Promoter (<=1kb)	12	111804979	111809982	5004	2	ENSMUST00000146491	0	ENSMUSG00000021287	NEUROD1_unique
ENSMUSG00000021288	25302.50871	-0.093467844	0.121883389	0.40702918	0.586878159	Klc1	chr12	111757679	111757967	NeuroD1	Promoter (<=1kb)	12	111758849	111806775	47927	1	ENSMUST00000084941	-882	ENSMUSG00000021288	NEUROD1_unique
ENSMUSG00000021290	4705.615471	0.076286235	0.118862215	0.488097946	0.656446601	RP23-123N23.5	chr12	111958678	111958865	NeuroD1	Downstream (2-3kb)	12	111961376	111966977	5602	2	ENSMUST00000021719	8112	ENSMUSG00000021290	NEUROD1_unique
ENSMUSG00000021294	671.6383273	0.066220878	0.242171511	0.672896198	0.802713055	Kif26a	chr12	112206692	112206910	NeuroD1	Distal Intergenic	12	112146235	112181746	35512	1	ENSMUST00000128402	60458	ENSMUSG00000021294	NEUROD1_unique
ENSMUSG00000021301	2910.432679	-0.540132106	0.24888276	0.005705652	0.025228334	Hecw1	chr13	14365503	14366025	NeuroD1	Intron (ENSMUST00000110516/ENSMUSG00000021301, intron 4 of 28)	13	14226438	14523226	296789	2	ENSMUST00000110516	157201	ENSMUSG00000021301	NEUROD1_unique
ENSMUSG00000021313	2127.916833	-0.416148784	0.270361813	0.034896085	0.103761726	Ryr2	chr13	11801901	11802259	NeuroD1	Exon (ENSMUST00000021750/ENSMUSG00000021313, exon 88 of 105)	13	11553103	12106945	553843	2	ENSMUST00000021750	304686	ENSMUSG00000021313	NEUROD1_unique
ENSMUSG00000021314	11107.20934	-0.03898307	0.189867722	0.796523228	0.885244597	Amph	chr13	19025375	19025693	NeuroD1	Intron (ENSMUST00000003345/ENSMUSG00000021314, intron 1 of 20)	13	18948371	19150913	202543	1	ENSMUST00000003345	77005	ENSMUSG00000021314	NEUROD1_unique
ENSMUSG00000021318	763.5368352	0.114112344	0.108345988	0.263621765	0.442446253	Gli3	chr13	15411654	15412051	NeuroD1	Distal Intergenic	13	15463235	15715091	251857	1	ENSMUST00000130065	-51184	ENSMUSG00000021318	NEUROD1_unique
ENSMUSG00000021322	6.275150909	0.046690014	0.317808867	0.597155479	0.744382214	Aoah	chr13	20466426	20467089	NeuroD1	Intron (ENSMUST00000072519/ENSMUSG00000041112, intron 16 of 21)	13	20794119	21024252	230134	1	ENSMUST00000021757	-327030	ENSMUSG00000021322	NEUROD1_unique
ENSMUSG00000021326	1961.593492	0.311327418	0.092542138	0.000416397	0.002914637	Trim27	chr13	21180512	21180956	NeuroD1	Promoter (<=1kb)	13	21180213	21194724	14512	1	ENSMUST00000021761	300	ENSMUSG00000021326	NEUROD1_unique
ENSMUSG00000021337	32.59682984	0.191267292	0.292327181	0.276557662	0.456804518	Scgn	chr13	23969342	23969567	NeuroD1	Promoter (2-3kb)	13	23962124	23967176	5053	2	ENSMUST00000142826	-2167	ENSMUSG00000021337	NEUROD1_unique
ENSMUSG00000021338	1245.94284	0.402498347	0.148922571	0.002527001	0.013020558	Lrrc16a	chr13	24078570	24078778	NeuroD1	Intron (ENSMUST00000125901/ENSMUSG00000021338, intron 10 of 25)	13	24036417	24059319	22903	2	ENSMUST00000147261	-19252	ENSMUSG00000021338	NEUROD1_unique
ENSMUSG00000021339	2136.771509	0.051993628	0.092477448	0.558549625	0.71480359	Mrs2	chr13	25019487	25019905	NeuroD1	Promoter (<=1kb)	13	24992483	25020379	27897	2	ENSMUST00000021772	474	ENSMUSG00000021339	NEUROD1_unique
ENSMUSG00000021357	3979.793432	0.046955767	0.137683148	0.734651174	0.845013851	Exoc2	chr13	30966607	30966863	NeuroD1	Intron (ENSMUST00000021785/ENSMUSG00000021357, intron 1 of 27)	13	30813919	30974047	160129	2	ENSMUST00000021785	7184	ENSMUSG00000021357	NEUROD1_unique
ENSMUSG00000021360	965.8403846	-0.377426039	0.193391465	0.019471943	0.066223594	Gcnt2	chr13	40938963	40939221	NeuroD1	Intron (ENSMUST00000110191/ENSMUSG00000021360, intron 1 of 2)	13	40917634	40960891	43258	1	ENSMUST00000067778	21330	ENSMUSG00000021360	NEUROD1_unique
ENSMUSG00000021364	881.7135067	-1.011427112	0.163866909	6.36732E-11	2.73533E-09	Elovl2	chr13	41196648	41196853	NeuroD1	Intron (ENSMUST00000021793/ENSMUSG00000021364, intron 2 of 7)	13	41182499	41220162	37664	2	ENSMUST00000117096	23309	ENSMUSG00000021364	NEUROD1_unique
ENSMUSG00000021365	2778.37179	-0.389133765	0.135557101	0.001698458	0.009439039	Nedd9	chr13	41410690	41410870	NeuroD1	Intron (ENSMUST00000021794/ENSMUSG00000021365, intron 2 of 7)	13	41309916	41359001	49086	2	ENSMUST00000163623	-51690	ENSMUSG00000021365	NEUROD1_unique
ENSMUSG00000021366	2606.971755	0.62064038	0.200575447	0.000320009	0.002321066	Hivep1	chr13	42043557	42043783	NeuroD1	Distal Intergenic	13	42052021	42185026	133006	1	ENSMUST00000060148	-8238	ENSMUSG00000021366	NEUROD1_unique
ENSMUSG00000021367	138.1271736	-0.20520345	0.310931903	0.234390773	0.408432332	Edn1	chr13	42193494	42193679	NeuroD1	Distal Intergenic	13	42301270	42307989	6720	1	ENSMUST00000021796	-107591	ENSMUSG00000021367	NEUROD1_unique
ENSMUSG00000021368	999.7609577	-0.014421714	0.099263607	0.876653008	0.932882942	Tbc1d7	chr13	43167828	43168066	NeuroD1	Intron (ENSMUST00000021797/ENSMUSG00000021368, intron 3 of 7)	13	43151744	43171501	19758	2	ENSMUST00000021797	3435	ENSMUSG00000021368	NEUROD1_unique
ENSMUSG00000021371	1312.788547	-0.290423198	0.118575403	0.007800275	0.032454087	Mcur1	chr13	43575509	43575705	NeuroD1	Distal Intergenic	13	43538412	43560191	21780	2	ENSMUST00000021800	-15319	ENSMUSG00000021371	NEUROD1_unique
ENSMUSG00000021373	2091.570436	0.061038959	0.140514293	0.61812696	0.761284035	Cap2	chr13	46465569	46465864	NeuroD1	Distal Intergenic	13	46501848	46649642	147795	1	ENSMUST00000021802	-35984	ENSMUSG00000021373	NEUROD1_unique
ENSMUSG00000021374	2976.550643	-0.350602091	0.101786854	0.000282309	0.002080448	Nup153	chr13	46730050	46730295	NeuroD1	Promoter (2-3kb)	13	46679902	46727849	47948	2	ENSMUST00000021803	-2202	ENSMUSG00000021374	NEUROD1_unique
ENSMUSG00000021375	1952.224177	0.072231009	0.142099566	0.571532977	0.724462986	Kif13a	chr13	46947330	46947719	NeuroD1	Distal Intergenic	13	46749087	46929718	180632	2	ENSMUST00000056978	-17613	ENSMUSG00000021375	NEUROD1_unique
ENSMUSG00000021376	428.8964834	-0.523340431	0.164418588	0.000361485	0.002586659	Tpmt	chr13	47044491	47044799	NeuroD1	Promoter (<=1kb)	13	47025368	47044664	19297	2	ENSMUST00000151509	0	ENSMUSG00000021376	NEUROD1_unique
ENSMUSG00000021379	2932.057167	1.031310621	0.300687009	5.11931E-05	0.000493455	Id4	chr13	48277218	48277400	NeuroD1	Distal Intergenic	13	48261427	48264036	2610	1	ENSMUST00000021810	15792	ENSMUSG00000021379	NEUROD1_unique
ENSMUSG00000021381	9.926777685	0.334957552	0.482759584	0.066024612	0.167600939	Barx1	chr13	48691960	48692350	NeuroD1	Distal Intergenic	13	48662998	48666507	3510	1	ENSMUST00000021813	28963	ENSMUSG00000021381	NEUROD1_unique
ENSMUSG00000021384	4.190698436	0.121647522	0.354629043	0.129401089	.	Susd3	chr13	49236017	49236253	NeuroD1	Intron (ENSMUST00000058196/ENSMUSG00000021384, intron 4 of 4)	13	49237685	49240618	2934	2	ENSMUST00000141408	4365	ENSMUSG00000021384	NEUROD1_unique
ENSMUSG00000021388	23.39354852	1.599236651	0.505267299	7.52079E-05	0.000685174	Aspn	chr13	49545764	49545963	NeuroD1	Promoter (1-2kb)	13	49544443	49567557	23115	1	ENSMUST00000177948	1322	ENSMUSG00000021388	NEUROD1_unique
ENSMUSG00000021390	5406.728606	0.477386064	0.59690827	0.025619771	0.082166284	Ogn	chr13	49607815	49608060	NeuroD1	Promoter (<=1kb)	13	49608071	49624500	16430	1	ENSMUST00000021822	-11	ENSMUSG00000021390	NEUROD1_unique
ENSMUSG00000021396	21.26085003	0.145911023	0.306799397	0.360410326	0.542102795	Nxnl2	chr13	51179401	51179635	NeuroD1	Distal Intergenic	13	51171025	51175187	4163	1	ENSMUST00000021828	8377	ENSMUSG00000021396	NEUROD1_unique
ENSMUSG00000021403	110.8343562	-0.477918945	1.161610143	0.00277	0.014054261	Serpinb9b	chr13	33044613	33045028	NeuroD1	Distal Intergenic	13	33027416	33041884	14469	1	ENSMUST00000006392	17198	ENSMUSG00000021403	NEUROD1_unique
ENSMUSG00000021411	2702.110985	-0.288276727	0.223896196	0.096875597	0.221134783	Pxdc1	chr13	34497757	34497985	NeuroD1	Distal Intergenic	13	34628868	34648568	19701	2	ENSMUST00000152392	150583	ENSMUSG00000021411	NEUROD1_unique
ENSMUSG00000021417	2225.7779	0.065824557	0.119416288	0.555432935	0.712302069	Eci2	chr13	35131267	35131638	NeuroD1	Distal Intergenic	13	34986106	35027094	40989	2	ENSMUST00000163280	-104174	ENSMUSG00000021417	NEUROD1_unique
ENSMUSG00000021418	208.0237095	0.327394314	0.170039217	0.026379229	0.083858311	Rpp40	chr13	35823479	35823689	NeuroD1	Intron (ENSMUST00000075220/ENSMUSG00000059288, intron 5 of 9)	13	35896704	35898868	2165	2	ENSMUST00000174231	75179	ENSMUSG00000021418	NEUROD1_unique
ENSMUSG00000021420	779.4389321	0.170285555	0.137788008	0.174797281	0.334906088	Fars2	chr13	36129754	36130026	NeuroD1	Intron (ENSMUST00000021857/ENSMUSG00000021420, intron 1 of 6)	13	36117411	36537592	420182	1	ENSMUST00000099582	12344	ENSMUSG00000021420	NEUROD1_unique
ENSMUSG00000021423	21.41121288	-0.108912002	0.311924842	0.421994855	0.600868158	Ly86	chr13	37246679	37246893	NeuroD1	Distal Intergenic	13	37345345	37419036	73692	1	ENSMUST00000021860	-98452	ENSMUSG00000021423	NEUROD1_unique
ENSMUSG00000021427	7382.159884	0.141088909	0.071809032	0.042543056	0.120752558	Ssr1	chr13	38008782	38009107	NeuroD1	Intron (ENSMUST00000110233/ENSMUSG00000044566, intron 11 of 12)	13	37971401	37994190	22790	2	ENSMUST00000021864	-14593	ENSMUSG00000021427	NEUROD1_unique
ENSMUSG00000021431	1164.423934	-0.269799115	0.147875078	0.043107598	0.122080863	Snrnp48	chr13	38206094	38206350	NeuroD1	Promoter (1-2kb)	13	38204951	38226922	21972	1	ENSMUST00000178564	1144	ENSMUSG00000021431	NEUROD1_unique
ENSMUSG00000021432	605.6091795	-0.426176175	0.135470688	0.000599017	0.003963856	Slc35b3	chr13	39145703	39145883	NeuroD1	Distal Intergenic	13	38932140	38960875	28736	2	ENSMUST00000021870	-184829	ENSMUSG00000021432	NEUROD1_unique
ENSMUSG00000021448	2125.795529	-0.31700572	0.20525236	0.05368333	0.143854827	Shc3	chr13	51528757	51528938	NeuroD1	Intron (ENSMUST00000021898/ENSMUSG00000021448, intron 1 of 11)	13	51431041	51567084	136044	2	ENSMUST00000021898	38146	ENSMUSG00000021448	NEUROD1_unique
ENSMUSG00000021451	2737.42347	-0.766608203	0.11785714	1.17368E-11	5.73487E-10	Sema4d	chr13	51775874	51776057	NeuroD1	Promoter (1-2kb)	13	51725390	51777111	51722	2	ENSMUST00000139858	1054	ENSMUSG00000021451	NEUROD1_unique
ENSMUSG00000021453	1674.96937	-0.098638842	0.125002873	0.390356966	0.571136342	Gadd45g	chr13	51830947	51831232	NeuroD1	Distal Intergenic	13	51846678	51848468	1791	1	ENSMUST00000021903	-15446	ENSMUSG00000021453	NEUROD1_unique
ENSMUSG00000021457	93.84364243	-1.360000252	0.352528384	5.62759E-06	7.30603E-05	Syk	chr13	52569454	52569926	NeuroD1	Distal Intergenic	13	52583173	52648792	65620	1	ENSMUST00000120135	-13247	ENSMUSG00000021457	NEUROD1_unique
ENSMUSG00000021458	837.6569044	-0.024868655	0.106978773	0.803963706	0.889438437	AC130827.2	chr13	62979380	62979560	NeuroD1	Distal Intergenic	13	63014934	63299656	284723	1	ENSMUST00000091560	-35374	ENSMUSG00000021458	NEUROD1_unique
ENSMUSG00000021460	2266.137772	-0.021126012	0.092792728	0.810699442	0.893818374	Auh	chr13	52849562	52849832	NeuroD1	Intron (ENSMUST00000137064/ENSMUSG00000021460, intron 5 of 9)	13	52835119	52919232	84114	2	ENSMUST00000137064	69400	ENSMUSG00000021460	NEUROD1_unique
ENSMUSG00000021461	557.9326361	0.153728819	0.134719818	0.210693397	0.380342382	Fancc	chr13	63394907	63395197	NeuroD1	Promoter (2-3kb)	13	63340390	63398167	57778	2	ENSMUST00000160735	2970	ENSMUSG00000021461	NEUROD1_unique
ENSMUSG00000021464	261.8522368	0.291875728	0.169049711	0.045802007	0.127360191	Ror2	chr13	53145536	53145919	NeuroD1	Intron (ENSMUST00000130235/ENSMUSG00000021464, intron 2 of 8)	13	53131960	53275658	143699	2	ENSMUST00000149299	129739	ENSMUSG00000021464	NEUROD1_unique
ENSMUSG00000021466	1786.476495	-0.257378197	0.210670183	0.123227701	0.26184592	Ptch1	chr13	63641888	63642083	NeuroD1	Distal Intergenic	13	63511533	63565520	53988	2	ENSMUST00000021921	-76369	ENSMUSG00000021466	NEUROD1_unique
ENSMUSG00000021468	1618.693211	-0.263489351	0.088118077	0.001932396	0.010476638	Sptlc1	chr13	53385395	53385643	NeuroD1	Distal Intergenic	13	53332716	53377365	44650	2	ENSMUST00000021920	-8031	ENSMUSG00000021468	NEUROD1_unique
ENSMUSG00000021470	867.7654644	-0.307866052	0.134231091	0.013043567	0.048628513	Ercc6l2	chr13	63833901	63834101	NeuroD1	Intron (ENSMUST00000021926/ENSMUSG00000021470, intron 2 of 9)	13	63819954	63841995	22042	1	ENSMUST00000142827	13948	ENSMUSG00000021470	NEUROD1_unique
ENSMUSG00000021474	4557.879275	0.185854103	0.125067858	0.102196398	0.229423032	Sfxn1	chr13	54068942	54069138	NeuroD1	Promoter (2-3kb)	13	54071845	54108346	36502	1	ENSMUST00000021930	-2707	ENSMUSG00000021474	NEUROD1_unique
ENSMUSG00000021476	3956.971197	0.667706252	0.163902883	7.35795E-06	9.23923E-05	Habp4	chr13	64204328	64204525	NeuroD1	Intron (ENSMUST00000109769/ENSMUSG00000033102, intron 13 of 13)	13	64161866	64186536	24671	1	ENSMUST00000021929	42463	ENSMUSG00000021476	NEUROD1_unique
ENSMUSG00000021478	121.5473633	-0.1539128	0.279593867	0.349172601	0.531390572	Drd	chr13	53846281	53846499	NeuroD1	Distal Intergenic	13	54051186	54055658	4473	2	ENSMUST00000021932	209159	ENSMUSG00000021478	NEUROD1_unique
ENSMUSG00000021482	428.0056303	-0.06715137	0.17091443	0.654301478	0.788506171	Aaed1	chr13	64339279	64339480	NeuroD1	Distal Intergenic	13	64291836	64312710	20875	2	ENSMUST00000021938	-26570	ENSMUSG00000021482	NEUROD1_unique
ENSMUSG00000021483	650.7327297	0.079745226	0.142277588	0.544021607	0.703146495	Cdk20	chr13	64417313	64417535	NeuroD1	Distal Intergenic	13	64432553	64439720	7168	1	ENSMUST00000021939	-15018	ENSMUSG00000021483	NEUROD1_unique
ENSMUSG00000021495	2921.26888	-0.081484376	0.068654378	0.218440529	0.389874137	Fam193b	chr13	55574385	55574565	NeuroD1	Distal Intergenic	13	55539319	55571120	31802	2	ENSMUST00000021957	-3266	ENSMUSG00000021495	NEUROD1_unique
ENSMUSG00000021497	3050.579513	0.021101491	0.11804233	0.885101512	0.936831231	Txndc15	chr13	55709857	55710040	NeuroD1	Distal Intergenic	13	55714650	55726221	11572	1	ENSMUST00000021959	-4610	ENSMUSG00000021497	NEUROD1_unique
ENSMUSG00000021506	1.685775615	-0.022236494	0.323185569	0.730406787	.	Pitx1	chr13	55818417	55818725	NeuroD1	Distal Intergenic	13	55825054	55831425	6372	2	ENSMUST00000021968	12700	ENSMUSG00000021506	NEUROD1_unique
ENSMUSG00000021534	227.0792303	-0.79390177	0.189375157	3.63037E-06	5.05081E-05	RP24-85H21.6	chr13	68723966	68724218	NeuroD1	Intron (ENSMUST00000022013/ENSMUSG00000021536, intron 11 of 24)	13	68597439	68614231	16793	1	ENSMUST00000022007	126528	ENSMUSG00000021534	NEUROD1_unique
ENSMUSG00000021536	3294.284834	-1.151230193	0.18669514	4.14006E-11	1.85286E-09	Adcy2	chr13	68835468	68835713	NeuroD1	Intron (ENSMUST00000022013/ENSMUSG00000021536, intron 3 of 24)	13	68620043	68999541	379499	2	ENSMUST00000022013	163828	ENSMUSG00000021536	NEUROD1_unique
ENSMUSG00000021537	2653.301579	0.221744278	0.088918183	0.009306553	0.037279655	Cetn3	chr13	81853937	81854286	NeuroD1	Distal Intergenic	13	81783292	81797143	13852	1	ENSMUST00000022009	70646	ENSMUSG00000021537	NEUROD1_unique
ENSMUSG00000021540	2759.335893	0.335250493	0.122546541	0.003030825	0.015116015	Smad5	chr13	56693941	56694178	NeuroD1	Distal Intergenic	13	56703010	56742377	39368	1	ENSMUST00000069557	-8832	ENSMUSG00000021540	NEUROD1_unique
ENSMUSG00000021541	98.08444105	-0.243273793	0.219478375	0.150394626	0.300477322	Trpc7	chr13	56829175	56829403	NeuroD1	Intron (ENSMUST00000022023/ENSMUSG00000021541, intron 4 of 11)	13	56773764	56895494	121731	2	ENSMUST00000173067	66091	ENSMUSG00000021541	NEUROD1_unique
ENSMUSG00000021549	3413.642518	-0.206858111	0.144126742	0.110007012	0.241831325	Rasa1	chr13	85238791	85239320	NeuroD1	Intron (ENSMUST00000109552/ENSMUSG00000021549, intron 8 of 24)	13	85228672	85231046	2375	2	ENSMUST00000152466	-7746	ENSMUSG00000021549	NEUROD1_unique
ENSMUSG00000021553	10.93519482	0.135978692	0.320878618	0.341448695	0.523547765	Slc28a3	chr13	58511283	58511593	NeuroD1	Distal Intergenic	13	58545399	58558267	12869	2	ENSMUST00000140760	46674	ENSMUSG00000021553	NEUROD1_unique
ENSMUSG00000021555	2420.155502	-0.300878864	0.093980532	0.000795315	0.005049729	Naa35	chr13	59628215	59628478	NeuroD1	Intron (ENSMUST00000022038/ENSMUSG00000021555, intron 18 of 22)	13	59624444	59628947	4504	1	ENSMUST00000165129	3772	ENSMUSG00000021555	NEUROD1_unique
ENSMUSG00000021557	6223.107226	-0.250269197	0.171306531	0.086786328	0.204663164	Agtpbp1	chr13	59238932	59239256	NeuroD1	Distal Intergenic	13	59449537	59450228	692	2	ENSMUST00000166276	210972	ENSMUSG00000021557	NEUROD1_unique
ENSMUSG00000021559	5177.594093	0.076271881	0.111157173	0.424824113	0.603283045	Dapk1	chr13	60601800	60602203	NeuroD1	Promoter (<=1kb)	13	60601947	60763185	161239	1	ENSMUST00000077453	0	ENSMUSG00000021559	NEUROD1_unique
ENSMUSG00000021565	22.60604497	-0.07050777	0.294357074	0.618123285	0.761284035	Slc6a19	chr13	73727402	73727961	NeuroD1	Distal Intergenic	13	73689087	73704865	15779	2	ENSMUST00000123997	-22538	ENSMUSG00000021565	NEUROD1_unique
ENSMUSG00000021578	2794.742786	0.010441213	0.066937661	0.878519414	0.933625912	Ccdc127	chr13	74350637	74350836	NeuroD1	Promoter (<=1kb)	13	74350365	74357048	6684	1	ENSMUST00000162376	273	ENSMUSG00000021578	NEUROD1_unique
ENSMUSG00000021583	1174.001472	-0.406988618	0.139847762	0.001385943	0.00796484	Erap1	chr13	74675525	74675724	NeuroD1	Intron (ENSMUST00000169114/ENSMUSG00000021583, intron 17 of 18)	13	74639872	74691875	52004	1	ENSMUST00000169114	35654	ENSMUSG00000021583	NEUROD1_unique
ENSMUSG00000021585	1357.718095	-0.151936743	0.132547486	0.219872447	0.391565252	Cast	chr13	74834508	74834777	NeuroD1	Distal Intergenic	13	74694286	74807921	113636	2	ENSMUST00000065629	-26588	ENSMUSG00000021585	NEUROD1_unique
ENSMUSG00000021587	1448.745293	-0.533714825	0.59563893	0.029870041	0.092349237	Pcsk1	chr13	75158320	75158639	NeuroD1	Distal Intergenic	13	75089916	75106603	16688	1	ENSMUST00000135349	68405	ENSMUSG00000021587	NEUROD1_unique
ENSMUSG00000021589	1818.430855	-0.569095431	0.073938524	1.97184E-15	1.95531E-13	Rhobtb3	chr13	75877423	75877640	NeuroD1	Exon (ENSMUST00000022078/ENSMUSG00000021589, exon 3 of 12)	13	75872013	75885667	13655	2	ENSMUST00000123353	8027	ENSMUSG00000021589	NEUROD1_unique
ENSMUSG00000021591	1206.210922	-0.488967991	0.139229533	0.000116907	0.000996592	Glrx	chr13	75821271	75821643	NeuroD1	Distal Intergenic	13	75839868	75850151	10284	1	ENSMUST00000022082	-18225	ENSMUSG00000021591	NEUROD1_unique
ENSMUSG00000021595	3290.971218	0.109107139	0.089397652	0.227826864	0.400339614	Nsun2	chr13	69365377	69365574	NeuroD1	Distal Intergenic	13	69533746	69615468	81723	1	ENSMUST00000143716	-168172	ENSMUSG00000021595	NEUROD1_unique
ENSMUSG00000021596	1973.514887	-0.133271166	0.202947858	0.401541665	0.581876282	Mctp1	chr13	76381271	76381522	NeuroD1	Downstream (2-3kb)	13	76384535	77031810	647276	1	ENSMUST00000125209	-3013	ENSMUSG00000021596	NEUROD1_unique
ENSMUSG00000021597	946.0480943	-0.64504205	0.121951019	2.39543E-08	5.70755E-07	Slf1	chr13	76999048	76999228	NeuroD1	Intron (ENSMUST00000125209/ENSMUSG00000021596, intron 17 of 20)	13	77043971	77047397	3427	2	ENSMUST00000162005	48169	ENSMUSG00000021597	NEUROD1_unique
ENSMUSG00000021598	2393.171329	0.225196129	0.073833966	0.001738844	0.009618558	Med10	chr13	69862376	69862879	NeuroD1	Distal Intergenic	13	69809882	69816094	6213	1	ENSMUST00000022089	52495	ENSMUSG00000021598	NEUROD1_unique
ENSMUSG00000021607	1188.973615	0.183524309	0.083894782	0.022400491	0.07393368	Mrpl36	chr13	73331846	73332042	NeuroD1	Promoter (<=1kb)	13	73331009	73332175	1167	1	ENSMUST00000022098	838	ENSMUSG00000021607	NEUROD1_unique
ENSMUSG00000021608	2424.198266	0.009412161	0.083852055	0.908471129	0.949807425	Lpcat1	chr13	73441836	73442199	NeuroD1	Distal Intergenic	13	73467197	73516422	49226	1	ENSMUST00000022099	-24998	ENSMUSG00000021608	NEUROD1_unique
ENSMUSG00000021609	28.05209093	-0.275037535	0.361967459	0.133270781	0.276506117	Slc6a3	chr13	73567549	73567816	NeuroD1	Exon (ENSMUST00000022100/ENSMUSG00000021609, exon 10 of 15)	13	73536747	73578672	41926	1	ENSMUST00000022100	30803	ENSMUSG00000021609	NEUROD1_unique
ENSMUSG00000021614	2286.816573	-0.230782034	0.267359666	0.197108473	0.363175818	Vcan	chr13	89727002	89727340	NeuroD1	Intron (ENSMUST00000109546/ENSMUSG00000021614, intron 2 of 14)	13	89710683	89721971	11289	2	ENSMUST00000160029	-5032	ENSMUSG00000021614	NEUROD1_unique
ENSMUSG00000021615	617.7175873	0.018862461	0.101577405	0.846301958	0.915646483	Xrcc4	chr13	90059134	90059314	NeuroD1	Intron (ENSMUST00000159199/ENSMUSG00000021615, intron 3 of 8)	13	90062075	90089082	27008	2	ENSMUST00000161396	29768	ENSMUSG00000021615	NEUROD1_unique
ENSMUSG00000021619	393.0612269	0.384082428	0.135923911	0.00194111	0.010510361	Atg10	chr13	91266724	91266904	NeuroD1	Distal Intergenic	13	90935349	91223987	288639	2	ENSMUST00000022119	-42738	ENSMUSG00000021619	NEUROD1_unique
ENSMUSG00000021624	12.74283736	-0.304376768	0.428410569	0.093557124	0.21570174	Cd180	chr13	102481148	102481429	NeuroD1	Distal Intergenic	13	102693558	102706955	13398	1	ENSMUST00000022124	-212129	ENSMUSG00000021624	NEUROD1_unique
ENSMUSG00000021629	2138.167253	-0.134328001	0.093167484	0.132455218	0.275435507	Slc30a5	chr13	100832290	100832507	NeuroD1	Promoter (<=1kb)	13	100802649	100833427	30779	2	ENSMUST00000067246	920	ENSMUSG00000021629	NEUROD1_unique
