Motif	# matches	% matches input	# matches background	%matches background	P-value	log10 P-value	ROC AUC	PR AUC	Enr. at 1% FPR	Recall at 10% FDR
GM.5.0.bZIP.0007	1041	0.965	116	1.160	9.72e-01	0.012	0.478	0.911	0.83	1.0000
GM.5.0.bZIP.0008	1590	1.473	100	1.000	3.97e-05	4.401	0.531	0.923	1.47	1.0000
GM.5.0.C2H2_ZF.0011	1284	1.190	100	1.000	4.84e-02	1.315	0.539	0.923	1.19	1.0000
GM.5.0.Mixed.0007	1638	1.518	100	1.000	9.38e-06	5.028	0.563	0.929	1.52	1.0000
GM.5.0.C2H2_ZF.0012	1013	0.939	113	1.130	9.71e-01	0.013	0.512	0.916	0.83	1.0000
GM.5.0.Nuclear_receptor.0010	2877	2.666	100	1.000	2.74e-30	29.563	0.576	0.935	2.67	1.0000
GM.5.0.CUT_Homeodomain.0001	431	0.399	100	1.000	1.00e+00	-0.000	0.440	0.897	0.40	1.0000
GM.5.0.Sox.0005	849	0.787	100	1.000	9.89e-01	0.005	0.478	0.910	0.79	1.0000
GM.5.0.Homeodomain.0014	2103	1.949	105	1.050	5.13e-12	11.290	0.528	0.924	1.86	1.0000
GM.5.0.C2H2_ZF.0013	1759	1.630	101	1.010	2.82e-07	6.550	0.543	0.928	1.61	1.0000
GM.5.0.MADS_box.0002	2744	2.542	100	1.000	4.26e-27	26.371	0.545	0.929	2.54	1.0000
GM.5.0.bHLH.0012	1156	1.071	104	1.040	4.11e-01	0.386	0.509	0.918	1.03	1.0000
GM.5.0.bHLH.0013	2579	2.390	100	1.000	2.79e-23	22.555	0.585	0.936	2.39	1.0000
GM.5.0.Homeodomain_Paired_box.0001	742	0.688	100	1.000	1.00e+00	0.000	0.455	0.905	0.69	1.0000
GM.5.0.bHLH.0014	4204	3.895	137	1.370	9.80e-48	47.009	0.614	0.941	2.84	1.0000
GM.5.0.C2H2_ZF.0014	2981	2.762	100	1.000	7.50e-33	32.125	0.591	0.939	2.76	1.0000
GM.5.0.bHLH.0015	1709	1.583	100	1.000	9.65e-07	6.016	0.558	0.929	1.58	1.0000
GM.5.0.Homeodomain.0015	2929	2.714	176	1.760	1.11e-09	8.954	0.486	0.915	1.54	1.0000
GM.5.0.Mixed.0008	585	0.542	102	1.020	1.00e+00	0.000	0.446	0.902	0.53	1.0000
GM.5.0.Homeodomain.0016	2528	2.342	112	1.120	3.59e-18	17.445	0.531	0.927	2.09	1.0000
GM.5.0.C2H2_ZF.0015	1343	1.244	100	1.000	1.68e-02	1.776	0.532	0.922	1.24	1.0000
GM.5.0.Nuclear_receptor.0011	2117	1.962	100	1.000	1.28e-13	12.892	0.547	0.927	1.96	1.0000
GM.5.0.Homeodomain.0017	823	0.763	103	1.030	9.98e-01	0.001	0.496	0.914	0.74	1.0000
GM.5.0.GATA.0004	9974	9.242	366	3.660	1.01e-97	96.994	0.433	0.905	2.53	1.0000
GM.5.0.Sox.0006	1226	1.136	100	1.000	1.17e-01	0.932	0.497	0.915	1.14	1.0000
GM.5.0.C2H2_ZF.0016	1374	1.273	115	1.150	1.57e-01	0.805	0.542	0.925	1.11	1.0000
GM.5.0.bHLH.0016	1623	1.504	101	1.010	2.20e-05	4.658	0.544	0.925	1.49	1.0000
GM.5.0.Homeodomain_POU.0004	1525	1.413	109	1.090	3.73e-03	2.428	0.506	0.917	1.30	1.0000
GM.5.0.Mixed.0009	1405	1.302	100	1.000	4.65e-03	2.333	0.564	0.928	1.30	1.0000
GM.5.0.Mixed.0010	1762	1.633	100	1.000	1.59e-07	6.798	0.523	0.922	1.63	1.0000
GM.5.0.Ets.0006	2152	1.994	100	1.000	2.73e-14	13.563	0.530	0.924	1.99	1.0000
GM.5.0.C2H2_ZF.0017	5217	4.834	122	1.220	1.20e-83	82.921	0.447	0.904	3.96	1.0000
GM.5.0.Unknown.0001	1535	1.422	106	1.060	1.28e-03	2.891	0.516	0.919	1.34	1.0000
GM.5.0.Rel.0003	1118	1.036	100	1.000	3.92e-01	0.407	0.482	0.911	1.04	1.0000
GM.5.0.Homeodomain.0018	2069	1.917	105	1.050	2.05e-11	10.687	0.476	0.910	1.83	1.0000
GM.5.0.Homeodomain.0019	2809	2.603	176	1.760	4.32e-08	7.364	0.502	0.919	1.48	1.0000
GM.5.0.Homeodomain.0020	3439	3.186	170	1.700	3.12e-19	18.506	0.518	0.922	1.87	1.0000
GM.5.0.Ets.0007	891	0.826	120	1.200	1.00e+00	0.000	0.538	0.921	0.69	1.0000
GM.5.0.Nuclear_receptor.0012	684	0.634	108	1.080	1.00e+00	0.000	0.448	0.901	0.59	1.0000
GM.5.0.Homeodomain.0021	1471	1.363	100	1.000	9.91e-04	3.004	0.516	0.921	1.36	1.0000
GM.5.0.AP-2.0001	808	0.749	100	1.000	9.97e-01	0.001	0.468	0.906	0.75	1.0000
GM.5.0.DP_E2F.0001	1029	0.953	100	1.000	6.99e-01	0.155	0.494	0.914	0.95	1.0000
GM.5.0.bZIP.0009	1246	1.154	100	1.000	8.79e-02	1.056	0.494	0.914	1.15	1.0000
GM.5.0.Myb_SANT.0002	365	0.338	140	1.400	1.00e+00	0.000	0.389	0.882	0.24	1.0000
GM.5.0.bZIP.0010	2003	1.856	100	1.000	1.63e-11	10.788	0.515	0.922	1.86	1.0000
GM.5.0.Homeodomain.0022	2249	2.084	156	1.560	1.40e-04	3.854	0.500	0.921	1.34	1.0000
GM.5.0.bHLH.0017	1154	1.069	100	1.000	2.79e-01	0.554	0.465	0.909	1.07	1.0000
GM.5.0.E2F.0003	1321	1.224	159	1.590	9.99e-01	0.000	0.417	0.895	0.77	1.0000
GM.5.0.C2H2_ZF.0018	1847	1.711	100	1.000	7.44e-09	8.128	0.521	0.923	1.71	1.0000
GM.5.0.THAP_finger.0001	1012	0.938	100	1.000	7.51e-01	0.124	0.492	0.913	0.94	1.0000
GM.5.0.Homeodomain_POU.0005	1349	1.250	107	1.070	6.31e-02	1.200	0.490	0.914	1.17	1.0000
GM.5.0.bZIP.0011	414	0.384	106	1.060	1.00e+00	0.000	0.441	0.898	0.36	1.0000
GM.5.0.C2H2_ZF.0019	1467	1.359	233	2.330	1.00e+00	0.000	0.490	0.913	0.58	1.0000
GM.5.0.Nuclear_receptor.0013	895	0.829	100	1.000	9.65e-01	0.016	0.432	0.900	0.83	1.0000
GM.5.0.Ets.0008	1810	1.677	115	1.150	1.87e-05	4.729	0.559	0.929	1.46	1.0000
GM.5.0.E2F.0004	760	0.704	102	1.020	1.00e+00	0.000	0.523	0.918	0.69	1.0000
GM.5.0.CSL.0001	1462	1.355	100	1.000	1.24e-03	2.908	0.556	0.927	1.35	1.0000
GM.5.0.Myb_SANT.0003	659	0.611	97	0.970	1.00e+00	0.000	0.478	0.909	0.63	1.0000
GM.5.0.Homeodomain.0023	1451	1.344	100	1.000	1.61e-03	2.792	0.513	0.918	1.34	1.0000
GM.5.0.C2H2_ZF.0020	2050	1.899	100	1.000	2.29e-12	11.640	0.527	0.924	1.90	1.0000
GM.5.0.bHLH.0018	7069	6.550	375	3.750	3.13e-32	31.505	0.631	0.942	1.75	1.0000
GM.5.0.T-box.0003	1053	0.976	116	1.160	9.64e-01	0.016	0.508	0.917	0.84	1.0000
GM.5.0.bZIP.0012	1599	1.482	100	1.000	3.05e-05	4.516	0.503	0.918	1.48	1.0000
GM.5.0.Myb_SANT.0004	1512	1.401	121	1.210	6.23e-02	1.205	0.528	0.919	1.16	1.0000
GM.5.0.Mixed.0011	10804	10.011	155	1.550	8.14e-246	245.089	0.560	0.929	6.46	1.0000
GM.5.0.bHLH.0019	1913	1.773	100	1.000	6.02e-10	9.221	0.586	0.934	1.77	1.0000
GM.5.0.bHLH.0020	3090	2.863	162	1.620	4.29e-15	14.368	0.575	0.933	1.77	1.0000
GM.5.0.Forkhead.0005	2613	2.421	100	1.000	4.70e-24	23.328	0.610	0.940	2.42	1.0000
GM.5.0.Homeodomain.0024	1286	1.192	100	1.000	4.68e-02	1.330	0.501	0.916	1.19	1.0000
GM.5.0.bZIP.0013	3037	2.814	104	1.040	1.48e-32	31.831	0.531	0.927	2.71	1.0000
GM.5.0.Mixed.0012	1493	1.383	100	1.000	5.69e-04	3.245	0.562	0.929	1.38	1.0000
GM.5.0.E2F.0005	888	0.823	100	1.000	9.70e-01	0.013	0.439	0.901	0.82	1.0000
GM.5.0.C2H2_ZF.0021	4186	3.879	100	1.000	8.11e-66	65.091	0.618	0.944	3.88	1.0000
GM.5.0.bHLH.0021	8781	8.136	415	4.150	1.21e-53	52.917	0.598	0.935	1.96	1.0000
GM.5.0.C2H2_ZF.0022	798	0.739	101	1.010	9.98e-01	0.001	0.491	0.912	0.73	1.0000
GM.5.0.Homeodomain.0025	1894	1.755	129	1.290	2.22e-04	3.653	0.521	0.923	1.36	1.0000
GM.5.0.C2H2_ZF.0023	3269	3.029	100	1.000	3.21e-40	39.494	0.564	0.932	3.03	1.0000
GM.5.0.SMAD.0003	11332	10.500	179	1.790	1.49e-245	244.826	0.503	0.920	5.87	1.0000
GM.5.0.bHLH.0022	3618	3.352	162	1.620	5.99e-25	24.222	0.607	0.937	2.07	1.0000
GM.5.0.Forkhead.0006	2479	2.297	105	1.050	2.25e-19	18.648	0.614	0.941	2.19	1.0000
GM.5.0.Sox.0007	806	0.747	100	1.000	9.97e-01	0.001	0.522	0.916	0.75	1.0000
GM.5.0.Runt.0003	1651	1.530	107	1.070	9.05e-05	4.043	0.544	0.925	1.43	1.0000
GM.5.0.Homeodomain.0026	1953	1.810	129	1.290	4.99e-05	4.302	0.494	0.918	1.40	1.0000
GM.5.0.Homeodomain.0027	755	0.700	100	1.000	1.00e+00	0.000	0.431	0.897	0.70	1.0000
GM.5.0.SMAD.0004	6993	6.479	861	8.610	1.00e+00	-0.000	0.525	0.920	0.75	1.0000
GM.5.0.C2H2_ZF.0024	3613	3.348	100	1.000	1.76e-49	48.755	0.561	0.932	3.35	1.0000
GM.5.0.Homeodomain.0028	733	0.679	104	1.040	1.00e+00	0.000	0.463	0.906	0.65	1.0000
GM.5.0.Paired_box.0002	1234	1.143	100	1.000	1.05e-01	0.980	0.518	0.919	1.14	1.0000
GM.5.0.Homeodomain.0029	566	0.524	100	1.000	1.00e+00	0.000	0.439	0.899	0.52	1.0000
GM.5.0.E2F.0006	2653	2.458	100	1.000	5.68e-25	24.246	0.582	0.935	2.46	1.0000
GM.5.0.Mixed.0013	2372	2.198	100	1.000	9.50e-19	18.022	0.602	0.937	2.20	1.0000
GM.5.0.Sox.0008	4353	4.033	187	1.870	2.63e-32	31.580	0.470	0.906	2.16	1.0000
GM.5.0.bHLH.0023	3083	2.857	112	1.120	1.93e-30	29.715	0.554	0.930	2.55	1.0000
GM.5.0.Homeodomain.0030	1216	1.127	101	1.010	1.55e-01	0.808	0.505	0.917	1.12	1.0000
GM.5.0.C2H2_ZF.0025	1380	1.279	100	1.000	7.95e-03	2.099	0.536	0.923	1.28	1.0000
GM.5.0.STAT.0001	1805	1.672	107	1.070	8.88e-07	6.052	0.545	0.926	1.56	1.0000
GM.5.0.CSL.0002	10479	9.709	809	8.090	4.12e-08	7.385	0.563	0.931	1.20	1.0000
GM.5.0.Unknown.0002	5301	4.912	100	1.000	4.58e-100	99.339	0.664	0.952	4.91	1.0000
GM.5.0.Homeodomain.0031	1555	1.441	102	1.020	2.17e-04	3.663	0.503	0.920	1.41	1.0000
GM.5.0.Homeodomain.0032	1970	1.825	129	1.290	3.18e-05	4.498	0.470	0.914	1.41	1.0000
GM.5.0.C2H2_ZF.0026	2178	2.018	100	1.000	8.53e-15	14.069	0.538	0.925	2.02	1.0000
GM.5.0.bZIP.0014	1291	1.196	100	1.000	4.30e-02	1.366	0.521	0.920	1.20	1.0000
GM.5.0.C2H2_ZF.0027	13561	12.565	1199	11.990	4.92e-02	1.308	0.521	0.919	1.05	1.0000
GM.5.0.bZIP.0015	617	0.572	139	1.390	1.00e+00	-0.000	0.447	0.898	0.41	1.0000
GM.5.0.C2H2_ZF.0028	834	0.773	100	1.000	9.93e-01	0.003	0.492	0.912	0.77	1.0000
GM.5.0.Sox.0009	913	0.846	113	1.130	9.98e-01	0.001	0.460	0.907	0.75	1.0000
GM.5.0.Forkhead.0007	2000	1.853	111	1.110	7.12e-09	8.148	0.607	0.940	1.67	1.0000
GM.5.0.Ets.0009	2115	1.960	100	1.000	1.40e-13	12.854	0.555	0.929	1.96	1.0000
GM.5.0.C2H2_ZF.0029	1038	0.962	101	1.010	7.04e-01	0.152	0.452	0.906	0.95	1.0000
GM.5.0.Nuclear_receptor.0014	794	0.736	100	1.000	9.98e-01	0.001	0.485	0.910	0.74	1.0000
GM.5.0.Unknown.0003	1852	1.716	242	2.420	1.00e+00	0.000	0.495	0.915	0.71	1.0000
GM.5.0.Homeodomain.0033	838	0.776	100	1.000	9.92e-01	0.004	0.448	0.904	0.78	1.0000
GM.5.0.Sox.0010	7430	6.884	1074	10.740	1.00e+00	-0.000	0.509	0.915	0.64	1.0000
GM.5.0.bHLH.0024	404	0.374	106	1.060	1.00e+00	-0.000	0.488	0.912	0.35	1.0000
GM.5.0.bZIP.0016	1327	1.230	103	1.030	4.25e-02	1.372	0.483	0.913	1.19	1.0000
GM.5.0.Homeodomain.0034	3222	2.985	396	3.960	1.00e+00	0.000	0.443	0.904	0.75	1.0000
GM.5.0.bHLH.0025	1500	1.390	101	1.010	6.56e-04	3.183	0.509	0.918	1.38	1.0000
GM.5.0.Forkhead.0008	2115	1.960	100	1.000	1.40e-13	12.854	0.600	0.938	1.96	1.0000
GM.5.0.C2H2_ZF.0030	672	0.623	100	1.000	1.00e+00	0.000	0.474	0.908	0.62	1.0000
GM.5.0.Nuclear_receptor.0015	7926	7.344	633	6.330	7.73e-05	4.112	0.570	0.928	1.16	1.0000
GM.5.0.bHLH.0026	1684	1.560	120	1.200	2.18e-03	2.661	0.545	0.929	1.30	1.0000
GM.5.0.bHLH.0027	2084	1.931	111	1.110	3.18e-10	9.498	0.560	0.930	1.74	1.0000
GM.5.0.GATA.0005	797	0.738	120	1.200	1.00e+00	0.000	0.491	0.912	0.62	1.0000
GM.5.0.bZIP.0017	3772	3.495	188	1.880	1.41e-20	19.851	0.513	0.923	1.86	1.0000
GM.5.0.Homeodomain_Paired_box.0002	829	0.768	100	1.000	9.94e-01	0.003	0.457	0.905	0.77	1.0000
GM.5.0.C2H2_ZF.0031	1278	1.184	100	1.000	5.34e-02	1.272	0.515	0.919	1.18	1.0000
GM.5.0.bZIP.0018	1192	1.104	114	1.140	6.50e-01	0.187	0.466	0.908	0.97	1.0000
GM.5.0.MADS_box.0003	2164	2.005	100	1.000	1.60e-14	13.796	0.550	0.928	2.01	1.0000
GM.5.0.C2H2_ZF.0032	1374	1.273	100	1.000	9.01e-03	2.045	0.529	0.923	1.27	1.0000
GM.5.0.Mixed.0014	1143	1.059	108	1.080	6.02e-01	0.220	0.548	0.925	0.98	1.0000
GM.5.0.C2H2_ZF.0033	1543	1.430	100	1.000	1.51e-04	3.822	0.533	0.923	1.43	1.0000
GM.5.0.Forkhead.0009	2875	2.664	126	1.260	6.52e-21	20.186	0.601	0.937	2.11	1.0000
GM.5.0.T-box.0004	1796	1.664	100	1.000	4.79e-08	7.319	0.547	0.927	1.66	1.0000
GM.5.0.Nuclear_receptor.0016	2006	1.859	103	1.030	8.21e-11	10.086	0.425	0.902	1.80	1.0000
GM.5.0.C2H2_ZF.0034	864	0.801	102	1.020	9.90e-01	0.004	0.469	0.908	0.78	1.0000
GM.5.0.Nuclear_receptor.0017	491	0.455	100	1.000	1.00e+00	0.000	0.427	0.896	0.45	1.0000
GM.5.0.DM.0003	1280	1.186	100	1.000	5.17e-02	1.286	0.528	0.921	1.19	1.0000
GM.5.0.Nuclear_receptor.0018	1070	0.991	164	1.640	1.00e+00	0.000	0.457	0.907	0.60	1.0000
GM.5.0.bHLH.0028	2878	2.667	101	1.010	6.61e-30	29.180	0.590	0.937	2.64	1.0000
GM.5.0.Nuclear_receptor.0019	866	0.802	126	1.260	1.00e+00	0.000	0.414	0.896	0.64	1.0000
GM.5.0.Sox.0011	1424	1.319	100	1.000	3.03e-03	2.518	0.460	0.907	1.32	1.0000
GM.5.0.STAT.0002	1778	1.647	102	1.020	2.33e-07	6.632	0.525	0.922	1.62	1.0000
GM.5.0.Forkhead.0010	2550	2.363	101	1.010	2.84e-22	21.546	0.571	0.933	2.34	1.0000
GM.5.0.C2H2_ZF.0035	1590	1.473	100	1.000	3.97e-05	4.401	0.528	0.923	1.47	1.0000
GM.5.0.Nuclear_receptor.0020	815	0.755	100	1.000	9.96e-01	0.002	0.486	0.911	0.76	1.0000
GM.5.0.bHLH.0029	1850	1.714	115	1.150	5.81e-06	5.236	0.528	0.925	1.49	1.0000
