 	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol
ENSMUSG00000004040.16	5.187	0,4248	0,08109161	1,02E-08	1,33E-06	Stat3
ENSMUSG00000034488.14	4.481	0,4590	0,088137461	1,13E-08	1,46E-06	Edil3
ENSMUSG00000000058.6	927	0,5453	0,105286301	1,19E-08	1,53E-06	Cav2
ENSMUSG00000037999.13	502	0,6368	0,123560147	1,28E-08	1,61E-06	Arap2
ENSMUSG00000046805.9	731	0,6386	0,123922356	1,27E-08	1,61E-06	Mpeg1
ENSMUSG00000061983.7	14.077	-0,3024	0,057506006	1,49E-08	1,86E-06	Rps12
ENSMUSG00000041708.12	10.018	-0,9334	0,182636556	1,60E-08	1,98E-06	Mpped1
ENSMUSG00000026312.17	369	0,7574	0,149259006	1,82E-08	2,21E-06	Cdh7
ENSMUSG00000036111.8	2.736	-0,4672	0,091043157	1,84E-08	2,21E-06	Lmo1
ENSMUSG00000000266.11	663	0,5867	0,11554464	1,97E-08	2,35E-06	Mid2
ENSMUSG00000022494.15	1.521	0,3878	0,075653661	2,01E-08	2,38E-06	Shisa9
ENSMUSG00000022306.9	3.436	0,4384	0,085953233	2,06E-08	2,42E-06	Zfpm2
ENSMUSG00000016179.11	1.679	-0,3979	0,078415527	2,75E-08	3,20E-06	Camk1g
ENSMUSG00000026748.13	1.257	0,5211	0,105205893	3,94E-08	4,52E-06	Plxdc2
ENSMUSG00000074934.3	815	0,6599	0,134438742	4,28E-08	4,87E-06	Grem1
ENSMUSG00000069516.8	283	0,9441	0,193267298	4,45E-08	5,01E-06	Lyz2
ENSMUSG00000035594.10	105	-1,3238	0,270252693	4,75E-08	5,11E-06	Chrna5
ENSMUSG00000006442.10	3.153	-0,3875	0,078101191	4,76E-08	5,11E-06	Srm
ENSMUSG00000021709.14	2.850	0,3016	0,060124259	4,73E-08	5,11E-06	Erbb2ip
ENSMUSG00000017737.2	931	0,5144	0,104528463	4,70E-08	5,11E-06	Mmp9
ENSMUSG00000052336.7	920	0,5451	0,110905559	4,68E-08	5,11E-06	Cx3cr1
ENSMUSG00000048960.13	951	0,5188	0,105523981	4,80E-08	5,12E-06	Prex2
ENSMUSG00000003992.15	5.186	-0,3171	0,063430528	5,08E-08	5,34E-06	Ssbp2
ENSMUSG00000049411.14	483	0,6400	0,131346125	5,35E-08	5,58E-06	Tmem241
ENSMUSG00000024601.8	2.114	0,3496	0,070639091	5,55E-08	5,74E-06	Isoc1
ENSMUSG00000022708.16	16.368	0,3293	0,066656879	6,19E-08	6,31E-06	Zbtb20
ENSMUSG00000037771.11	860	-0,7707	0,159524671	7,04E-08	7,12E-06	Slc32a1
ENSMUSG00000061718.12	493	-0,6725	0,139311841	7,30E-08	7,34E-06	Ppp1r1b
ENSMUSG00000064264.14	3.349	-0,3371	0,068752676	7,75E-08	7,67E-06	Zfp428
ENSMUSG00000048758.14	12.359	-0,3202	0,065823765	9,58E-08	9,29E-06	Rpl29
ENSMUSG00000005089.15	15.136	0,3631	0,075202923	9,89E-08	9,52E-06	Slc1a2
ENSMUSG00000027435.8	2.374	0,4647	0,097501714	1,07E-07	1,02E-05	Cd93
ENSMUSG00000020102.15	1.319	0,4204	0,088092156	1,14E-07	1,07E-05	Slc16a7
ENSMUSG00000041380.13	825	0,5964	0,126272098	1,15E-07	1,07E-05	Htr2c
ENSMUSG00000025508.13	10.132	-0,3653	0,076311476	1,34E-07	1,23E-05	Rplp2
ENSMUSG00000015852.13	817	0,5888	0,126444586	1,59E-07	1,45E-05	Fcrls
ENSMUSG00000061353.11	5.041	0,4993	0,108202156	1,89E-07	1,69E-05	Cxcl12
ENSMUSG00000079523.8	30.516	-0,3211	0,068172582	2,21E-07	1,95E-05	Tmsb10
ENSMUSG00000022332.8	7.372	-0,3001	0,062385411	2,35E-07	2,04E-05	Khdrbs3
ENSMUSG00000020961.15	1.313	0,4049	0,087459978	2,35E-07	2,04E-05	Ston2
ENSMUSG00000024621.15	1.528	0,6568	0,144189895	2,41E-07	2,07E-05	Csf1r
ENSMUSG00000039910.10	1.908	-0,3858	0,083079448	2,43E-07	2,08E-05	Cited2
ENSMUSG00000114210.1	737	-0,6761	0,148225225	2,66E-07	2,25E-05	RP23-198J15.1
ENSMUSG00000022377.16	1.565	-0,3545	0,076514585	2,73E-07	2,30E-05	Asap1
ENSMUSG00000030249.15	979	0,4389	0,0957913	2,76E-07	2,31E-05	Abcc9
ENSMUSG00000022261.6	1.211	0,4566	0,099873629	2,81E-07	2,33E-05	Sdc2
ENSMUSG00000022231.10	2.765	0,3476	0,075906565	3,43E-07	2,78E-05	Sema5a
ENSMUSG00000067860.11	518	0,6714	0,150601291	3,81E-07	3,03E-05	Zic3
ENSMUSG00000070576.4	1.738	-1,0353	0,231762028	3,91E-07	3,10E-05	Mn1
ENSMUSG00000028339.17	1.116	0,4467	0,100106914	4,73E-07	3,71E-05	Col15a1
ENSMUSG00000006362.16	1.331	-0,4083	0,091003723	4,84E-07	3,77E-05	Cbfa2t3
ENSMUSG00000070880.10	1.992	-0,5867	0,132294385	5,04E-07	3,86E-05	Gad1
ENSMUSG00000054409.5	2.024	-0,3625	0,080948891	5,56E-07	4,21E-05	Tmem74
ENSMUSG00000040612.13	2.023	0,5467	0,125405317	6,47E-07	4,85E-05	Ildr2
ENSMUSG00000050708.16	26.108	-0,3012	0,067470491	7,23E-07	5,36E-05	Ftl1
ENSMUSG00000069769.13	6.251	0,3154	0,071410356	8,17E-07	6,03E-05	Msi2
ENSMUSG00000030406.7	290	-0,7912	0,184510836	8,80E-07	6,42E-05	Gipr
ENSMUSG00000033307.7	7.025	-0,3677	0,084241864	9,34E-07	6,78E-05	Mif
ENSMUSG00000031558.15	3.008	0,3713	0,085969185	1,05E-06	7,54E-05	Slit2
ENSMUSG00000071847.12	7.137	0,3092	0,070907809	1,07E-06	7,67E-05	Apcdd1
ENSMUSG00000037563.15	10.482	-0,3439	0,079267655	1,12E-06	7,93E-05	Rps16
ENSMUSG00000024256.6	347	0,8728	0,209831408	1,29E-06	9,01E-05	Adcyap1
ENSMUSG00000021838.17	1.023	0,3924	0,092171751	1,33E-06	9,25E-05	Samd4
ENSMUSG00000079037.9	10.989	-0,3012	0,069620327	1,34E-06	9,31E-05	Prnp
ENSMUSG00000074971.4	259	0,7578	0,181959464	1,36E-06	9,40E-05	Fibin
ENSMUSG00000040048.14	2.703	-0,3233	0,075122368	1,38E-06	9,46E-05	Ndufb10
ENSMUSG00000043631.8	658	0,6196	0,148606526	1,41E-06	9,58E-05	Ecm2
ENSMUSG00000042613.9	1.889	0,3941	0,093272283	1,50E-06	0,000100568	Pbxip1
ENSMUSG00000030223.14	4.650	0,3789	0,089166482	1,55E-06	0,000103194	Ptpro
ENSMUSG00000022419.16	296	0,7578	0,183627689	1,58E-06	0,000104484	Deptor
ENSMUSG00000020052.9	1.297	-0,4456	0,106320153	1,70E-06	0,00011075	Ascl1
ENSMUSG00000027748.11	619	-0,5677	0,136089657	1,77E-06	0,000114228	Trpc4
ENSMUSG00000048747.14	1.057	0,3853	0,091825913	1,77E-06	0,000114228	RP23-313O9.1
ENSMUSG00000046169.10	781	0,4596	0,110576876	1,80E-06	0,000115595	Adamts6
ENSMUSG00000032878.16	1.235	0,4387	0,10552639	1,84E-06	0,00011774	Ccdc85a
ENSMUSG00000026655.15	3.691	-0,3233	0,076376496	1,89E-06	0,000120241	Fam107b
ENSMUSG00000060206.11	7.295	-0,3017	0,071261493	2,03E-06	0,000127709	Zfp462
ENSMUSG00000096014.1	1.719	-0,4555	0,109915597	2,07E-06	0,000129601	Sox1
ENSMUSG00000033342.13	1.212	-0,5027	0,121839501	2,10E-06	0,000131027	Plppr5
ENSMUSG00000085396.7	2.333	0,3771	0,09102419	2,23E-06	0,000137639	Firre
ENSMUSG00000052504.7	1.915	-0,3244	0,077841928	2,50E-06	0,000150171	Epha3
ENSMUSG00000030894.5	1.350	0,3463	0,084344887	2,83E-06	0,000167226	Tpp1
ENSMUSG00000021756.12	3.031	0,3229	0,078422037	2,95E-06	0,000173146	Il6st
ENSMUSG00000032009.8	4.220	0,3025	0,073538417	3,25E-06	0,000188908	Sesn3
ENSMUSG00000053465.6	318	0,6770	0,170762112	3,26E-06	0,000188908	Hs6st3
ENSMUSG00000066392.11	1.380	-0,5293	0,133001817	3,78E-06	0,000217688	Nrxn3
ENSMUSG00000044337.5	413	-0,6477	0,164207726	3,99E-06	0,000225186	Ackr3
ENSMUSG00000025362.6	10.455	-0,3257	0,080225378	3,98E-06	0,000225186	Rps26
ENSMUSG00000015305.6	1.367	0,3494	0,086723185	4,00E-06	0,000225186	Sash1
ENSMUSG00000048721.2	233	0,7188	0,185248662	4,52E-06	0,000252896	Fndc9
ENSMUSG00000005397.8	4.739	0,4442	0,112629303	4,58E-06	0,000254833	Nid1
ENSMUSG00000042671.12	766	-0,6199	0,158320401	4,60E-06	0,000255194	Rgs8
ENSMUSG00000049252.17	491	0,5561	0,142645477	4,66E-06	0,000257516	Lrp1b
ENSMUSG00000021876.15	684	0,4346	0,11045027	4,77E-06	0,00026151	Rnase4
ENSMUSG00000044338.9	1.694	0,5090	0,130384903	4,76E-06	0,00026151	Aplnr
ENSMUSG00000050587.14	1.370	0,3695	0,093447967	5,06E-06	0,000276414	Lrrc4c
ENSMUSG00000021219.16	3.059	0,4317	0,110386453	5,13E-06	0,000278725	Rgs6
ENSMUSG00000040552.8	132	0,9240	0,242294133	5,57E-06	0,000300576	C3ar1
ENSMUSG00000110523.1	1.402	-0,3352	0,084686548	5,81E-06	0,000312193	RP24-94F12.2
ENSMUSG00000039706.11	1.329	-0,5369	0,138871717	5,95E-06	0,000317248	Ldb2
ENSMUSG00000104861.1	388	0,6471	0,169533854	5,94E-06	0,000317248	RP24-490H13.4
ENSMUSG00000048490.14	989	0,4106	0,105601744	5,98E-06	0,000317621	Nrip1
ENSMUSG00000018593.13	19.675	0,3461	0,088452955	6,31E-06	0,000331236	Sparc
ENSMUSG00000030432.12	10.896	-0,3219	0,081659689	6,54E-06	0,000340821	Rpl28
ENSMUSG00000032198.9	1.370	0,3441	0,088702959	7,46E-06	0,000385915	Dock6
ENSMUSG00000078453.3	899	-0,3767	0,097496894	7,56E-06	0,000387776	Abracl
ENSMUSG00000071379.2	1.192	0,3629	0,093945043	7,58E-06	0,000387776	Hpcal1
ENSMUSG00000015839.6	777	0,4246	0,111112176	7,61E-06	0,000387776	Nfe2l2
ENSMUSG00000023022.14	1.600	-0,3033	0,077662739	8,06E-06	0,00040775	Lima1
ENSMUSG00000057329.7	2.116	0,3008	0,077226399	8,10E-06	0,000408292	Bcl2
ENSMUSG00000034701.9	7.865	0,3393	0,088101288	8,36E-06	0,000420107	Neurod1
ENSMUSG00000028753.12	134	1,1898	0,323849427	8,55E-06	0,000427837	Vwa5b1
ENSMUSG00000023991.16	2.678	-0,32671486	0,084833436	9,27E-06	0,000456492	Foxp4
ENSMUSG00000016087.13	332	0,578564333	0,155515944	9,29E-06	0,000456492	Fli1
ENSMUSG00000031451.6	2.219	0,314382819	0,082268773	1,03E-05	0,000500064	Gas6
ENSMUSG00000036437.6	309	-0,915320807	0,248813699	1,06E-05	0,000513027	Npy1r
ENSMUSG00000021913.8	918	-0,398057822	0,10607794	1,12E-05	0,000533351	Ogdhl
ENSMUSG00000058248.12	521	0,519202185	0,141074519	1,13E-05	0,000536193	Kcnh1
ENSMUSG00000085139.1	77	1	0,337412563	1,13E-05	0,000536193	RP23-48J18.2
ENSMUSG00000025993.10	1.046	0,379052208	0,101504936	1,18E-05	0,000555137	Slc40a1
ENSMUSG00000039488.15	285	0,737649017	0,204313323	1,24E-05	0,000576125	Cntn5
ENSMUSG00000033740.17	2.907	0,353381623	0,09491044	1,31E-05	0,000599667	St18
ENSMUSG00000041378.2	4.202	0,322201286	0,086039532	1,34E-05	0,00061221	Cldn5
ENSMUSG00000018008.8	302	0,577982144	0,161744267	1,62E-05	0,000727971	Cyth4
ENSMUSG00000021303.14	1.365	0,551508504	0,154766517	1,64E-05	0,000734674	Gng4
ENSMUSG00000026604.17	372	0,671715622	0,190261839	1,73E-05	0,000763327	Ptpn14
ENSMUSG00000031970.16	1.601	-0,322784395	0,087588348	1,78E-05	0,000782312	Dbndd1
ENSMUSG00000044033.16	535	0,439579296	0,122460809	1,81E-05	0,000790267	Ccdc141
ENSMUSG00000063445.14	1.340	-0,380169253	0,104533481	1,82E-05	0,000791329	Nmral1
ENSMUSG00000068859.5	326	-0,613242134	0,172812744	1,86E-05	0,000804498	Sp9
ENSMUSG00000019828.13	752	0,508221183	0,14378602	1,99E-05	0,00085228	Grm1
ENSMUSG00000052613.16	360	0,560733419	0,159331499	1,99E-05	0,00085228	Pcdh15
ENSMUSG00000041895.15	1.258	0,308815465	0,084443439	2,00E-05	0,000853525	Wipi1
ENSMUSG00000019256.17	299	0,558787839	0,158944391	2,04E-05	0,000863648	Ahr
ENSMUSG00000060487.7	1.152	0,313419645	0,086117791	2,10E-05	0,000886175	Samd5
ENSMUSG00000024074.7	2.394	-0,310368393	0,085288799	2,24E-05	0,000936525	Crim1
ENSMUSG00000033306.15	626	0,450828442	0,12806784	2,26E-05	0,000945092	Lpp
ENSMUSG00000056296.17	1.648	0,406056498	0,114974548	2,33E-05	0,000971323	Synpr
ENSMUSG00000020021.4	716	0,38575027	0,108837863	2,39E-05	0,000986882	Fgd6
ENSMUSG00000025921.7	836	0,410876331	0,116513608	2,39E-05	0,000986882	Rdh10
ENSMUSG00000023186.14	558	0,481175042	0,137854233	2,41E-05	0,000989707	Vwa5a
ENSMUSG00000046341.5	559	-0,446934714	0,126914195	2,43E-05	0,000994094	RP23-222K9.2
ENSMUSG00000060735.4	1.244	0,435269283	0,124244473	2,43E-05	0,000994094	Rxfp3
ENSMUSG00000056222.15	3.107	-0,3287474	0,091835625	2,53E-05	0,001016676	Spock1
ENSMUSG00000024617.16	5.471	0,320883018	0,089695285	2,53E-05	0,001016676	Camk2a
ENSMUSG00000022762.18	1.318	0,535114163	0,155072568	2,52E-05	0,001016676	Ncam2
ENSMUSG00000041633.14	376	0,538401648	0,155586897	2,51E-05	0,001016676	Kctd12b
ENSMUSG00000031189.12	1.441	0,474558404	0,13687889	2,58E-05	0,001035026	Aff2
ENSMUSG00000045441.5	238	0,706275334	0,207577117	2,69E-05	0,00106649	Gprin3
ENSMUSG00000062960.10	3.820	0,370431921	0,105436631	2,72E-05	0,001068216	Kdr
ENSMUSG00000014846.12	888	0,553401626	0,161596137	2,71E-05	0,001068216	Tppp3
ENSMUSG00000055435.6	1.571	-0,483970001	0,138974362	2,74E-05	0,001071286	Maf
ENSMUSG00000032020.15	2.179	-0,318755763	0,089810628	2,88E-05	0,001113481	Ubash3b
ENSMUSG00000026970.16	1.041	0,339064655	0,096168294	2,92E-05	0,001119796	Rbms1
ENSMUSG00000020044.13	3.523	0,408536365	0,11781672	2,91E-05	0,001119796	Timp3
ENSMUSG00000071550.14	307	0,663712343	0,196057389	2,91E-05	0,001119796	Cfap44
ENSMUSG00000039239.14	3.967	0,314543136	0,088801663	2,97E-05	0,001132904	Tgfb2
ENSMUSG00000058806.14	222	0,893197754	0,267760612	3,05E-05	0,001163392	Col13a1
ENSMUSG00000002688.8	1.184	0,369225924	0,105945687	3,10E-05	0,001178279	Prkd1
ENSMUSG00000020018.6	2.235	-0,324228931	0,092213545	3,34E-05	0,001263321	Snrpf
ENSMUSG00000039883.5	135	1	0,329702632	3,59E-05	0,001343453	Lrrc17
ENSMUSG00000038642.10	501	0,496983704	0,147899948	3,72E-05	0,001382961	Ctss
ENSMUSG00000002602.16	1.331	0,317336093	0,091494006	3,88E-05	0,001435578	Axl
ENSMUSG00000040152.8	1.332	-0,399298284	0,117710379	4,25E-05	0,001551798	Thbs1
ENSMUSG00000036402.13	1.749	0,300798937	0,08709465	4,29E-05	0,001551798	Gng12
ENSMUSG00000056856.12	1.455	0,304792377	0,088115812	4,28E-05	0,001551798	Jakmip3
ENSMUSG00000030222.13	1.667	0,403160279	0,120322593	4,27E-05	0,001551798	Rerg
ENSMUSG00000020101.14	368	0,531625647	0,16126061	4,47E-05	0,001609288	Vsir
ENSMUSG00000004730.14	317	0,629914566	0,192987839	4,49E-05	0,001614208	Adgre1
ENSMUSG00000041731.13	274	0,720776652	0,222369967	4,56E-05	0,001633918	Pgm5
ENSMUSG00000043850.15	368	0,621366528	0,190862925	4,64E-05	0,001657229	Clrn1
ENSMUSG00000047446.18	1.707	0,359258576	0,106589176	4,70E-05	0,001669244	Arl4a
ENSMUSG00000022935.16	381	-0,653771635	0,199292129	4,74E-05	0,001678273	Grik1
ENSMUSG00000058571.11	439	0,50280706	0,153418574	5,01E-05	0,001757267	Gpc6
ENSMUSG00000045672.15	384	0,474373203	0,144498243	5,07E-05	0,001771059	Col27a1
ENSMUSG00000040848.11	1.121	0,353687244	0,1054131	5,11E-05	0,001779966	Sft2d2
ENSMUSG00000059588.13	413	0,605650151	0,188578892	5,42E-05	0,001869858	Calcrl
ENSMUSG00000026586.16	417	0,545621374	0,1694208	5,62E-05	0,001919799	Prrx1
ENSMUSG00000059498.13	292	0,790777955	0,250535255	5,74E-05	0,001953891	Fcgr3
ENSMUSG00000033998.9	3.316	0,344370533	0,103742413	5,84E-05	0,001974287	Kcnk1
ENSMUSG00000041961.14	840	0,360076883	0,108894868	5,90E-05	0,001990658	Znrf3
ENSMUSG00000026360.9	1.583	0,312667878	0,093334927	5,96E-05	0,002003204	Rgs2
ENSMUSG00000036905.8	1.023	0,517506099	0,161307205	5,97E-05	0,002003204	C1qb
ENSMUSG00000035274.13	1.325	0,390239679	0,119263339	6,04E-05	0,002012418	Tpbg
ENSMUSG00000005142.10	1.252	0,31350423	0,093944503	6,24E-05	0,002064519	Man2b1
ENSMUSG00000039904.9	566	0,416760302	0,128455438	6,35E-05	0,002089416	Gpr37
