Chrom	Start	End	X1_190168243_190173660	X219.68904251653197	X1.5532982689835801	X1.2215036745335e.11	X1.20257036757823e.07	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr1	190174877	190175371	1_190174877_190175371	27.8919328010051	2.16341623841646	0.000223065360673611	0.0214251558617727	Intron (ENSMUST00000110279/ENSMUSG00000079045, intron 1 of 1)	1	190118038	190170680	52643	2	ENSMUST00000175916	-4198	ENSMUSG00000010175	ENSMUSG00000010175
chr4	151139037	151141587	4_151139037_151141587	156.256599106657	0.75845251141841	0.000756426308744005	0.0420732494990373	Promoter (<=1kb)	4	151086039	151139584	53546	2	ENSMUST00000143434	0	ENSMUSG00000014592	ENSMUSG00000014592
chr3	95984830	95985394	3_95984830_95985394	22.825035498097	2.36002316918883	0.000395641457780797	0.0291767052573179	Distal Intergenic	3	95988819	95995668	6850	2	ENSMUST00000123006	10274	ENSMUSG00000015745	ENSMUSG00000015745
chr11	97309619	97311712	11_97309619_97311712	184.012969380998	0.716608051986298	0.000616468262166071	0.0381706291888363	Distal Intergenic	11	97315716	97329920	14205	1	ENSMUST00000019026	-4004	ENSMUSG00000018882	ENSMUSG00000018882
chr10	20722833	20723945	10_20722833_20723945	50.4349680773183	2.07765815110574	2.76791185168673e-06	0.00113542050749399	Promoter (<=1kb)	10	20400418	20724696	324279	2	ENSMUST00000170265	751	ENSMUSG00000019990	ENSMUSG00000019990
chr10	20378706	20380274	10_20378706_20380274	95.1984051532186	0.948513187695853	0.00060756100653081	0.0377377798693743	Distal Intergenic	10	20347819	20361669	13851	1	ENSMUST00000169712	30888	ENSMUSG00000019992	ENSMUSG00000019992
chr11	9128767	9128975	11_9128767_9128975	15.3594815137712	2.64661532957778	0.000460258074617667	0.03157659055478	Intron (ENSMUST00000020677/ENSMUSG00000020407, intron 3 of 8)	11	9125683	9134749	9067	1	ENSMUST00000166455	3085	ENSMUSG00000020407	ENSMUSG00000020407
chr12	7958493	7960425	12_7958493_7960425	70.7624959746326	1.65104976339334	4.4262620883593e-06	0.00140569516967411	Distal Intergenic	12	7977648	7987818	10171	1	ENSMUST00000171271	-17223	ENSMUSG00000020609	ENSMUSG00000020609
chr11	116029886	116031349	11_116029886_116031349	178.814085961334	0.834865163218025	0.000123125216277147	0.0141774006344855	Promoter (<=1kb)	11	116030322	116061214	30893	1	ENSMUST00000021116	0	ENSMUSG00000020770	ENSMUSG00000020770
chr11	95391255	95391770	11_95391255_95391770	24.6553838792007	2.72840292019819	2.33591549024145e-05	0.00442251692335137	Promoter (1-2kb)	11	95389985	95390653	669	1	ENSMUST00000143090	1271	ENSMUSG00000020873	ENSMUSG00000020873
chr12	46817945	46820218	12_46817945_46820218	142.758158896349	0.903144553002482	0.000590153239207007	0.0370067429298916	Promoter (<=1kb)	12	46694517	46818775	124259	2	ENSMUST00000021438	0	ENSMUSG00000021047	ENSMUSG00000021047
chr13	103918598	103921606	13_103918598_103921606	198.88018044441	0.664532355341926	0.000939511379381654	0.047867495283947	Promoter (<=1kb)	13	103818787	103920514	101728	2	ENSMUST00000022222	0	ENSMUSG00000021709	ENSMUSG00000021709
chr13	117657876	117659540	13_117657876_117659540	82.0889300790953	1.10136235896069	0.000306563001926938	0.0254483603856383	Intron (ENSMUST00000006991/ENSMUSG00000021730, intron 2 of 7)	13	117602480	117976802	374323	1	ENSMUST00000006991	55397	ENSMUSG00000021730	ENSMUSG00000021730
chr14	60636481	60637560	14_60636481_60637560	57.1689465703499	2.3026343768423	8.53694866459064e-07	0.000409981754160463	Promoter (1-2kb)	14	60634755	60690893	56139	1	ENSMUST00000159135	1727	ENSMUSG00000021990	ENSMUSG00000021990
chr14	81030606	81031429	14_81030606_81031429	46.4829949021357	1.72748479384185	0.000153413369757427	0.0163141414739588	Distal Intergenic	14	80000302	80021930	21629	1	ENSMUST00000088735	1030305	ENSMUSG00000022026	ENSMUSG00000022026
chr14	55114318	55117303	14_55114318_55117303	219.741532014717	0.703454968689071	0.000828412178940392	0.0446888652146201	Promoter (<=1kb)	14	55106830	55116935	10106	2	ENSMUST00000022819	0	ENSMUSG00000022208	ENSMUSG00000022208
chr15	32284850	32286328	15_32284850_32286328	42.0977397016381	2.55272353276003	4.81797233313825e-07	0.000268312737772837	Intron (ENSMUST00000067458/ENSMUSG00000022231, intron 1 of 22)	15	32244813	32696341	451529	1	ENSMUST00000067458	40038	ENSMUSG00000022231	ENSMUSG00000022231
chr15	40653863	40657275	15_40653863_40657275	205.841551867084	0.769989959746185	0.000138423634619326	0.0152265998081259	Promoter (<=1kb)	15	40655042	41104592	449551	1	ENSMUST00000053467	0	ENSMUSG00000022306	ENSMUSG00000022306
chr15	44682900	44683702	15_44682900_44683702	60.1085612000698	1.17966698731138	0.00086408670526211	0.0459834249367863	Exon (ENSMUST00000110267/ENSMUSG00000022340, exon 4 of 8)	15	44619641	44641024	21384	1	ENSMUST00000022964	63260	ENSMUSG00000022339	ENSMUSG00000022339
chr15	58974799	58978497	15_58974799_58978497	194.588247399875	0.885688512985778	3.16703129330245e-05	0.00558800826385391	Intron (ENSMUST00000080371/ENSMUSG00000022353, intron 3 of 14)	15	58933810	58939489	5680	1	ENSMUST00000022980	40990	ENSMUSG00000022354	ENSMUSG00000022354
chr15	77813780	77822895	15_77813780_77822895	498.118732062688	0.599527214693429	6.07021208079648e-05	0.00884867080404025	Promoter (<=1kb)	15	77794652	77813231	18580	2	ENSMUST00000124844	-550	ENSMUSG00000022443	ENSMUSG00000022443
chr16	42905220	42917166	16_42905220_42917166	639.058645504462	0.659978367961977	2.25678640048837e-07	0.000156350615200681	Promoter (<=1kb)	16	42907392	43072468	165077	1	ENSMUST00000131689	0	ENSMUSG00000022708	ENSMUSG00000022708
chr16	42905220	42917166	16_42905220_42917166	639.058645504462	0.659978367961977	2.25678640048837e-07	0.000156350615200681	Promoter (<=1kb)	16	42907392	43072468	165077	1	ENSMUST00000131689	0	ENSMUSG00000022708	ENSMUSG00000022708
chr16	43526585	43526993	16_43526585_43526993	20.8841410406075	2.12365551665838	0.000722304445624358	0.0413435306230919	Intron (ENSMUST00000132881/ENSMUSG00000022708, intron 4 of 4)	16	43510308	43619137	108830	1	ENSMUST00000114695	16278	ENSMUSG00000022708	ENSMUSG00000022708
chr16	62860843	62862612	16_62860843_62862612	85.6044243285873	1.77550891677251	7.72173795567758e-07	0.000380102550868229	Intron (ENSMUST00000023629/ENSMUSG00000022912, intron 1 of 14)	16	62854307	62929346	75040	1	ENSMUST00000023629	6537	ENSMUSG00000022912	ENSMUSG00000022912
chr16	93768562	93769009	16_93768562_93769009	17.3512247080878	2.64395347738274	0.00027080048193382	0.0236313926994929	Intron (ENSMUST00000045004/ENSMUSG00000022946, intron 18 of 36)	16	93711907	93810585	98679	1	ENSMUST00000045004	56656	ENSMUSG00000022946	ENSMUSG00000022946
chr15	99702540	99703610	15_99702540_99703610	68.5456680734753	1.10256879812014	0.000747540317749339	0.0420732494990373	Promoter (<=1kb)	15	99702287	99713995	11709	1	ENSMUST00000023759	254	ENSMUSG00000023018	ENSMUSG00000023018
chr15	99702540	99703610	15_99702540_99703610	68.5456680734753	1.10256879812014	0.000747540317749339	0.0420732494990373	Promoter (<=1kb)	15	99702287	99713995	11709	1	ENSMUST00000023759	254	ENSMUSG00000023018	ENSMUSG00000023018
chr15	99702540	99703610	15_99702540_99703610	68.5456680734753	1.10256879812014	0.000747540317749339	0.0420732494990373	Promoter (<=1kb)	15	99702287	99713995	11709	1	ENSMUST00000023759	254	ENSMUSG00000023018	ENSMUSG00000023018
chr10	127081816	127082158	10_127081816_127082158	24.1538150990641	2.23682552374464	0.000229968663602557	0.0215622999349255	Promoter (2-3kb)	10	127078907	127093169	14263	1	ENSMUST00000039259	2910	ENSMUSG00000025422	ENSMUSG00000025422
chr7	140079681	140082569	7_140079681_140082569	137.970841664531	0.779276424888689	0.000753271098981381	0.0420732494990373	Promoter (<=1kb)	7	140069880	140082301	12422	2	ENSMUST00000166758	0	ENSMUSG00000025468	ENSMUSG00000025468
chr8	127118241	127119173	8_127118241_127119173	58.1182400640419	1.31367060786804	0.00040583077665751	0.029705605919652	Intron (ENSMUST00000162309/ENSMUSG00000025812, intron 1 of 24)	8	127073240	127426684	353445	1	ENSMUST00000161277	45002	ENSMUSG00000025812	ENSMUSG00000025812
chr1	155415701	155416583	1_155415701_155416583	55.3808265232166	1.26721859416073	0.000857076089856678	0.0457339517866612	Promoter (<=1kb)	1	155275701	155417309	141609	2	ENSMUST00000027741	726	ENSMUSG00000026469	ENSMUSG00000026469
chr2	45100931	45117394	2_45100931_45117394	1218.08939370505	0.545768980079015	4.73894463588861e-06	0.00145796593563511	Promoter (<=1kb)	2	44983634	45113279	129646	2	ENSMUST00000068415	0	ENSMUSG00000026872	ENSMUSG00000026872
chr2	45100931	45117394	2_45100931_45117394	1218.08939370505	0.545768980079015	4.73894463588861e-06	0.00145796593563511	Promoter (<=1kb)	2	44983634	45113279	129646	2	ENSMUST00000068415	0	ENSMUSG00000026872	ENSMUSG00000026872
chr2	45100931	45117394	2_45100931_45117394	1218.08939370505	0.545768980079015	4.73894463588861e-06	0.00145796593563511	Promoter (<=1kb)	2	44983634	45113279	129646	2	ENSMUST00000068415	0	ENSMUSG00000026872	ENSMUSG00000026872
chr2	45100931	45117394	2_45100931_45117394	1218.08939370505	0.545768980079015	4.73894463588861e-06	0.00145796593563511	Promoter (<=1kb)	2	44983634	45113279	129646	2	ENSMUST00000068415	0	ENSMUSG00000026872	ENSMUSG00000026872
chr2	45100931	45117394	2_45100931_45117394	1218.08939370505	0.545768980079015	4.73894463588861e-06	0.00145796593563511	Promoter (<=1kb)	2	44983634	45113279	129646	2	ENSMUST00000068415	0	ENSMUSG00000026872	ENSMUSG00000026872
chr3	90083154	90085243	3_90083154_90085243	131.09532534211	0.796946125755413	0.000835355347757468	0.0448913603537949	Promoter (1-2kb)	3	90086371	90087547	1177	1	ENSMUST00000149115	-1128	ENSMUSG00000027940	ENSMUSG00000027940
chr4	11153568	11157647	4_11153568_11157647	359.641337638516	0.549926288358379	0.00100843954989659	0.0495166452305833	Promoter (<=1kb)	4	11156431	11174379	17949	1	ENSMUST00000029865	0	ENSMUSG00000028211	ENSMUSG00000028211
chr5	13468783	13470457	5_13468783_13470457	96.945690058014	1.28786257600299	2.06063466046428e-05	0.0040172174717368	Intron (ENSMUST00000095012/ENSMUSG00000028883, intron 4 of 17)	5	13399324	13451177	51854	1	ENSMUST00000141968	69460	ENSMUSG00000028883	ENSMUSG00000028883
chr5	112342521	112343623	5_112342521_112343623	82.9627857127325	0.955080932331708	0.000968372653906052	0.0485171947974814	Promoter (<=1kb)	5	112337392	112343020	5629	2	ENSMUST00000146510	0	ENSMUSG00000029346	ENSMUSG00000029346
chr5	112342521	112343623	5_112342521_112343623	82.9627857127325	0.955080932331708	0.000968372653906052	0.0485171947974814	Promoter (<=1kb)	5	112337392	112343020	5629	2	ENSMUST00000146510	0	ENSMUSG00000029346	ENSMUSG00000029346
chr5	92264325	92264916	5_92264325_92264916	38.3642354151565	1.51919347048592	0.000990790033330507	0.0490369802482724	Promoter (1-2kb)	5	92257664	92262782	5119	2	ENSMUST00000159732	-1544	ENSMUSG00000029413	ENSMUSG00000029413
chr5	142904974	142908764	5_142904974_142908764	278.162230485999	0.66417856212331	0.000372965130511278	0.0277120129047813	Promoter (<=1kb)	5	142903115	142906754	3640	2	ENSMUST00000100497	0	ENSMUSG00000029580	ENSMUSG00000029580
chr6	11647996	11648784	6_11647996_11648784	19.8082278528604	2.65610211351159	0.000136201928921057	0.015066381912672	Distal Intergenic	6	11900373	11907446	7074	2	ENSMUST00000031637	258662	ENSMUSG00000029632	ENSMUSG00000029632
chr6	146409684	146410535	6_146409684_146410535	35.3877190375656	1.47497287309355	0.000998001862642645	0.0491709069966566	Intron (ENSMUST00000053273/ENSMUSG00000030287, intron 9 of 56)	6	146357700	146396986	39287	2	ENSMUST00000131890	-12699	ENSMUSG00000030287	ENSMUSG00000030287
chr6	115856313	115857059	6_115856313_115857059	41.0266785621036	2.20965237349841	4.2813188726538e-06	0.00138195358364842	Promoter (2-3kb)	6	115853645	115875297	21653	1	ENSMUST00000125889	2669	ENSMUSG00000030323	ENSMUSG00000030323
chr7	51621857	51623054	7_51621857_51623054	63.9515683252681	1.10804530981388	0.000836725711012835	0.0448913603537949	Promoter (<=1kb)	7	51621830	51671125	49296	1	ENSMUST00000032710	28	ENSMUSG00000030500	ENSMUSG00000030500
chr7	101421333	101421941	7_101421333_101421941	42.3543363959485	2.04504688743695	1.37044231335539e-05	0.0030319111404458	Promoter (<=1kb)	7	101421691	101512829	91139	1	ENSMUST00000084894	0	ENSMUSG00000030653	ENSMUSG00000030653
chr7	101421333	101421941	7_101421333_101421941	42.3543363959485	2.04504688743695	1.37044231335539e-05	0.0030319111404458	Promoter (<=1kb)	7	101421691	101512829	91139	1	ENSMUST00000084894	0	ENSMUSG00000030653	ENSMUSG00000030653
chr8	23036497	23037303	8_23036497_23037303	28.8055281634534	2.44424730148307	9.032216681764e-05	0.0119358621787875	Promoter (1-2kb)	8	23035231	23149281	114051	1	ENSMUST00000141784	1267	ENSMUSG00000031543	ENSMUSG00000031543
chr8	23058160	23058839	8_23058160_23058839	41.9109014832349	1.49893918593798	0.000520436303937147	0.034044487789111	Promoter (<=1kb)	8	23058259	23150497	92239	1	ENSMUST00000123418	0	ENSMUSG00000031543	ENSMUSG00000031543
chr8	94117256	94124911	8_94117256_94124911	391.814629501726	0.613357328320887	7.77211160617595e-05	0.0106272831615003	Distal Intergenic	8	94137204	94139031	1828	1	ENSMUST00000034207	-12293	ENSMUSG00000031757	ENSMUSG00000031757
chr9	43700519	43700804	9_43700519_43700804	15.3594815137712	2.64661532957778	0.000460258074617667	0.03157659055478	Distal Intergenic	9	43744576	43807454	62879	1	ENSMUST00000034510	-43772	ENSMUSG00000032012	ENSMUSG00000032012
chr9	121373337	121373604	9_121373337_121373604	15.8375111632851	2.84403116611842	0.000365345295877694	0.0272756400089025	Intron (ENSMUST00000045903/ENSMUSG00000032536, intron 1 of 15)	9	121366958	121474916	107959	1	ENSMUST00000045903	6380	ENSMUSG00000032536	ENSMUSG00000032536
chr13	103745714	103746734	13_103745714_103746734	58.9444879950695	1.2306611488443	0.000593116214366388	0.0370744706694418	Intron (ENSMUST00000074616/ENSMUSG00000032621, intron 8 of 9)	13	103741615	103764504	22890	2	ENSMUST00000074616	17770	ENSMUSG00000032621	ENSMUSG00000032621
chr5	111204539	111205881	5_111204539_111205881	48.7777731843906	2.04210358211342	4.24124735879544e-06	0.00138195358364842	Intron (ENSMUST00000040111/ENSMUSG00000033209, intron 7 of 23)	5	111225458	111229415	3958	1	ENSMUST00000125470	-19577	ENSMUSG00000033209	ENSMUSG00000033209
chr8	84833918	84834509	8_84833918_84834509	14.9931285978886	3.14480879715792	0.00030348831827735	0.0254057873801518	Promoter (2-3kb)	8	84831522	84835482	3961	1	ENSMUST00000036734	2397	ENSMUSG00000033751	ENSMUSG00000033751
chr8	84833918	84834509	8_84833918_84834509	14.9931285978886	3.14480879715792	0.00030348831827735	0.0254057873801518	Promoter (2-3kb)	8	84831522	84835482	3961	1	ENSMUST00000036734	2397	ENSMUSG00000033751	ENSMUSG00000033751
chr19	6496033	6499286	19_6496033_6499286	214.983374628284	0.681467195784085	0.000491962716680858	0.0328480119545444	Promoter (<=1kb)	19	6497671	6509865	12195	1	ENSMUST00000148391	0	ENSMUSG00000033768	ENSMUSG00000033768
chr8	125958676	125960264	8_125958676_125960264	60.5018043902719	1.24862626523929	0.000644335161413284	0.0389170531540723	Distal Intergenic	8	125995102	126030683	35582	1	ENSMUST00000046765	-34838	ENSMUSG00000033998	ENSMUSG00000033998
chr8	126063722	126063926	8_126063722_126063926	13.6439315841396	2.916561916694	0.000542192007889559	0.0350024938863784	Distal Intergenic	8	125995102	126030683	35582	1	ENSMUST00000046765	68621	ENSMUSG00000033998	ENSMUSG00000033998
chr3	65563633	65565640	3_65563633_65565640	116.951414225383	1.50155286465135	4.29511925782175e-07	0.000259885998570161	Distal Intergenic	3	65546040	65552632	6593	1	ENSMUST00000154094	17594	ENSMUSG00000034640	ENSMUSG00000034640
chr13	55469589	55472513	13_55469589_55472513	220.370691676403	0.810227402791293	6.24180676849997e-05	0.00884867080404025	5' UTR	13	55464267	55473155	8889	1	ENSMUST00000046533	5323	ENSMUSG00000034686	ENSMUSG00000034686
chr4	45818422	45820223	4_45818422_45820223	108.38946643936	1.0979444006518	0.000100428144712776	0.0126758344191959	Promoter (2-3kb)	4	45813007	45816363	3357	2	ENSMUST00000145102	-2060	ENSMUSG00000035551	ENSMUSG00000035551
chr2	53059383	53061381	2_53059383_53061381	101.510434828376	1.05046965108956	0.000270879705950463	0.0236313926994929	Intron (ENSMUST00000090952/ENSMUSG00000036053, intron 6 of 25)	2	53114115	53133804	19690	1	ENSMUST00000127122	-52734	ENSMUSG00000036053	ENSMUSG00000036053
chr5	140646369	140649816	5_140646369_140649816	229.09444620479	0.664010849070858	0.000416501587269036	0.0303737639012123	Promoter (<=1kb)	5	140620586	140649031	28446	2	ENSMUST00000042661	0	ENSMUSG00000036565	ENSMUSG00000036565
chr15	89177406	89181253	15_89177406_89181253	259.145332543772	0.891597164904388	3.80507657322549e-06	0.00137923289633551	Downstream (<1kb)	15	89155549	89171120	15572	2	ENSMUST00000109331	-6287	ENSMUSG00000036606	ENSMUSG00000036606
chr3	37640013	37641662	3_37640013_37641662	100.314610410721	1.12274597456526	9.01521884429077e-05	0.0119358621787875	Promoter (<=1kb)	3	37640080	37644598	4519	1	ENSMUST00000108107	0	ENSMUSG00000037211	ENSMUSG00000037211
chr3	37640013	37641662	3_37640013_37641662	100.314610410721	1.12274597456526	9.01521884429077e-05	0.0119358621787875	Promoter (<=1kb)	3	37640080	37644598	4519	1	ENSMUST00000108107	0	ENSMUSG00000037211	ENSMUSG00000037211
chr9	72530708	72534122	9_72530708_72534122	212.47203876249	0.649792881429754	0.0007606946074991	0.0420732494990373	Promoter (<=1kb)	9	72532240	72622937	90698	1	ENSMUST00000093820	0	ENSMUSG00000037674	ENSMUSG00000037674
chr9	72530708	72534122	9_72530708_72534122	212.47203876249	0.649792881429754	0.0007606946074991	0.0420732494990373	Promoter (<=1kb)	9	72532240	72622937	90698	1	ENSMUST00000093820	0	ENSMUSG00000037674	ENSMUSG00000037674
chr9	39602618	39604099	9_39602618_39604099	64.7756583374642	1.59456188608564	1.61800007154115e-05	0.00328437334109745	Promoter (<=1kb)	9	39587510	39603687	16178	2	ENSMUST00000119722	0	ENSMUSG00000038112	ENSMUSG00000038112
chr8	47241787	47244913	8_47241787_47244913	275.123094398477	0.765335330031193	4.96663749590158e-05	0.00776135336181557	Intron (ENSMUST00000079195/ENSMUSG00000038143, intron 1 of 3)	8	47180048	47289402	109355	2	ENSMUST00000079195	44489	ENSMUSG00000038143	ENSMUSG00000038143
chr14	24617055	24619302	14_24617055_24619302	143.726794406945	0.962173568672594	9.51238142739113e-05	0.0122781154019975	Promoter (<=1kb)	14	24617568	24621693	4126	1	ENSMUST00000038250	0	ENSMUSG00000038792	ENSMUSG00000038792
chr14	24617055	24619302	14_24617055_24619302	143.726794406945	0.962173568672594	9.51238142739113e-05	0.0122781154019975	Promoter (<=1kb)	14	24617568	24621693	4126	1	ENSMUST00000038250	0	ENSMUSG00000038792	ENSMUSG00000038792
chr15	31627578	31628730	15_31627578_31628730	51.5048841262792	1.34508159246714	0.00074655090186741	0.0420732494990373	Distal Intergenic	15	31602118	31618609	16492	1	ENSMUST00000161061	25461	ENSMUSG00000039065	ENSMUSG00000039065
chr6	47228168	47229430	6_47228168_47229430	55.0716983035667	1.29880553295323	0.000431915835311812	0.0307945334433646	Intron (ENSMUST00000114641/ENSMUSG00000039419, intron 21 of 23)	6	47244402	47299570	55169	1	ENSMUST00000060839	-14972	ENSMUSG00000039419	ENSMUSG00000039419
chr5	135632755	135633511	5_135632755_135633511	55.3521261630916	1.32411761314671	0.000337221540528414	0.0261139071156837	Promoter (<=1kb)	5	135632723	135636545	3823	1	ENSMUST00000129134	33	ENSMUSG00000039917	ENSMUSG00000039917
chr4	24763769	24765530	4_24763769_24765530	47.0755046149345	1.46545847733549	0.000418659595042325	0.0304184775881306	Intron (ENSMUST00000108214/ENSMUSG00000040387, intron 2 of 7)	4	24615966	24743965	128000	2	ENSMUST00000150920	-19805	ENSMUSG00000040387	ENSMUSG00000040387
chr2	91421254	91421655	2_91421254_91421655	26.5893410391201	1.77577172495554	0.000953111029440609	0.0480907948197746	Intron (ENSMUST00000064652/ENSMUSG00000040591, intron 2 of 8)	2	91275068	91444622	169555	2	ENSMUST00000064652	22967	ENSMUSG00000040591	ENSMUSG00000040591
chr4	140647838	140649059	4_140647838_140649059	61.2112766501277	1.21471096277648	0.000690871775665341	0.0402463469315106	Promoter (<=1kb)	4	140514485	140648750	134266	2	ENSMUST00000039204	0	ENSMUSG00000040964	ENSMUSG00000040964
chr7	92668623	92669891	7_92668623_92669891	131.827572914596	0.903153398457911	0.000327766390357925	0.0257644833384493	Promoter (<=1kb)	7	92643712	92669933	26222	2	ENSMUST00000119954	42	ENSMUSG00000041328	ENSMUSG00000041328
chr9	44456500	44457965	9_44456500_44457965	69.0101381691178	1.24631509233691	0.000474718923772899	0.0323433066058422	Promoter (1-2kb)	9	44452716	44454767	2052	2	ENSMUST00000047740	-1734	ENSMUSG00000041523	ENSMUSG00000041523
chr17	42314946	42315887	17_42314946_42315887	38.1219264711178	1.52609512023815	0.000550946879546625	0.0352944005275078	Promoter (<=1kb)	17	42315947	42507741	191795	1	ENSMUST00000048691	-60	ENSMUSG00000042256	ENSMUSG00000042256
chr7	37772507	37774348	7_37772507_37774348	113.11196466306	1.35411394625091	4.98873502281459e-06	0.00151120296306491	Promoter (<=1kb)	7	37479177	37772875	293699	2	ENSMUST00000176205	0	ENSMUSG00000043456	ENSMUSG00000043456
chr14	15437395	15438455	14_15437395_15438455	58.5120363358336	1.87185416317784	5.73266907026968e-06	0.00165994491167074	Promoter (<=1kb)	14	15357519	15438987	81469	2	ENSMUST00000055211	532	ENSMUSG00000045201	ENSMUSG00000045201
chr14	15437395	15438455	14_15437395_15438455	58.5120363358336	1.87185416317784	5.73266907026968e-06	0.00165994491167074	Promoter (<=1kb)	14	15357519	15438987	81469	2	ENSMUST00000055211	532	ENSMUSG00000045201	ENSMUSG00000045201
chr6	9004668	9006106	6_9004668_9006106	43.7428621043145	2.22673288437524	7.87013069882642e-06	0.00215226213138739	Intron (ENSMUST00000160300/ENSMUSG00000046178, intron 2 of 2)	6	8949676	9249030	299355	1	ENSMUST00000060369	54993	ENSMUSG00000046178	ENSMUSG00000046178
chr11	49202340	49205311	11_49202340_49205311	172.205754789999	0.782067241646723	0.000301730911698039	0.0254057873801518	Promoter (<=1kb)	11	49203292	49218553	15262	1	ENSMUST00000109198	0	ENSMUSG00000046311	ENSMUSG00000046311
chr10	37137108	37140861	10_37137108_37140861	360.58175532204	0.626805929107837	0.000183298681832067	0.018508466898838	Promoter (<=1kb)	10	37139558	37141679	2122	1	ENSMUST00000062667	0	ENSMUSG00000046463	ENSMUSG00000046463
chr10	37137108	37140861	10_37137108_37140861	360.58175532204	0.626805929107837	0.000183298681832067	0.018508466898838	Promoter (<=1kb)	10	37139558	37141679	2122	1	ENSMUST00000062667	0	ENSMUSG00000046463	ENSMUSG00000046463
chr13	47708427	47708754	13_47708427_47708754	25.1723842742018	1.86110931162486	0.000712098438574171	0.0409948445296289	Distal Intergenic	13	47960330	48018608	58279	2	ENSMUST00000061899	309854	ENSMUSG00000047324	ENSMUSG00000047324
chr1	105354805	105356358	1_105354805_105356358	95.1639294160207	1.09730962910712	0.000242136151215688	0.0221751665927298	Promoter (<=1kb)	1	105276917	105356710	79794	2	ENSMUST00000058688	352	ENSMUSG00000047496	ENSMUSG00000047496
chr1	105354805	105356358	1_105354805_105356358	95.1639294160207	1.09730962910712	0.000242136151215688	0.0221751665927298	Promoter (<=1kb)	1	105276917	105356710	79794	2	ENSMUST00000058688	352	ENSMUSG00000047496	ENSMUSG00000047496
chr2	13010182	13011561	2_13010182_13011561	64.8613711146643	1.34425628952647	0.000488485598404688	0.0328268990873321	Promoter (<=1kb)	2	13003457	13011747	8291	2	ENSMUST00000061545	186	ENSMUSG00000049630	ENSMUSG00000049630
chr2	13010182	13011561	2_13010182_13011561	64.8613711146643	1.34425628952647	0.000488485598404688	0.0328268990873321	Promoter (<=1kb)	2	13003457	13011747	8291	2	ENSMUST00000061545	186	ENSMUSG00000049630	ENSMUSG00000049630
