Chrom	Start	End	X16_36784980_36785409	X16.6662302359998	X.0.0447858192482483	X0.5850160589288841	X0.8788557133364159	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr2	32260197	32260478	2_32260197_32260478	13.1928001898618	0.0749411545204702	0.263744340957659	0.693890146174988	Promoter (<=1kb)	2	32255002	32260159	5158	2	ENSMUST00000002625	-39	ENSMUSG00000002550	ENSMUSG00000002550
chr6	5201025	5201370	6_5201025_5201370	7.25049730530228	0.0206099705745944	0.714949325668197	NA	Distal Intergenic	6	5168090	5193946	25857	2	ENSMUST00000002663	-7080	ENSMUSG00000002588	ENSMUSG00000002588
chr6	56130287	56130676	6_56130287_56130676	15.7577565421111	-0.0835614735771174	0.300649822986787	0.722366688787046	Intron (ENSMUST00000044505/ENSMUSG00000004347, intron 14 of 18)	6	56017515	56032688	15174	1	ENSMUST00000052827	112773	ENSMUSG00000002930	ENSMUSG00000002930
chr7	25394678	25395995	7_25394678_25395995	66.7614025745816	0.240684473050197	0.120325896129092	0.525188841763064	Promoter (<=1kb)	7	25379527	25395987	16461	2	ENSMUST00000003207	0	ENSMUSG00000003123	ENSMUSG00000003123
chr6	121129654	121131808	6_121129654_121131808	145.041437717976	0.0478204892182171	0.726112255369561	0.930175795290304	Distal Intergenic	6	121007241	121081609	74369	2	ENSMUST00000077159	-48046	ENSMUSG00000003178	ENSMUSG00000003178
chr7	45699985	45700802	7_45699985_45700802	42.1443198116377	0.0716525082819864	0.532532179319364	0.85770990948054	Promoter (<=1kb)	7	45699843	45704682	4840	1	ENSMUST00000003360	143	ENSMUSG00000003273	ENSMUSG00000003273
chr9	21238047	21239662	9_21238047_21239662	113.681398757812	0.133706485231111	0.347585512063741	0.755080002121706	Promoter (<=1kb)	9	21229730	21239332	9603	2	ENSMUST00000049567	0	ENSMUSG00000003308	ENSMUSG00000003308
chr3	19957332	19957934	3_19957332_19957934	29.8061188539219	-0.0785644341322022	0.447801919712636	0.814246769864787	Promoter (<=1kb)	3	19957284	19992525	35242	1	ENSMUST00000108325	49	ENSMUSG00000003617	ENSMUSG00000003617
chr5	136244331	136244658	5_136244331_136244658	19.3062866902659	0.0316409355114177	0.714549423964647	0.927299548292503	Promoter (<=1kb)	5	136218149	136244903	26755	2	ENSMUST00000005188	245	ENSMUSG00000005057	ENSMUSG00000005057
chr12	54795110	54795655	12_54795110_54795655	40.4226144583329	0.0602718396264807	0.585288767920022	0.878855713336416	Promoter (<=1kb)	12	54746349	54795703	49355	2	ENSMUST00000005798	48	ENSMUSG00000005656	ENSMUSG00000005656
chr7	110773917	110774195	7_110773917_110774195	26.2946410743826	0.0854014650217615	0.399852376284808	0.786867809897948	Promoter (<=1kb)	7	110774244	110788721	14478	1	ENSMUST00000147587	-49	ENSMUSG00000005686	ENSMUSG00000005686
chr16	3907954	3909181	16_3907954_3909181	96.4976144527893	0.0356992788331179	0.79118548077492	0.948577483315874	Promoter (<=1kb)	16	3895179	3908653	13475	2	ENSMUST00000177519	0	ENSMUSG00000005983	ENSMUSG00000005983
chr1	150392618	150393053	1_150392618_150393053	67.5352692842401	0.151863179818959	0.262029312205718	0.693147649176998	Promoter (<=1kb)	1	150392838	150449815	56978	1	ENSMUST00000124973	0	ENSMUSG00000006005	ENSMUSG00000006005
chr11	45851540	45852221	11_45851540_45852221	30.6046774489191	-0.0968448995094803	0.344817308948861	0.753155606177864	Promoter (<=1kb)	11	45852051	45910625	58575	1	ENSMUST00000109260	0	ENSMUSG00000006169	ENSMUSG00000006169
chr2	25255366	25256492	2_25255366_25256492	77.88567727203	0.0931517159150222	0.487360911438183	0.834650340782077	Promoter (<=1kb)	2	25244821	25255383	10563	2	ENSMUST00000100329	0	ENSMUSG00000006471	ENSMUSG00000006471
chr9	108490348	108491461	9_108490348_108491461	63.5564674931513	0.046077466746138	0.710930638062062	0.927271721507099	Promoter (<=1kb)	9	108490676	108501697	11022	1	ENSMUST00000006854	0	ENSMUSG00000006676	ENSMUSG00000006676
chr4	136137708	136143580	4_136137708_136143580	194.672739675158	0.0754857495199539	0.581489384006044	0.877705445818123	Promoter (<=1kb)	4	136143497	136145392	1896	1	ENSMUST00000008016	0	ENSMUSG00000007872	ENSMUSG00000007872
chr9	61914047	61915391	9_61914047_61915391	60.2152576647389	-0.0316721499107648	0.791870517825376	0.948760526711796	Promoter (<=1kb)	9	61913284	61914538	1255	2	ENSMUST00000008036	0	ENSMUSG00000007892	ENSMUSG00000007892
chr9	76042693	76044409	9_76042693_76044409	63.8236605840374	-0.0318617679573751	0.782131668124795	0.946140879851182	Intron (ENSMUST00000008052/ENSMUSG00000007908, intron 1 of 8)	9	76015015	76076122	61108	1	ENSMUST00000121592	27679	ENSMUSG00000007908	ENSMUSG00000007908
chr7	27487176	27488181	7_27487176_27488181	62.7414018320461	-0.134645940258499	0.313846233184621	0.731828888440755	Promoter (<=1kb)	7	27487375	27489507	2133	1	ENSMUST00000135881	0	ENSMUSG00000008384	ENSMUSG00000008384
chr7	118994629	118995645	7_118994629_118995645	40.5427456315417	-0.0552706104160267	0.609649924203652	0.88800170199511	Promoter (<=1kb)	7	118972040	118995211	23172	2	ENSMUST00000008878	0	ENSMUSG00000008734	ENSMUSG00000008734
chr9	22156903	22157540	9_22156903_22157540	46.7506751458235	-0.104112805894285	0.391879445215708	0.78251420833384	Promoter (<=1kb)	9	22156946	22158325	1380	1	ENSMUST00000148088	0	ENSMUSG00000010607	ENSMUSG00000010607
chr8	105565351	105566007	8_105565351_105566007	55.7516106537882	0.160092715992718	0.226984014471084	0.65446115755391	Promoter (<=1kb)	8	105524465	105566047	41583	2	ENSMUST00000013304	40	ENSMUSG00000013160	ENSMUSG00000013160
chr1	131827590	131829320	1_131827590_131829320	121.290765685797	0.249243120003102	0.122315856483882	0.528903355009263	Promoter (<=1kb)	1	131827977	131848865	20889	1	ENSMUST00000086559	0	ENSMUSG00000013275	ENSMUSG00000013275
chr17	34897871	34899405	17_34897871_34899405	114.212141224229	0.224561939652128	0.152587766131362	0.572052077051891	Promoter (<=1kb)	17	34898469	34914051	15583	1	ENSMUST00000114033	0	ENSMUSG00000013787	ENSMUSG00000013787
chr17	12317578	12319852	17_12317578_12319852	141.496534510618	0.11603799835767	0.411883269160292	0.792320972120255	Promoter (<=1kb)	17	12227621	12318660	91040	2	ENSMUST00000089058	0	ENSMUSG00000014426	ENSMUSG00000014426
chr8	105325738	105326786	8_105325738_105326786	82.1084873499355	0.146419135750585	0.289654226157921	0.714855034094525	Promoter (<=1kb)	8	105326362	105329046	2685	1	ENSMUST00000153146	0	ENSMUSG00000014856	ENSMUSG00000014856
chr11	118247674	118248059	11_118247674_118248059	24.1985860324646	0.0217719364722453	0.820540424960334	0.956637107222329	Promoter (<=1kb)	11	118132019	118248502	116484	2	ENSMUST00000100181	443	ENSMUSG00000017132	ENSMUSG00000017132
chr8	122376207	122377319	8_122376207_122377319	61.8826471269456	-0.070089645190943	0.577134213941233	0.876495248846099	Promoter (<=1kb)	8	122376609	122417359	40751	1	ENSMUST00000017622	0	ENSMUSG00000017478	ENSMUSG00000017478
chr11	101783800	101785186	11_101783800_101785186	80.4524452117238	0.1498401880935	0.285884496759267	0.711050428199893	Promoter (<=1kb)	11	101773692	101784861	11170	2	ENSMUST00000129160	0	ENSMUSG00000017724	ENSMUSG00000017724
chr11	101831295	101831756	11_101831295_101831756	9.97118383671924	-0.0701102278306579	0.287720997032465	NA	Distal Intergenic	11	101769747	101785371	15625	2	ENSMUST00000107176	-45925	ENSMUSG00000017724	ENSMUSG00000017724
chr11	75587619	75587843	11_75587619_75587843	12.7417396608947	-0.0177173389540269	0.797569263568998	0.949937899775966	Promoter (<=1kb)	11	75588097	75628804	40708	1	ENSMUST00000143219	-254	ENSMUSG00000017781	ENSMUSG00000017781
chr11	98358468	98358909	11_98358468_98358909	34.9288592649234	0.0496267187507632	0.647272467609081	0.90406242454995	Promoter (<=1kb)	11	98358444	98376835	18392	1	ENSMUST00000152559	25	ENSMUSG00000018167	ENSMUSG00000018167
chr11	79083532	79084074	11_79083532_79084074	23.1260230792077	-0.0878334072423407	0.31032748483814	0.729158493611333	Intron (ENSMUST00000018478/ENSMUSG00000018334, intron 1 of 18)	11	79044920	79059875	14956	2	ENSMUST00000141409	-23658	ENSMUSG00000018334	ENSMUSG00000018334
chr11	88047022	88048275	11_88047022_88048275	99.3614265183887	0.149999727057128	0.293853163578069	0.718095423409105	Promoter (<=1kb)	11	88047373	88053755	6383	1	ENSMUST00000139129	0	ENSMUSG00000018379	ENSMUSG00000018379
chr11	69991111	69992380	11_69991111_69992380	128.309304132491	-0.103312831110264	0.453849704222257	0.817349803189707	Promoter (<=1kb)	11	69991143	69994951	3809	1	ENSMUST00000018711	0	ENSMUSG00000018567	ENSMUSG00000018567
chr11	60727704	60728758	11_60727704_60728758	65.0834562213763	-0.12732017981178	0.32190109843267	0.736062318910612	Promoter (<=1kb)	11	60728398	60732951	4554	1	ENSMUST00000018743	0	ENSMUSG00000018599	ENSMUSG00000018599
chr11	75396358	75398198	11_75396358_75398198	70.3250247469002	-0.18115662441596	0.202489109013263	0.626837223466098	Promoter (1-2kb)	11	75399609	75400633	1025	1	ENSMUST00000135774	-1411	ENSMUSG00000018809	ENSMUSG00000018809
chr8	83666003	83666255	8_83666003_83666255	13.4299644586639	-0.0128630991400585	0.850003140819063	0.965378945471746	Promoter (<=1kb)	8	83666833	83671268	4436	1	ENSMUST00000159935	-578	ENSMUSG00000019464	ENSMUSG00000019464
chr10	11080394	11080644	10_11080394_11080644	8.32626018907904	-0.012610566797622	0.834097804721089	NA	Promoter (<=1kb)	10	10688801	11080956	392156	2	ENSMUST00000105560	312	ENSMUSG00000019828	ENSMUSG00000019828
chr10	39484734	39485212	10_39484734_39485212	25.1120212916128	-0.123298143570635	0.189180002607022	0.615389765625684	Intron (ENSMUST00000148152/ENSMUSG00000019843, intron 3 of 4)	10	39511739	39564422	52684	1	ENSMUST00000136659	-26527	ENSMUSG00000019843	ENSMUSG00000019843
chr10	39315643	39315923	10_39315643_39315923	11.542280955074	-0.0518324756575206	0.464641607343526	NA	Distal Intergenic	10	39368855	39515668	146814	1	ENSMUST00000148152	-52932	ENSMUSG00000019843	ENSMUSG00000019843
chr10	45144680	45145010	10_45144680_45145010	21.8313005171019	-0.0913730688049715	0.330318577626466	0.74110902386795	Intron (ENSMUST00000099858/ENSMUSG00000019849, intron 10 of 14)	10	45178098	45315114	137017	1	ENSMUST00000175658	-33088	ENSMUSG00000019848	ENSMUSG00000019848
chr10	67095943	67098493	10_67095943_67098493	144.386533189319	0.0923037829605504	0.507834672585725	0.845211068037971	Promoter (<=1kb)	10	67009189	67096988	87800	2	ENSMUST00000020023	0	ENSMUSG00000019873	ENSMUSG00000019873
chr10	61669008	61669288	10_61669008_61669288	10.7806710573749	-0.0483287612646465	0.464383513195839	NA	Intron (ENSMUST00000020286/ENSMUSG00000020089, intron 8 of 10)	10	61663689	61665605	1917	1	ENSMUST00000162028	5320	ENSMUSG00000020089	ENSMUSG00000020089
chr10	110154469	110155447	10_110154469_110155447	37.4880886911658	-0.036158202807343	0.725235199363284	0.929861371066163	Distal Intergenic	10	109682660	110000219	317560	2	ENSMUST00000032719	-154251	ENSMUSG00000020181	ENSMUSG00000020181
chr11	52098217	52098457	11_52098217_52098457	23.9995146423276	0.0971846231851658	0.282832768002529	0.709053807371396	Promoter (<=1kb)	11	52098681	52127778	29098	1	ENSMUST00000020608	-224	ENSMUSG00000020349	ENSMUSG00000020349
chr11	52034321	52034629	11_52034321_52034629	14.3729534506931	-0.0553273157640021	0.476341732334265	0.829452686016	Promoter (<=1kb)	11	52033527	52089776	56250	1	ENSMUST00000136021	795	ENSMUSG00000020389	ENSMUSG00000020389
chr11	43433677	43434163	11_43433677_43434163	35.7153279061972	-0.0241176814780828	0.817965732567578	0.955490346123375	Promoter (<=1kb)	11	43433744	43438276	4533	1	ENSMUST00000126128	0	ENSMUSG00000020409	ENSMUSG00000020409
chr12	8915622	8917223	12_8915622_8917223	103.330538632131	0.0179687599887874	0.891574510999671	0.976314004870893	Distal Intergenic	12	8921664	8938742	17079	1	ENSMUST00000020909	-4441	ENSMUSG00000020585	ENSMUSG00000020585
chr12	35046743	35047693	12_35046743_35047693	59.5845590803497	0.109443840590551	0.392597754468849	0.78251420833384	Promoter (<=1kb)	12	35047189	35147469	100281	1	ENSMUST00000048519	0	ENSMUSG00000020590	ENSMUSG00000020590
chr12	15617035	15617396	12_15617035_15617396	27.1518231004499	-0.0636723210098906	0.509727843726543	0.845685576355833	Distal Intergenic	12	15791727	15816785	25059	2	ENSMUST00000020922	199389	ENSMUSG00000020601	ENSMUSG00000020601
chr12	8395988	8396203	12_8395988_8396203	6.81768274616399	0.117952127215996	0.0232151189225413	NA	Distal Intergenic	12	8313433	8343824	30392	1	ENSMUST00000020927	82556	ENSMUSG00000020605	ENSMUSG00000020605
chr12	29843826	29844173	12_29843826_29844173	9.90531451922169	0.078549946872644	0.212936839032891	NA	Intron (ENSMUST00000049784/ENSMUSG00000061911, intron 14 of 24)	12	29938036	30017658	79623	1	ENSMUST00000122328	-93863	ENSMUSG00000020674	ENSMUSG00000020674
chr11	116185431	116186489	11_116185431_116186489	46.2313760105761	0.202796193659862	0.140586485848671	0.554627911512791	Intron (ENSMUST00000148601/ENSMUSG00000020777, intron 1 of 12)	11	116179720	116182416	2697	2	ENSMUST00000128793	-3016	ENSMUSG00000020777	ENSMUSG00000020777
chr12	72304789	72305051	12_72304789_72305051	27.9050270096375	0.0765719482590006	0.402011959058446	0.787467951188419	Intron (ENSMUST00000078505/ENSMUSG00000021087, intron 2 of 8)	12	72212289	72236724	24436	2	ENSMUST00000137990	-68066	ENSMUSG00000021087	ENSMUSG00000021087
chr12	104865073	104865507	12_104865073_104865507	19.2305476298382	-0.00475437239375537	0.952774245361256	0.990481752944634	Promoter (<=1kb)	12	104763114	104865076	101963	2	ENSMUST00000109936	0	ENSMUSG00000021097	ENSMUSG00000021097
chr12	100168517	100168831	12_100168517_100168831	11.2823107028221	-0.00113689144431669	0.982995718095819	NA	Distal Intergenic	12	100125452	100159653	34202	2	ENSMUST00000021596	-8865	ENSMUSG00000021179	ENSMUSG00000021179
chr12	111413044	111413248	12_111413044_111413248	9.70332783042246	0.0481106135274181	0.430807607789233	NA	Distal Intergenic	12	111417430	111431182	13753	1	ENSMUST00000072646	-4182	ENSMUSG00000021280	ENSMUSG00000021280
chr13	12106116	12106442	13_12106116_12106442	19.2566790369377	0.0790041622446309	0.370557733215812	0.770083088170674	Promoter (<=1kb)	13	11553103	12106945	553843	2	ENSMUST00000021750	503	ENSMUSG00000021313	ENSMUSG00000021313
chr13	42404033	42404462	13_42404033_42404462	28.262591755221	-0.112307479436022	0.274467466275658	0.701852520904896	Distal Intergenic	13	42301270	42307989	6720	1	ENSMUST00000021796	102764	ENSMUSG00000021367	ENSMUSG00000021367
chr13	63177436	63177674	13_63177436_63177674	18.7043575128994	-0.0566585112548316	0.436123748880506	0.80737839558642	Intron (ENSMUST00000091560/ENSMUSG00000021458, intron 6 of 14)	13	63282142	63326096	43955	1	ENSMUST00000159152	-104468	ENSMUSG00000021458	ENSMUSG00000021458
chr13	65277988	65279507	13_65277988_65279507	155.103050509466	0.0118238381328545	0.931700706700333	0.985790381093975	Promoter (<=1kb)	13	65278814	65297795	18982	1	ENSMUST00000126879	0	ENSMUSG00000021514	ENSMUSG00000021514
chr13	85287623	85289975	13_85287623_85289975	138.884307580249	-0.0140928517914305	0.914944687019804	0.981534856086477	Promoter (<=1kb)	13	85214780	85289029	74250	2	ENSMUST00000109552	0	ENSMUSG00000021549	ENSMUSG00000021549
chr13	59584449	59586469	13_59584449_59586469	102.199393351501	0.149535979338042	0.298996670789197	0.720851981982326	Promoter (<=1kb)	13	59585259	59599790	14532	1	ENSMUST00000168367	0	ENSMUSG00000021555	ENSMUSG00000021555
chr13	69611647	69612650	13_69611647_69612650	77.0610191667336	0.179946539305632	0.216841397545188	0.643474556486759	Promoter (<=1kb)	13	69612016	69634334	22319	1	ENSMUST00000109699	0	ENSMUSG00000021595	ENSMUSG00000021595
chr13	69611647	69612650	13_69611647_69612650	77.0610191667336	0.179946539305632	0.216841397545188	0.643474556486759	Promoter (<=1kb)	13	69612016	69634334	22319	1	ENSMUST00000109699	0	ENSMUSG00000021595	ENSMUSG00000021595
chr13	104178037	104178719	13_104178037_104178719	69.3729880803288	-0.231517390979655	0.132575391593696	0.542389274369007	Promoter (<=1kb)	13	104142149	104178469	36321	2	ENSMUST00000144060	0	ENSMUSG00000021711	ENSMUSG00000021711
chr14	11761400	11761838	14_11761400_11761838	17.314433069696	-0.00423281421002338	0.954456450808116	0.9905776328107	Intron (ENSMUST00000022264/ENSMUSG00000021745, intron 2 of 29)	14	11553581	11964131	410551	1	ENSMUST00000148113	207820	ENSMUSG00000021745	ENSMUSG00000021745
chr14	20479659	20480125	14_20479659_20480125	44.2182031534024	-0.00732749687229358	0.9445487118678	0.989292385647106	Promoter (<=1kb)	14	20455261	20480133	24873	2	ENSMUST00000065504	8	ENSMUSG00000021814	ENSMUSG00000021814
chr14	20929469	20931109	14_20929469_20931109	76.2745410429042	0.117329367752767	0.385366757346249	0.778883324015186	Promoter (<=1kb)	14	20929433	21033673	104241	1	ENSMUST00000022369	37	ENSMUSG00000021823	ENSMUSG00000021823
chr14	51007990	51009330	14_51007990_51009330	68.3107451894807	-0.238558144107458	0.123359956599685	0.529575190589225	Promoter (<=1kb)	14	51007929	51010758	2830	1	ENSMUST00000022424	62	ENSMUSG00000021872	ENSMUSG00000021872
chr14	75244837	75245147	14_75244837_75245147	17.9093936451246	0.00885173136385393	0.917245624960039	0.981534856086477	Promoter (2-3kb)	14	75242287	75283551	41265	1	ENSMUST00000022576	2551	ENSMUSG00000021999	ENSMUSG00000021999
chr14	73426055	73426682	14_73426055_73426682	20.0582167099479	-0.146806328721603	0.130071113982266	0.539718113005998	Distal Intergenic	14	73362231	73385271	23041	2	ENSMUST00000022704	-40785	ENSMUSG00000022108	ENSMUSG00000022108
chr14	54573375	54573776	14_54573375_54573776	25.0046122756025	0.150195763323517	0.141699362283348	0.556565019620809	Exon (ENSMUST00000054487/ENSMUSG00000022178, exon 7 of 8)	14	54567469	54577661	10193	2	ENSMUST00000054487	3885	ENSMUSG00000022178	ENSMUSG00000022178
chr15	27325682	27325962	15_27325682_27325962	10.2865775895214	-0.0896232288625959	0.184723266018427	NA	Distal Intergenic	15	27466677	27594909	128233	1	ENSMUST00000022875	-140715	ENSMUSG00000022265	ENSMUSG00000022265
chr15	59305113	59305416	15_59305113_59305416	8.38041161853684	-0.0202062057857446	0.737245832389524	NA	Distal Intergenic	15	59315077	59328958	13882	1	ENSMUST00000162142	-9661	ENSMUSG00000022351	ENSMUSG00000022351
chr15	58932653	58934418	15_58932653_58934418	103.475799078467	0.00267229429270088	0.985679586254886	0.996169127272171	Promoter (<=1kb)	15	58933810	58939489	5680	1	ENSMUST00000022980	0	ENSMUSG00000022354	ENSMUSG00000022354
chr15	81398747	81400457	15_81398747_81400457	152.441664757858	0.0632158999863093	0.646210969535994	0.903770385086966	Promoter (<=1kb)	15	81400138	81456807	56670	1	ENSMUST00000163754	0	ENSMUSG00000022401	ENSMUSG00000022401
chr15	80234164	80234652	15_80234164_80234652	31.3389084178582	0.0827141176951941	0.433279782781188	0.806011295878117	Promoter (<=1kb)	15	80234108	80250565	16458	1	ENSMUST00000166030	57	ENSMUSG00000022412	ENSMUSG00000022412
chr15	79658186	79659741	15_79658186_79659741	143.775073542949	0.23098980716495	0.14224350028709	0.558129673323193	Promoter (<=1kb)	15	79659227	79667660	8434	1	ENSMUST00000023064	0	ENSMUSG00000022428	ENSMUSG00000022428
chr15	81871640	81873512	15_81871640_81873512	164.756673784428	0.0447236717850947	0.741705659337066	0.934937811823419	Promoter (<=1kb)	15	81872309	81915133	42825	1	ENSMUST00000023116	0	ENSMUSG00000022477	ENSMUSG00000022477
chr16	28239033	28239715	16_28239033_28239715	30.3556358223257	-0.0171278002660128	0.863398485106259	0.967906864708623	Intron (ENSMUST00000100024/ENSMUSG00000022523, intron 3 of 4)	16	28160120	28445227	285108	2	ENSMUST00000100024	205512	ENSMUSG00000022523	ENSMUSG00000022523
chr15	75549357	75549907	15_75549357_75549907	27.712607954189	-0.0626537555847988	0.524826580253579	0.85453033698776	Downstream (1-2kb)	15	75565213	75566632	1420	2	ENSMUST00000150125	16725	ENSMUSG00000022577	ENSMUSG00000022577
chr16	81200866	81205255	16_81200866_81205255	213.667567770136	-0.0857926732677888	0.528748199617657	0.855834223730623	Promoter (<=1kb)	16	81200697	81624285	423589	1	ENSMUST00000067602	170	ENSMUSG00000022762	ENSMUSG00000022762
chr16	17147064	17147541	16_17147064_17147541	19.8934394486704	-0.13721433101688	0.11975834967144	0.525142138041147	Promoter (<=1kb)	16	17139064	17147229	8166	2	ENSMUST00000023452	0	ENSMUSG00000022768	ENSMUSG00000022768
chr16	84734783	84735162	16_84734783_84735162	25.3940537269711	0.105370277177651	0.302005367628686	0.7231080905587	Promoter (<=1kb)	16	84734168	84735230	1063	2	ENSMUST00000133901	68	ENSMUSG00000022889	ENSMUSG00000022889
chr16	94525557	94527502	16_94525557_94527502	154.234504012705	0.14671206191655	0.309623436296268	0.72863457161151	Promoter (<=1kb)	16	94497783	94526830	29048	2	ENSMUST00000023615	0	ENSMUSG00000022898	ENSMUSG00000022898
chr15	98933473	98935863	15_98933473_98935863	123.214891754523	-0.01690178990305	0.898466882306513	0.977653873148413	Promoter (<=1kb)	15	98931425	98934565	3141	2	ENSMUST00000077577	0	ENSMUSG00000023004	ENSMUSG00000023004
chr18	37819462	37819832	18_37819462_37819832	41.4196358802176	0.022474672119605	0.840300977922235	0.962181611237961	Promoter (<=1kb)	18	37819546	37841873	22328	1	ENSMUST00000055935	0	ENSMUSG00000023036	ENSMUSG00000023036
chr6	24526758	24528514	6_24526758_24528514	83.6835500209659	-0.223283043654613	0.135930158570044	0.547110552380247	Promoter (<=1kb)	6	24518666	24527570	8905	2	ENSMUST00000118558	0	ENSMUSG00000023089	ENSMUSG00000023089
chr16	32099610	32100259	16_32099610_32100259	22.5848265392683	-0.00705283684602049	0.933549083545364	0.986145910334073	Promoter (<=1kb)	16	32084424	32099704	15281	2	ENSMUST00000143011	0	ENSMUSG00000023791	ENSMUSG00000023791
chr17	46029755	46031503	17_46029755_46031503	106.010453222378	0.0331751131269497	0.805762783875372	0.952251918522663	Promoter (<=1kb)	17	46018831	46031356	12526	2	ENSMUST00000113520	0	ENSMUSG00000023951	ENSMUSG00000023951
chr17	46673257	46674265	17_46673257_46674265	41.3649145392465	-0.0332443229162615	0.763049191979739	0.940499516350317	Promoter (<=1kb)	17	46667458	46674255	6798	2	ENSMUST00000024766	0	ENSMUSG00000023971	ENSMUSG00000023971
chr17	32283449	32285421	17_32283449_32285421	181.340204670003	0.239944256703984	0.121294539425853	0.526955545440097	Promoter (<=1kb)	17	32196274	32284097	87824	2	ENSMUST00000119123	0	ENSMUSG00000024002	ENSMUSG00000024002
chr17	32264081	32264322	17_32264081_32264322	7.76333397077418	-0.00966013122928185	0.866872048541257	NA	Intron (ENSMUST00000119123/ENSMUSG00000024002, intron 1 of 19)	17	32196274	32284097	87824	2	ENSMUST00000119123	19775	ENSMUSG00000024002	ENSMUSG00000024002
chr17	91090468	91090731	17_91090468_91090731	20.0156656705663	0.0127544073215894	0.888171500992669	0.975138917189244	Promoter (1-2kb)	17	90037077	91088726	1051650	2	ENSMUST00000174331	-1743	ENSMUSG00000024109	ENSMUSG00000024109
chr17	26503281	26503912	17_26503281_26503912	57.7420413068629	0.0256195883025781	0.836074510280918	0.961282464146752	Downstream (1-2kb)	17	26506516	26507723	1208	2	ENSMUST00000146077	3811	ENSMUSG00000024190	ENSMUSG00000024190
chr18	5148937	5149175	18_5148937_5149175	11.9207946899907	0.00733347175624681	0.920221813754378	NA	Distal Intergenic	18	5114253	5119218	4966	1	ENSMUST00000129543	34685	ENSMUSG00000024236	ENSMUSG00000024236
chr18	5163709	5163943	18_5163709_5163943	15.6697701522795	0.0826781632478215	0.298834471516103	0.720819642797018	Distal Intergenic	18	5114253	5119218	4966	1	ENSMUST00000129543	49457	ENSMUSG00000024236	ENSMUSG00000024236
chr18	25168235	25168851	18_25168235_25168851	38.4826905547888	-0.108834486392044	0.342730349077582	0.751738952137416	Promoter (<=1kb)	18	25127223	25168694	41472	2	ENSMUST00000148255	0	ENSMUSG00000024269	ENSMUSG00000024269
chr17	34023669	34026082	17_34023669_34026082	143.264204022189	0.0460652332130497	0.736640716641224	0.933549955734439	Promoter (<=1kb)	17	34020792	34024680	3889	2	ENSMUST00000025183	0	ENSMUSG00000024325	ENSMUSG00000024325
