ensmbl	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol
ENSMUSG00000046768	166,0808023	1,657522036	0,408341682	1,93E-06	0,000353237	Rhoj
ENSMUSG00000060802	1883,68352	0,741881183	0,181482128	1,98E-06	0,000354395	B2m
ENSMUSG00000041548	312,1542427	1,039253412	0,256152887	2,09E-06	0,000367093	Hspb8
ENSMUSG00000044349	3432,929589	-1,125985239	0,278316367	2,09E-06	0,000367093	Snhg11
ENSMUSG00000024197	124,3178364	0,988692362	0,243864228	2,19E-06	0,000379024	Plin3
ENSMUSG00000026249	2099,367754	0,654370115	0,160887964	2,25E-06	0,000379024	Serpine2
ENSMUSG00000027656	134,0443629	2,943630772	0,736348684	2,22E-06	0,000379024	Wisp2
ENSMUSG00000035403	273,6544281	1,206298953	0,299003021	2,24E-06	0,000379024	Crb2
ENSMUSG00000017009	735,8345739	1,003801255	0,249051738	2,35E-06	0,000390633	Sdc4
ENSMUSG00000026879	489,7395006	1,219339331	0,304907317	2,58E-06	0,000425578	Gsn
ENSMUSG00000025492	427,9369473	1,308087059	0,329279393	2,83E-06	0,000459503	Ifitm3
ENSMUSG00000040690	324,828925	0,817271706	0,204395999	2,84E-06	0,000459503	Col16a1
ENSMUSG00000020241	224,7463547	0,87648954	0,220312041	2,95E-06	0,000473073	Col6a2
ENSMUSG00000027827	1007,466959	-0,495082326	0,123058492	3,08E-06	0,000488622	Kcnab1
ENSMUSG00000022665	382,5815781	1,326370022	0,336730508	3,28E-06	0,000514859	Ccdc80
ENSMUSG00000024672	60,95669038	1,585653659	0,402662711	3,32E-06	0,000517349	Ms4a7
ENSMUSG00000015852	131,9019458	1,399359768	0,356195236	3,39E-06	0,000521952	Fcrls
ENSMUSG00000027674	1098,19556	-0,669899578	0,169609181	3,76E-06	0,000569353	Pex5l
ENSMUSG00000029381	477,2361769	0,912589208	0,232743446	3,74E-06	0,000569353	Shroom3
ENSMUSG00000027347	1114,204091	-0,669149161	0,170723922	3,86E-06	0,000574154	Rasgrp1
ENSMUSG00000036896	159,6073057	1,311101572	0,336503702	3,85E-06	0,000574154	C1qc
ENSMUSG00000045679	132,6344689	1,098130628	0,282076917	4,04E-06	0,000595582	Pqlc3
ENSMUSG00000007872	227,3634567	1,117730187	0,287924948	4,23E-06	0,000618051	Id3
ENSMUSG00000028581	194,3421773	1,241670169	0,321942464	4,54E-06	0,000656914	Laptm5
ENSMUSG00000028214	76,51640185	1,241607668	0,321980425	4,71E-06	0,000676641	Gem
ENSMUSG00000049176	4124,776542	-0,532185788	0,136533473	4,85E-06	0,000689911	Frmpd4
ENSMUSG00000015850	94,3142352	0,945292808	0,245501086	5,12E-06	0,000720255	Adamtsl4
ENSMUSG00000024769	277,8888848	0,742901558	0,192873324	5,15E-06	0,000720255	Cdc42bpg
ENSMUSG00000036103	344,3323557	1,53068125	0,403526986	5,65E-06	0,00078415	Colec12
ENSMUSG00000001555	308,1855457	1,24934971	0,328727327	5,72E-06	0,000787457	Fkbp10
ENSMUSG00000020432	273,5420375	1,119067076	0,298578825	7,09E-06	0,000960368	Tcn2
ENSMUSG00000033685	136,5005579	1,371958698	0,366273326	7,07E-06	0,000960368	Ucp2
ENSMUSG00000006301	289,4134361	1,05933248	0,283785458	7,62E-06	0,000999631	Tmbim1
ENSMUSG00000024679	38,80786947	1,637924471	0,43737656	7,51E-06	0,000999631	Ms4a6d
ENSMUSG00000025321	1196,062107	0,866866784	0,231453398	7,58E-06	0,000999631	Itgb8
ENSMUSG00000066392	2740,100099	-0,574015855	0,152381803	7,50E-06	0,000999631	Nrxn3
ENSMUSG00000028459	40,33754828	1,839875403	0,496110203	7,97E-06	0,001037311	Cd72
ENSMUSG00000029560	951,5676332	0,669693295	0,17871288	8,14E-06	0,001046817	Snx8
ENSMUSG00000073802	201,0267887	1,490452954	0,402472576	8,17E-06	0,001046817	Cdkn2b
ENSMUSG00000006270	25,81322266	-2,165713755	0,584888119	8,53E-06	0,001083931	Vax1
ENSMUSG00000022797	9223,157237	-0,482606488	0,127360605	8,60E-06	0,001084415	Tfrc
ENSMUSG00000039155	35,17386281	1,501658744	0,40664689	9,46E-06	0,001184439	Cdh26
ENSMUSG00000038776	1492,904149	0,759634363	0,205948402	9,73E-06	0,001208538	Ephx1
ENSMUSG00000027907	497,6354953	1,543210021	0,423931264	1,00E-05	0,001229775	S100a11
ENSMUSG00000029675	1003,949968	1,579962607	0,43153238	1,00E-05	0,001229775	Eln
ENSMUSG00000020467	104,4731593	1,292969903	0,355497609	1,08E-05	0,001274125	Efemp1
ENSMUSG00000021613	2231,067311	-0,904644981	0,248247962	1,07E-05	0,001274125	Hapln1
ENSMUSG00000031502	5025,863479	0,93439027	0,256296154	1,09E-05	0,001274125	Col4a1
ENSMUSG00000032431	222,6998488	1,268083899	0,348355903	1,06E-05	0,001274125	Crtap
ENSMUSG00000036905	156,4116539	1,424830974	0,392544374	1,07E-05	0,001274125	C1qb
ENSMUSG00000041920	1174,59464	0,449959504	0,120541886	1,06E-05	0,001274125	Slc16a6
ENSMUSG00000026604	412,0295009	1,10132419	0,303431037	1,10E-05	0,001278607	Ptpn14
ENSMUSG00000070436	1591,107531	1,136652398	0,313585089	1,13E-05	0,001304941	Serpinh1
ENSMUSG00000020538	1325,586328	0,570391392	0,156080172	1,25E-05	0,001440917	Srebf1
ENSMUSG00000049521	126,7217248	1,169738765	0,325452744	1,26E-05	0,001441532	Cdc42ep1
ENSMUSG00000023224	115,6877102	1,017193122	0,282904355	1,30E-05	0,00144775	Serping1
ENSMUSG00000029185	174,7428656	1,192538489	0,332251996	1,28E-05	0,00144775	Fam114a1
ENSMUSG00000030029	1077,211783	0,62900049	0,173189517	1,29E-05	0,00144775	Lrig1
ENSMUSG00000073002	36,94512475	1,60852213	0,446953218	1,30E-05	0,00144775	Vamp5
ENSMUSG00000028173	2109,448284	1,05867858	0,296157719	1,36E-05	0,001494519	Wls
ENSMUSG00000058586	81,93343034	1,026724503	0,286320672	1,38E-05	0,001511135	Serhl
ENSMUSG00000033855	102,4614745	1,097094651	0,307173988	1,41E-05	0,001522618	Ston1
ENSMUSG00000058715	67,21494053	1,419301335	0,39875511	1,41E-05	0,001522618	Fcer1g
ENSMUSG00000022297	184,7576556	1,61597648	0,455622265	1,47E-05	0,00156522	Fzd6
ENSMUSG00000049411	417,7922147	0,660016038	0,183798243	1,47E-05	0,00156522	Tmem241
ENSMUSG00000037405	284,1919453	1,178232945	0,332883092	1,52E-05	0,001614091	Icam1
ENSMUSG00000003812	48,33851546	1,139189482	0,321737965	1,65E-05	0,001743239	Dnase2a
ENSMUSG00000038146	322,3632629	0,604468332	0,169566028	1,69E-05	0,001768641	Notch3
ENSMUSG00000069516	1053,40079	1,312086851	0,376522501	1,85E-05	0,00192114	Lyz2
ENSMUSG00000011884	347,3410017	0,573493035	0,161893518	1,88E-05	0,001931077	Gltp
ENSMUSG00000024164	623,3796733	1,612406087	0,464730269	1,89E-05	0,001931077	C3
ENSMUSG00000051236	142,8412367	1,63970245	0,47260098	1,89E-05	0,001931077	Msrb3
ENSMUSG00000000901	89,03168674	1,356364862	0,391579564	1,95E-05	0,001982664	Mmp11
ENSMUSG00000030148	22,31117739	2,055227487	0,585578063	1,99E-05	0,002008084	Clec4a2
ENSMUSG00000025534	176,5467877	0,815971616	0,234378512	2,05E-05	0,002060934	Gusb
ENSMUSG00000002111	37,35808614	1,892351886	0,549476259	2,09E-05	0,002063999	Spi1
ENSMUSG00000022074	229,3648663	1,113315812	0,322160048	2,10E-05	0,002063999	Tnfrsf10b
ENSMUSG00000027447	10979,70099	0,383932498	0,106998768	2,08E-05	0,002063999	Cst3
ENSMUSG00000102555	40,34526753	-1,31662787	0,381251764	2,11E-05	0,002063999	RP23-474B13.2
ENSMUSG00000042129	239,582973	1,120876464	0,326020446	2,21E-05	0,002140233	Rassf4
ENSMUSG00000048779	27,86872802	1,640817084	0,474328634	2,21E-05	0,002140233	P2ry6
ENSMUSG00000028464	43,02194921	2,167602862	0,634155713	2,28E-05	0,002171725	Tpm2
ENSMUSG00000046731	41,46757339	1,455495682	0,422307811	2,26E-05	0,002171725	Kctd11
ENSMUSG00000055172	50,10732114	1,238036224	0,359517602	2,28E-05	0,002171725	C1ra
ENSMUSG00000045817	202,3221734	0,984482547	0,28646664	2,30E-05	0,002171937	Zfp36l2
ENSMUSG00000034116	40,69627099	1,741268085	0,50988603	2,39E-05	0,002250619	Vav1
ENSMUSG00000029484	259,3414586	1,976848043	0,583377235	2,46E-05	0,002298416	Anxa3
ENSMUSG00000028583	465,550038	1,301799771	0,383458332	2,52E-05	0,002342169	Pdpn
ENSMUSG00000032714	111,9930435	1,11411961	0,327476021	2,58E-05	0,002382929	Syde1
ENSMUSG00000036528	97,97183664	1,092438073	0,320922673	2,61E-05	0,002401907	Ppfibp2
ENSMUSG00000029761	1797,962336	1,223788702	0,360551315	2,68E-05	0,002403361	Cald1
ENSMUSG00000030339	181,1804041	0,795589565	0,23341232	2,67E-05	0,002403361	Ltbr
ENSMUSG00000042613	1316,039262	0,762221119	0,223537913	2,67E-05	0,002403361	Pbxip1
ENSMUSG00000052336	32,95882134	2,447701111	0,725216332	2,68E-05	0,002403361	Cx3cr1
ENSMUSG00000073982	146,7451749	0,850058893	0,249385194	2,67E-05	0,002403361	Rhog
ENSMUSG00000028364	628,4717286	1,297295237	0,38457073	2,71E-05	0,002411633	Tnc
ENSMUSG00000052160	53,54854421	1,475237352	0,436517704	2,76E-05	0,002448064	Pld4
ENSMUSG00000001473	217,7242329	0,865221435	0,256203212	2,91E-05	0,002559431	Tubb6
ENSMUSG00000020844	483,3995136	0,847721404	0,251002501	2,93E-05	0,002563855	Nxn
ENSMUSG00000023249	183,7074596	0,91648365	0,272103051	2,98E-05	0,002594005	Parp3
ENSMUSG00000026344	1020,918801	-1,604003607	0,482048141	2,99E-05	0,002594005	Lypd1
ENSMUSG00000059361	82,12692008	-0,83448076	0,247565714	3,03E-05	0,002614359	Nrsn2
ENSMUSG00000002885	114,4214495	0,876634345	0,260181761	3,06E-05	0,002622332	Adgre5
ENSMUSG00000037815	1068,001892	0,764242819	0,226734629	3,08E-05	0,002628614	Ctnna1
ENSMUSG00000070348	3030,534167	0,863595176	0,257999135	3,23E-05	0,002747869	Ccnd1
ENSMUSG00000006519	95,70231745	1,148478915	0,344816466	3,25E-05	0,002749557	Cyba
ENSMUSG00000029119	438,0567424	1,133469573	0,341215939	3,33E-05	0,002786657	Man2b2
ENSMUSG00000032014	128,5468492	0,8226721	0,245683579	3,33E-05	0,002786657	Oaf
ENSMUSG00000033016	105,2791041	0,865712143	0,259468505	3,37E-05	0,002803559	Nfatc1
ENSMUSG00000016256	318,2358602	1,155239832	0,348733879	3,40E-05	0,002820304	Ctsz
ENSMUSG00000039062	41,53179514	1,823820962	0,554083657	3,48E-05	0,002859779	Anpep
ENSMUSG00000060519	190,3900609	0,867747302	0,261034549	3,49E-05	0,002859779	Tor3a
ENSMUSG00000004266	65,69936807	1,057181391	0,319598151	3,66E-05	0,002990981	Ptpn6
ENSMUSG00000021760	317,9809523	1,054600127	0,320114045	3,72E-05	0,003007816	Gpx8
ENSMUSG00000054612	105,9887352	0,874217164	0,264146227	3,71E-05	0,003007816	Mgmt
ENSMUSG00000026094	118,1941793	0,919895016	0,278496681	3,76E-05	0,003028068	Stk17b
ENSMUSG00000040536	1281,48725	0,957853324	0,290991085	3,81E-05	0,003047251	Necab1
ENSMUSG00000064368	2046,283528	-0,866698543	0,263738371	3,86E-05	0,003075915	mt-Nd6
ENSMUSG00000019122	71,12169113	1,437860715	0,439943912	3,88E-05	0,003079879	Ccl9
ENSMUSG00000031273	235,6936406	1,081767329	0,330857529	4,08E-05	0,003217341	Col4a6
ENSMUSG00000022148	61,62532637	1,489666244	0,460221283	4,26E-05	0,003342185	Fyb
ENSMUSG00000058571	107,4694314	1,104912809	0,340305807	4,34E-05	0,003390381	Gpc6
ENSMUSG00000004707	34,47283576	1,765953749	0,545322743	4,39E-05	0,00341706	Ly9
ENSMUSG00000030341	487,7106778	0,800913826	0,246505894	4,57E-05	0,003543104	Tnfrsf1a
ENSMUSG00000021423	32,89359803	1,443033688	0,445990696	4,82E-05	0,003718331	Ly86
ENSMUSG00000034485	158,94921	0,899922515	0,279153067	4,90E-05	0,003760448	Uaca
ENSMUSG00000030208	259,0969415	1,140084997	0,356456882	5,00E-05	0,003805887	Emp1
ENSMUSG00000041801	948,8797895	0,898551863	0,279308712	5,01E-05	0,003805887	Phlda3
ENSMUSG00000087644	387,1434091	-1,079256094	0,338691351	5,13E-05	0,003885466	RP23-54C14.5
ENSMUSG00000050666	91,36095502	0,895469175	0,278712075	5,17E-05	0,003897096	Vstm4
ENSMUSG00000026042	1252,368465	1,433269704	0,451148775	5,20E-05	0,003902446	Col5a2
ENSMUSG00000024048	716,4538312	1,391567118	0,43843525	5,27E-05	0,003931777	Myl12a
ENSMUSG00000045991	320,7155431	-0,882690501	0,277360986	5,44E-05	0,004040318	Onecut2
ENSMUSG00000038451	83,85017523	0,863714495	0,269716394	5,48E-05	0,004055858	Spsb2
ENSMUSG00000030281	76,20599684	1,018106454	0,31989885	5,64E-05	0,004141489	Il17rc
ENSMUSG00000042249	1313,240557	-0,693824344	0,217180267	5,65E-05	0,004141489	Adrbk2
ENSMUSG00000051279	26,4665959	2,436472687	0,767881545	5,82E-05	0,004251909	Gdf6
ENSMUSG00000037552	230,3708739	1,120908328	0,356521966	5,97E-05	0,004341328	Plekhg2
ENSMUSG00000000530	33,76113422	1,547199053	0,491805189	6,03E-05	0,004350048	Acvrl1
ENSMUSG00000000693	113,7640707	0,699900447	0,219565259	6,03E-05	0,004350048	Loxl3
ENSMUSG00000059555	57,38763211	1,032023447	0,326534652	6,18E-05	0,004432826	Tor4a
ENSMUSG00000037321	776,4192514	0,420511418	0,12980952	6,33E-05	0,00452595	Tap1
ENSMUSG00000041559	591,9181736	1,948569853	0,632587394	6,81E-05	0,004847125	Fmod
ENSMUSG00000027712	1069,588769	0,938146722	0,301754256	6,93E-05	0,004909301	Anxa5
ENSMUSG00000039007	157,8638518	1,229639632	0,399761906	7,35E-05	0,005183023	Cpq
ENSMUSG00000026547	444,2869004	0,616915655	0,199227183	8,33E-05	0,005851803	Tagln2
ENSMUSG00000021281	115,4990535	1,208504747	0,398358312	8,37E-05	0,005858316	Tnfaip2
ENSMUSG00000038677	404,5349739	0,619471208	0,200788001	8,59E-05	0,005986427	Scube3
ENSMUSG00000027962	566,0369194	0,835413722	0,274257757	8,71E-05	0,006017071	Vcam1
ENSMUSG00000031503	3860,940064	0,63755046	0,207279436	8,71E-05	0,006017071	Col4a2
ENSMUSG00000052911	512,982926	0,931712721	0,30693927	8,76E-05	0,006025222	Lamb2
ENSMUSG00000058152	117,5795978	1,161026374	0,38460306	8,98E-05	0,006150117	Chsy3
ENSMUSG00000021047	543,2164432	0,458452421	0,146961682	9,04E-05	0,006166486	Nova1
ENSMUSG00000036395	109,0266701	0,804899893	0,264063554	9,12E-05	0,006200886	Glb1l2
ENSMUSG00000044303	129,5211913	0,741624235	0,243361309	9,27E-05	0,006272572	Cdkn2a
ENSMUSG00000015243	1277,745569	0,715730652	0,235832275	9,38E-05	0,006324803	Abca1
ENSMUSG00000026837	811,2962706	1,12099903	0,377697128	9,91E-05	0,006656241	Col5a1
ENSMUSG00000050732	128,8544358	1,300428739	0,437025243	9,98E-05	0,006671682	Vamp8
ENSMUSG00000032006	68,80005643	1,498053308	0,504995339	0,000101583	0,006750706	Pdgfd
ENSMUSG00000038587	2183,939483	0,509331799	0,166216101	0,000101761	0,006750706	Akap12
ENSMUSG00000000555	150,5311639	1,535070139	0,522348301	0,000106749	0,007053474	Itga5
ENSMUSG00000074170	32,2737542	1,487814925	0,500705727	0,000107929	0,007103261	Plekhf1
ENSMUSG00000023911	267,0933977	0,540341722	0,178536041	0,000111737	0,007324953	Flywch2
ENSMUSG00000001870	105,507612	1,217025849	0,41436743	0,000113318	0,007355048	Ltbp1
ENSMUSG00000019917	102,8257007	0,757279513	0,253926118	0,000112807	0,007355048	Sep-10
ENSMUSG00000097183	57,40817523	2,374499552	0,820553266	0,000113522	0,007355048	RP23-175I24.3
ENSMUSG00000040296	112,1856466	0,826846883	0,279140411	0,000115229	0,007436741	Ddx58
ENSMUSG00000027460	21,18303476	1,825199033	0,615534515	0,000116071	0,007462177	Angpt4
ENSMUSG00000027750	398,7551051	1,907444635	0,65798058	0,00011775	0,007512067	Postn
ENSMUSG00000032737	236,1540883	0,617364188	0,206762395	0,000117407	0,007512067	Inppl1
ENSMUSG00000037306	853,5749202	0,545204486	0,181660296	0,000118709	0,007544395	Man1c1
ENSMUSG00000024913	379,6106125	0,625388039	0,210235245	0,000120573	0,00763372	Lrp5
ENSMUSG00000025877	19,14885853	1,813346947	0,614782945	0,000123863	0,007812281	Hk3
ENSMUSG00000037035	957,1732247	-0,507775246	0,169903174	0,000126005	0,007887637	Inhbb
ENSMUSG00000068744	223,538541	0,742078056	0,252020731	0,00012555	0,007887637	Psrc1
ENSMUSG00000035686	939,4938745	0,509412041	0,170674575	0,000130134	0,008115595	Thrsp
ENSMUSG00000024998	432,4008466	0,578859982	0,195710004	0,000131663	0,008180306	Plce1
ENSMUSG00000061758	152,7864842	0,649881335	0,221227838	0,000133542	0,008266229	Akr1b10
ENSMUSG00000026380	120,487433	1,088289225	0,376926179	0,000134551	0,00829781	Tfcp2l1
ENSMUSG00000105366	16,42559239	2,481676097	0,85119303	0,000137116	0,00842482	RP23-192D21.1
ENSMUSG00000020354	74,91394454	0,817668759	0,280947207	0,000138236	0,008447801	Sgcd
ENSMUSG00000024778	80,58594621	0,910027915	0,314798069	0,000138505	0,008447801	Fas
ENSMUSG00000027864	950,5577372	0,780003192	0,268642162	0,000141356	0,008590237	Ptgfrn
ENSMUSG00000078771	15,14790409	2,004696489	0,685775814	0,000142302	0,008616272	Evi2a
ENSMUSG00000037370	208,9016324	1,15154444	0,403895591	0,000144767	0,008733779	Enpp1
ENSMUSG00000030717	167,8572624	1,481252377	0,524079041	0,000147951	0,008893599	Nupr1
ENSMUSG00000029455	914,1688134	0,529868504	0,180648106	0,000148763	0,008910251	Aldh2
ENSMUSG00000038370	636,003834	0,772901172	0,268465818	0,000151256	0,009027084	Pcp4l1
ENSMUSG00000022500	222,3747629	0,733948785	0,255721571	0,000154027	0,009159663	Litaf
ENSMUSG00000097769	189,8632671	-0,565295767	0,194706323	0,000154743	0,00916949	Snhg4
ENSMUSG00000005803	49,09356555	1,178398484	0,416140752	0,000159854	0,009405388	Sqrdl
