# GimmeMotifs version 0.16.1
# Input: /home/ia1014/gimmemotifs/output/shared_denovo/generated_background.gc.fa
# Motifs: /home/ia1014/gimmemotifs/output/shared_denovo/combined.pfm
# Scoring: GC frequency normalized z-score
	GimmeMotifs_1	GimmeMotifs_2	GimmeMotifs_3	GimmeMotifs_4	GimmeMotifs_5	GimmeMotifs_6	GimmeMotifs_7	GimmeMotifs_8	GimmeMotifs_9	GimmeMotifs_10	GimmeMotifs_11	GimmeMotifs_12	GimmeMotifs_13	GimmeMotifs_14	GimmeMotifs_15	GimmeMotifs_16	GimmeMotifs_17	GimmeMotifs_18	GimmeMotifs_19
chr9:23080200-23080400	-0.781842	-0.999097	-1.361157	-0.869307	-0.781523	-0.327587	0.151032	-0.850522	-1.199927	-1.987048	-1.452924	0.837943	-0.028744	0.411431	-1.970291	-1.998734	0.829069	-1.376744	0.692195
chr12:35078200-35078400	1.043337	1.222859	-1.361157	0.460301	-0.100134	-0.536461	0.259058	0.182503	-0.461343	-0.727436	0.090439	-1.145410	0.672316	1.608869	-0.049864	0.036637	-0.579091	0.932845	2.439770
chr10:38044000-38044200	0.785250	-0.711891	-0.297951	0.357884	-0.809594	-1.850208	1.416710	-0.860991	-0.053183	0.445710	0.324094	0.366708	-0.202188	0.411431	0.249061	-0.270207	-0.357760	-0.429964	-0.286708
chr6:18092100-18092300	0.428411	-0.603647	-0.297951	-0.942228	-0.611593	-0.912984	-0.240480	0.987810	2.306631	0.348185	-0.176482	-0.865942	0.845759	-0.648032	1.564407	0.036637	0.639349	1.616854	0.988327
chr3:132060900-132061100	2.721788	0.598628	0.024921	-0.180180	1.118457	0.404531	-0.242457	0.942288	1.347199	1.085752	-0.035852	-0.845692	-0.028744	-0.786007	0.780416	0.036637	-2.576694	-0.319618	-0.753415
chr9:92689400-92689600	-0.231115	1.123707	1.088127	-1.283934	-0.008882	-0.364398	-0.053987	2.110131	0.165723	0.103956	0.632248	1.149942	-0.202517	0.411431	0.028299	0.121408	0.441376	-0.323887	0.494218
chrX:89577500-89577700	-0.591558	-1.538230	-0.042275	-0.510706	0.695304	-0.492074	-0.587687	-1.198154	-1.685691	-0.946358	-1.676965	-1.705308	-0.202188	-0.786007	0.268392	0.036637	-0.680227	-0.003494	-0.968828
chr11:86268700-86268900	0.800945	0.608845	1.343804	1.952535	-0.267387	-0.876542	1.885985	0.780900	0.189607	-0.110587	0.218978	-0.692735	-0.028744	1.608869	0.415096	0.036637	0.804362	1.354805	0.426580
chr8:97148300-97148500	-1.086280	-0.803341	0.024921	1.497413	-0.419641	-0.293673	-0.868963	-0.570389	-0.878840	0.339523	-1.295164	-0.550711	-2.227507	-0.786007	1.165637	0.036637	0.019585	0.060499	-0.486372
chr12:99589900-99590100	-0.932966	-1.095802	-1.361157	-0.688897	0.693999	-0.240180	0.184013	2.271520	0.710102	0.974936	0.535351	0.090491	-0.202188	-0.648032	2.168953	-1.607119	-1.010383	-0.473974	0.365667
chr1:177043500-177043700	-1.483002	-0.734844	1.343804	0.778449	-0.070345	2.674273	-0.016845	1.248801	-1.883222	0.758475	0.472240	0.602405	0.672316	-0.786007	0.706868	1.458320	-0.678024	-0.565337	1.009023
chr2:31999200-31999400	2.608013	0.358986	3.860284	4.612328	0.178405	-0.130085	0.588506	-1.460633	1.856846	-0.085280	2.284772	2.061111	0.845759	0.411431	2.454493	1.765164	2.050835	1.616854	-0.041508
chr2:59429700-59429900	0.000420	-0.154800	-0.042275	1.333472	1.040194	-0.472777	1.468115	0.072714	-0.126326	0.577050	2.237168	-0.365166	-0.202517	4.141720	-0.864933	1.765164	0.156992	-0.109636	-0.744212
chr18:17916300-17916500	-0.811490	-0.200050	-1.173979	-0.175070	-1.429356	0.069166	-0.405671	0.506401	1.065120	-0.991122	1.140927	0.703595	-0.431683	-1.780164	0.790297	0.088634	-0.709634	1.293518	0.794003
chrX:87351700-87351900	1.178478	-0.230179	1.088127	0.629657	0.801613	-1.783680	-0.776756	0.790725	0.082792	-0.110587	-1.058158	-0.437263	-0.028744	0.411431	-1.454420	1.765164	0.950845	1.056279	0.551461
chr7:54191600-54191800	1.069781	0.131629	-1.199419	0.914164	-1.041858	0.826918	-0.590883	-0.854024	-0.426855	0.785709	0.600779	-1.009913	0.672316	-0.786007	-0.129140	0.036637	-2.000323	1.083607	-0.060732
chr2:67842800-67843000	0.562546	0.524329	1.343804	-0.540168	-0.678891	-0.784831	-0.535160	-1.169030	-0.144288	2.156745	-1.536336	-1.694991	-0.028744	-0.786007	0.535643	1.765164	0.081104	-0.286277	0.584018
chr2:113048400-113048600	-1.342975	-1.083144	-1.361157	0.843186	-1.205345	0.118032	0.402779	-1.336903	-2.358530	-1.265707	0.568616	0.900662	-0.202188	-1.845469	-2.049746	0.036637	0.678696	-0.644109	-0.410660
chr10:84269600-84269800	0.707231	0.191363	1.411000	-0.501693	1.334690	-1.265502	-0.335702	0.180810	-1.099237	0.505801	-1.295164	2.222996	-0.202188	-0.648032	-1.040396	0.036637	0.998328	0.301949	-0.551369
chr9:39748000-39748200	0.821705	-0.329014	0.024921	-0.159838	-1.063928	-0.651107	-0.028234	0.214728	0.234622	0.167394	0.632248	0.960376	0.672316	1.608869	-0.439811	0.036637	1.448329	-1.214967	-1.314417
chr1:112154100-112154300	2.236884	0.077490	2.729882	0.154166	-0.535596	1.122148	0.442713	0.697250	-0.223488	-1.003987	2.017851	0.589536	0.672316	-0.786007	0.026279	-1.691890	1.622282	-1.376744	-0.897285
chr9:33214800-33215000	0.844627	0.379516	0.024921	0.795465	0.004070	-0.051860	-0.755628	-0.465510	-0.947475	0.454373	-1.215918	0.444068	0.672316	-1.845469	1.508806	0.036637	1.193742	0.853433	1.351132
chr10:56344000-56344200	0.010936	-1.896376	-0.297951	-0.460895	0.688125	-0.468938	2.918917	-0.951338	0.097563	2.156745	2.666573	1.269048	-0.375960	-0.786007	1.128693	0.036637	0.629514	1.354805	-0.005527
chr2:40452100-40452300	0.855189	-0.889564	0.024921	1.349404	-0.157902	-0.203319	-1.166025	-0.026416	-0.393441	-1.736223	0.612869	0.680276	-0.028744	-0.648032	-0.545432	0.036637	0.020489	-0.367281	1.727549
chr14:8430400-8430600	-0.155968	0.681230	-0.297951	-1.066089	-1.147930	-0.146122	0.210852	-0.435093	0.933584	-1.333708	0.205319	-0.065822	0.672316	0.549406	0.089229	0.036637	-1.336780	1.912244	-0.274079
chr10:39841100-39841300	-0.622792	0.226369	1.088127	-0.921620	1.305790	0.205128	0.458766	0.198487	-2.059084	0.255625	0.612869	0.541364	-0.202188	-0.786007	-0.658945	0.036637	0.765334	0.255247	0.760950
chr6:79160500-79160700	0.294252	2.242340	-1.361157	2.636330	0.769090	0.149330	-0.653295	0.140626	1.607669	-0.820220	0.376738	0.867016	-0.202188	0.411431	0.479012	0.036637	0.900421	-0.333037	-0.055509
chr9:33380500-33380700	1.045730	0.600621	-0.297951	0.369768	-0.512751	-0.785523	1.561143	0.405397	1.233030	2.156745	0.705895	-0.628836	-0.028744	-1.845469	1.672261	0.036637	-0.510298	-0.048473	0.530395
chrX:76918600-76918800	0.503265	0.432105	-0.042275	0.742136	0.411264	-0.866283	1.796000	2.570209	1.204578	0.445710	0.452633	0.615751	0.845759	0.411431	1.719614	0.036637	0.502857	0.053266	2.163811
chr14:84507900-84508100	-1.375619	-0.751624	1.411000	1.712301	-0.579434	-0.122150	0.030724	-0.618654	-1.986521	0.445710	-1.251432	0.614964	0.672316	0.411431	-0.711667	0.121408	-0.968598	-0.222149	0.894660
chr1:130530400-130530600	-1.117090	0.546251	0.024921	1.123087	0.690782	0.802102	0.243081	1.390816	-0.053183	1.189479	0.324094	-0.037484	-0.202188	-0.786007	-0.719090	-1.607119	0.068540	0.670796	0.663467
chr17:11515500-11515700	0.917163	0.885321	1.088127	-0.825914	-0.946800	1.166639	0.239559	-0.516583	0.438309	-0.191467	0.834435	-2.372872	-0.202188	0.411431	0.094862	-1.998734	-1.197272	1.106122	-1.004636
chr12:64309900-64310100	-0.031629	0.070934	0.024921	1.445172	2.262997	-0.735255	-0.370882	0.238452	0.432474	-0.461464	0.345949	1.229406	-0.375960	-0.786007	-0.055858	0.036637	0.233692	0.397732	-1.086733
chr9:23107900-23108100	0.808895	-0.641963	1.343804	0.581861	0.749902	-0.377795	0.596008	-0.726946	0.933584	-1.534978	-1.485087	0.990662	0.845759	0.411431	-0.067259	0.036637	-0.571504	-0.756863	-0.043182
chr19:20407600-20407800	-1.071256	-1.406547	0.024921	-0.883096	0.805810	-1.203254	-0.046203	-1.473765	0.612259	0.399614	0.612869	1.155954	-2.400950	0.411431	-0.097464	0.036637	-0.737964	-0.105233	0.300776
chr5:81751300-81751500	-0.804034	-1.453543	0.024921	-0.923140	-1.505337	-0.603191	-1.736991	0.129827	-1.442795	0.577050	0.231068	-1.291688	0.845759	-0.648032	-1.586554	-1.607119	-0.154326	1.552726	0.117717
chr4:145539900-145540100	-0.868150	0.317151	0.119463	-0.110862	0.161763	-0.723349	1.360203	-0.087462	1.224904	-0.191467	0.612869	-1.378784	-0.375960	0.411431	-0.519419	-0.270207	0.260686	0.843725	0.937071
chr9:101199200-101199400	0.268611	0.596852	0.119463	1.877566	-0.201472	0.958801	0.091594	1.055982	-0.510495	-0.305700	0.205319	1.591265	0.672316	0.411431	1.980230	1.765164	1.258910	-0.498257	0.203390
chr7:53025500-53025700	-0.468605	-0.381456	-1.199419	0.658884	0.608210	0.176693	-0.517064	-0.174102	0.639912	-1.480250	0.612869	-0.909758	-0.202188	0.411431	0.631014	1.765164	1.240941	-0.581667	-0.485851
chr7:9559300-9559500	0.219347	-0.041790	-0.042275	0.987429	0.616165	-0.596318	-0.205249	-0.297678	-0.437353	-1.868924	0.345949	1.317191	0.672316	0.411431	-2.011375	0.121408	2.660239	-1.107284	1.070819
chrY:7924700-7924900	0.263621	-0.737212	0.024921	0.246049	0.428412	-0.293673	-0.408582	-0.541122	0.126127	1.116703	-1.344457	0.265644	0.672316	-0.786007	1.555961	1.458320	-0.124594	-0.998312	0.532550
chr10:6436900-6437100	-0.711897	0.015037	0.024921	-1.399742	-1.321958	-1.433448	0.741213	0.355509	-2.708318	-1.109054	-1.215918	-0.979295	-0.202517	0.411431	0.551466	0.036637	-1.552426	-0.783927	-0.470245
chr14:97386000-97386200	-0.065235	-1.079116	0.185402	0.493897	-0.093752	-0.598806	-0.576615	-0.021850	0.040438	1.885975	-0.951501	0.053521	-0.431279	-0.528150	0.933269	0.088634	0.791464	-0.051378	-0.845403
chr2:62912700-62912900	0.970909	0.266624	0.024921	-0.408102	-1.369071	-0.484829	0.110328	-1.139867	-0.393441	-0.461464	0.376738	-0.398293	-0.202188	-0.648032	0.391137	-1.607119	-0.173238	-1.111824	-0.616876
chr2:63550400-63550600	0.175247	-1.474612	0.024921	0.683481	-1.111636	-0.215940	1.357766	0.077271	-2.247512	-0.829898	0.709246	-0.122583	-0.375960	0.411431	-1.565354	0.036637	-0.739464	1.345655	-0.467795
chr2:66930400-66930600	0.735820	0.506647	1.343804	1.401740	1.054198	0.323291	-1.308167	-0.536667	0.448141	2.156745	0.231068	0.897648	-0.375960	1.608869	-0.920095	-0.270207	-0.544616	-0.057569	-1.084794
chr7:63596200-63596400	0.399938	-0.694281	-0.297951	-0.471753	0.744166	0.187863	-0.825908	-0.341422	-0.241611	1.108041	-1.215918	-0.813510	0.845759	0.411431	0.046207	0.036637	-0.768175	-0.630744	-0.538696
chrY:28478000-28478200	2.371478	1.099921	-0.042275	-1.791444	2.614251	-0.663846	0.337909	0.424944	1.204578	0.103956	0.452633	0.572783	-0.202517	0.411431	0.561459	-1.607119	-1.235816	-1.052248	1.360268
chrX:168509500-168509700	2.606113	0.810014	0.024921	4.025200	-1.346320	1.718580	-0.699129	0.287190	1.204578	1.640901	2.377797	-2.053567	-0.202188	-0.648032	1.179066	0.036637	-0.232039	1.354805	-0.752428
chr3:126186100-126186300	-1.586496	0.407646	-0.297951	0.576300	0.286258	-0.740030	0.401713	0.533569	1.121906	-1.796314	-1.138806	0.732981	0.845759	-0.786007	0.142141	0.036637	-0.741500	0.131813	-0.395468
chr2:110677500-110677700	0.358149	-0.462838	-0.297951	-0.227033	-0.469018	-0.655776	0.507827	0.977788	1.238184	0.445710	0.205319	0.723001	0.672316	0.411431	-0.647804	0.121408	-0.804490	-1.064026	-0.775501
chr18:18670900-18671100	-0.139025	0.653063	0.024921	0.195318	0.590947	0.028653	1.151382	0.213494	1.048869	-1.343486	0.612869	0.961852	-0.202188	0.549406	0.879598	0.036637	-0.652454	-0.319618	-0.527129
chr9:81746200-81746400	1.018529	0.686651	-0.297951	-0.083460	1.172885	-1.859903	-0.583225	-0.332070	-0.126326	-1.480250	-1.312295	-1.067565	-0.202188	1.608869	-0.541201	0.036637	0.326694	-0.418214	-0.161195
chrX:120247700-120247900	0.439153	-0.288951	1.411000	2.144499	-0.757695	1.727752	0.518985	0.258025	1.149559	-1.133984	0.709246	-0.860916	0.845759	0.411431	-0.222598	0.036637	0.675149	-0.278962	2.641799
chr4:9045800-9046000	-1.199941	-1.469604	-0.297951	0.102709	-0.361526	-0.602577	-1.219935	-0.418549	-1.208465	0.348185	0.090439	-0.909855	-0.202188	0.411431	-0.199467	0.036637	-1.193725	-0.745848	-0.095302
chr19:38978800-38979000	-0.141950	0.078011	1.088127	0.200965	1.088980	-0.742373	0.556873	0.130563	-0.358733	-0.172900	0.231068	0.576020	-0.375960	0.411431	-0.271290	0.036637	0.056831	-1.116992	-0.738446
chr6:79350200-79350400	-0.632313	0.266489	-0.297951	-1.107710	-0.689337	-1.875144	0.049004	1.394121	-0.436055	0.103956	0.612869	1.212640	-0.028744	-0.786007	-0.229151	0.036637	0.753507	-0.316825	-0.319666
chr7:77587300-77587500	0.836271	-1.273555	0.024921	-0.308298	-1.115435	-0.602577	0.857709	0.948178	-1.100940	0.169625	-1.198788	-0.227232	-0.028744	-0.648032	-0.354083	0.036637	-1.157840	-0.575712	0.541130
chr7:88682300-88682500	0.077488	-0.034676	0.024921	-1.136111	-1.632860	-0.436488	1.888969	-0.388133	-0.053289	0.577050	-1.215918	-0.327637	0.672316	0.411431	-0.272335	0.036637	-0.274831	-0.644109	-0.750351
chr4:19676000-19676200	-1.125482	-1.002714	-1.266615	0.564704	0.436411	-0.339304	-0.372881	-1.463744	-0.940574	-1.908386	-1.344457	-1.453770	-0.202188	-0.648032	1.224107	0.036637	1.103124	-0.772525	-0.861672
chr13:79946400-79946600	0.247675	-1.158555	0.024921	-1.093534	-0.245157	0.229834	-0.028612	-1.778946	0.121447	1.116703	0.324094	-1.162870	-0.202517	-0.786007	0.217067	0.036637	-0.068205	0.659781	-0.174529
chr12:98860000-98860200	-0.032688	-1.441680	-1.361157	-1.417340	0.874621	-0.664517	0.089373	1.132685	0.423937	-0.482408	0.600779	0.544445	0.845759	0.411431	-1.858415	-1.607119	0.004938	1.974687	-0.419733
chr11:30813500-30813700	-0.922836	-0.546192	0.024921	-0.882425	-1.074458	0.016340	-0.876711	-0.008697	-1.408307	-0.926407	0.758539	0.833616	-0.202517	0.549406	0.105165	-1.607119	-0.951532	1.021164	0.479928
chr17:18730900-18731100	0.524361	-1.184432	-1.361157	0.772271	1.372271	0.164588	-0.975172	0.638885	0.122745	-0.574968	2.525943	1.032026	-3.449227	-0.786007	-0.128705	1.765164	-0.343626	0.477144	-0.936093
chr2:78991700-78991900	0.150699	-0.630642	1.411000	1.459522	0.838911	-0.740030	-0.306486	0.277846	-0.241611	-1.216661	2.666573	0.412946	-2.400950	-0.786007	0.938338	0.036637	0.883482	0.578642	0.636820
chr10:29263300-29263500	0.898371	-0.837643	1.343804	-0.087370	0.481075	-1.516224	-0.916503	-0.767474	0.645779	-0.778470	0.345949	0.428479	-0.028744	1.608869	-0.567960	0.036637	-1.117356	0.098244	0.185578
chr15:51374700-51374900	-0.439788	0.834319	-0.042275	-1.053186	-0.411365	1.907217	0.514601	1.292072	-1.250370	2.409419	-1.154535	-0.962415	0.845759	-0.786007	-0.504349	-1.691890	-1.311870	-0.877282	-1.376679
chr15:17712700-17712900	0.722410	-0.763617	-0.297951	2.054998	-0.056341	-0.212024	-0.124153	0.682629	0.781754	2.156745	-1.154535	-0.496220	-0.028744	0.411431	1.818554	0.036637	1.727808	0.044169	-0.721664
chr5:50594500-50594700	0.738017	-0.808075	1.088127	0.523659	-0.991210	-0.942645	-0.455210	0.794546	-0.510495	-1.125321	0.438975	-0.526370	-0.202517	1.608869	0.895639	0.036637	-0.224696	-0.838002	-0.468777
chrX:76823000-76823200	0.296794	0.472332	0.186659	1.783149	-1.281427	-1.662199	-1.030960	0.645663	-2.472285	0.577050	0.231068	0.935344	-0.202188	-0.648032	-1.096986	-0.270207	-0.583305	1.097025	-0.692049
chr5:41733000-41733200	0.257325	-0.784630	-0.042275	1.637136	-0.520302	1.714479	-0.191261	0.638885	-0.437440	-0.010042	0.472240	1.038082	0.672316	0.411431	-1.350265	0.036637	2.434109	2.775718	-0.905159
chr13:79480500-79480700	1.071928	0.119587	-1.361157	0.583877	-1.101598	-0.708567	-0.372989	-0.201302	-1.735960	-1.812959	0.298345	-1.833848	-0.202517	-0.786007	-0.055858	0.036637	-0.905976	-0.130235	-0.478769
chr13:102185700-102185900	0.076331	-1.347797	1.088127	-0.280129	0.554622	0.658582	-1.270936	0.421638	-0.658179	0.974936	0.298345	1.467320	0.672316	0.411431	-1.131357	0.036637	-0.811813	1.561823	0.210692
chr2:175136100-175136300	-0.550888	-0.934930	0.119463	-0.209718	-1.056763	-0.427529	-0.036425	2.522963	-1.499373	-0.693684	0.612869	-1.730528	-0.202188	-0.786007	1.772294	-1.607119	-0.012211	-0.544774	-0.104839
chr16:82935400-82935600	-0.834204	-0.532166	-0.297951	-1.088452	-0.590228	-0.515953	-1.167809	-1.034988	-0.809941	2.156745	0.442325	0.068911	-0.202188	0.411431	-1.415067	-1.691890	0.512279	-1.376744	-0.642239
chr12:51182800-51183000	0.814640	-1.085150	-0.042275	0.560541	-0.648310	-0.910977	-0.630942	1.806953	-2.806312	-0.157890	-1.344457	-0.507302	-0.202188	1.608869	-0.318637	1.765164	-0.244683	0.670796	0.664601
chr16:15599500-15599700	0.533354	-0.508809	0.024921	1.503346	-0.600850	-0.377227	-0.112773	-1.257307	1.923866	0.339523	0.612869	1.391351	0.672316	-0.648032	-1.685401	0.121408	1.193483	0.200210	0.584198
chr4:10121100-10121300	0.161818	0.445149	-1.361157	0.891769	0.512647	-0.484829	1.767125	0.224750	-0.985483	1.116703	0.218978	0.010353	-0.202517	-0.786007	-0.919704	0.036637	-0.876591	0.220810	0.189002
chr12:62586400-62586600	-1.211885	0.789743	-0.297951	0.797127	0.281604	-0.999500	0.217211	-1.041351	1.747832	-0.110587	0.301696	0.153486	-0.202188	1.608869	0.662495	0.036637	0.135851	-0.319618	-0.908876
chr4:102424600-102424800	-0.773285	-0.317272	0.119463	0.128289	-1.782028	-1.640061	-0.860732	0.224554	-0.320041	0.103956	-0.035852	1.824017	0.672316	0.549406	0.254394	0.036637	0.717679	-0.723521	-0.957526
chr16:62222300-62222500	0.357670	-0.413541	-1.199419	0.081452	-0.266001	-1.723747	1.686175	0.087334	-0.736799	-1.133984	0.612869	-0.572865	0.672316	0.411431	0.572156	0.036637	-0.033989	-0.756863	0.381746
chr1:128161800-128162000	0.698763	-0.409580	1.088127	-1.280076	1.577984	1.714479	-0.993558	0.421638	-0.584649	0.445710	0.090439	1.423914	0.845759	2.806307	-0.820962	-1.691890	-1.590248	0.082023	0.592769
chr12:47254400-47254600	-0.868437	1.297118	-0.297951	1.061398	-0.108688	-0.358343	-0.392757	0.529734	0.608508	0.124980	0.565266	0.933409	-0.202188	1.608869	-1.224807	0.036637	-0.823526	1.964978	-0.468563
chr1:192134200-192134400	0.856070	0.564685	1.343804	0.811993	1.955707	0.645652	0.280879	0.076534	0.199137	1.640901	0.090439	0.046573	-0.202188	-0.786007	-1.043758	0.036637	0.850035	-0.813272	-0.657280
