Chrom	Start	End	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr10	75920814	75922463	Promoter (<=1kb)	10	75896769	75921617	24849	2	ENSMUST00000000925	0	ENSMUSG00000000902	ENSMUSG00000000902
chr12	100199129	100199938	Promoter (<=1kb)	12	100199435	100209806	10372	1	ENSMUST00000110082	0	ENSMUSG00000001175	ENSMUSG00000001175
chr12	100200219	100201899	Promoter (<=1kb)	12	100200144	100209806	9663	1	ENSMUST00000001204	76	ENSMUSG00000001175	ENSMUSG00000001175
chr12	100264529	100265919	Distal Intergenic	12	100205403	100206495	1093	1	ENSMUST00000127300	59127	ENSMUSG00000001175	ENSMUSG00000001175
chr12	100266244	100267530	Distal Intergenic	12	100205403	100206495	1093	1	ENSMUST00000127300	60842	ENSMUSG00000001175	ENSMUSG00000001175
chr12	111671367	111673066	Promoter (<=1kb)	12	111669355	111672338	2984	2	ENSMUST00000001304	0	ENSMUSG00000001270	ENSMUSG00000001270
chr15	102404893	102405557	Promoter (<=1kb)	15	102406143	102408235	2093	1	ENSMUST00000170884	-586	ENSMUSG00000001280	ENSMUSG00000001280
chr9	78107641	78109032	Promoter (<=1kb)	9	78081499	78108656	27158	2	ENSMUST00000085311	0	ENSMUSG00000001366	ENSMUSG00000001366
chr3	88177417	88178034	Distal Intergenic	3	88168252	88168906	655	1	ENSMUST00000152861	9166	ENSMUSG00000001419	ENSMUSG00000001419
chr5	4103315	4105350	Promoter (<=1kb)	5	4081145	4104746	23602	2	ENSMUST00000001507	0	ENSMUSG00000001467	ENSMUSG00000001467
chr17	35837261	35839881	Promoter (<=1kb)	17	35833926	35838306	4381	2	ENSMUST00000001566	0	ENSMUSG00000001525	ENSMUSG00000001525
chr6	113306932	113308126	Promoter (<=1kb)	6	113307181	113324857	17677	1	ENSMUST00000113122	0	ENSMUSG00000001632	ENSMUSG00000001632
chr7	30194018	30195075	Promoter (<=1kb)	7	30190049	30194150	4102	2	ENSMUST00000126116	0	ENSMUSG00000001794	ENSMUSG00000001794
chr9	25251147	25253110	Promoter (<=1kb)	9	25252439	25308571	56133	1	ENSMUST00000115272	0	ENSMUSG00000001833	ENSMUSG00000001833
chr8	84765143	84773880	Promoter (<=1kb)	8	84704712	84773396	68685	2	ENSMUST00000109764	0	ENSMUSG00000001911	ENSMUSG00000001911
chr8	84774196	84786185	Promoter (<=1kb)	8	84708626	84774369	65744	2	ENSMUST00000109762	0	ENSMUSG00000001911	ENSMUSG00000001911
chr8	84797057	84799450	Promoter (<=1kb)	8	84713795	84800024	86230	2	ENSMUST00000126806	574	ENSMUSG00000001911	ENSMUSG00000001911
chr9	37625965	37626390	Intron (ENSMUST00000002007/ENSMUSG00000001942, intron 3 of 9)	9	37613847	37648318	34472	1	ENSMUST00000002007	12119	ENSMUSG00000001942	ENSMUSG00000001942
chr9	44881692	44883577	Promoter (<=1kb)	9	44841563	44881296	39734	2	ENSMUST00000128768	-397	ENSMUSG00000002028	ENSMUSG00000002028
chr11	78245156	78246199	Promoter (<=1kb)	11	78206746	78245987	39242	2	ENSMUST00000002121	0	ENSMUSG00000002052	ENSMUSG00000002052
chr11	78188140	78189188	Promoter (<=1kb)	11	78188430	78192188	3759	1	ENSMUST00000002128	0	ENSMUSG00000002059	ENSMUSG00000002059
chr7	16308329	16310117	Promoter (<=1kb)	7	16309616	16318205	8590	1	ENSMUST00000002152	0	ENSMUSG00000002083	ENSMUSG00000002083
chr2	91053427	91054546	Promoter (<=1kb)	2	91054009	91059432	5424	1	ENSMUST00000067663	0	ENSMUSG00000002102	ENSMUSG00000002102
chr2	6866829	6872567	Promoter (<=1kb)	2	6546859	6872597	325739	2	ENSMUST00000150624	30	ENSMUSG00000002107	ENSMUSG00000002107
chr2	6872832	6876947	Promoter (<=1kb)	2	6546859	6872597	325739	2	ENSMUST00000150624	-236	ENSMUSG00000002107	ENSMUSG00000002107
chr2	6880830	6885629	Promoter (<=1kb)	2	6539705	6884996	345292	2	ENSMUST00000114924	0	ENSMUSG00000002107	ENSMUSG00000002107
chr2	7089452	7090619	Distal Intergenic	2	6721528	7081302	359775	2	ENSMUST00000137733	-8151	ENSMUSG00000002107	ENSMUSG00000002107
chr2	91237201	91237874	Promoter (<=1kb)	2	91211856	91236982	25127	2	ENSMUST00000028696	-220	ENSMUSG00000002109	ENSMUSG00000002109
chr7	24399733	24400415	Promoter (<=1kb)	7	24399921	24407563	7643	1	ENSMUST00000108434	0	ENSMUSG00000002210	ENSMUSG00000002210
chr14	55671692	55672677	Promoter (<=1kb)	14	55672235	55678750	6516	1	ENSMUST00000002397	0	ENSMUSG00000002326	ENSMUSG00000002326
chr17	5856512	5857077	Intron (ENSMUST00000002436/ENSMUSG00000002365, intron 1 of 17)	17	5841328	5931033	89706	1	ENSMUST00000002436	15185	ENSMUSG00000002365	ENSMUSG00000002365
chr1	5020113	5020803	Promoter (<=1kb)	1	4909576	5019539	109964	2	ENSMUST00000002533	-575	ENSMUSG00000002459	ENSMUSG00000002459
chr15	76080004	76081399	Promoter (<=1kb)	15	76070184	76080946	10763	2	ENSMUST00000002599	0	ENSMUSG00000002524	ENSMUSG00000002524
chr10	128645262	128645789	Promoter (<=1kb)	10	128641177	128645790	4614	2	ENSMUST00000139442	1	ENSMUSG00000002578	ENSMUSG00000002578
chr12	50190982	50192004	Distal Intergenic	12	50341231	50649223	307993	2	ENSMUST00000002765	457219	ENSMUSG00000002688	ENSMUSG00000002688
chr5	135186603	135188059	Promoter (<=1kb)	5	135187264	135246129	58866	1	ENSMUST00000002825	0	ENSMUSG00000002748	ENSMUSG00000002748
chr7	44856615	44857886	Promoter (<=1kb)	7	44857139	44862650	5512	1	ENSMUST00000107876	0	ENSMUSG00000002963	ENSMUSG00000002963
chr7	44891579	44897284	Promoter (<=1kb)	7	44879391	44892397	13007	2	ENSMUST00000003049	0	ENSMUSG00000002968	ENSMUSG00000002968
chr7	19665161	19666568	Promoter (<=1kb)	7	19631581	19665030	33450	2	ENSMUST00000055242	-132	ENSMUSG00000002981	ENSMUSG00000002981
chr6	134920375	134921501	Promoter (<=1kb)	6	134920401	134925513	5113	1	ENSMUST00000003115	0	ENSMUSG00000003031	ENSMUSG00000003031
chr8	72240049	72240604	Promoter (<=1kb)	8	72240110	72249881	9772	1	ENSMUST00000145213	0	ENSMUSG00000003033	ENSMUSG00000003033
chr10	80137809	80138883	Promoter (<=1kb)	10	80138632	80142400	3769	1	ENSMUST00000150347	0	ENSMUSG00000003072	ENSMUSG00000003072
chr7	17027071	17027741	Promoter (<=1kb)	7	17015463	17027615	12153	2	ENSMUST00000153242	0	ENSMUSG00000003099	ENSMUSG00000003099
chr11	98202066	98202582	Promoter (<=1kb)	11	98203059	98251564	48506	1	ENSMUST00000107539	-477	ENSMUSG00000003119	ENSMUSG00000003119
chr6	122819490	122821498	Promoter (<=1kb)	6	122819914	122845366	25453	1	ENSMUST00000003238	0	ENSMUSG00000003154	ENSMUSG00000003154
chr6	121109932	121110414	Distal Intergenic	6	121007241	121081609	74369	2	ENSMUST00000077159	-28324	ENSMUSG00000003178	ENSMUSG00000003178
chr6	121129654	121131043	Distal Intergenic	6	121007241	121081609	74369	2	ENSMUST00000077159	-48046	ENSMUSG00000003178	ENSMUSG00000003178
chr17	56009228	56010042	Promoter (<=1kb)	17	56009231	56016653	7423	1	ENSMUST00000159996	0	ENSMUSG00000003199	ENSMUSG00000003199
chr17	55958645	55959952	Promoter (<=1kb)	17	55959187	55967949	8763	1	ENSMUST00000086869	0	ENSMUSG00000003208	ENSMUSG00000003208
chr10	58446184	58446718	Promoter (<=1kb)	10	58446852	58494155	47304	1	ENSMUST00000003310	-134	ENSMUSG00000003226	ENSMUSG00000003226
chr16	20517192	20517593	Promoter (<=1kb)	16	20517186	20525319	8134	1	ENSMUST00000169552	7	ENSMUSG00000003233	ENSMUSG00000003233
chr9	21002413	21003485	Promoter (<=1kb)	9	21002737	21008835	6099	1	ENSMUST00000003386	0	ENSMUSG00000003299	ENSMUSG00000003299
chr7	24972119	24972656	Promoter (<=1kb)	7	24969750	24972728	2979	2	ENSMUST00000076961	72	ENSMUSG00000003380	ENSMUSG00000003380
chr7	45153911	45154594	Promoter (<=1kb)	7	45154303	45160069	5767	1	ENSMUST00000107813	0	ENSMUSG00000003423	ENSMUSG00000003423
chr7	28338283	28338714	Promoter (<=1kb)	7	28314898	28338719	23822	2	ENSMUST00000003527	5	ENSMUSG00000003435	ENSMUSG00000003435
chr7	28338953	28339191	Promoter (<=1kb)	7	28314898	28338719	23822	2	ENSMUST00000003527	-235	ENSMUSG00000003435	ENSMUSG00000003435
chr1	172082219	172083156	Promoter (<=1kb)	1	172066013	172082795	16783	2	ENSMUST00000003550	0	ENSMUSG00000003458	ENSMUSG00000003458
chr16	17922105	17922882	Downstream (2-3kb)	16	17925682	17927343	1662	2	ENSMUST00000129270	4461	ENSMUSG00000003528	ENSMUSG00000003528
chr17	35697090	35697817	Promoter (<=1kb)	17	35690159	35697971	7813	2	ENSMUST00000146472	154	ENSMUSG00000003534	ENSMUSG00000003534
chr17	35700598	35702116	Promoter (<=1kb)	17	35681567	35700610	19044	2	ENSMUST00000119825	0	ENSMUSG00000003534	ENSMUSG00000003534
chr1	121327812	121328765	Promoter (<=1kb)	1	121304353	121328024	23672	2	ENSMUST00000003818	0	ENSMUSG00000003721	ENSMUSG00000003721
chr7	27227391	27229353	Promoter (<=1kb)	7	27207172	27228628	21457	2	ENSMUST00000003850	0	ENSMUSG00000003752	ENSMUSG00000003752
chr7	27231089	27232906	Promoter (<=1kb)	7	27233023	27257950	24928	1	ENSMUST00000003860	-117	ENSMUSG00000003762	ENSMUSG00000003762
chr8	107293583	107294938	Promoter (<=1kb)	8	107293559	107379508	85950	1	ENSMUST00000075922	25	ENSMUSG00000003847	ENSMUSG00000003847
chr16	36070995	36072433	Promoter (<=1kb)	16	36043844	36071515	27672	2	ENSMUST00000004057	0	ENSMUSG00000003955	ENSMUSG00000003955
chr13	91614295	91614899	Intron (ENSMUST00000156547/ENSMUSG00000003992, intron 4 of 12)	13	91670437	91691432	20996	1	ENSMUST00000137658	-55538	ENSMUSG00000003992	ENSMUSG00000003992
chr1	158355364	158356350	Promoter (<=1kb)	1	158245271	158356260	110990	2	ENSMUST00000004133	0	ENSMUSG00000004031	ENSMUSG00000004031
chr19	5689158	5689564	Promoter (<=1kb)	19	5689131	5702862	13732	1	ENSMUST00000004156	28	ENSMUSG00000004054	ENSMUSG00000004054
chr7	27591713	27592279	Promoter (<=1kb)	7	27591746	27639450	47705	1	ENSMUST00000167435	0	ENSMUSG00000004056	ENSMUSG00000004056
chr7	27603879	27605875	Promoter (<=1kb)	7	27605797	27628869	23073	1	ENSMUST00000143499	0	ENSMUSG00000004056	ENSMUSG00000004056
chr9	20887123	20888146	Promoter (<=1kb)	9	20888175	20892178	4004	1	ENSMUST00000004203	-29	ENSMUSG00000004100	ENSMUSG00000004100
chr3	138142589	138143674	Promoter (<=1kb)	3	138143448	138159821	16374	1	ENSMUST00000040321	0	ENSMUSG00000004127	ENSMUSG00000004127
chr10	60277307	60278144	Promoter (<=1kb)	10	60277627	60302594	24968	1	ENSMUST00000105465	0	ENSMUSG00000004207	ENSMUSG00000004207
chr10	60283984	60285682	Promoter (<=1kb)	10	60284461	60302597	18137	1	ENSMUST00000165878	0	ENSMUSG00000004207	ENSMUSG00000004207
chr3	99141082	99141412	Promoter (<=1kb)	3	99141093	99239186	98094	1	ENSMUST00000145650	0	ENSMUSG00000004233	ENSMUSG00000004233
chr6	124756368	124757941	Promoter (<=1kb)	6	124742544	124756524	13981	2	ENSMUST00000088357	0	ENSMUSG00000004263	ENSMUSG00000004263
chr6	124768895	124769905	Promoter (<=1kb)	6	124760055	124769621	9567	2	ENSMUST00000112476	0	ENSMUSG00000004267	ENSMUSG00000004267
chr8	60953889	60955473	Promoter (<=1kb)	8	60910389	60955233	44845	2	ENSMUST00000056508	0	ENSMUSG00000004319	ENSMUSG00000004319
chr8	73353823	73355375	Promoter (<=1kb)	8	72814599	73353540	538942	2	ENSMUST00000119826	-284	ENSMUSG00000004383	ENSMUSG00000004383
chr7	44304139	44305125	Promoter (1-2kb)	7	44303770	44306959	3190	2	ENSMUST00000004587	1834	ENSMUSG00000004473	ENSMUSG00000004473
chr14	51913003	51913931	Promoter (<=1kb)	14	51905271	51913488	8218	2	ENSMUST00000004673	0	ENSMUSG00000004558	ENSMUSG00000004558
chr12	34494758	34499780	Intron (ENSMUST00000110819/ENSMUSG00000004698, intron 2 of 11)	12	34371503	34528889	157387	2	ENSMUST00000110819	29109	ENSMUSG00000004698	ENSMUSG00000004698
chr12	34528336	34529332	Promoter (<=1kb)	12	34371503	34528889	157387	2	ENSMUST00000110819	0	ENSMUSG00000004698	ENSMUSG00000004698
chr12	85110824	85111252	Promoter (<=1kb)	12	85110833	85134091	23259	1	ENSMUST00000053811	0	ENSMUSG00000004789	ENSMUSG00000004789
chr5	108668558	108669798	Promoter (<=1kb)	5	108646693	108669672	22980	2	ENSMUST00000132708	0	ENSMUSG00000004815	ENSMUSG00000004815
chr3	87929890	87930931	Promoter (<=1kb)	3	87922601	87930127	7527	2	ENSMUST00000159091	0	ENSMUSG00000004896	ENSMUSG00000004896
chr6	51468344	51469800	Promoter (<=1kb)	6	51461124	51469845	8722	2	ENSMUST00000090002	45	ENSMUSG00000004980	ENSMUSG00000004980
chr3	146769391	146771047	Promoter (<=1kb)	3	146729865	146770261	40397	2	ENSMUST00000106137	0	ENSMUSG00000005034	ENSMUSG00000005034
chr6	124415160	124416165	Promoter (<=1kb)	6	124396817	124415067	18251	2	ENSMUST00000080557	-94	ENSMUSG00000005069	ENSMUSG00000005069
chr2	102649461	102650243	Distal Intergenic	2	102658659	102790784	132126	1	ENSMUST00000080210	-8416	ENSMUSG00000005089	ENSMUSG00000005089
chr2	102657966	102660933	Promoter (<=1kb)	2	102658659	102790784	132126	1	ENSMUST00000080210	0	ENSMUSG00000005089	ENSMUSG00000005089
chr2	102661469	102663645	Promoter (2-3kb)	2	102659281	102778097	118817	1	ENSMUST00000111213	2189	ENSMUSG00000005089	ENSMUSG00000005089
chr8	85077272	85077531	Promoter (<=1kb)	8	85075038	85076291	1254	2	ENSMUST00000146900	-982	ENSMUSG00000005150	ENSMUSG00000005150
chr8	84969803	84970533	Promoter (<=1kb)	8	84969857	84971621	1765	1	ENSMUST00000125893	0	ENSMUSG00000005161	ENSMUSG00000005161
chr11	69758311	69759993	Promoter (<=1kb)	11	69733997	69758637	24641	2	ENSMUST00000058470	0	ENSMUSG00000005198	ENSMUSG00000005198
chr13	58215432	58216189	Promoter (<=1kb)	13	58176156	58215653	39498	2	ENSMUST00000058735	0	ENSMUSG00000005312	ENSMUSG00000005312
chr1	173389093	173390187	Intron (ENSMUST00000147604/ENSMUSG00000037860, intron 1 of 11)	1	173334254	173367695	33442	2	ENSMUST00000111220	-21399	ENSMUSG00000005338	ENSMUSG00000005338
chr17	88065621	88066072	Promoter (<=1kb)	17	87990859	88065291	74433	2	ENSMUST00000005504	-331	ENSMUSG00000005371	ENSMUSG00000005371
chr7	25278374	25281017	Promoter (<=1kb)	7	25278422	25284969	6548	1	ENSMUST00000169743	0	ENSMUSG00000005442	ENSMUSG00000005442
chr7	25282154	25283556	Promoter (<=1kb)	7	25282179	25294145	11967	1	ENSMUST00000163320	0	ENSMUSG00000005442	ENSMUSG00000005442
chr2	90903838	90904601	Promoter (<=1kb)	2	90898296	90904642	6347	2	ENSMUST00000152059	41	ENSMUSG00000005510	ENSMUSG00000005510
chr7	67951214	67952539	Promoter (<=1kb)	7	67952859	68226780	273922	1	ENSMUST00000005671	-320	ENSMUSG00000005533	ENSMUSG00000005533
chr7	13024132	13025654	Promoter (<=1kb)	7	13024152	13031035	6884	1	ENSMUST00000005705	0	ENSMUSG00000005566	ENSMUSG00000005566
chr7	13036761	13038238	Promoter (<=1kb)	7	13035259	13037647	2389	2	ENSMUST00000131837	0	ENSMUSG00000005575	ENSMUSG00000005575
chr7	13038324	13038737	Promoter (<=1kb)	7	13035120	13038275	3156	2	ENSMUST00000165394	-50	ENSMUSG00000005575	ENSMUSG00000005575
chr7	111082291	111082934	Promoter (<=1kb)	7	111080419	111082827	2409	2	ENSMUST00000162394	0	ENSMUSG00000005610	ENSMUSG00000005610
chr3	95041866	95042594	Promoter (<=1kb)	3	95032697	95042552	9856	2	ENSMUST00000071664	0	ENSMUSG00000005625	ENSMUSG00000005625
chr12	54795110	54795655	Promoter (<=1kb)	12	54746349	54795703	49355	2	ENSMUST00000005798	48	ENSMUSG00000005656	ENSMUSG00000005656
chr1	171221607	171222394	Promoter (<=1kb)	1	171217802	171222184	4383	2	ENSMUST00000111327	0	ENSMUSG00000005674	ENSMUSG00000005674
chr16	4558123	4560325	Promoter (<=1kb)	16	4544661	4559720	15060	2	ENSMUST00000005862	0	ENSMUSG00000005718	ENSMUSG00000005718
chr3	94954165	94954521	Promoter (<=1kb)	3	94954170	94961349	7180	1	ENSMUST00000107254	0	ENSMUSG00000005774	ENSMUSG00000005774
chr18	34220460	34222305	Promoter (<=1kb)	18	34220924	34313506	92583	1	ENSMUST00000171187	0	ENSMUSG00000005871	ENSMUSG00000005871
chr18	34246898	34248118	Promoter (<=1kb)	18	34247694	34263695	16002	1	ENSMUST00000170195	0	ENSMUSG00000005871	ENSMUSG00000005871
chr1	13197226	13197817	Intron (ENSMUST00000081713/ENSMUSG00000005886, intron 4 of 21)	1	13148429	13151018	2590	2	ENSMUST00000133232	-46209	ENSMUSG00000005886	ENSMUSG00000005886
chr1	13372593	13373056	Promoter (<=1kb)	1	13139105	13372439	233335	2	ENSMUST00000081713	-155	ENSMUSG00000005886	ENSMUSG00000005886
chr6	92090880	92093077	Promoter (<=1kb)	6	92091390	92173057	81668	1	ENSMUST00000113460	0	ENSMUSG00000005893	ENSMUSG00000005893
chr11	73198782	73199341	Promoter (<=1kb)	11	73183596	73199042	15447	2	ENSMUST00000006103	0	ENSMUSG00000005949	ENSMUSG00000005949
chr4	80787372	80789534	Distal Intergenic	4	80834123	80837684	3562	1	ENSMUST00000133655	-44589	ENSMUSG00000005994	ENSMUSG00000005994
chr7	16221500	16222031	Promoter (<=1kb)	7	16197221	16221993	24773	2	ENSMUST00000118795	0	ENSMUSG00000006019	ENSMUSG00000006019
chr7	30231989	30232572	Promoter (<=1kb)	7	30224131	30232272	8142	2	ENSMUST00000006254	0	ENSMUSG00000006095	ENSMUSG00000006095
chr13	29414612	29417711	Intron (ENSMUST00000140278/ENSMUSG00000006191, intron 13 of 16)	13	29402593	29474607	72015	2	ENSMUST00000110323	56896	ENSMUSG00000006191	ENSMUSG00000006191
chr7	3629221	3629952	Promoter (<=1kb)	7	3620324	3629884	9561	2	ENSMUST00000155592	0	ENSMUSG00000006335	ENSMUSG00000006335
chr12	113140692	113142203	Promoter (<=1kb)	12	113140236	113145504	5269	1	ENSMUST00000084882	457	ENSMUSG00000006356	ENSMUSG00000006356
chr4	118437540	118437999	Promoter (<=1kb)	4	118432901	118437352	4452	2	ENSMUST00000006565	-189	ENSMUSG00000006398	ENSMUSG00000006398
chr9	108516578	108518872	Promoter (<=1kb)	9	108517087	108560167	43081	1	ENSMUST00000006851	0	ENSMUSG00000006673	ENSMUSG00000006673
chr9	108597156	108597508	Promoter (<=1kb)	9	108578826	108597600	18775	2	ENSMUST00000006853	92	ENSMUSG00000006675	ENSMUSG00000006675
chr17	31563825	31564323	Promoter (<=1kb)	17	31564749	31605492	40744	1	ENSMUST00000175806	-426	ENSMUSG00000006705	ENSMUSG00000006705
chr13	24845288	24845979	Promoter (<=1kb)	13	24845135	24901270	56136	1	ENSMUST00000006893	154	ENSMUSG00000006711	ENSMUSG00000006711
chr10	127069189	127071235	Promoter (<=1kb)	10	127067317	127070261	2945	2	ENSMUST00000060991	0	ENSMUSG00000006736	ENSMUSG00000006736
chr18	36734396	36736271	Promoter (<=1kb)	18	36735068	36742391	7324	1	ENSMUST00000007046	0	ENSMUSG00000006850	ENSMUSG00000006850
chr17	35000879	35002328	Promoter (<=1kb)	17	35000987	35016322	15336	1	ENSMUST00000087315	0	ENSMUSG00000007029	ENSMUSG00000007029
chr17	34981249	34982059	Promoter (<=1kb)	17	34981862	34983981	2120	1	ENSMUST00000172523	0	ENSMUSG00000007050	ENSMUSG00000007050
chr18	37143211	37144686	Promoter (<=1kb)	18	37143969	37187657	43689	1	ENSMUST00000047479	0	ENSMUSG00000007440	ENSMUSG00000007440
chr17	20944298	20945142	Promoter (<=1kb)	17	20945311	20965916	20606	1	ENSMUST00000007708	-169	ENSMUSG00000007564	ENSMUSG00000007564
chr17	20945469	20946377	Promoter (<=1kb)	17	20945487	20958784	13298	1	ENSMUST00000173658	0	ENSMUSG00000007564	ENSMUSG00000007564
chr17	56764440	56765613	Promoter (<=1kb)	17	56764751	56770092	5342	1	ENSMUST00000007747	0	ENSMUSG00000007603	ENSMUSG00000007603
chr7	44973634	44974923	Promoter (<=1kb)	7	44959373	44974851	15479	2	ENSMUST00000063761	0	ENSMUSG00000007783	ENSMUSG00000007783
chr5	145230991	145232579	Promoter (<=1kb)	5	145231723	145247302	15580	1	ENSMUST00000167316	0	ENSMUSG00000007812	ENSMUSG00000007812
chr13	58128117	58128937	Promoter (<=1kb)	13	58125879	58128556	2678	2	ENSMUST00000007980	0	ENSMUSG00000007836	ENSMUSG00000007836
chr11	50376935	50377468	Promoter (<=1kb)	11	50376990	50386528	9539	1	ENSMUST00000109142	0	ENSMUSG00000007850	ENSMUSG00000007850
chr4	133756086	133757303	Promoter (<=1kb)	4	133679941	133756769	76829	2	ENSMUST00000008024	0	ENSMUSG00000007880	ENSMUSG00000007880
chr2	90745452	90746862	Promoter (<=1kb)	2	90745604	90776475	30872	1	ENSMUST00000123314	0	ENSMUSG00000008200	ENSMUSG00000008200
chr8	4493542	4494568	Promoter (<=1kb)	8	4493521	4520533	27013	1	ENSMUST00000176705	22	ENSMUSG00000008206	ENSMUSG00000008206
chr5	125389489	125390945	Promoter (<=1kb)	5	125385965	125390014	4050	2	ENSMUST00000136312	0	ENSMUSG00000008348	ENSMUSG00000008348
chr5	125393593	125394830	Distal Intergenic	5	125385977	125390202	4226	2	ENSMUST00000156249	-3392	ENSMUSG00000008348	ENSMUSG00000008348
chr5	125404516	125407139	Distal Intergenic	5	125385977	125390202	4226	2	ENSMUST00000156249	-14315	ENSMUSG00000008348	ENSMUSG00000008348
chr9	25175498	25177161	Distal Intergenic	9	25108130	25151781	43652	2	ENSMUST00000008573	-23718	ENSMUSG00000008429	ENSMUSG00000008429
chr7	4445103	4445683	Promoter (<=1kb)	7	4424770	4445601	20832	2	ENSMUST00000119485	0	ENSMUSG00000008435	ENSMUSG00000008435
chr4	82495358	82497930	Promoter (1-2kb)	4	82498544	82499316	773	2	ENSMUST00000152588	1386	ENSMUSG00000008575	ENSMUSG00000008575
chr4	82498061	82514703	Promoter (<=1kb)	4	82290173	82505308	215136	2	ENSMUST00000050872	0	ENSMUSG00000008575	ENSMUSG00000008575
chr3	103791418	103791839	Promoter (<=1kb)	3	103739815	103791563	51749	2	ENSMUST00000118317	0	ENSMUSG00000008730	ENSMUSG00000008730
chr11	102228464	102230113	Promoter (<=1kb)	11	102195744	102230124	34381	2	ENSMUST00000008999	11	ENSMUSG00000008855	ENSMUSG00000008855
chr8	22593232	22594539	Promoter (<=1kb)	8	22577075	22593813	16739	2	ENSMUST00000009036	0	ENSMUSG00000008892	ENSMUSG00000008892
chr2	37358918	37359230	Promoter (<=1kb)	2	37352119	37359189	7071	2	ENSMUST00000138314	0	ENSMUSG00000009030	ENSMUSG00000009030
chr11	5098140	5100702	Promoter (<=1kb)	11	5069689	5099266	29578	2	ENSMUST00000079949	0	ENSMUSG00000009079	ENSMUSG00000009079
chr6	120835918	120837030	Promoter (<=1kb)	6	120836230	120892842	56613	1	ENSMUST00000009256	0	ENSMUSG00000009112	ENSMUSG00000009112
chr13	98925606	98926976	Promoter (<=1kb)	13	98839019	98926384	87366	2	ENSMUST00000109401	0	ENSMUSG00000009470	ENSMUSG00000009470
