Chrom:Start-End	annotation
chr4:47312785-47312986	3' UTR
chr4:48660160-48660361	3' UTR
chr4:59221603-59221804	3' UTR
chr4:106438883-106439084	3' UTR
chr4:102972147-102972348	3' UTR
chr4:107899263-107899464	3' UTR
chr4:135869357-135869558	3' UTR
chr4:129111492-129111693	3' UTR
chr4:133198126-133198327	3' UTR
chr4:148059041-148059242	3' UTR
chr5:57728585-57728786	3' UTR
chr5:52822202-52822403	3' UTR
chr5:36471981-36472182	3' UTR
chr5:103854204-103854405	3' UTR
chr5:129779252-129779453	3' UTR
chr6:17105551-17105752	3' UTR
chr5:114949415-114949616	3' UTR
chr5:142669844-142670045	3' UTR
chr5:149611567-149611768	3' UTR
chr5:135162258-135162459	3' UTR
chr6:38588984-38589185	3' UTR
chr6:40247498-40247699	3' UTR
chr6:91488206-91488407	3' UTR
chr6:108857423-108857624	3' UTR
chr6:134710140-134710341	3' UTR
chr6:115926500-115926701	3' UTR
chr7:16809809-16810010	3' UTR
chr7:44602482-44602683	3' UTR
chr7:128252758-128252959	3' UTR
chr7:128253188-128253389	3' UTR
chr7:131443994-131444195	3' UTR
chr7:122081476-122081677	3' UTR
chr7:109031597-109031798	3' UTR
chrX:57223409-57223610	3' UTR
chrX:69867667-69867868	3' UTR
chrX:160796713-160796914	3' UTR
chrX:160598727-160598928	3' UTR
chrX:159976207-159976408	3' UTR
chrX:159977663-159977864	3' UTR
chrX:74207767-74207968	3' UTR
chrX:71314203-71314404	3' UTR
chrX:136836507-136836708	3' UTR
chr8:18887237-18887438	3' UTR
chr8:27120953-27121154	3' UTR
chr8:27121473-27121674	3' UTR
chr8:27123253-27123454	3' UTR
chr8:55058905-55059106	3' UTR
chr8:85524121-85524322	3' UTR
chr8:85526325-85526526	3' UTR
chr8:94066524-94066725	3' UTR
chr8:114151970-114152171	3' UTR
chr8:95045009-95045210	3' UTR
chr8:105217889-105218090	3' UTR
chr9:13706649-13706850	3' UTR
chr9:14870562-14870763	3' UTR
chr8:111056119-111056320	3' UTR
chr9:44048575-44048776	3' UTR
chr9:41051338-41051539	3' UTR
chr9:51239086-51239287	3' UTR
chr9:50861319-50861520	3' UTR
chr9:50756535-50756736	3' UTR
chr9:44637850-44638051	3' UTR
chr9:37222511-37222712	3' UTR
chr9:20664507-20664708	3' UTR
chr9:72363321-72363522	3' UTR
chr9:69432140-69432341	3' UTR
chr9:62783308-62783509	3' UTR
chr9:83599716-83599917	3' UTR
chr9:54946440-54946641	3' UTR
chr9:56495575-56495776	3' UTR
chr9:56496758-56496959	3' UTR
chr9:78473686-78473887	3' UTR
chr9:96321070-96321271	3' UTR
chr9:109892693-109892894	3' UTR
chr9:109893725-109893926	3' UTR
chr9:110003176-110003377	3' UTR
chr9:110817815-110818016	3' UTR
chr9:120174866-120175067	3' UTR
chr2:152437540-152437741	3' UTR
chr2:152109005-152109206	3' UTR
chr5:118186436-118186637	3' UTR
chr5:118186894-118187095	3' UTR
chr1:78706542-78706743	3' UTR
chr2:150770657-150770858	3' UTR
chr14:101912090-101912291	3' UTR
chr9:95402236-95402437	3' UTR
chr7:63757751-63757952	3' UTR
chr7:63758705-63758906	3' UTR
chr14:70137931-70138132	3' UTR
chr3:109684013-109684214	3' UTR
chr1:155202399-155202600	3' UTR
chr1:155203153-155203354	3' UTR
chr8:84834618-84834819	3' UTR
chr1:94027635-94027836	3' UTR
chr9:46202795-46202996	3' UTR
chr11:87657338-87657539	3' UTR
chr11:87659457-87659658	3' UTR
chr1:91170680-91170881	3' UTR
chrX:99465866-99466067	3' UTR
chr3:116548190-116548391	3' UTR
chr12:72579600-72579801	3' UTR
chr2:69114029-69114230	3' UTR
chr11:84043239-84043440	3' UTR
chr16:35001211-35001412	3' UTR
chr2:37798946-37799147	3' UTR
chr16:33502020-33502221	3' UTR
chr16:33503478-33503679	3' UTR
chr16:33503655-33503856	3' UTR
chr13:56529374-56529575	3' UTR
chr14:84535377-84535578	3' UTR
chr16:33015170-33015371	3' UTR
chr7:97911394-97911595	3' UTR
chr10:80157649-80157850	3' UTR
chr10:80158150-80158351	3' UTR
chr9:22793578-22793779	3' UTR
chr10:106929068-106929269	3' UTR
chr10:106932296-106932497	3' UTR
chr4:43342507-43342708	3' UTR
chr4:42959054-42959255	3' UTR
chr2:53133108-53133309	3' UTR
chr4:42942314-42942515	3' UTR
chr4:42943233-42943434	3' UTR
chr12:36317285-36317486	3' UTR
chr16:43626072-43626273	3' UTR
chr16:43963237-43963438	3' UTR
chr16:43963968-43964169	3' UTR
chr14:48496152-48496353	3' UTR
chr18:38643864-38644065	3' UTR
chr10:96622370-96622571	3' UTR
chr19:3946995-3947196	3' UTR
chr3:36942328-36942529	3' UTR
chr5:32991398-32991599	3' UTR
chr12:113164481-113164682	3' UTR
chr10:21368655-21368856	3' UTR
chr3:31050325-31050526	3' UTR
chr4:132724403-132724604	3' UTR
chr10:67541704-67541905	3' UTR
chr13:47244835-47245036	3' UTR
chr13:47245890-47246091	3' UTR
chr11:75572360-75572561	3' UTR
chr11:75573202-75573403	3' UTR
chr18:34864650-34864851	3' UTR
chr8:13421102-13421303	3' UTR
chr13:44921160-44921361	3' UTR
chr5:21660878-21661079	3' UTR
chr2:154537547-154537748	3' UTR
chr2:154538364-154538565	3' UTR
chr4:59756638-59756839	3' UTR
chr15:54463330-54463531	3' UTR
chr3:95629943-95630144	3' UTR
chr19:29470838-29471039	3' UTR
chr5:30878641-30878842	3' UTR
chr19:17333192-17333393	3' UTR
chr11:95024787-95024988	3' UTR
chr5:28171882-28172083	3' UTR
chr3:27338782-27338983	3' UTR
chr17:50055339-50055540	3' UTR
chr5:38303061-38303262	3' UTR
chr8:39130663-39130864	3' UTR
chr10:128543018-128543219	3' UTR
chr3:122007633-122007834	3' UTR
chr7:133671350-133671551	3' UTR
chr2:118789577-118789778	3' UTR
chr7:131985942-131986143	3' UTR
chr4:32580840-32581041	3' UTR
chr14:55874146-55874347	3' UTR
chr9:65659553-65659754	3' UTR
chr9:65659946-65660147	3' UTR
chr14:27102875-27103076	3' UTR
chr14:27106037-27106238	3' UTR
chr7:139578376-139578577	3' UTR
chr14:34747359-34747560	3' UTR
chr17:34244404-34244605	3' UTR
chr5:115646130-115646331	3' UTR
chrX:153688796-153688997	3' UTR
chr1:136175181-136175382	3' UTR
chr7:138840754-138840955	3' UTR
chr2:71082500-71082701	3' UTR
chr3:101462513-101462714	3' UTR
chr2:69834827-69835028	3' UTR
chr1:134489375-134489576	3' UTR
chr9:65272973-65273174	3' UTR
chr1:131770776-131770977	3' UTR
chr1:153696738-153696939	3' UTR
chr13:104139761-104139962	3' UTR
chr15:41859690-41859891	3' UTR
chr15:7195038-7195239	3' UTR
chr1:151719031-151719232	3' UTR
chr1:151721782-151721983	3' UTR
chr2:31803517-31803718	3' UTR
chr2:31806858-31807059	3' UTR
chr5:137107187-137107388	3' UTR
chrX:72381982-72382183	3' UTR
chr2:29181213-29181414	3' UTR
chr2:29181659-29181860	3' UTR
chr3:7553274-7553475	3' UTR
chr9:24315404-24315605	3' UTR
chr17:48326830-48327031	3' UTR
chr2:113712740-113712941	3' UTR
chr4:33947791-33947992	3' UTR
chr12:102361235-102361436	3' UTR
chr7:43695382-43695583	3' UTR
chr9:77655932-77656133	3' UTR
chr11:75267444-75267645	3' UTR
chr1:70882083-70882284	3' UTR
chr4:24598770-24598971	3' UTR
chr15:25363723-25363924	3' UTR
chr14:29029206-29029407	3' UTR
chr14:29030387-29030588	3' UTR
chr18:64389582-64389783	3' UTR
chr16:90497711-90497912	3' UTR
chr3:89858741-89858942	3' UTR
chr14:75963323-75963524	3' UTR
chr6:86472057-86472258	3' UTR
chr9:111279006-111279207	3' UTR
chr13:45795344-45795545	3' UTR
chr11:80134784-80134985	3' UTR
chr6:85485786-85485987	3' UTR
chr2:167476295-167476496	3' UTR
chr11:95005526-95005727	3' UTR
chr7:100416321-100416522	3' UTR
chr19:27334193-27334394	3' UTR
chr19:27336751-27336952	3' UTR
chr1:78819983-78820184	3' UTR
chr19:21684960-21685161	3' UTR
chr12:100895362-100895563	3' UTR
chr1:105283342-105283543	3' UTR
chr17:17393437-17393638	3' UTR
chr2:169912898-169913099	3' UTR
chr19:40739419-40739620	3' UTR
chr5:113818333-113818534	3' UTR
chr15:98132307-98132508	3' UTR
chr17:26697276-26697477	3' UTR
chr4:108339335-108339536	3' UTR
chr6:92842938-92843139	3' UTR
chr11:80472428-80472629	3' UTR
chr12:75395715-75395916	3' UTR
chr3:45432552-45432753	3' UTR
chr3:10092468-10092669	3' UTR
chr3:138077596-138077797	3' UTR
chr9:7354615-7354816	3' UTR
chr9:7360224-7360425	3' UTR
chr11:58314356-58314557	3' UTR
chr11:20651208-20651409	3' UTR
chr2:132371075-132371276	3' UTR
chr2:110737387-110737588	3' UTR
chr3:85652668-85652869	3' UTR
chr3:85653783-85653984	3' UTR
chr15:25138476-25138677	3' UTR
chr9:21948481-21948682	3' UTR
chr9:58196126-58196327	3' UTR
chr9:58196773-58196974	3' UTR
chr6:113447828-113448029	3' UTR
chr2:140662704-140662905	3' UTR
chr7:19223295-19223496	3' UTR
chr1:131712618-131712819	3' UTR
chr17:29301464-29301665	3' UTR
chr5:111586538-111586739	3' UTR
chr9:51851643-51851844	3' UTR
chr18:69687728-69687929	3' UTR
chr3:135888493-135888694	3' UTR
chr5:100200285-100200486	3' UTR
chr2:173781074-173781275	3' UTR
chr17:73241093-73241294	3' UTR
chr2:164016774-164016975	3' UTR
chr18:62184006-62184207	3' UTR
chr7:12908050-12908251	3' UTR
chr8:92998409-92998610	3' UTR
chr17:83762730-83762931	3' UTR
chr5:9440556-9440757	3' UTR
chr9:85846293-85846494	3' UTR
chr11:93185511-93185712	3' UTR
chr4:126275558-126275759	3' UTR
chr11:23296143-23296344	3' UTR
chr11:60376047-60376248	3' UTR
chr2:173705865-173706066	3' UTR
chr2:173706937-173707138	3' UTR
chr7:82871253-82871454	3' UTR
chr9:101942986-101943187	3' UTR
chr11:58441314-58441515	3' UTR
chr13:34073629-34073830	3' UTR
chr3:41615348-41615549	3' UTR
chr3:141831158-141831359	3' UTR
chr12:76396273-76396474	3' UTR
chr1:156644802-156645003	3' UTR
chr10:71385380-71385581	3' UTR
chr6:77257670-77257871	3' UTR
chr3:96663614-96663815	3' UTR
chr13:23585150-23585351	3' UTR
chr8:72183567-72183768	3' UTR
chr16:44833334-44833535	3' UTR
chr2:156854195-156854396	3' UTR
chr17:32635081-32635282	3' UTR
chr3:106131831-106132032	3' UTR
chr15:103299525-103299726	3' UTR
chr1:177449339-177449540	3' UTR
chr7:35049413-35049614	3' UTR
chr6:136963083-136963284	3' UTR
chr6:136966046-136966247	3' UTR
chr1:191780596-191780797	3' UTR
chr6:67019845-67020046	3' UTR
chr2:126090596-126090797	3' UTR
chr12:80879326-80879527	3' UTR
chr17:84620811-84621012	3' UTR
chr15:82205266-82205467	3' UTR
chr12:112127433-112127634	3' UTR
chr3:139710005-139710206	3' UTR
chr14:75964055-75964256	3' UTR
chr14:75964400-75964601	3' UTR
chr1:153763576-153763777	3' UTR
chr13:51421876-51422077	3' UTR
chr15:101479406-101479607	3' UTR
chr15:101479937-101480138	3' UTR
chr1:36528232-36528433	3' UTR
chr17:5753296-5753497	3' UTR
chr3:116249727-116249928	3' UTR
chr3:9281799-9282000	3' UTR
chr3:9282521-9282722	3' UTR
chr2:23400535-23400736	3' UTR
chr13:78163642-78163843	3' UTR
chr15:81848372-81848573	3' UTR
chr11:58207284-58207485	3' UTR
chr8:109731063-109731264	3' UTR
chr7:88490860-88491061	3' UTR
chr7:102087498-102087699	3' UTR
chr4:43978600-43978801	3' UTR
chr4:43978946-43979147	3' UTR
chr14:79201007-79201208	3' UTR
chr17:7302001-7302202	3' UTR
chr16:44481926-44482127	3' UTR
chr19:23946969-23947170	3' UTR
chrX:73143198-73143399	3' UTR
chr6:71300974-71301175	3' UTR
chr6:71301579-71301780	3' UTR
chr2:153332328-153332529	3' UTR
chr1:134752950-134753151	3' UTR
chr3:145603809-145604010	3' UTR
chr13:119653455-119653656	3' UTR
chr16:33768352-33768553	3' UTR
chr16:33768680-33768881	3' UTR
chr2:75930115-75930316	3' UTR
chr10:4359199-4359400	3' UTR
chr14:77721750-77721951	3' UTR
chr5:30270586-30270787	3' UTR
chr5:30271011-30271212	3' UTR
chr4:3791209-3791410	3' UTR
chr13:75772288-75772489	3' UTR
chr16:24991218-24991419	3' UTR
chr2:118696659-118696860	3' UTR
chr7:16869875-16870076	3' UTR
chr15:84942873-84943074	3' UTR
chr2:10591392-10591593	3' UTR
chr19:23166803-23167004	3' UTR
chr4:98118603-98118804	3' UTR
chr1:62641933-62642134	3' UTR
chr6:29946571-29946772	3' UTR
chrX:151470958-151471159	3' UTR
chr12:100841219-100841420	3' UTR
chr2:150004178-150004379	3' UTR
chr16:90904433-90904634	3' UTR
chr1:75560164-75560365	3' UTR
chr1:75562133-75562334	3' UTR
chr4:109385686-109385887	3' UTR
chr4:44364364-44364565	3' UTR
chr6:67019149-67019350	3' UTR
chr2:72407256-72407457	3' UTR
chr16:91505436-91505637	3' UTR
chr11:4928793-4928994	3' UTR
chr11:52057358-52057559	3' UTR
chr4:155620027-155620228	3' UTR
chr2:44242936-44243137	3' UTR
chr1:17764447-17764648	3' UTR
chr6:145962444-145962645	3' UTR
chr6:145963981-145964182	3' UTR
chr11:70731285-70731486	3' UTR
chr2:6445458-6445659	3' UTR
chr2:33451610-33451811	3' UTR
chr2:128161461-128161662	3' UTR
chr8:26981095-26981296	3' UTR
chr4:34907230-34907431	3' UTR
chr2:11300445-11300646	3' UTR
chr2:151874577-151874778	3' UTR
chr7:58828907-58829108	3' UTR
chr11:73015048-73015249	3' UTR
chr6:54221800-54222001	3' UTR
chr6:54301506-54301707	3' UTR
chr7:97692267-97692468	3' UTR
chr5:123324366-123324567	3' UTR
chr11:57786711-57786912	3' UTR
chr4:98718109-98718310	3' UTR
chr16:96157297-96157498	3' UTR
chr5:123326542-123326743	3' UTR
chr4:134426752-134426953	3' UTR
chr4:85638745-85638946	3' UTR
chr2:31214364-31214565	3' UTR
chr11:7175305-7175506	3' UTR
chr2:121310338-121310539	3' UTR
chr13:13826602-13826803	3' UTR
chr2:44394338-44394539	3' UTR
chr1:159924214-159924415	3' UTR
chr10:128440530-128440731	3' UTR
chr10:128441428-128441629	3' UTR
chr15:86135266-86135467	3' UTR
chr9:50893766-50893967	3' UTR
chr2:130049553-130049754	3' UTR
chr15:84315660-84315861	3' UTR
chr2:142392546-142392747	3' UTR
chr7:79360112-79360313	3' UTR
chr13:93941495-93941696	3' UTR
chr16:10242337-10242538	3' UTR
chr19:10449785-10449986	3' UTR
chr19:10452511-10452712	3' UTR
chr3:64020365-64020566	3' UTR
chr19:12833554-12833755	3' UTR
chr1:166313775-166313976	3' UTR
chr17:34244929-34245130	3' UTR
chr10:95543053-95543254	3' UTR
chr10:95544988-95545189	3' UTR
chr10:126014768-126014969	3' UTR
chr10:5003827-5004028	3' UTR
chr6:15397674-15397875	3' UTR
chr13:89321111-89321312	3' UTR
chr3:96278139-96278340	3' UTR
chr1:40855222-40855423	3' UTR
chr12:82451001-82451202	3' UTR
chr10:43439834-43440035	3' UTR
chr3:55468571-55468772	3' UTR
chr15:101043925-101044126	3' UTR
chr17:7010745-7010946	3' UTR
chr5:91995139-91995340	3' UTR
chr18:80119004-80119205	3' UTR
chr15:85463293-85463494	3' UTR
chr17:45542432-45542633	3' UTR
chr16:91916726-91916927	3' UTR
chr16:91917947-91918148	3' UTR
chr17:63957027-63957228	5' UTR
chr3:105914001-105914202	5' UTR
chr2:6545261-6545462	5' UTR
chr17:35690007-35690208	5' UTR
chr11:4799983-4800184	5' UTR
chr13:18125576-18125777	5' UTR
chr19:29372369-29372570	5' UTR
chr2:163726687-163726888	5' UTR
chr11:71014412-71014613	5' UTR
chr11:53674957-53675158	5' UTR
chr11:90644235-90644436	5' UTR
chr12:26443280-26443481	5' UTR
chr12:26444189-26444390	5' UTR
chr12:4249161-4249362	5' UTR
chr11:72189731-72189932	5' UTR
chr13:58545590-58545791	5' UTR
chr14:31619065-31619266	5' UTR
chr15:10499998-10500199	5' UTR
chr15:57820978-57821179	5' UTR
chr16:29237293-29237494	5' UTR
chr15:76516659-76516860	5' UTR
chr15:75551496-75551697	5' UTR
chr15:75553111-75553312	5' UTR
chr16:22929614-22929815	5' UTR
chr17:47593592-47593793	5' UTR
chr17:71214822-71215023	5' UTR
chr17:84691735-84691936	5' UTR
chr18:52660358-52660559	5' UTR
chr19:10781724-10781925	5' UTR
chr19:28901102-28901303	5' UTR
chr19:56880984-56881185	5' UTR
chr18:76977283-76977484	5' UTR
chr3:41581114-41581315	5' UTR
chr9:123066754-123066955	5' UTR
chr1:86666119-86666320	5' UTR
chr1:88412054-88412255	5' UTR
chr1:132012935-132013136	5' UTR
chr1:134297354-134297555	5' UTR
chr1:134298157-134298358	5' UTR
chr2:18206887-18207088	5' UTR
chr2:18208435-18208636	5' UTR
chr2:148695318-148695519	5' UTR
chr4:82806292-82806493	5' UTR
chr4:109238665-109238866	5' UTR
chr4:115063030-115063231	5' UTR
chr5:113086445-113086646	5' UTR
chr5:113086971-113087172	5' UTR
chr5:127595719-127595920	5' UTR
chr5:110274397-110274598	5' UTR
chr5:114950000-114950201	5' UTR
chr6:91761487-91761688	5' UTR
chr6:108236859-108237060	5' UTR
chr6:116043407-116043608	5' UTR
chr7:119909754-119909955	5' UTR
chrX:8139715-8139916	5' UTR
chr9:55224296-55224497	5' UTR
chr9:79599435-79599636	5' UTR
chr7:125752886-125753087	5' UTR
chr11:67603019-67603220	5' UTR
chr2:121368863-121369064	5' UTR
chr13:70738739-70738940	5' UTR
chr4:103048038-103048239	5' UTR
chr2:37982977-37983178	5' UTR
chr5:89417345-89417546	5' UTR
chr16:43577380-43577581	5' UTR
chr14:48472368-48472569	5' UTR
chr17:15058602-15058803	5' UTR
chr18:38847113-38847314	5' UTR
chr18:38838881-38839082	5' UTR
chr3:135316893-135317094	5' UTR
chr10:53341929-53342130	5' UTR
chr7:89875658-89875859	5' UTR
chr9:40293806-40294007	5' UTR
chr3:5561713-5561914	5' UTR
chr9:65693674-65693875	5' UTR
chr9:121141768-121141969	5' UTR
chr5:114256941-114257142	5' UTR
chr17:33817282-33817483	5' UTR
chr11:61068961-61069162	5' UTR
chr9:96838943-96839144	5' UTR
chr12:31709861-31710062	5' UTR
chr7:106165166-106165367	5' UTR
chr14:75962532-75962733	5' UTR
chr10:56115145-56115346	5' UTR
chr7:127133392-127133593	5' UTR
chr7:25515860-25516061	5' UTR
chr5:72756090-72756291	5' UTR
chr18:41875728-41875929	5' UTR
chr11:74386035-74386236	5' UTR
chr9:44946362-44946563	5' UTR
chr5:43608852-43609053	5' UTR
chr7:35276573-35276774	5' UTR
chr18:73929275-73929476	5' UTR
chr2:61613597-61613798	5' UTR
chr7:34345547-34345748	5' UTR
chr7:24593470-24593671	5' UTR
chr13:51418517-51418718	5' UTR
chr1:10325017-10325218	5' UTR
chr13:81386959-81387160	5' UTR
chr7:98216291-98216492	5' UTR
chr7:25461828-25462029	5' UTR
chr2:126717944-126718145	5' UTR
chr12:69907767-69907968	5' UTR
chr15:90499923-90500124	5' UTR
chr19:33498897-33499098	5' UTR
chr2:73818926-73819127	5' UTR
chr11:32190485-32190686	5' UTR
chr10:42339667-42339868	5' UTR
chr10:42340016-42340217	5' UTR
chr1:21487108-21487309	5' UTR
chr7:83678012-83678213	5' UTR
chr16:91056101-91056302	5' UTR
chr9:105313373-105313574	5' UTR
chr2:52715615-52715816	5' UTR
chr2:52720816-52721017	5' UTR
chr1:8363240-8363441	5' UTR
chr12:66550403-66550604	5' UTR
chr19:27768615-27768816	5' UTR
chr13:112318234-112318435	5' UTR
chr11:89039459-89039660	5' UTR
chr10:52142188-52142389	5' UTR
chr11:79515536-79515737	5' UTR
chr13:89584630-89584831	5' UTR
chr7:142585923-142586124	Distal Intergenic
chr7:142588283-142588484	Distal Intergenic
chr13:5540499-5540700	Distal Intergenic
chr13:5570519-5570720	Distal Intergenic
chr13:5610080-5610281	Distal Intergenic
chr13:5627528-5627729	Distal Intergenic
chr13:5638737-5638938	Distal Intergenic
chr13:5648555-5648756	Distal Intergenic
chr13:5675211-5675412	Distal Intergenic
chr13:5675661-5675862	Distal Intergenic
chr13:5779570-5779771	Distal Intergenic
chr13:5796343-5796544	Distal Intergenic
chr13:5854620-5854821	Distal Intergenic
chr4:120353962-120354163	Distal Intergenic
chr4:120362372-120362573	Distal Intergenic
chr4:120368979-120369180	Distal Intergenic
chr11:95596062-95596263	Distal Intergenic
chr11:59300299-59300500	Distal Intergenic
chr11:59302716-59302917	Distal Intergenic
chr7:126213161-126213362	Distal Intergenic
chr7:126236182-126236383	Distal Intergenic
chr11:108880651-108880852	Distal Intergenic
chr11:108882482-108882683	Distal Intergenic
chr11:108900751-108900952	Distal Intergenic
chr11:108901197-108901398	Distal Intergenic
chr5:140857603-140857804	Distal Intergenic
chr16:96339685-96339886	Distal Intergenic
chr16:96345559-96345760	Distal Intergenic
chr6:126993879-126994080	Distal Intergenic
chr6:127036339-127036540	Distal Intergenic
chr6:127178918-127179119	Distal Intergenic
chr6:127181418-127181619	Distal Intergenic
chr14:123641334-123641535	Distal Intergenic
chr7:142674346-142674547	Distal Intergenic
chr7:142714247-142714448	Distal Intergenic
chr11:55634030-55634231	Distal Intergenic
chr11:89021792-89021993	Distal Intergenic
chr11:89022611-89022812	Distal Intergenic
chr10:31466648-31466849	Distal Intergenic
chr11:60050222-60050423	Distal Intergenic
chr11:60058115-60058316	Distal Intergenic
chr11:70150145-70150346	Distal Intergenic
chr10:78255742-78255943	Distal Intergenic
