baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	Chrom	Start	End	cluster_1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName
ENSMUSG00000000125	109.990888179559	0.0320891350608361	0.0932847265622649	0.312378752379234	0.587768938421908	chr11	103774174	103818021	cluster_5	Promoter (<=1kb)	11	103774150	103817957	43808	1	ENSMUST00000000127	25	ENSMUSG00000000125
ENSMUSG00000000126	356.541440602273	0.0612512429400259	0.114406061903983	0.0766322694863594	0.275935883607636	chr11	59306929	59333552	cluster_1	Promoter (<=1kb)	11	59306930	59333552	26623	1	ENSMUST00000108783	0	ENSMUSG00000000126
ENSMUSG00000000127	1382.14044583472	0.0531075817461713	0.0723110392481927	0.285530835159137	0.563001176357375	chr17	63863980	64139496	cluster_4	Promoter (<=1kb)	17	63896018	64139494	243477	1	ENSMUST00000000129	0	ENSMUSG00000000127
ENSMUSG00000000131	4750.63349616091	-0.0507228043149818	0.0523426449706688	0.23310138283952	0.506232409308091	chr7	126101714	126200499	cluster_4	Promoter (<=1kb)	7	126101716	126200408	98693	2	ENSMUST00000009344	0	ENSMUSG00000000131
ENSMUSG00000000142	2975.69817732327	0.26740375779178	0.0793097798436697	6.90463281313076e-05	0.0022055051771528	chr11	108920348	108950781	cluster_1	Promoter (<=1kb)	11	108920349	108950783	30435	1	ENSMUST00000052915	0	ENSMUSG00000000142
ENSMUSG00000000148	1808.52293781405	0.00573733962200727	0.0578489864711123	0.865376333362369	0.945590928462404	chr5	140705010	140719378	cluster_2	Promoter (<=1kb)	5	140705011	140719379	14369	1	ENSMUST00000041588	0	ENSMUSG00000000148
ENSMUSG00000000149	10203.4453322627	-0.0561184339810306	0.0490662878318364	0.179302326894519	0.44290555461702	chr5	140759943	140830431	cluster_4	Promoter (<=1kb)	5	140758408	140830431	72024	2	ENSMUST00000000153	0	ENSMUSG00000000149
ENSMUSG00000000154	21.3327165342406	0.00171194754020719	0.0907441459946292	0.91418577540509	NA	chr7	143473754	143499332	cluster_5	Promoter (<=1kb)	7	143473768	143497051	23284	1	ENSMUST00000150791	0	ENSMUSG00000000154
ENSMUSG00000000159	13.3389943524743	-0.00351578850332119	0.0913709981373355	0.766553859700366	NA	chr16	96361756	96404030	cluster_5	Promoter (<=1kb)	16	96361794	96404028	42235	1	ENSMUST00000000163	0	ENSMUSG00000000159
ENSMUSG00000000167	90.6296895788176	0.0388676859841531	0.0979592643732022	0.198598760686739	0.46640261212947	chr9	50605239	50617464	cluster_3	Promoter (<=1kb)	9	50617321	50624997	7677	1	ENSMUST00000000171	0	ENSMUSG00000000167
ENSMUSG00000000168	2280.49566589467	-0.0146424272154347	0.056324369872558	0.742892678727824	0.886953487170832	chr9	50634632	50659780	cluster_4	Promoter (<=1kb)	9	50634633	50659780	25148	2	ENSMUST00000034567	0	ENSMUSG00000000168
ENSMUSG00000000171	3229.58921549947	-0.0859915754810991	0.0578574133150585	0.0672907280238911	0.256348272216324	chr9	50596339	50603849	cluster_1	Promoter (<=1kb)	9	50596338	50603849	7512	2	ENSMUST00000000175	0	ENSMUSG00000000171
ENSMUSG00000000182	5.01233826615411	0.00202749762597765	0.0918191370746264	0.78009578185617	NA	chr6	127072901	127082296	cluster_5	Promoter (<=1kb)	6	127072902	127081408	8507	1	ENSMUST00000000186	0	ENSMUSG00000000182
ENSMUSG00000000184	18275.6755700627	0.134005610323722	0.0636818486361662	0.0092483563707176	0.0751964600394476	chr6	127125708	127151048	cluster_1	Promoter (<=1kb)	6	127125779	127151048	25270	2	ENSMUST00000000188	0	ENSMUSG00000000184
ENSMUSG00000000194	3799.09579191045	0.0411585995137006	0.0522097026371693	0.345439645571896	0.619907600427039	chr2	31152315	31216567	cluster_4	Promoter (<=1kb)	2	31152316	31218775	66460	1	ENSMUST00000056433	0	ENSMUSG00000000194
ENSMUSG00000000197	1817.82995475294	0.27261998454789	0.0803128135366858	6.17590910478252e-05	0.00204824468707177	chr14	123276640	123627144	cluster_4	Promoter (<=1kb)	14	123276641	123627144	350504	2	ENSMUST00000000201	0	ENSMUSG00000000197
ENSMUSG00000000202	1284.8783947105	0.152819579198906	0.114087663541739	0.0253008044121518	0.140974699182339	chr11	114790668	114795892	cluster_3	Promoter (<=1kb)	11	114791217	114795873	4657	2	ENSMUST00000156053	0	ENSMUSG00000000202
ENSMUSG00000000204	12.4070048958749	0.0058025387940934	0.0915800117170272	0.623486293499918	NA	chr11	83175185	83190216	cluster_5	Promoter (<=1kb)	11	83175186	83190221	15036	1	ENSMUST00000000208	0	ENSMUSG00000000204
ENSMUSG00000000214	6.84548421504366	0.00962515063736354	0.0924633198888005	0.239138067657931	NA	chr7	142892775	142899966	cluster_5	Promoter (<=1kb)	7	142892966	142899961	6996	2	ENSMUST00000124951	0	ENSMUSG00000000214
ENSMUSG00000000244	8.61475188291582	0.0130556694443592	0.093170086958917	0.0818246763885723	NA	chr7	143005045	143019485	cluster_5	Promoter (<=1kb)	7	143005046	143019486	14441	1	ENSMUST00000009396	0	ENSMUSG00000000244
ENSMUSG00000000247	14535.9614412425	0.0679562865869219	0.0686793683620769	0.181229187872954	0.445204171037621	chr2	38339280	38369737	cluster_5	Promoter (<=1kb)	2	38339281	38369199	29919	1	ENSMUST00000143783	0	ENSMUSG00000000247
ENSMUSG00000000253	512.346196984329	0.000647074659454893	0.0768015238767624	0.984331858475667	0.99339984296113	chr13	45507443	45546386	cluster_1	Promoter (<=1kb)	13	45507444	45546382	38939	1	ENSMUST00000000260	0	ENSMUSG00000000253
ENSMUSG00000000275	473.204349823049	0.456589219704386	0.235779447671687	0.00176498205265775	0.0240117234504361	chr11	88999402	89020293	cluster_5	Promoter (<=1kb)	11	88999376	89020293	20918	1	ENSMUST00000107896	27	ENSMUSG00000000275
ENSMUSG00000000276	2326.09166213284	0.0345618789676412	0.057201034458061	0.44869418186454	0.709587889937042	chr11	89037581	89060748	cluster_4	Promoter (<=1kb)	11	89037582	89060748	23167	2	ENSMUST00000000285	0	ENSMUSG00000000276
ENSMUSG00000000282	2906.50617841426	-0.0468573547262311	0.0538518138286462	0.287811830990255	0.564986606204745	chr11	74830923	74845725	cluster_3	Promoter (<=1kb)	11	74836326	74837723	1398	1	ENSMUST00000133217	0	ENSMUSG00000000282
ENSMUSG00000000290	50.7242991800928	0.0167084209321366	0.0914251737593982	0.449856657723865	NA	chr10	77530347	77565674	cluster_5	Promoter (<=1kb)	10	77530370	77548672	18303	1	ENSMUST00000130059	0	ENSMUSG00000000290
ENSMUSG00000000295	832.413832543746	-0.0182179532414762	0.0656846313316269	0.694191383008204	0.860804077441852	chr10	31313404	31328086	cluster_5	Promoter (<=1kb)	10	31313405	31317032	3628	1	ENSMUST00000162076	0	ENSMUSG00000000295
ENSMUSG00000000296	231.554055388182	0.011755335238778	0.0837792580726856	0.702940371999137	0.865614183666043	chr10	31332379	31445921	cluster_4	Promoter (<=1kb)	10	31332380	31445921	113542	2	ENSMUST00000000305	0	ENSMUSG00000000296
ENSMUSG00000000301	99.2984502849872	-0.0425320973275484	0.0996932592037798	0.178063663616451	0.442145185154013	chr11	59970613	60046489	cluster_3	Promoter (<=1kb)	11	59970614	59971510	897	2	ENSMUST00000150954	0	ENSMUSG00000000301
ENSMUSG00000000303	121.061809962324	0.000489412209761896	0.091935718815409	0.933341124505324	0.974897959866857	chr8	106587142	106594820	cluster_5	Distal Intergenic	8	106603351	106670246	66896	1	ENSMUST00000000312	-8531	ENSMUSG00000000303
ENSMUSG00000000305	4594.26897206941	0.0628704188958049	0.081830853515711	0.214262845626318	0.4860785665307	chr2	179442430	179847704	cluster_2	Promoter (<=1kb)	2	179442431	179899373	456943	1	ENSMUST00000000314	0	ENSMUSG00000000305
ENSMUSG00000000308	1035.99713189406	-0.0238471468662063	0.0647375420370491	0.598210769011629	0.806241093798193	chr2	121358640	121363737	cluster_1	Promoter (<=1kb)	2	121358656	121360985	2330	1	ENSMUST00000126130	0	ENSMUSG00000000308
ENSMUSG00000000317	664.581364772806	0.0390001709375842	0.0736581963921329	0.439872445935046	0.701559102392723	chr11	70224126	70229798	cluster_1	Promoter (<=1kb)	11	70224128	70229739	5612	2	ENSMUST00000000326	0	ENSMUSG00000000317
ENSMUSG00000000318	48.2404630928339	0.0463899595334757	0.107033807554	0.0395940401874489	NA	chr11	70166622	70170836	cluster_5	Promoter (<=1kb)	11	70166623	70170834	4212	1	ENSMUST00000102571	0	ENSMUSG00000000318
ENSMUSG00000000320	22.2898224526734	0.000279310672376078	0.0910540631594264	0.986148675671669	NA	chr11	70241454	70255341	cluster_5	Promoter (<=1kb)	11	70248963	70255341	6379	2	ENSMUST00000108574	0	ENSMUSG00000000320
ENSMUSG00000000325	5274.02959481578	0.105881430651448	0.0546559980233151	0.0204597560289375	0.123318955577896	chr16	18348181	18407074	cluster_2	Promoter (<=1kb)	16	18348182	18407076	58895	1	ENSMUST00000115614	0	ENSMUSG00000000325
ENSMUSG00000000326	2466.76593329084	-0.0220607116492885	0.0574145391236721	0.683122618213784	0.853154489372968	chr16	18406881	18426716	cluster_4	Promoter (<=1kb)	16	18406886	18413494	6609	2	ENSMUST00000165430	0	ENSMUSG00000000326
ENSMUSG00000000339	2073.28795217509	-0.118647015044338	0.0707787079441164	0.0273125089409536	0.148309170171735	chr3	116488963	116508175	cluster_4	Promoter (<=1kb)	3	116489240	116495965	6726	2	ENSMUST00000124486	0	ENSMUSG00000000339
ENSMUSG00000000346	4127.18036554103	0.00565288635244101	0.0521412282671555	0.89329479299065	0.958157816698318	chr15	100614139	100615110	cluster_1	Promoter (<=1kb)	15	100615628	100620731	5104	1	ENSMUST00000000356	-518	ENSMUSG00000000346
ENSMUSG00000000359	20.1819307420263	0.0107184015655036	0.0917555300497624	0.470529975048121	NA	chr2	152627007	152635191	cluster_5	Promoter (<=1kb)	2	152632967	152635198	2232	1	ENSMUST00000139370	0	ENSMUSG00000000359
ENSMUSG00000000365	26.4049914525658	-0.013495101908718	0.0920970331437622	0.394996297006774	NA	chr14	56402696	56525031	cluster_5	Promoter (<=1kb)	14	56402697	56525032	122336	1	ENSMUST00000095793	0	ENSMUSG00000000365
ENSMUSG00000000374	4385.32184559243	-0.0415653507443042	0.0519704634832029	0.311264590545144	0.58724292579305	chr10	78186725	78244642	cluster_1	Promoter (<=1kb)	10	78186725	78244642	57918	2	ENSMUST00000000384	0	ENSMUSG00000000374
ENSMUSG00000000378	2565.91492529394	-0.0801972200532447	0.0653749419818261	0.107374277714862	0.335090934180091	chr11	6546886	6596761	cluster_1	Promoter (<=1kb)	11	6546887	6596744	49858	1	ENSMUST00000000388	0	ENSMUSG00000000378
ENSMUSG00000000384	1542.12431739465	-0.0792954131495299	0.0702377538763957	0.123951609803444	0.361964143277215	chr11	6615597	6626067	cluster_3	Promoter (<=1kb)	11	6615598	6626043	10446	2	ENSMUST00000156969	0	ENSMUSG00000000384
ENSMUSG00000000385	5.79681595752424	0.00400478325619979	0.091912110495894	0.582637945180743	NA	chr16	97564681	97611195	cluster_5	Promoter (<=1kb)	16	97564684	97611195	46512	2	ENSMUST00000000395	0	ENSMUSG00000000385
ENSMUSG00000000386	9.93256965442991	-0.00626954642063036	0.0919260309463557	0.492049667869183	NA	chr16	97447034	97462906	cluster_5	Promoter (<=1kb)	16	97447037	97462905	15869	2	ENSMUST00000155233	0	ENSMUSG00000000386
ENSMUSG00000000392	17.2932627862807	-0.0031935062328491	0.0911240603408677	0.811199271082711	NA	chr2	62500935	62574021	cluster_2	Promoter (<=1kb)	2	62501113	62573980	72868	2	ENSMUST00000152085	0	ENSMUSG00000000392
ENSMUSG00000000399	2785.43849613546	-0.0600977715934031	0.0619202622049022	0.207703159721412	0.478462762249573	chr6	126821862	126849144	cluster_3	Promoter (<=1kb)	6	126821863	126849144	27282	2	ENSMUST00000088194	0	ENSMUSG00000000399
ENSMUSG00000000409	182.788052560651	0.0148149751865996	0.0876814097788357	0.630051463043144	0.824796260437114	chr4	129548343	129558372	cluster_5	Promoter (<=1kb)	4	129548344	129558372	10029	2	ENSMUST00000167288	0	ENSMUSG00000000409
ENSMUSG00000000411	2.3997416597755	0.00128480156970234	0.0919576674671176	0.788860844861701	NA	chr4	129489007	129490770	cluster_5	Promoter (<=1kb)	4	129489014	129491022	2009	2	ENSMUST00000000421	252	ENSMUSG00000000411
ENSMUSG00000000416	6526.80854202784	-0.210967932637234	0.0666099768794575	0.000207978156603281	0.00493968445721121	chr6	18366476	18514825	cluster_4	Promoter (<=1kb)	6	18366478	18428231	61754	2	ENSMUST00000152499	0	ENSMUSG00000000416
ENSMUSG00000000420	2540.81084158243	0.121022919789058	0.0603441472172127	0.0140389648150145	0.0975782003962293	chr18	24205343	24286816	cluster_4	Promoter (<=1kb)	18	24205344	24286818	81475	1	ENSMUST00000000430	0	ENSMUSG00000000420
ENSMUSG00000000439	2603.04761419174	-0.0341049190390826	0.0527807995592327	0.432045012351828	0.69612273433675	chr6	115601937	115618670	cluster_5	Promoter (<=1kb)	6	115601938	115618670	16733	1	ENSMUST00000000449	0	ENSMUSG00000000439
ENSMUSG00000000440	8.61728879762745	0.00583940009211959	0.0918469096137669	0.54137987884673	NA	chr6	115360950	115490401	cluster_5	Promoter (<=1kb)	6	115361221	115490401	129181	1	ENSMUST00000171644	0	ENSMUSG00000000440
ENSMUSG00000000441	9412.39325176121	-0.053587658245194	0.046278573681985	0.17872111400643	0.4427467482972	chr6	115618572	115676635	cluster_3	Promoter (<=1kb)	6	115618067	115634621	16555	2	ENSMUST00000130528	0	ENSMUSG00000000441
ENSMUSG00000000486	210.89881424092	0.00211137984518949	0.0835871668719042	0.954032473052662	0.981211675489951	chr7	127214441	127218445	cluster_5	Promoter (<=1kb)	7	127214447	127215125	679	2	ENSMUST00000131208	0	ENSMUSG00000000486
ENSMUSG00000000489	926.326677064756	0.167027580585509	0.0962036187706671	0.01215260164244	0.0894222487097374	chr15	79995875	80014808	cluster_1	Promoter (<=1kb)	15	79995900	80014808	18909	2	ENSMUST00000000500	0	ENSMUSG00000000489
ENSMUSG00000000530	616.599871967719	0.329291123010215	0.126091561108611	0.000546478675050374	0.00993936726262858	chr15	101128521	101145336	cluster_5	Promoter (<=1kb)	15	101128522	101145336	16815	1	ENSMUST00000000542	0	ENSMUSG00000000530
ENSMUSG00000000531	437.402139257871	-0.0859855301926007	0.100601027386558	0.117383326074047	0.351720445144327	chr15	101221190	101225186	cluster_1	Promoter (<=1kb)	15	101224207	101232755	8549	1	ENSMUST00000000543	0	ENSMUSG00000000531
ENSMUSG00000000532	5891.05907054576	-0.0469000823463766	0.0447768869257294	0.221194361576523	0.493651284548163	chr15	101174124	101212601	cluster_1	Promoter (<=1kb)	15	101174104	101213678	39575	1	ENSMUST00000000544	21	ENSMUSG00000000532
ENSMUSG00000000538	6020.20120337697	0.0180327777427458	0.049571791027962	0.67480555655369	0.848676393294149	chr11	60226713	60352905	cluster_1	Promoter (<=1kb)	11	60226714	60352905	126192	2	ENSMUST00000095254	0	ENSMUSG00000000538
ENSMUSG00000000552	1721.16419827295	-0.0555849451334946	0.068333072624794	0.257798600295769	0.533342933094718	chr15	103313894	103340086	cluster_5	Promoter (<=1kb)	15	103313895	103340086	26192	2	ENSMUST00000168828	0	ENSMUSG00000000552
ENSMUSG00000000555	694.916826518531	0.233845491148858	0.132073147921704	0.00581739185473827	0.0556761149971529	chr15	103344285	103366791	cluster_5	Promoter (<=1kb)	15	103344289	103366763	22475	2	ENSMUST00000023128	0	ENSMUSG00000000555
ENSMUSG00000000560	3879.25410827101	0.00473003105852116	0.0628948613561455	0.91924146375063	0.968267468262553	chr5	70961056	71095849	cluster_2	Promoter (<=1kb)	5	70961057	71095849	134793	2	ENSMUST00000000572	0	ENSMUSG00000000560
ENSMUSG00000000561	1877.03806930336	-0.0718436750254428	0.0723070047854682	0.161020605811595	0.415856625531058	chr3	105942677	105960248	cluster_1	Promoter (<=1kb)	3	105959369	105969760	10392	1	ENSMUST00000010278	0	ENSMUSG00000000561
ENSMUSG00000000562	7.73790674554576	-0.00646722409496249	0.0919978127918	0.453390270042608	NA	chr3	105870857	105924044	cluster_5	Promoter (<=1kb)	3	105870858	105908353	37496	1	ENSMUST00000164730	0	ENSMUSG00000000562
ENSMUSG00000000567	2755.03775067074	0.0914419632584469	0.065175916676524	0.0691403821475688	0.260672591164467	chr11	112782209	112787757	cluster_2	Promoter (<=1kb)	11	112782224	112787760	5537	1	ENSMUST00000000579	0	ENSMUSG00000000567
ENSMUSG00000000568	11514.8865250884	-0.075635909698262	0.0446601202770458	0.0537017228653859	0.2224901633704	chr5	99955934	99978938	cluster_3	Promoter (<=1kb)	5	99958426	99978938	20513	2	ENSMUST00000172361	0	ENSMUSG00000000568
ENSMUSG00000000579	224.082415559567	0.00509551060452522	0.0820809151255548	0.879271616927398	0.95220909603529	chr17	6601670	6607899	cluster_4	Promoter (<=1kb)	17	6601671	6609679	8009	1	ENSMUST00000092966	0	ENSMUSG00000000579
ENSMUSG00000000581	2335.80354698149	-0.0300512130105807	0.058171111124178	0.508242073875045	0.750746922762893	chr11	17257617	17269176	cluster_3	Promoter (<=1kb)	11	17257688	17266624	8937	1	ENSMUST00000156784	0	ENSMUSG00000000581
ENSMUSG00000000594	1694.49761104857	0.0890725950784473	0.070112486337999	0.0861510010080499	0.294662588630999	chr11	55097984	55113028	cluster_4	Promoter (<=1kb)	11	55098115	55113029	14915	1	ENSMUST00000000608	0	ENSMUSG00000000594
ENSMUSG00000000600	2071.70037405536	0.0984007695051875	0.0875555852929699	0.0830122140689775	0.28778148421163	chr5	3803164	3844515	cluster_3	Promoter (<=1kb)	5	3803165	3844515	41351	1	ENSMUST00000080085	0	ENSMUSG00000000600
ENSMUSG00000000627	3100.54798844666	-0.0349259485066228	0.0509559767477442	0.417976029820182	0.684917458793993	chr6	82877865	82881853	cluster_5	Distal Intergenic	6	82914084	82917586	3503	2	ENSMUST00000125579	35733	ENSMUSG00000000627
ENSMUSG00000000628	1058.22681195799	0.0918181998578333	0.101242222455307	0.102432109319441	0.325691819150323	chr6	82725026	82774454	cluster_4	Promoter (<=1kb)	6	82725025	82774454	49430	2	ENSMUST00000000642	0	ENSMUSG00000000628
ENSMUSG00000000631	7856.72634701773	-0.0369012878230582	0.0514813541548198	0.384582865498686	0.656827924652986	chr11	77777234	77865988	cluster_4	Promoter (<=1kb)	11	77777265	77865980	88716	1	ENSMUST00000000645	0	ENSMUSG00000000631
ENSMUSG00000000632	19319.9349419107	-0.524194339555577	0.0644508142355594	1.1988724299246e-16	6.155543887424e-14	chr11	77930838	77979052	cluster_4	Promoter (<=1kb)	11	77930839	77979048	48210	1	ENSMUST00000142542	0	ENSMUSG00000000632
ENSMUSG00000000673	8.94943460248629	-0.00359756045559161	0.09163459589021	0.71322977593462	NA	chr17	83831353	83846790	cluster_5	Promoter (<=1kb)	17	83831356	83846790	15435	2	ENSMUST00000000687	0	ENSMUSG00000000673
ENSMUSG00000000682	30.8767180632504	0.00384162768725023	0.090599972361879	0.820957168372102	NA	chr4	134093537	134095073	cluster_5	Promoter (<=1kb)	4	134082448	134095041	12594	2	ENSMUST00000145122	0	ENSMUSG00000000682
ENSMUSG00000000686	31.1454492541839	0.00815367549646341	0.0907435325880461	0.652439398144544	NA	chr11	77515116	77520628	cluster_5	Promoter (<=1kb)	11	77515121	77520045	4925	1	ENSMUST00000094004	0	ENSMUSG00000000686
ENSMUSG00000000693	404.396359210558	0.296158172741879	0.177714440636766	0.00460141599651392	0.0471118389657847	chr6	83034223	83052564	cluster_2	Promoter (<=1kb)	6	83049868	83050667	800	1	ENSMUST00000155502	0	ENSMUSG00000000693
ENSMUSG00000000706	4.84347433368454	0.00784438185376516	0.0923273019501486	0.245445116452187	NA	chr13	23456992	23465901	cluster_4	Promoter (<=1kb)	13	23456992	23465875	8884	2	ENSMUST00000041674	0	ENSMUSG00000000706
ENSMUSG00000000708	706.498666874592	0.0717758078323086	0.0817447551425142	0.172226648373054	0.433589403367093	chr17	53566970	53672721	cluster_4	Promoter (<=1kb)	17	53566971	53672720	105750	1	ENSMUST00000000724	0	ENSMUSG00000000708
ENSMUSG00000000711	6175.0851223443	0.00717184923528701	0.0467195191268022	0.859185785407906	0.943482947505073	chr10	128677182	128696268	cluster_2	Promoter (<=1kb)	10	128677193	128696268	19076	2	ENSMUST00000000727	0	ENSMUSG00000000711
ENSMUSG00000000724	3.2097060866851	0.00280352654135448	0.0919306570497452	0.647049590176139	NA	chr11	77718613	77725293	cluster_5	Promoter (<=1kb)	11	77718615	77721834	3220	2	ENSMUST00000124178	0	ENSMUSG00000000724
ENSMUSG00000000732	238.365924775221	0.060742195303693	0.10912057795001	0.121473493831674	0.357791208598317	chr10	78069367	78079525	cluster_5	Promoter (<=1kb)	10	78069360	78079525	10166	1	ENSMUST00000105393	8	ENSMUSG00000000732
ENSMUSG00000000738	2055.02946138734	-0.0312552766409554	0.0561997997747804	0.485251481008917	0.735536474285825	chr8	123065507	123097751	cluster_4	Promoter (<=1kb)	8	123065508	123097751	32244	1	ENSMUST00000128803	0	ENSMUSG00000000738
ENSMUSG00000000739	15.7715644996719	0.00983009542628673	0.0919635562402915	0.437516321708193	NA	chr8	123142846	123158280	cluster_4	Promoter (<=1kb)	8	123142847	123158270	15424	2	ENSMUST00000000755	0	ENSMUSG00000000739
ENSMUSG00000000740	16550.1903851117	-0.185505015904713	0.0663865051576077	0.000840529922819125	0.0139715423501697	chr8	123102349	123105242	cluster_4	Promoter (<=1kb)	8	123102350	123105244	2895	1	ENSMUST00000000756	0	ENSMUSG00000000740
ENSMUSG00000000743	6311.10786241626	-0.0632772350175804	0.0450467531170128	0.107810339021565	0.335708609581301	chr8	123204260	123212788	cluster_4	Promoter (<=1kb)	8	123204264	123212760	8497	2	ENSMUST00000000759	0	ENSMUSG00000000743
ENSMUSG00000000751	4094.22288886768	-0.0323332522162171	0.0511745669646889	0.449275063558589	0.709858696844394	chr11	75300258	75348383	cluster_4	Promoter (<=1kb)	11	75298166	75348324	50159	2	ENSMUST00000092907	0	ENSMUSG00000000751
ENSMUSG00000000753	531.178380219501	0.0390846118177691	0.101618446109693	0.0803327110987674	0.282352699812912	chr11	75410028	75422623	cluster_4	Promoter (<=1kb)	11	75410064	75417996	7933	2	ENSMUST00000168902	0	ENSMUSG00000000753
ENSMUSG00000000759	2386.18664758167	0.0154471331693321	0.054711844661141	0.715246491524791	0.872149011523281	chr8	12614276	12672100	cluster_3	Promoter (<=1kb)	8	12614277	12672099	57823	2	ENSMUST00000164774	0	ENSMUSG00000000759
ENSMUSG00000000766	13.9977480817768	0.010767651043431	0.0925448847496437	0.246977769329524	NA	chr10	6758592	6850572	cluster_5	Promoter (<=1kb)	10	6758593	6828964	70372	1	ENSMUST00000143875	0	ENSMUSG00000000766
ENSMUSG00000000776	1344.85356763503	-0.0382017956808217	0.0648422206918113	0.421716489829481	0.688270481269726	chr14	70438747	70443227	cluster_4	Promoter (<=1kb)	14	70438748	70443227	4480	2	ENSMUST00000180358	0	ENSMUSG00000000776
ENSMUSG00000000782	464.444688372842	0.0992593602227445	0.113855597709202	0.0831781562499803	0.288202644362279	chr11	52252282	52283014	cluster_5	Promoter (<=1kb)	11	52252371	52282571	30201	2	ENSMUST00000086844	0	ENSMUSG00000000782
ENSMUSG00000000791	4.76848151359003	0.00142549905161609	0.0917836426214296	0.849900953151769	NA	chr8	70808448	70821423	cluster_1	Promoter (<=1kb)	8	70808449	70821424	12976	1	ENSMUST00000000808	0	ENSMUSG00000000791
ENSMUSG00000000792	110.592796812225	0.0127670773898677	0.0900811123898575	0.582292752306403	0.797953336951935	chr8	70882888	70892757	cluster_1	Promoter (<=1kb)	8	70882889	70892757	9869	2	ENSMUST00000000809	0	ENSMUSG00000000792
ENSMUSG00000000794	858.079310430699	0.0614025148660252	0.0785435717181011	0.22798041178017	0.500791070909284	chr3	89520163	89672494	cluster_4	Promoter (<=1kb)	3	89520164	89667761	147598	1	ENSMUST00000000811	0	ENSMUSG00000000794
ENSMUSG00000000804	4124.27626133712	0.0625162567281189	0.0522388713563752	0.151153232091944	0.403589610263988	chr11	84984487	85139955	cluster_4	Promoter (<=1kb)	11	84985647	85029135	43489	2	ENSMUST00000000821	0	ENSMUSG00000000804
ENSMUSG00000000805	151.723613460197	0.00463784194616411	0.0875384633333313	0.868276173929068	0.946893690936018	chr11	84957753	84966054	cluster_5	Promoter (<=1kb)	11	84957786	84962555	4770	1	ENSMUST00000139416	0	ENSMUSG00000000805
ENSMUSG00000000811	634.575496462807	0.00243831680511728	0.0696862102720076	0.958638973946683	0.983334686624725	chr6	89643987	89675529	cluster_4	Promoter (<=1kb)	6	89643988	89675529	31542	1	ENSMUST00000000828	0	ENSMUSG00000000811
