Chrom	Start	End	X2_79152198_79152805	X122.227451229533	X1.6240414574572097	X3.805509600578789e.17	X9.47039119200039e.13	X	X.1	Intergenic	Intergenic.1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr16	6135102	6135244	16_6135102_6135244	22.0391851613419	0.670405062349088	0.000711903890960866	0.0294838989640332	ENSMUSG00000008658.16	Rbfox1	intron	ENSMUSG00000008658.16	Distal Intergenic	16	6809222	7409813	600592	1	ENSMUST00000115841	-673978	ENSMUSG00000008658	ENSMUSG00000008658
chr13	18125710	18125909	13_18125710_18125909	29.7084022165123	0.699952793902791	0.000857753078790127	0.0332943027073258	ENSMUSG00000009734.18	Pou6f2	intron	ENSMUSG00000009734.18	Intron (ENSMUST00000139064/ENSMUSG00000009734, intron 7 of 7)	13	18124743	18152188	27446	2	ENSMUST00000175703	26279	ENSMUSG00000009734	ENSMUSG00000009734
chr11	101627534	101628279	11_101627534_101628279	306.142697454136	0.717600715021043	9.13997880223126e-08	5.05461138827393e-05	ENSMUSG00000010362.9	Rdm1	promoter-TSS	ENSMUSG00000010362.9	Promoter (<=1kb)	11	101627942	101636100	8159	1	ENSMUST00000010506	0	ENSMUSG00000010362	ENSMUSG00000010362
chr11	101627534	101628279	11_101627534_101628279	306.142697454136	0.717600715021043	9.13997880223126e-08	5.05461138827393e-05	ENSMUSG00000065767.1	Gm23849	promoter-TSS	ENSMUSG00000010362.9	Promoter (<=1kb)	11	101627942	101636100	8159	1	ENSMUST00000010506	0	ENSMUSG00000010362	ENSMUSG00000010362
chr10	40170273	40170549	10_40170273_40170549	41.3087554162118	0.853096614096368	7.52394284662166e-05	0.00731409537816511	ENSMUSG00000110781.1	RP23-8O18.1	TTS	ENSMUSG00000110781.1	Distal Intergenic	10	40033535	40142254	108720	2	ENSMUST00000092566	-28020	ENSMUSG00000019838	ENSMUSG00000019838
chr10	14705451	14705681	10_14705451_14705681	114.653353259943	0.613643288681953	0.00109688392721796	0.0381839117559134	ENSMUSG00000019865.9	Nmbr	promoter-TSS	ENSMUSG00000019865.9	Promoter (<=1kb)	10	14654755	14705560	50806	2	ENSMUST00000154132	0	ENSMUSG00000019868	ENSMUSG00000019868
chr10	14705451	14705681	10_14705451_14705681	114.653353259943	0.613643288681953	0.00109688392721796	0.0381839117559134	ENSMUSG00000019868.16	Vta1	promoter-TSS	ENSMUSG00000019865.9	Promoter (<=1kb)	10	14654755	14705560	50806	2	ENSMUST00000154132	0	ENSMUSG00000019868	ENSMUSG00000019868
chr10	84438119	84438299	10_84438119_84438299	103.692253255739	0.772449106767843	5.42987471730461e-05	0.00589073721431918	ENSMUSG00000020032.14	Nuak1	intron	ENSMUSG00000020032.14	Promoter (2-3kb)	10	84370905	84440597	69693	2	ENSMUST00000020220	2298	ENSMUSG00000020032	ENSMUSG00000020032
chr10	62101605	62101842	10_62101605_62101842	76.4456705739882	0.753482726550955	0.000194462069650923	0.0139463488914492			Intergenic	Intergenic	Distal Intergenic	10	62108920	62110496	1577	2	ENSMUST00000141144	8654	ENSMUSG00000020083	ENSMUSG00000020083
chr11	12026242	12026546	11_12026242_12026546	115.779142989143	0.616566088843734	0.00115463956370559	0.0392790139348548	ENSMUSG00000020176.17	Grb10	promoter-TSS	ENSMUSG00000020176.17	Promoter (<=1kb)	11	11967532	12026324	58793	2	ENSMUST00000150972	0	ENSMUSG00000020176	ENSMUSG00000020176
chr11	47705316	47705608	11_47705316_47705608	67.8513302198304	0.949153676394179	5.15448740813876e-06	0.00107793759360455	ENSMUSG00000020354.15	Sgcd	intron	ENSMUSG00000020354.15	Intron (ENSMUST00000128558/ENSMUSG00000020354, intron 1 of 2)	11	47351154	47637469	286316	2	ENSMUST00000154578	-67848	ENSMUSG00000020354	ENSMUSG00000020354
chr11	52000390	52000561	11_52000390_52000561	72.0715117671791	0.698941424989222	0.000614883791936752	0.0276261707390654	ENSMUSG00000097219.1	Gm26551	promoter-TSS	ENSMUSG00000086493.1	Promoter (<=1kb)	11	51985497	52000484	14988	2	ENSMUST00000020657	0	ENSMUSG00000020390	ENSMUSG00000020390
chr11	52000390	52000561	11_52000390_52000561	72.0715117671791	0.698941424989222	0.000614883791936752	0.0276261707390654	ENSMUSG00000020390.12	Ube2b	promoter-TSS	ENSMUSG00000086493.1	Promoter (<=1kb)	11	51985497	52000484	14988	2	ENSMUST00000020657	0	ENSMUSG00000020390	ENSMUSG00000020390
chr11	52000390	52000561	11_52000390_52000561	72.0715117671791	0.698941424989222	0.000614883791936752	0.0276261707390654	ENSMUSG00000086493.1	RP23-263C23.4	promoter-TSS	ENSMUSG00000086493.1	Promoter (<=1kb)	11	51985497	52000484	14988	2	ENSMUST00000020657	0	ENSMUSG00000020390	ENSMUSG00000020390
chr12	32927298	32927423	12_32927298_32927423	29.5709622885626	0.769921823583082	0.000218749077311154	0.0150797494126465	ENSMUSG00000097494.7	RP24-83B1.2	intron	ENSMUSG00000097494.7	Distal Intergenic	12	32953891	32979050	25160	1	ENSMUST00000076698	-26468	ENSMUSG00000020570	ENSMUSG00000020570
chr12	13983850	13984480	12_13983850_13984480	83.3412177198508	1.1488314996109	1.27619066797193e-08	1.05864269877165e-05			Intergenic	Intergenic	Distal Intergenic	12	14147599	14152038	4440	2	ENSMUST00000020926	167558	ENSMUSG00000020607	ENSMUSG00000020607
chr12	26680377	26680571	12_26680377_26680571	36.1940040040546	0.750069577863016	0.000470148721287952	0.023455270707714			Intergenic	Intergenic	Distal Intergenic	12	26469204	26479835	10632	1	ENSMUST00000020969	211174	ENSMUSG00000020638	ENSMUSG00000020638
chr12	117764939	117765122	12_117764939_117765122	57.4267391493061	0.741823440007773	0.000429631677903698	0.0223316242526901			Intergenic	Intergenic	Distal Intergenic	12	117804289	117870047	65759	1	ENSMUST00000176499	-39167	ENSMUSG00000021175	ENSMUSG00000021175
chr13	36283746	36283947	13_36283746_36283947	32.0284015950569	0.706221462231036	0.000695282037149145	0.02915256948525	ENSMUSG00000021420.13	Fars2	intron	ENSMUSG00000021420.13	Intron (ENSMUST00000021857/ENSMUSG00000021420, intron 4 of 6)	13	36117411	36537592	420182	1	ENSMUST00000099582	166336	ENSMUSG00000021420	ENSMUSG00000021420
chr13	68622961	68623171	13_68622961_68623171	32.3845801134428	1.20024418074345	4.40776886985304e-08	2.96464151608548e-05	ENSMUSG00000021536.7	Adcy2	intron	ENSMUSG00000021536.7	Intron (ENSMUST00000022013/ENSMUSG00000021536, intron 24 of 24)	13	68597439	68614231	16793	1	ENSMUST00000022007	25523	ENSMUSG00000021534	ENSMUSG00000021534
chr13	58402114	58402311	13_58402114_58402311	145.584258471215	0.665831142606743	0.0001233151922895	0.0102980599842835	ENSMUSG00000035367.9	Rmi1	promoter-TSS	ENSMUSG00000021546.18	Promoter (<=1kb)	13	58394348	58402142	7795	2	ENSMUST00000176849	0	ENSMUSG00000021546	ENSMUSG00000021546
chr13	58402114	58402311	13_58402114_58402311	145.584258471215	0.665831142606743	0.0001233151922895	0.0102980599842835	ENSMUSG00000021546.18	Hnrnpk	promoter-TSS	ENSMUSG00000021546.18	Promoter (<=1kb)	13	58394348	58402142	7795	2	ENSMUST00000176849	0	ENSMUSG00000021546	ENSMUSG00000021546
chr13	94375907	94376292	13_94375907_94376292	128.719934593002	0.648155045974787	0.0004124234216564	0.0219334937092703	ENSMUSG00000021686.6	Ap3b1	intron	ENSMUSG00000021686.6	Intron (ENSMUST00000022196/ENSMUSG00000021686, intron 1 of 26)	13	94358960	94566316	207357	1	ENSMUST00000022196	16948	ENSMUSG00000021686	ENSMUSG00000021686
chr14	18062209	18062645	14_18062209_18062645	111.643278066874	0.621243274769471	0.000953437290127926	0.0353288277358729			Intergenic	Intergenic	Distal Intergenic	14	17981644	18038086	56443	1	ENSMUST00000022304	80566	ENSMUSG00000021779	ENSMUSG00000021779
chr14	34575400	34575798	14_34575400_34575798	90.5265449066778	1.47379772511227	6.47028487484959e-13	4.02548773488767e-09	ENSMUSG00000021798.14	Ldb3	intron	ENSMUSG00000021798.14	Intron (ENSMUST00000090040/ENSMUSG00000021798, intron 3 of 14)	14	34526699	34588607	61909	2	ENSMUST00000090040	12809	ENSMUSG00000021798	ENSMUSG00000021798
chr14	47093371	47093789	14_47093371_47093789	99.1522514071115	1.09122261856361	6.58692531427448e-08	3.99810300904963e-05	ENSMUSG00000021838.17	Samd4	intron	ENSMUSG00000021838.17	Intron (ENSMUST00000022386/ENSMUSG00000021838, intron 11 of 12)	14	47087135	47089101	1967	1	ENSMUST00000130046	6237	ENSMUSG00000021838	ENSMUSG00000021838
chr14	47096443	47096657	14_47096443_47096657	63.8110139597089	0.996292914617703	2.17320835157888e-06	0.000575224282072079	ENSMUSG00000072589.4	RP23-36P21.3	intron	ENSMUSG00000021838.17	Intron (ENSMUST00000022386/ENSMUSG00000021838, intron 12 of 12)	14	47087135	47089101	1967	1	ENSMUST00000130046	9309	ENSMUSG00000021838	ENSMUSG00000021838
chr14	47096443	47096657	14_47096443_47096657	63.8110139597089	0.996292914617703	2.17320835157888e-06	0.000575224282072079	ENSMUSG00000021838.17	Samd4	intron	ENSMUSG00000021838.17	Intron (ENSMUST00000022386/ENSMUSG00000021838, intron 12 of 12)	14	47087135	47089101	1967	1	ENSMUST00000130046	9309	ENSMUSG00000021838	ENSMUSG00000021838
chr15	39828887	39829128	15_39828887_39829128	32.8599143133694	0.708903337841486	0.000907624593211936	0.034135572574974	ENSMUSG00000022304.13	Dpys	intron	ENSMUSG00000022304.13	Intron (ENSMUST00000022915/ENSMUSG00000022304, intron 4 of 9)	15	39768485	39857467	88983	2	ENSMUST00000022915	28339	ENSMUSG00000022304	ENSMUSG00000022304
chr15	57929460	57929717	15_57929460_57929717	46.8423344307092	0.678253225170366	0.00146806376344383	0.0453278347606243	ENSMUSG00000022364.14	Tbc1d31	intron	ENSMUSG00000022364.14	Intron (ENSMUST00000022992/ENSMUSG00000022364, intron 4 of 20)	15	57916013	57955217	39205	1	ENSMUST00000162157	13448	ENSMUSG00000022364	ENSMUSG00000022364
chr15	57929845	57930094	15_57929845_57930094	28.8872428570676	0.754314162835409	0.000323911164880751	0.019517804477536	ENSMUSG00000022364.14	Tbc1d31	intron	ENSMUSG00000022364.14	Intron (ENSMUST00000022992/ENSMUSG00000022364, intron 4 of 20)	15	57916013	57955217	39205	1	ENSMUST00000162157	13833	ENSMUSG00000022364	ENSMUSG00000022364
chr15	55557324	55557476	15_55557324_55557476	22.91889258951	0.768726154790611	0.000140016797332917	0.0110489413945343	ENSMUSG00000022369.13	Mtbp	promoter-TSS	ENSMUSG00000022370.13	Promoter (<=1kb)	15	55557408	55626423	69016	1	ENSMUST00000022998	0	ENSMUSG00000022369	ENSMUSG00000022369
chr15	55557324	55557476	15_55557324_55557476	22.91889258951	0.768726154790611	0.000140016797332917	0.0110489413945343	ENSMUSG00000022370.13	Mrpl13	promoter-TSS	ENSMUSG00000022370.13	Promoter (<=1kb)	15	55557408	55626423	69016	1	ENSMUST00000022998	0	ENSMUSG00000022369	ENSMUSG00000022369
chr15	73440782	73440952	15_73440782_73440952	34.82919148123	0.699456171144033	0.00101872395374882	0.0367419772652074			Intergenic	Intergenic	Distal Intergenic	15	73215557	73423191	207635	2	ENSMUST00000170939	-17592	ENSMUSG00000022607	ENSMUSG00000022607
chr16	38902162	38902517	16_38902162_38902517	152.798293950387	0.647612285335364	0.000215238678385137	0.0150035399884665	ENSMUSG00000086175.2	RP23-36H10.6	promoter-TSS	ENSMUSG00000022790.14	Promoter (<=1kb)	16	38902316	39027159	124844	1	ENSMUST00000023478	0	ENSMUSG00000022790	ENSMUSG00000022790
chr16	38902162	38902517	16_38902162_38902517	152.798293950387	0.647612285335364	0.000215238678385137	0.0150035399884665	ENSMUSG00000022790.14	Igsf11	promoter-TSS	ENSMUSG00000022790.14	Promoter (<=1kb)	16	38902316	39027159	124844	1	ENSMUST00000023478	0	ENSMUSG00000022790	ENSMUSG00000022790
chr16	62861718	62861954	16_62861718_62861954	20.8673026719338	0.646279480245934	0.000853520938235494	0.0331886282327008	ENSMUSG00000022912.8	Pros1	intron	ENSMUSG00000022912.8	Intron (ENSMUST00000023629/ENSMUSG00000022912, intron 1 of 14)	16	62854307	62929346	75040	1	ENSMUST00000023629	7412	ENSMUSG00000022912	ENSMUSG00000022912
chr16	91881002	91881173	16_91881002_91881173	40.9552208334327	0.734309503194542	0.000622303182763874	0.0276759119717429	ENSMUSG00000116933.1	RP23-280L21.5	intron	ENSMUSG00000022957.20	Intron (ENSMUST00000064797/ENSMUSG00000022957, intron 29 of 39)	16	91877553	91893939	16387	1	ENSMUST00000141073	3450	ENSMUSG00000022957	ENSMUSG00000022957
chr16	91881002	91881173	16_91881002_91881173	40.9552208334327	0.734309503194542	0.000622303182763874	0.0276759119717429	ENSMUSG00000022957.20	Itsn1	intron	ENSMUSG00000022957.20	Intron (ENSMUST00000064797/ENSMUSG00000022957, intron 29 of 39)	16	91877553	91893939	16387	1	ENSMUST00000141073	3450	ENSMUSG00000022957	ENSMUSG00000022957
chr16	90323053	90323187	16_90323053_90323187	42.3604898588409	0.728182270065204	0.000654898615065117	0.0282948037057474	ENSMUSG00000116600.1	RP23-226F20.3	intron	ENSMUSG00000116600.1	Distal Intergenic	16	90229156	90284425	55270	2	ENSMUST00000039280	-38629	ENSMUSG00000022983	ENSMUSG00000022983
chr3	51096067	51096335	3_51096067_51096335	89.3144096947085	0.960031759786434	2.20899728138703e-06	0.000575224282072079			Intergenic	Intergenic	Distal Intergenic	3	51224447	51251644	27198	1	ENSMUST00000023849	-128112	ENSMUSG00000023087	ENSMUSG00000023087
chr3	51096476	51096617	3_51096476_51096617	31.4532044708186	0.666650494610123	0.00167078523830797	0.048801832676681			Intergenic	Intergenic	Distal Intergenic	3	51224447	51251644	27198	1	ENSMUST00000023849	-127830	ENSMUSG00000023087	ENSMUSG00000023087
chr5	124112178	124112369	5_124112178_124112369	86.3971684522961	0.670213584830979	0.000660381358481086	0.0283746437459326	ENSMUSG00000023707.13	Ogfod2	promoter-TSS	ENSMUSG00000085433.2	Promoter (<=1kb)	5	124112297	124115483	3187	1	ENSMUST00000024470	0	ENSMUSG00000023707	ENSMUSG00000023707
chr5	124112178	124112369	5_124112178_124112369	86.3971684522961	0.670213584830979	0.000660381358481086	0.0283746437459326	ENSMUSG00000085433.2	AC113474.3	promoter-TSS	ENSMUSG00000085433.2	Promoter (<=1kb)	5	124112297	124115483	3187	1	ENSMUST00000024470	0	ENSMUSG00000023707	ENSMUSG00000023707
chr17	3363261	3363577	17_3363261_3363577	57.3063259247146	1.33233709353272	7.59316164398384e-10	1.4535647744014e-06	ENSMUSG00000023800.15	Tiam2	intron	ENSMUSG00000023800.15	Intron (ENSMUST00000169838/ENSMUSG00000023800, intron 1 of 26)	17	3397207	3519397	122191	1	ENSMUST00000072156	-33630	ENSMUSG00000023800	ENSMUSG00000023800
chr17	29703072	29703315	17_29703072_29703315	42.2993178548426	0.82778533482962	0.000111560557761213	0.00963991680710257	ENSMUSG00000024018.17	Ccdc167	TTS	ENSMUSG00000024018.17	3' UTR	17	29699999	29716963	16965	2	ENSMUST00000131807	13648	ENSMUSG00000024018	ENSMUSG00000024018
chr17	29703072	29703315	17_29703072_29703315	42.2993178548426	0.82778533482962	0.000111560557761213	0.00963991680710257	ENSMUSG00000098374.1	RP24-271E12.5	TTS	ENSMUSG00000024018.17	3' UTR	17	29699999	29716963	16965	2	ENSMUST00000131807	13648	ENSMUSG00000024018	ENSMUSG00000024018
chr17	29703072	29703315	17_29703072_29703315	42.2993178548426	0.82778533482962	0.000111560557761213	0.00963991680710257	ENSMUSG00000024019.17	Cmtr1	TTS	ENSMUSG00000024018.17	3' UTR	17	29699999	29716963	16965	2	ENSMUST00000131807	13648	ENSMUSG00000024018	ENSMUSG00000024018
chr17	32321121	32321462	17_32321121_32321462	208.49152900121	0.626358336056941	4.67507819407918e-05	0.00528836345172065	ENSMUSG00000024045.5	Akap8	promoter-TSS	ENSMUSG00000024045.5	Promoter (<=1kb)	17	32303676	32321153	17478	2	ENSMUST00000002699	0	ENSMUSG00000024045	ENSMUSG00000024045
chr17	32321121	32321462	17_32321121_32321462	208.49152900121	0.626358336056941	4.67507819407918e-05	0.00528836345172065	ENSMUSG00000002625.9	Akap8l	promoter-TSS	ENSMUSG00000024045.5	Promoter (<=1kb)	17	32303676	32321153	17478	2	ENSMUST00000002699	0	ENSMUSG00000024045	ENSMUSG00000024045
chr18	36081865	36082030	18_36081865_36082030	42.8102816876563	0.774221054672212	0.000311094951854804	0.0189288727918304	ENSMUSG00000060275.12	Nrg2	intron	ENSMUSG00000060275.12	Intron (ENSMUST00000115712/ENSMUSG00000060275, intron 1 of 9)	18	35987019	36006084	19066	1	ENSMUST00000175720	94847	ENSMUSG00000024347	ENSMUSG00000024347
chr18	37877264	37877538	18_37877264_37877538	134.506787589615	0.698684945428243	0.000121968795385877	0.0102199173130402	ENSMUSG00000024456.16	Diaph1	intron	ENSMUSG00000024456.16	Intron (ENSMUST00000115634/ENSMUSG00000024456, intron 17 of 26)	18	37896157	37897942	1786	2	ENSMUST00000129688	20404	ENSMUSG00000024456	ENSMUSG00000024456
chr18	79052297	79052488	18_79052297_79052488	39.6892937353684	0.74713334017255	0.000500083916747307	0.0243068131878388	ENSMUSG00000024548.11	Setbp1	intron	ENSMUSG00000024548.11	Intron (ENSMUST00000025430/ENSMUSG00000024548, intron 2 of 5)	18	78750380	79109391	359012	2	ENSMUST00000025430	56903	ENSMUSG00000024548	ENSMUSG00000024548
chr19	56046596	56046842	19_56046596_56046842	23.545991411517	0.980803797201883	2.08027421626288e-06	0.000562714175499108			Intergenic	Intergenic	Distal Intergenic	19	55898553	55919604	21052	1	ENSMUST00000148666	148044	ENSMUSG00000024985	ENSMUSG00000024985
chr7	140054245	140054524	7_140054245_140054524	50.7971738584401	0.714765025104859	0.000785647029735692	0.0315348580354878			Intergenic	Intergenic	Distal Intergenic	7	140046258	140049140	2883	2	ENSMUST00000172775	-5106	ENSMUSG00000025469	ENSMUSG00000025469
chr7	139850227	139850506	7_139850227_139850506	108.430775429635	0.726489914177921	0.000120784302168748	0.0102099989451819	ENSMUSG00000025475.17	Adgra1	intron	ENSMUSG00000025475.17	Intron (ENSMUST00000026548/ENSMUSG00000025475, intron 5 of 7)	7	139834962	139841204	6243	1	ENSMUST00000129454	15266	ENSMUSG00000025475	ENSMUSG00000025475
chr1	13607976	13608145	1_13607976_13608145	24.457651693548	0.643449249514601	0.00142725632182711	0.0444321289480991			Intergenic	Intergenic	Distal Intergenic	1	13564702	13589864	25163	2	ENSMUST00000027068	-18113	ENSMUSG00000025935	ENSMUSG00000025935
chr1	23670642	23670993	1_23670642_23670993	45.8472275707718	0.779363345008503	0.00028170849644387	0.0177933950317314			Intergenic	Intergenic	Distal Intergenic	1	23761753	23815740	53988	1	ENSMUST00000144602	-90760	ENSMUSG00000026156	ENSMUSG00000026156
chr1	121478703	121478931	1_121478703_121478931	86.490847403965	0.636917705990719	0.00122659900202248	0.0405740348994849	ENSMUSG00000026339.18	Ccdc93	intron	ENSMUSG00000026339.18	Intron (ENSMUST00000036025/ENSMUSG00000026339, intron 13 of 23)	1	121491217	121499477	8261	1	ENSMUST00000152959	-12286	ENSMUSG00000026339	ENSMUSG00000026339
chr1	155193103	155193316	1_155193103_155193316	55.765566746998	0.750748360684641	0.000457461250767097	0.0232297014300802	ENSMUSG00000026470.14	Stx6	intron	ENSMUSG00000026470.14	Exon (ENSMUST00000027743/ENSMUSG00000026470, exon 6 of 8)	1	155158703	155203517	44815	1	ENSMUST00000027743	34401	ENSMUSG00000026470	ENSMUSG00000026470
chr1	194160787	194161271	1_194160787_194161271	76.6734463122057	0.872480509202111	1.79543491846221e-05	0.00270795111399094			Intergenic	Intergenic	Distal Intergenic	1	194619829	194816869	197041	1	ENSMUST00000027952	-458558	ENSMUSG00000026640	ENSMUSG00000026640
chr2	13421966	13422255	2_13421966_13422255	61.9743727609225	0.772094086695238	0.000249769398735096	0.0162716263270199	ENSMUSG00000026726.10	Cubn	TTS	ENSMUSG00000026726.10	Intron (ENSMUST00000091436/ENSMUSG00000026726, intron 27 of 66)	2	13445021	13455624	10604	2	ENSMUST00000152078	33369	ENSMUSG00000026726	ENSMUSG00000026726
chr2	18890812	18891038	2_18890812_18891038	21.9598689770924	0.664242733276432	0.000880806708175507	0.0339315104329035	ENSMUSG00000026737.12	Pip4k2a	intron	ENSMUSG00000026737.12	Intron (ENSMUST00000006912/ENSMUSG00000026737, intron 3 of 9)	2	18847497	18906274	58778	2	ENSMUST00000152981	15236	ENSMUSG00000026737	ENSMUSG00000026737
chr2	37703187	37703592	2_37703187_37703592	174.587561298142	0.669584698447327	5.19318943181707e-05	0.0057695407232232	ENSMUSG00000026915.16	Strbp	promoter-TSS	ENSMUSG00000026915.16	Promoter (<=1kb)	2	37583156	37703275	120120	2	ENSMUST00000072186	0	ENSMUSG00000026915	ENSMUSG00000026915
chr2	84826807	84827060	2_84826807_84827060	150.614718898869	0.627935251055064	0.000220577928563917	0.0151638185918278	ENSMUSG00000027076.10	Timm10	promoter-TSS	ENSMUSG00000027076.10	Promoter (<=1kb)	2	84826997	84830213	3217	1	ENSMUST00000028470	0	ENSMUSG00000027076	ENSMUSG00000027076
chr2	84690633	84690914	2_84690633_84690914	63.1665618587408	1.00863846427863	1.85760503170146e-06	0.000519419762010365	ENSMUSG00000034075.10	Zdhhc5	intron	ENSMUSG00000034075.10	Exon (ENSMUST00000035840/ENSMUSG00000034075, exon 2 of 12)	2	84685633	84687499	1867	1	ENSMUST00000141595	5001	ENSMUSG00000027080	ENSMUSG00000027080
chr2	119350927	119351243	2_119350927_119351243	158.828126535064	0.705038000476881	3.48261886707779e-05	0.00429051748149	ENSMUSG00000027313.3	Chac1	promoter-TSS	ENSMUSG00000027313.3	Promoter (<=1kb)	2	119351229	119354381	3153	1	ENSMUST00000028780	0	ENSMUSG00000027313	ENSMUSG00000027313
chr2	157464946	157465103	2_157464946_157465103	53.1624276445194	0.775453972995199	0.000253575462717462	0.0164335389718405	ENSMUSG00000027646.15	Src	intron	ENSMUSG00000027646.15	Intron (ENSMUST00000109533/ENSMUSG00000027646, intron 8 of 13)	2	157457085	157470355	13271	1	ENSMUST00000109529	7862	ENSMUSG00000027646	ENSMUSG00000027646
chr3	66746646	66747011	3_66746646_66747011	83.4672574991079	0.695208850264332	0.000467558017061213	0.0234117682345781			Intergenic	Intergenic	Distal Intergenic	3	66972782	66978432	5651	2	ENSMUST00000162060	231421	ENSMUSG00000027833	ENSMUSG00000027833
chr3	94478052	94478290	3_94478052_94478290	101.764821712772	0.789837634253438	3.38427674427859e-05	0.00420232489224813	ENSMUSG00000028139.5	Riiad1	promoter-TSS	ENSMUSG00000028137.9	Promoter (<=1kb)	3	94478831	94492193	13363	1	ENSMUST00000029784	-541	ENSMUSG00000028137	ENSMUSG00000028137
chr3	94478052	94478290	3_94478052_94478290	101.764821712772	0.789837634253438	3.38427674427859e-05	0.00420232489224813	ENSMUSG00000028137.9	Celf3	promoter-TSS	ENSMUSG00000028137.9	Promoter (<=1kb)	3	94478831	94492193	13363	1	ENSMUST00000029784	-541	ENSMUSG00000028137	ENSMUSG00000028137
