Motif	# matches	% matches input	# matches background	%matches background	P-value	log10 P-value	ROC AUC	PR AUC	Enr. at 1% FPR	Recall at 10% FDR
GM.5.0.bZIP.0004	724	0.671	100	1.000	1.00e+00	0.000	0.461	0.905	0.67	1.0000
GM.5.0.T-box.0001	981	0.909	100	1.000	8.34e-01	0.079	0.493	0.913	0.91	1.0000
GM.5.0.bHLH.0005	4627	4.287	507	5.070	1.00e+00	0.000	0.537	0.921	0.85	1.0000
GM.5.0.Homeodomain.0005	821	0.761	100	1.000	9.95e-01	0.002	0.467	0.908	0.76	1.0000
GM.5.0.GATA.0002	1486	1.377	104	1.040	2.27e-03	2.645	0.468	0.910	1.32	1.0000
GM.5.0.RFX.0001	2882	2.670	105	1.050	2.06e-28	27.686	0.541	0.927	2.54	1.0000
GM.5.0.bHLH.0006	5835	5.406	113	1.130	2.33e-108	107.634	0.684	0.957	4.78	1.0000
GM.5.0.DM.0002	1704	1.579	100	1.000	1.14e-06	5.944	0.559	0.929	1.58	1.0000
GM.5.0.bHLH.0007	4215	3.905	100	1.000	1.14e-66	65.944	0.657	0.952	3.91	1.0000
GM.5.0.Rel.0001	1114	1.032	102	1.020	4.80e-01	0.319	0.464	0.908	1.01	1.0000
GM.5.0.Ets.0002	1768	1.638	103	1.030	5.16e-07	6.287	0.551	0.927	1.59	1.0000
GM.5.0.Paired_box.0001	989	0.916	100	1.000	8.14e-01	0.089	0.484	0.913	0.92	1.0000
GM.5.0.Sox.0003	1427	1.322	101	1.010	3.74e-03	2.427	0.538	0.924	1.31	1.0000
GM.5.0.Forkhead.0001	1092	1.012	104	1.040	6.31e-01	0.200	0.447	0.905	0.97	1.0000
GM.5.0.MADS_box.0001	993	0.920	100	1.000	8.04e-01	0.095	0.453	0.904	0.92	1.0000
GM.5.0.bHLH.0008	3589	3.325	115	1.150	1.04e-41	40.982	0.566	0.933	2.89	1.0000
GM.5.0.Homeodomain.0006	2761	2.558	172	1.720	3.85e-08	7.415	0.473	0.914	1.49	1.0000
GM.5.0.Homeodomain.0007	1451	1.344	190	1.900	1.00e+00	0.000	0.424	0.897	0.71	1.0000
GM.5.0.SMAD.0001	2368	2.194	159	1.590	1.95e-05	4.710	0.562	0.929	1.38	1.0000
GM.5.0.Ets.0003	1031	0.955	100	1.000	6.93e-01	0.159	0.525	0.920	0.96	1.0000
GM.5.0.Nuclear_receptor.0005	467	0.433	100	1.000	1.00e+00	-0.000	0.412	0.892	0.43	1.0000
GM.5.0.C2H2_ZF.0005	1938	1.796	123	1.230	9.19e-06	5.037	0.529	0.922	1.46	1.0000
GM.5.0.Nuclear_receptor.0006	770	0.713	100	1.000	9.99e-01	0.000	0.438	0.900	0.71	1.0000
GM.5.0.Ets.0004	1743	1.615	100	1.000	3.07e-07	6.513	0.521	0.922	1.61	1.0000
GM.5.0.E2F.0001	437	0.405	100	1.000	1.00e+00	-0.000	0.421	0.895	0.40	1.0000
GM.5.0.Nuclear_receptor.0007	962	0.891	100	1.000	8.75e-01	0.058	0.479	0.910	0.89	1.0000
GM.5.0.Runt.0001	2991	2.771	162	1.620	1.88e-13	12.726	0.525	0.923	1.71	1.0000
GM.5.0.C2H2_ZF.0006	3214	2.978	100	1.000	8.76e-39	38.058	0.548	0.931	2.98	1.0000
GM.5.0.SAND.0001	2527	2.341	277	2.770	9.96e-01	0.002	0.445	0.904	0.85	1.0000
GM.5.0.T-box.0002	1191	1.104	100	1.000	1.84e-01	0.735	0.529	0.920	1.10	1.0000
GM.5.0.Homeodomain.0008	848	0.786	108	1.080	9.99e-01	0.000	0.475	0.908	0.73	1.0000
GM.5.0.GCM.0001	1079	1.000	122	1.220	9.82e-01	0.008	0.493	0.912	0.82	1.0000
GM.5.0.Homeodomain_POU.0002	1784	1.653	100	1.000	7.35e-08	7.134	0.518	0.922	1.65	1.0000
GM.5.0.bZIP.0005	1973	1.828	100	1.000	5.55e-11	10.256	0.532	0.925	1.83	1.0000
GM.5.0.Homeodomain.0009	1936	1.794	100	1.000	2.44e-10	9.613	0.535	0.925	1.79	1.0000
GM.5.0.Sox.0004	1603	1.485	223	2.230	1.00e+00	0.000	0.489	0.912	0.67	1.0000
GM.5.0.Mixed.0003	636	0.589	119	1.190	1.00e+00	-0.000	0.447	0.901	0.50	1.0000
GM.5.0.C2H2_ZF.0007	715	0.662	100	1.000	1.00e+00	0.000	0.489	0.910	0.66	1.0000
GM.5.0.Homeodomain.0010	1322	1.225	113	1.130	2.19e-01	0.660	0.544	0.924	1.08	1.0000
GM.5.0.SAND.0002	941	0.872	150	1.500	1.00e+00	0.000	0.437	0.899	0.58	1.0000
GM.5.0.Homeodomain_POU.0003	2746	2.544	170	1.700	2.77e-08	7.558	0.534	0.927	1.50	1.0000
GM.5.0.Nuclear_receptor.0008	748	0.693	100	1.000	1.00e+00	0.000	0.446	0.901	0.69	1.0000
GM.5.0.Homeodomain.0011	2165	2.006	100	1.000	1.53e-14	13.815	0.498	0.921	2.01	1.0000
GM.5.0.GATA.0003	1668	1.546	211	2.110	1.00e+00	0.000	0.476	0.910	0.73	1.0000
GM.5.0.Mixed.0004	1959	1.815	100	1.000	9.75e-11	10.011	0.549	0.929	1.82	1.0000
GM.5.0.Rel.0002	1048	0.971	104	1.040	7.68e-01	0.115	0.574	0.929	0.93	1.0000
GM.5.0.bHLH.0009	1630	1.510	108	1.080	2.24e-04	3.651	0.539	0.925	1.40	1.0000
GM.5.0.Forkhead.0002	2110	1.955	102	1.020	6.17e-13	12.210	0.614	0.940	1.92	1.0000
GM.5.0.E2F.0002	1570	1.455	102	1.020	1.45e-04	3.839	0.562	0.929	1.43	1.0000
GM.5.0.bZIP.0006	1281	1.187	100	1.000	5.09e-02	1.294	0.498	0.917	1.19	1.0000
GM.5.0.Homeodomain.0012	3128	2.898	536	5.360	1.00e+00	-0.000	0.455	0.905	0.54	1.0000
GM.5.0.Forkhead.0003	4026	3.730	103	1.030	1.65e-59	58.783	0.624	0.945	3.62	1.0000
GM.5.0.Homeodomain.0013	3407	3.157	173	1.730	6.92e-18	17.160	0.506	0.919	1.82	1.0000
GM.5.0.C2H2_ZF.0008	858	0.795	105	1.050	9.96e-01	0.002	0.441	0.901	0.76	1.0000
GM.5.0.C2H2_ZF.0009	1556	1.442	100	1.000	1.05e-04	3.978	0.512	0.920	1.44	1.0000
GM.5.0.Mixed.0005	1313	1.217	102	1.020	4.41e-02	1.355	0.478	0.913	1.19	1.0000
GM.5.0.bHLH.0010	3551	3.290	101	1.010	2.79e-47	46.555	0.625	0.946	3.26	1.0000
GM.5.0.SMAD.0002	6492	6.015	740	7.400	1.00e+00	0.000	0.496	0.914	0.81	1.0000
GM.5.0.Runt.0002	983	0.911	100	1.000	8.29e-01	0.081	0.516	0.919	0.91	1.0000
GM.5.0.Forkhead.0004	1331	1.233	100	1.000	2.11e-02	1.676	0.533	0.924	1.23	1.0000
GM.5.0.Nuclear_receptor.0009	1006	0.932	100	1.000	7.69e-01	0.114	0.492	0.913	0.93	1.0000
GM.5.0.Ets.0005	1244	1.153	100	1.000	9.05e-02	1.043	0.509	0.918	1.15	1.0000
GM.5.0.bHLH.0011	1769	1.639	115	1.150	5.86e-05	4.232	0.519	0.921	1.43	1.0000
GM.5.0.Mixed.0006	2982	2.763	100	1.000	7.08e-33	32.150	0.549	0.930	2.76	1.0000
GM.5.0.C2H2_ZF.0010	645	0.598	104	1.040	1.00e+00	0.000	0.481	0.910	0.57	1.0000
GM.5.0.bZIP.0007	845	0.783	107	1.070	9.99e-01	0.001	0.468	0.909	0.73	1.0000
GM.5.0.bZIP.0008	1728	1.601	100	1.000	5.11e-07	6.292	0.531	0.923	1.60	1.0000
GM.5.0.C2H2_ZF.0011	1356	1.256	100	1.000	1.30e-02	1.886	0.534	0.923	1.26	1.0000
GM.5.0.Mixed.0007	2641	2.447	166	1.660	1.32e-07	6.878	0.567	0.930	1.47	1.0000
GM.5.0.C2H2_ZF.0012	1337	1.239	100	1.000	1.88e-02	1.726	0.504	0.915	1.24	1.0000
GM.5.0.Nuclear_receptor.0010	2847	2.638	101	1.010	3.70e-29	28.431	0.571	0.934	2.61	1.0000
GM.5.0.CUT_Homeodomain.0001	517	0.479	101	1.010	1.00e+00	-0.000	0.435	0.898	0.47	1.0000
GM.5.0.Sox.0005	686	0.636	100	1.000	1.00e+00	0.000	0.470	0.906	0.64	1.0000
GM.5.0.Homeodomain.0014	1452	1.345	115	1.150	5.41e-02	1.267	0.526	0.923	1.17	1.0000
GM.5.0.C2H2_ZF.0013	1996	1.849	106	1.060	6.32e-10	9.199	0.545	0.928	1.74	1.0000
GM.5.0.MADS_box.0002	2343	2.171	100	1.000	3.87e-18	17.412	0.545	0.928	2.17	1.0000
GM.5.0.bHLH.0012	1351	1.252	100	1.000	1.43e-02	1.843	0.507	0.918	1.25	1.0000
GM.5.0.bHLH.0013	2357	2.184	100	1.000	1.97e-18	17.706	0.579	0.935	2.18	1.0000
GM.5.0.Homeodomain_Paired_box.0001	624	0.578	100	1.000	1.00e+00	0.000	0.449	0.902	0.58	1.0000
GM.5.0.bHLH.0014	4179	3.872	155	1.550	1.04e-39	38.982	0.611	0.941	2.50	1.0000
GM.5.0.C2H2_ZF.0014	3029	2.807	108	1.080	9.85e-31	30.006	0.585	0.938	2.60	1.0000
GM.5.0.bHLH.0015	1655	1.533	100	1.000	5.53e-06	5.258	0.546	0.926	1.53	1.0000
GM.5.0.Homeodomain.0015	3000	2.780	172	1.720	1.83e-11	10.738	0.489	0.916	1.62	1.0000
GM.5.0.Mixed.0008	585	0.542	106	1.060	1.00e+00	0.000	0.458	0.904	0.51	1.0000
GM.5.0.Homeodomain.0016	2776	2.572	104	1.040	2.59e-26	25.586	0.537	0.928	2.47	1.0000
GM.5.0.C2H2_ZF.0015	1466	1.358	100	1.000	1.12e-03	2.950	0.520	0.921	1.36	1.0000
GM.5.0.Nuclear_receptor.0011	2220	2.057	100	1.000	1.26e-15	14.898	0.550	0.929	2.06	1.0000
GM.5.0.Homeodomain.0017	907	0.840	101	1.010	9.63e-01	0.016	0.492	0.913	0.83	1.0000
GM.5.0.GATA.0004	9812	9.091	340	3.400	2.24e-104	103.650	0.438	0.906	2.67	1.0000
GM.5.0.Sox.0006	1006	0.932	100	1.000	7.69e-01	0.114	0.497	0.914	0.93	1.0000
GM.5.0.C2H2_ZF.0016	1259	1.167	117	1.170	5.37e-01	0.270	0.541	0.925	1.00	1.0000
GM.5.0.bHLH.0016	1265	1.172	100	1.000	6.58e-02	1.182	0.528	0.921	1.17	1.0000
GM.5.0.Homeodomain_POU.0004	1523	1.411	104	1.040	9.42e-04	3.026	0.502	0.917	1.36	1.0000
GM.5.0.Mixed.0009	1429	1.324	100	1.000	2.71e-03	2.568	0.556	0.927	1.32	1.0000
GM.5.0.Mixed.0010	1586	1.470	100	1.000	4.46e-05	4.350	0.518	0.921	1.47	1.0000
GM.5.0.Ets.0006	1933	1.791	100	1.000	2.75e-10	9.561	0.524	0.923	1.79	1.0000
GM.5.0.C2H2_ZF.0017	10122	9.379	1282	12.820	1.00e+00	-0.000	0.441	0.901	0.73	1.0000
GM.5.0.Unknown.0001	1459	1.352	113	1.130	3.32e-02	1.478	0.518	0.920	1.20	1.0000
GM.5.0.Rel.0003	1119	1.037	102	1.020	4.63e-01	0.335	0.482	0.912	1.02	1.0000
GM.5.0.Homeodomain.0018	4023	3.728	508	5.080	1.00e+00	0.000	0.474	0.910	0.73	1.0000
GM.5.0.Homeodomain.0019	2877	2.666	172	1.720	1.08e-09	8.967	0.512	0.922	1.55	1.0000
GM.5.0.Homeodomain.0020	3391	3.142	163	1.630	3.17e-20	19.499	0.521	0.923	1.93	1.0000
GM.5.0.Ets.0007	537	0.498	100	1.000	1.00e+00	0.000	0.536	0.921	0.50	1.0000
GM.5.0.Nuclear_receptor.0012	700	0.649	100	1.000	1.00e+00	0.000	0.441	0.900	0.65	1.0000
GM.5.0.Homeodomain.0021	1644	1.523	100	1.000	7.79e-06	5.108	0.519	0.921	1.52	1.0000
GM.5.0.AP-2.0001	900	0.834	100	1.000	9.61e-01	0.017	0.467	0.907	0.83	1.0000
GM.5.0.DP_E2F.0001	727	0.674	100	1.000	1.00e+00	0.000	0.496	0.913	0.67	1.0000
GM.5.0.bZIP.0009	1268	1.175	100	1.000	6.27e-02	1.202	0.494	0.915	1.17	1.0000
GM.5.0.Myb_SANT.0002	258	0.239	144	1.440	1.00e+00	-0.000	0.376	0.877	0.17	1.0000
GM.5.0.bZIP.0010	1794	1.662	100	1.000	5.15e-08	7.288	0.518	0.922	1.66	1.0000
GM.5.0.Homeodomain.0022	2331	2.160	160	1.600	6.55e-05	4.184	0.503	0.922	1.35	1.0000
GM.5.0.bHLH.0017	1075	0.996	101	1.010	5.80e-01	0.237	0.465	0.909	0.99	1.0000
GM.5.0.E2F.0003	755	0.700	113	1.130	1.00e+00	0.000	0.404	0.891	0.62	1.0000
GM.5.0.C2H2_ZF.0018	1827	1.693	100	1.000	1.56e-08	7.807	0.530	0.924	1.69	1.0000
GM.5.0.THAP_finger.0001	948	0.878	100	1.000	9.01e-01	0.045	0.487	0.913	0.88	1.0000
GM.5.0.Homeodomain_POU.0005	1465	1.357	100	1.000	1.15e-03	2.940	0.486	0.913	1.36	1.0000
GM.5.0.bZIP.0011	353	0.327	100	1.000	1.00e+00	-0.000	0.439	0.897	0.33	1.0000
GM.5.0.C2H2_ZF.0019	1485	1.376	204	2.040	1.00e+00	0.000	0.501	0.914	0.67	1.0000
GM.5.0.Nuclear_receptor.0013	695	0.644	100	1.000	1.00e+00	0.000	0.426	0.897	0.64	1.0000
GM.5.0.Ets.0008	2048	1.898	127	1.270	1.68e-06	5.775	0.554	0.927	1.49	1.0000
GM.5.0.E2F.0004	648	0.600	104	1.040	1.00e+00	0.000	0.521	0.918	0.58	1.0000
GM.5.0.CSL.0001	1360	1.260	102	1.020	1.91e-02	1.719	0.549	0.926	1.24	1.0000
GM.5.0.Myb_SANT.0003	683	0.633	103	1.030	1.00e+00	0.000	0.473	0.908	0.61	1.0000
GM.5.0.Homeodomain.0023	1167	1.081	106	1.060	4.47e-01	0.350	0.513	0.918	1.02	1.0000
GM.5.0.C2H2_ZF.0020	2334	2.163	100	1.000	5.97e-18	17.224	0.526	0.924	2.16	1.0000
GM.5.0.bHLH.0018	7087	6.567	362	3.620	9.29e-36	35.032	0.628	0.942	1.81	1.0000
GM.5.0.T-box.0003	925	0.857	118	1.180	9.99e-01	0.000	0.498	0.913	0.73	1.0000
GM.5.0.bZIP.0012	1803	1.671	100	1.000	3.73e-08	7.429	0.494	0.916	1.67	1.0000
GM.5.0.Myb_SANT.0004	1106	1.025	126	1.260	9.87e-01	0.006	0.520	0.918	0.81	1.0000
GM.5.0.Mixed.0011	10747	9.958	168	1.680	1.77e-233	232.752	0.560	0.930	5.93	1.0000
GM.5.0.bHLH.0019	2173	2.013	100	1.000	1.07e-14	13.971	0.592	0.935	2.01	1.0000
GM.5.0.bHLH.0020	3100	2.872	153	1.530	1.59e-17	16.799	0.574	0.933	1.88	1.0000
GM.5.0.Forkhead.0005	2710	2.511	100	1.000	2.69e-26	25.571	0.607	0.940	2.51	1.0000
GM.5.0.Homeodomain.0024	1234	1.143	100	1.000	1.05e-01	0.980	0.504	0.917	1.14	1.0000
GM.5.0.bZIP.0013	2979	2.760	108	1.080	1.54e-29	28.812	0.532	0.927	2.56	1.0000
GM.5.0.Mixed.0012	1637	1.517	105	1.050	6.55e-05	4.183	0.561	0.929	1.44	1.0000
GM.5.0.E2F.0005	598	0.554	100	1.000	1.00e+00	0.000	0.428	0.897	0.55	1.0000
GM.5.0.C2H2_ZF.0021	4591	4.254	100	1.000	6.31e-78	77.200	0.630	0.946	4.25	1.0000
GM.5.0.bHLH.0021	8783	8.138	404	4.040	5.93e-57	56.227	0.595	0.935	2.01	1.0000
GM.5.0.C2H2_ZF.0022	952	0.882	100	1.000	8.94e-01	0.049	0.492	0.912	0.88	1.0000
GM.5.0.Homeodomain.0025	1893	1.754	127	1.270	1.22e-04	3.913	0.522	0.924	1.38	1.0000
GM.5.0.C2H2_ZF.0023	3678	3.408	100	1.000	2.79e-51	50.555	0.563	0.932	3.41	1.0000
GM.5.0.SMAD.0003	11332	10.500	173	1.730	3.12e-250	249.506	0.500	0.920	6.07	1.0000
GM.5.0.bHLH.0022	3762	3.486	153	1.530	6.48e-31	30.188	0.606	0.937	2.28	1.0000
GM.5.0.Forkhead.0006	2745	2.543	105	1.050	3.17e-25	24.499	0.616	0.942	2.42	1.0000
GM.5.0.Sox.0007	929	0.861	100	1.000	9.29e-01	0.032	0.522	0.917	0.86	1.0000
GM.5.0.Runt.0003	1078	0.999	101	1.010	5.69e-01	0.245	0.543	0.925	0.99	1.0000
GM.5.0.Homeodomain.0026	2116	1.961	128	1.280	3.13e-07	6.505	0.496	0.919	1.53	1.0000
GM.5.0.Homeodomain.0027	848	0.786	105	1.050	9.97e-01	0.001	0.432	0.898	0.75	1.0000
GM.5.0.SMAD.0004	7631	7.071	739	7.390	8.87e-01	0.052	0.522	0.920	0.96	1.0000
GM.5.0.C2H2_ZF.0024	3794	3.515	100	1.000	1.58e-54	53.803	0.564	0.933	3.52	1.0000
GM.5.0.Homeodomain.0028	679	0.629	102	1.020	1.00e+00	0.000	0.465	0.906	0.62	1.0000
GM.5.0.Paired_box.0002	1127	1.044	100	1.000	3.62e-01	0.441	0.511	0.917	1.04	1.0000
GM.5.0.Homeodomain.0029	643	0.596	106	1.060	1.00e+00	0.000	0.452	0.902	0.56	1.0000
GM.5.0.E2F.0006	2404	2.227	100	1.000	1.98e-19	18.703	0.582	0.935	2.23	1.0000
GM.5.0.Mixed.0013	2264	2.098	100	1.000	1.65e-16	15.783	0.601	0.937	2.10	1.0000
GM.5.0.Sox.0008	4353	4.033	188	1.880	5.53e-32	31.258	0.469	0.905	2.15	1.0000
GM.5.0.bHLH.0023	2571	2.382	102	1.020	2.19e-22	21.660	0.551	0.929	2.34	1.0000
GM.5.0.Homeodomain.0030	1210	1.121	102	1.020	1.92e-01	0.716	0.506	0.917	1.10	1.0000
GM.5.0.C2H2_ZF.0025	1074	0.995	100	1.000	5.45e-01	0.263	0.532	0.922	1.00	1.0000
GM.5.0.STAT.0001	1970	1.825	105	1.050	9.99e-10	9.000	0.544	0.927	1.74	1.0000
GM.5.0.CSL.0002	5846	5.417	58	0.580	2.13e-152	151.672	0.549	0.930	9.34	1.0000
GM.5.0.Unknown.0002	4481	4.152	100	1.000	1.35e-74	73.870	0.657	0.950	4.15	1.0000
GM.5.0.Homeodomain.0031	1688	1.564	117	1.170	8.66e-04	3.062	0.508	0.921	1.34	1.0000
GM.5.0.Homeodomain.0032	2190	2.029	128	1.280	2.88e-08	7.541	0.478	0.917	1.59	1.0000
GM.5.0.C2H2_ZF.0026	1999	1.852	100	1.000	1.92e-11	10.716	0.533	0.924	1.85	1.0000
GM.5.0.bZIP.0014	1188	1.101	100	1.000	1.91e-01	0.719	0.512	0.918	1.10	1.0000
GM.5.0.C2H2_ZF.0027	13561	12.565	1223	12.230	1.71e-01	0.768	0.518	0.918	1.03	1.0000
GM.5.0.bZIP.0015	592	0.549	158	1.580	1.00e+00	0.000	0.450	0.899	0.35	1.0000
GM.5.0.C2H2_ZF.0028	756	0.700	100	1.000	9.99e-01	0.000	0.490	0.911	0.70	1.0000
GM.5.0.Sox.0009	559	0.518	120	1.200	1.00e+00	-0.000	0.455	0.905	0.43	1.0000
GM.5.0.Forkhead.0007	2108	1.953	102	1.020	6.72e-13	12.173	0.606	0.939	1.91	1.0000
GM.5.0.Ets.0009	1925	1.784	100	1.000	3.76e-10	9.424	0.562	0.930	1.78	1.0000
GM.5.0.C2H2_ZF.0029	1429	1.324	102	1.020	4.69e-03	2.329	0.454	0.908	1.30	1.0000
GM.5.0.Nuclear_receptor.0014	828	0.767	100	1.000	9.94e-01	0.003	0.480	0.910	0.77	1.0000
GM.5.0.Unknown.0003	1850	1.714	236	2.360	1.00e+00	0.000	0.501	0.915	0.73	1.0000
GM.5.0.Homeodomain.0033	611	0.566	109	1.090	1.00e+00	0.000	0.448	0.903	0.52	1.0000
GM.5.0.Sox.0010	7372	6.831	1042	10.420	1.00e+00	-0.000	0.509	0.915	0.66	1.0000
GM.5.0.bHLH.0024	444	0.411	118	1.180	1.00e+00	-0.000	0.485	0.911	0.35	1.0000
GM.5.0.bZIP.0016	1063	0.985	102	1.020	6.57e-01	0.182	0.478	0.911	0.97	1.0000
GM.5.0.Homeodomain.0034	3906	3.619	405	4.050	9.86e-01	0.006	0.465	0.910	0.89	1.0000
GM.5.0.bHLH.0025	1351	1.252	100	1.000	1.43e-02	1.843	0.514	0.919	1.25	1.0000
GM.5.0.Forkhead.0008	2177	2.017	102	1.020	3.36e-14	13.474	0.599	0.938	1.98	1.0000
GM.5.0.C2H2_ZF.0030	786	0.728	100	1.000	9.98e-01	0.001	0.473	0.908	0.73	1.0000
GM.5.0.Nuclear_receptor.0015	8027	7.438	166	1.660	1.78e-143	142.751	0.582	0.936	4.48	1.0000
GM.5.0.bHLH.0026	2294	2.126	151	1.510	9.72e-06	5.012	0.540	0.929	1.41	1.0000
GM.5.0.bHLH.0027	2015	1.867	104	1.040	1.01e-10	9.996	0.553	0.929	1.80	1.0000
GM.5.0.GATA.0005	1233	1.142	104	1.040	1.91e-01	0.718	0.488	0.912	1.10	1.0000
GM.5.0.bZIP.0017	4881	4.523	212	2.120	2.13e-35	34.672	0.518	0.925	2.13	1.0000
GM.5.0.Homeodomain_Paired_box.0002	802	0.743	100	1.000	9.97e-01	0.001	0.458	0.906	0.74	1.0000
GM.5.0.C2H2_ZF.0031	1541	1.428	100	1.000	1.59e-04	3.798	0.519	0.920	1.43	1.0000
GM.5.0.bZIP.0018	1249	1.157	119	1.190	6.38e-01	0.195	0.465	0.907	0.97	1.0000
GM.5.0.MADS_box.0003	1580	1.464	100	1.000	5.31e-05	4.275	0.541	0.926	1.46	1.0000
GM.5.0.C2H2_ZF.0032	1604	1.486	100	1.000	2.63e-05	4.580	0.524	0.923	1.49	1.0000
GM.5.0.Mixed.0014	1251	1.159	105	1.050	1.77e-01	0.753	0.548	0.925	1.10	1.0000
GM.5.0.C2H2_ZF.0033	1415	1.311	100	1.000	3.72e-03	2.429	0.535	0.924	1.31	1.0000
GM.5.0.Forkhead.0009	2998	2.778	135	1.350	1.20e-20	19.919	0.600	0.937	2.06	1.0000
GM.5.0.T-box.0004	1959	1.815	101	1.010	1.72e-10	9.765	0.548	0.927	1.80	1.0000
GM.5.0.Nuclear_receptor.0016	1588	1.471	112	1.120	2.09e-03	2.680	0.416	0.898	1.31	1.0000
GM.5.0.C2H2_ZF.0034	1343	1.244	119	1.190	3.40e-01	0.468	0.475	0.910	1.05	1.0000
GM.5.0.Nuclear_receptor.0017	631	0.585	100	1.000	1.00e+00	0.000	0.430	0.898	0.58	1.0000
GM.5.0.DM.0003	1426	1.321	100	1.000	2.90e-03	2.538	0.527	0.921	1.32	1.0000
GM.5.0.Nuclear_receptor.0018	1420	1.316	235	2.350	1.00e+00	-0.000	0.455	0.905	0.56	1.0000
GM.5.0.bHLH.0028	2247	2.082	100	1.000	3.64e-16	15.439	0.587	0.936	2.08	1.0000
GM.5.0.Nuclear_receptor.0019	687	0.637	136	1.360	1.00e+00	0.000	0.412	0.894	0.47	1.0000
GM.5.0.Sox.0011	955	0.885	108	1.080	9.77e-01	0.010	0.452	0.905	0.82	1.0000
GM.5.0.STAT.0002	1928	1.786	100	1.000	3.34e-10	9.476	0.517	0.921	1.79	1.0000
GM.5.0.Forkhead.0010	2182	2.022	100	1.000	7.12e-15	14.147	0.567	0.932	2.02	1.0000
GM.5.0.C2H2_ZF.0035	1793	1.661	100	1.000	5.33e-08	7.273	0.539	0.926	1.66	1.0000
GM.5.0.Nuclear_receptor.0020	735	0.681	100	1.000	1.00e+00	0.000	0.484	0.910	0.68	1.0000
GM.5.0.bHLH.0029	1741	1.613	102	1.020	8.11e-07	6.091	0.524	0.924	1.58	1.0000
