Chrom	Start	End	X6_147090921_147092694	X165.121662921692	X0.0205346477690151	X0.412600373007824	X0.93426291500998	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr2	13793086	13793946	2_13793086_13793946	69.617720368406	-0.0136310495974318	0.432530682630454	0.938179599142375	Promoter (<=1kb)	2	13651020	13793808	142789	2	ENSMUST00000003509	0	ENSMUSG00000003418	ENSMUSG00000003418
chr8	107424255	107425006	8_107424255_107425006	105.447402430734	-0.00493072141593792	0.807147811680557	0.986975626687857	Promoter (<=1kb)	8	107416238	107424986	8749	2	ENSMUST00000163757	0	ENSMUSG00000003848	ENSMUSG00000003848
chr7	45365536	45368479	7_45365536_45368479	326.096265309595	-0.0104273693593805	0.736060790933152	0.978660198033766	Promoter (<=1kb)	7	45339126	45366714	27589	2	ENSMUST00000107779	0	ENSMUSG00000003863	ENSMUSG00000003863
chr16	4640187	4640639	16_4640187_4640639	40.1175033281344	0.00110656196009422	0.932603692569824	NA	Promoter (<=1kb)	16	4639989	4687292	47304	1	ENSMUST00000144815	199	ENSMUSG00000004069	ENSMUSG00000004069
chr1	154725496	154726774	1_154725496_154726774	102.542099512032	0.0185058044227456	0.379275751306909	0.928316279272019	Promoter (<=1kb)	1	154392519	154725920	333402	2	ENSMUST00000004214	0	ENSMUSG00000004110	ENSMUSG00000004110
chr11	119355370	119356104	11_119355370_119356104	84.4329439180354	0.0214912836778804	0.205175745341438	0.843954040599665	Promoter (<=1kb)	11	119343425	119355502	12078	2	ENSMUST00000136523	0	ENSMUSG00000005043	ENSMUSG00000005043
chr5	38560701	38562766	5_38560701_38562766	232.569215713988	0.0134564430685016	0.628886550924531	0.965952256268785	Promoter (<=1kb)	5	38526814	38561666	34853	2	ENSMUST00000005234	0	ENSMUSG00000005103	ENSMUSG00000005103
chr7	111122078	111123636	7_111122078_111123636	107.29067980251	0.0112630911732742	0.568312731901464	0.95335090938763	Distal Intergenic	7	111070568	111083030	12463	2	ENSMUST00000162415	-39049	ENSMUSG00000005610	ENSMUSG00000005610
chr7	80992286	80995229	7_80992286_80995229	285.243114014808	-0.002766698184651	0.916620853249556	0.992946705109312	Promoter (<=1kb)	7	80993681	81045164	51484	1	ENSMUST00000107353	0	ENSMUSG00000005621	ENSMUSG00000005621
chr16	4558036	4560724	16_4558036_4560724	375.539845328006	0.00051343352348781	0.988350122258672	0.99851204645082	Promoter (<=1kb)	16	4544661	4559720	15060	2	ENSMUST00000005862	0	ENSMUSG00000005718	ENSMUSG00000005718
chr15	79027591	79031581	15_79027591_79031581	359.999934068861	-0.036936150186709	0.25607468237384	0.874620439500908	Promoter (<=1kb)	15	79030874	79038348	7475	1	ENSMUST00000006544	0	ENSMUSG00000006378	ENSMUSG00000006378
chr6	83571439	83573415	6_83571439_83573415	178.249802749325	-0.0122389977747068	0.635639538753953	0.967857541629191	Promoter (<=1kb)	6	83543206	83572504	29299	2	ENSMUST00000068054	0	ENSMUSG00000006906	ENSMUSG00000006906
chr11	42420000	42422071	11_42420000_42422071	155.734222488994	-0.00755204059016361	0.755965926358002	0.982123134890008	Promoter (<=1kb)	11	42421279	42487545	66267	1	ENSMUST00000136050	0	ENSMUSG00000007653	ENSMUSG00000007653
chr17	57029492	57032632	17_57029492_57032632	356.497364770122	0.0363688740814669	0.287249923504865	0.893339162256094	Promoter (<=1kb)	17	57021058	57031507	10450	2	ENSMUST00000007814	0	ENSMUSG00000007670	ENSMUSG00000007670
chr8	84147169	84148393	8_84147169_84148393	132.588378522076	0.031361544017763	0.178020989210326	0.827749918047277	Promoter (<=1kb)	8	84148025	84162347	14323	1	ENSMUST00000143833	0	ENSMUSG00000008129	ENSMUSG00000008129
chr7	44495297	44497365	7_44495297_44497365	256.099189684039	0.00943210747173256	0.748833302860832	0.981509976732881	Promoter (<=1kb)	7	44489937	44496529	6593	2	ENSMUST00000118808	0	ENSMUSG00000008140	ENSMUSG00000008140
chr18	56572039	56574012	18_56572039_56574012	204.375671224543	-0.0660693736374752	0.0552141702758405	0.622334623624279	Promoter (<=1kb)	18	56572822	56587712	14891	1	ENSMUST00000008445	0	ENSMUSG00000008301	ENSMUSG00000008301
chr12	85288241	85288925	12_85288241_85288925	51.7060101345855	-0.00565748058073925	0.697977251067938	0.974731554699123	Promoter (<=1kb)	12	85272547	85288438	15892	2	ENSMUST00000121930	0	ENSMUSG00000008822	ENSMUSG00000008822
chr12	85288241	85288925	12_85288241_85288925	51.7060101345855	-0.00565748058073925	0.697977251067938	0.974731554699123	Promoter (<=1kb)	12	85272547	85288438	15892	2	ENSMUST00000121930	0	ENSMUSG00000008822	ENSMUSG00000008822
chr2	32740719	32742949	2_32740719_32742949	207.65692587185	0.0142684699656206	0.603687928999453	0.961559974893771	Promoter (<=1kb)	2	32732620	32741016	8397	2	ENSMUST00000009695	0	ENSMUSG00000009551	ENSMUSG00000009551
chr11	76762529	76763589	11_76762529_76763589	96.7272403064339	-0.00250120254549717	0.88751473038641	0.989872655017534	Promoter (<=1kb)	11	76726602	76763579	36978	2	ENSMUST00000010536	0	ENSMUSG00000010392	ENSMUSG00000010392
chr7	44847616	44851133	7_44847616_44851133	687.48195963853	0.103057907657305	0.0524482514499585	0.620782621064289	Promoter (<=1kb)	7	44848991	44855408	6418	1	ENSMUST00000107885	0	ENSMUSG00000011096	ENSMUSG00000011096
chr9	37656420	37657587	9_37656420_37657587	120.654771765294	0.000648813636025415	0.977541139826602	0.996226645321891	Promoter (<=1kb)	9	37649182	37657213	8032	2	ENSMUST00000142736	0	ENSMUSG00000011114	ENSMUSG00000011114
chr12	112619629	112620214	12_112619629_112620214	37.1662750583834	-0.00215131808102716	0.853515172083769	NA	Promoter (<=1kb)	12	112620045	112641339	21295	1	ENSMUST00000180015	0	ENSMUSG00000011148	ENSMUSG00000011148
chr12	17544173	17546959	12_17544173_17546959	369.96441786118	0.0394330912798796	0.253780284540503	0.874428404443449	Promoter (<=1kb)	12	17544873	17551502	6630	1	ENSMUST00000171737	0	ENSMUSG00000011179	ENSMUSG00000011179
chr15	98566577	98568983	15_98566577_98568983	291.026217022464	0.0237393780548215	0.436010108365444	0.938200876588081	Promoter (<=1kb)	15	98543211	98567636	24426	2	ENSMUST00000012104	0	ENSMUSG00000011960	ENSMUSG00000011960
chr8	105757349	105759334	8_105757349_105759334	222.497092309148	0.0095023875948764	0.719035637245138	0.978660198033766	Promoter (<=1kb)	8	105713854	105758664	44811	2	ENSMUST00000013294	0	ENSMUSG00000013150	ENSMUSG00000013150
chr18	34409101	34410075	18_34409101_34410075	89.0960078153933	0.0175490374838217	0.36713309233081	0.928316279272019	Promoter (<=1kb)	18	34409423	34441794	32372	1	ENSMUST00000166156	0	ENSMUSG00000014503	ENSMUSG00000014503
chr8	122775229	122776167	8_122775229_122776167	106.039832447274	0.0143663653002005	0.463074184911278	0.93879880389918	Promoter (<=1kb)	8	122775505	122817880	42376	1	ENSMUST00000015160	0	ENSMUSG00000015016	ENSMUSG00000015016
chr19	29366938	29368079	19_29366938_29368079	105.010363298984	-0.0150075956585438	0.471336048263719	0.939157374468683	Promoter (<=1kb)	19	29358376	29367308	8933	2	ENSMUST00000138051	0	ENSMUSG00000016495	ENSMUSG00000016495
chr15	85335971	85337475	15_85335971_85337475	141.54234793175	0.0122511653195431	0.60373399470285	0.961559974893771	Promoter (<=1kb)	15	85336381	85463836	127456	1	ENSMUST00000163242	0	ENSMUSG00000016541	ENSMUSG00000016541
chr11	80428925	80430682	11_80428925_80430682	142.732478581093	0.0275615192246325	0.267481022964402	0.878715352079211	Promoter (<=1kb)	11	80429887	80456427	26541	1	ENSMUST00000173565	0	ENSMUSG00000017428	ENSMUSG00000017428
chr2	163749506	163750172	2_163749506_163750172	47.6042852898542	0.0109720941487894	0.431750618205758	0.938179599142375	Promoter (<=1kb)	2	163726584	163750239	23656	2	ENSMUST00000017841	67	ENSMUSG00000017697	ENSMUSG00000017697
chr2	163054356	163055058	2_163054356_163055058	67.1018830731817	0.0032406849749499	0.845940297617501	0.98859010420256	Promoter (<=1kb)	2	163054687	163084688	30002	1	ENSMUST00000018005	0	ENSMUSG00000017861	ENSMUSG00000017861
chr11	53429695	53431714	11_53429695_53431714	225.076407364603	0.0192875177664048	0.497068988025013	0.944646652194455	Promoter (<=1kb)	11	53431023	53436902	5880	1	ENSMUST00000156037	0	ENSMUSG00000018238	ENSMUSG00000018238
chr11	88862217	88865050	11_88862217_88865050	301.129037899901	0.0471772358960816	0.152769848754647	0.814660563279932	Promoter (<=1kb)	11	88830792	88864586	33795	2	ENSMUST00000018572	0	ENSMUSG00000018428	ENSMUSG00000018428
chr11	85232976	85235739	11_85232976_85235739	260.093706328186	0.0175603257346145	0.554938794470387	0.950920544422985	Promoter (<=1kb)	11	85187262	85235130	47869	2	ENSMUST00000018625	0	ENSMUSG00000018481	ENSMUSG00000018481
chr12	110600572	110604093	12_110600572_110604093	346.895560774257	-0.0328785423011633	0.325518872003937	0.910231911453357	Promoter (<=1kb)	12	110601452	110666945	65494	1	ENSMUST00000018851	0	ENSMUSG00000018707	ENSMUSG00000018707
chr11	97309643	97310178	11_97309643_97310178	63.1126584592791	0.0298069861292043	0.0814971417760636	0.709263190960386	Distal Intergenic	11	97315716	97329920	14205	1	ENSMUST00000019026	-5538	ENSMUSG00000018882	ENSMUSG00000018882
chr17	24695386	24696983	17_24695386_24696983	171.676738969882	0.0112964976728273	0.657880395730794	0.972245635754421	Promoter (<=1kb)	17	24696234	24700529	4296	1	ENSMUST00000019464	0	ENSMUSG00000019320	ENSMUSG00000019320
chr18	47364756	47370979	18_47364756_47370979	628.372882921013	-0.0350101644094312	0.342319068680709	0.918402242643602	Promoter (<=1kb)	18	47245254	47368830	123577	2	ENSMUST00000019791	0	ENSMUSG00000019647	ENSMUSG00000019647
chr10	5921131	5923089	10_5921131_5923089	228.863270226923	0.0110501206648153	0.682878841531549	0.973645260623095	Promoter (<=1kb)	10	5825663	5922386	96724	2	ENSMUST00000131996	0	ENSMUSG00000019775	ENSMUSG00000019775
chr10	36973612	36975929	10_36973612_36975929	290.672292574483	0.0117973269003447	0.695360551855968	0.97457658275146	Promoter (<=1kb)	10	36974544	37001889	27346	1	ENSMUST00000019911	0	ENSMUSG00000019777	ENSMUSG00000019777
chr10	42578789	42580313	10_42578789_42580313	79.0821135263097	-0.00171525601627464	0.921685136899532	0.992980029669919	Promoter (<=1kb)	10	42571484	42580345	8862	2	ENSMUST00000126848	32	ENSMUSG00000019803	ENSMUSG00000019803
chr10	42582897	42585469	10_42582897_42585469	230.053382512291	0.0157629892646702	0.531710191862302	0.947240535634867	Promoter (<=1kb)	10	42561963	42583632	21670	2	ENSMUST00000019938	0	ENSMUSG00000019803	ENSMUSG00000019803
chr10	57486363	57488867	10_57486363_57488867	286.530582744894	-0.0605141454710105	0.0772257188297279	0.698067758365659	Promoter (<=1kb)	10	57486385	57513133	26749	1	ENSMUST00000079833	0	ENSMUSG00000019878	ENSMUSG00000019878
chr10	29312112	29314054	10_29312112_29314054	254.289369318424	-0.00158676576119343	0.955366783734341	0.9936030454917	Promoter (<=1kb)	10	29313166	29345560	32395	1	ENSMUST00000160399	0	ENSMUSG00000019883	ENSMUSG00000019883
chr10	79636828	79638614	10_79636828_79638614	165.520855383906	-0.00289628458160191	0.905755790614629	0.99260576020429	Promoter (<=1kb)	10	79617940	79637918	19979	2	ENSMUST00000163867	0	ENSMUSG00000020312	ENSMUSG00000020312
chr11	30265827	30269431	11_30265827_30269431	393.826213225832	-0.0404963617899481	0.25312638950253	0.874036956985587	Promoter (<=1kb)	11	30099395	30268169	168775	2	ENSMUST00000006629	0	ENSMUSG00000020315	ENSMUSG00000020315
chr11	21570153	21573035	11_21570153_21573035	327.924953660852	-0.00545975767717114	0.861396957799574	0.989705077098011	Promoter (<=1kb)	11	21572235	21664385	92151	1	ENSMUST00000131135	0	ENSMUSG00000020319	ENSMUSG00000020319
chr11	49243126	49245195	11_49243126_49245195	218.048117995647	0.0287573632474831	0.314531472073085	0.906624401084702	Promoter (<=1kb)	11	49244191	49263022	18832	1	ENSMUST00000167400	0	ENSMUSG00000020346	ENSMUSG00000020346
chr11	52098222	52101039	11_52098222_52101039	290.345821918324	0.0106714162154658	0.726374707337743	0.978660198033766	Promoter (<=1kb)	11	52098681	52127778	29098	1	ENSMUST00000020608	0	ENSMUSG00000020349	ENSMUSG00000020349
chr6	28419872	28424848	6_28419872_28424848	438.061542600496	-0.0172135107737337	0.606588687754321	0.962062044763675	Promoter (<=1kb)	6	28423560	28426602	3043	1	ENSMUST00000020717	0	ENSMUSG00000020440	ENSMUSG00000020440
chr11	3408357	3409506	11_3408357_3409506	127.828467319911	-0.00612646579024536	0.786302856054982	0.985477918353207	Promoter (<=1kb)	11	3344256	3409174	64919	2	ENSMUST00000101638	0	ENSMUSG00000020451	ENSMUSG00000020451
chr11	86543289	86545731	11_86543289_86545731	270.598533180913	0.0265032403586993	0.386173317956597	0.929943369084843	Promoter (<=1kb)	11	86544991	86567359	22369	1	ENSMUST00000167178	0	ENSMUSG00000020513	ENSMUSG00000020513
chr11	60699268	60701438	11_60699268_60701438	181.724036604853	0.010723800582255	0.675424128425242	0.973645260623095	Promoter (<=1kb)	11	60699723	60714186	14464	1	ENSMUST00000052346	0	ENSMUSG00000020536	ENSMUSG00000020536
chr11	80184100	80184942	11_80184100_80184942	42.6094583610724	-0.0129879356513086	0.337108998022623	0.917104576646826	Promoter (<=1kb)	11	80184223	80190011	5789	1	ENSMUST00000134909	0	ENSMUSG00000020707	ENSMUSG00000020707
chr11	108424309	108425436	11_108424309_108425436	104.814693654808	0.0293247767833787	0.183018117551216	0.83253685869192	Promoter (<=1kb)	11	108425192	108531431	106240	1	ENSMUST00000150863	0	ENSMUSG00000020728	ENSMUSG00000020728
chr11	115824235	115824441	11_115824235_115824441	19.7934419302929	0.00554538396613326	0.508064359111367	NA	Promoter (<=1kb)	11	115824058	115855778	31721	1	ENSMUST00000177736	178	ENSMUSG00000020782	ENSMUSG00000020782
chr11	93955076	93956024	11_93955076_93956024	99.789745326555	-0.0217822087226149	0.28223398279813	0.888905160775418	Promoter (<=1kb)	11	93949817	93955783	5967	2	ENSMUST00000072566	0	ENSMUSG00000020857	ENSMUSG00000020857
chr8	70864695	70866426	8_70864695_70866426	184.386091216734	0.0259877342502517	0.301302320265989	0.901641082310587	Promoter (1-2kb)	8	70863127	70865428	2302	1	ENSMUST00000050921	1569	ENSMUSG00000020887	ENSMUSG00000020887
chr12	69194911	69198849	12_69194911_69198849	331.568891772454	-0.0675718350890977	0.0909027573422132	0.72660314410689	Promoter (<=1kb)	12	69189087	69198429	9343	2	ENSMUST00000021356	0	ENSMUSG00000020973	ENSMUSG00000020973
chr12	55819548	55821434	12_55819548_55821434	180.478479759088	-0.0104229406250763	0.678696806094528	0.973645260623095	Promoter (<=1kb)	12	55602929	55821167	218239	2	ENSMUST00000085385	0	ENSMUSG00000021027	ENSMUSG00000021027
chr12	73907528	73910628	12_73907528_73910628	289.916126739862	0.0493552175618197	0.157907330237921	0.82079337208503	Promoter (<=1kb)	12	73907904	73933076	25173	1	ENSMUST00000110464	0	ENSMUSG00000021109	ENSMUSG00000021109
chr12	102554629	102556005	12_102554629_102556005	134.316477260917	-0.00208396205988877	0.926755579489409	0.99346721149262	Promoter (<=1kb)	12	102554969	102565027	10059	1	ENSMUST00000021610	0	ENSMUSG00000021194	ENSMUSG00000021194
chr12	108327100	108328540	12_108327100_108328540	94.5160858747047	0.0155862535101863	0.362070519050523	0.926311297944239	3' UTR	12	108334377	108362231	27855	1	ENSMUST00000021684	-5837	ENSMUSG00000021259	ENSMUSG00000021259
chr13	30973025	30974537	13_30973025_30974537	147.904826088496	0.0113496490774641	0.620256912681535	0.964284754675924	Promoter (<=1kb)	13	30813919	30974047	160129	2	ENSMUST00000021785	0	ENSMUSG00000021357	ENSMUSG00000021357
chr13	41219833	41220568	13_41219833_41220568	67.9964186906829	-0.00453114851455206	0.786034873755517	0.985477918353207	Promoter (<=1kb)	13	41182495	41220405	37911	2	ENSMUST00000021793	0	ENSMUSG00000021364	ENSMUSG00000021364
chr13	38959688	38961311	13_38959688_38961311	162.52465367094	0.00723878491335187	0.76282701658106	0.982302506989138	Promoter (<=1kb)	13	38932140	38960537	28398	2	ENSMUST00000167513	0	ENSMUSG00000021432	ENSMUSG00000021432
chr13	68597554	68597811	13_68597554_68597811	15.4326273200488	-0.0114797445866433	0.122794101521753	NA	Promoter (<=1kb)	13	68597439	68614231	16793	1	ENSMUST00000022007	116	ENSMUSG00000021534	ENSMUSG00000021534
chr13	81782563	81786019	13_81782563_81786019	408.186721211472	0.0509027884719214	0.17463034894265	0.827092280821589	Promoter (<=1kb)	13	81783292	81797143	13852	1	ENSMUST00000022009	0	ENSMUSG00000021537	ENSMUSG00000021537
chr13	109115858	109117457	13_109115858_109117457	127.063434671173	-0.00925185976165537	0.675368195888151	0.973645260623095	Promoter (<=1kb)	13	109116236	109335063	218828	1	ENSMUST00000129374	0	ENSMUSG00000021699	ENSMUSG00000021699
chr14	63122245	63123846	14_63122245_63123846	152.343451689219	0.0337689837969412	0.193661586703749	0.838808414812525	Promoter (<=1kb)	14	63122462	63145919	23458	1	ENSMUST00000006235	0	ENSMUSG00000021939	ENSMUSG00000021939
chr14	57570991	57572267	14_57570991_57572267	135.31481499462	0.0115889651301284	0.615597020892254	0.963762980296408	Promoter (<=1kb)	14	57549598	57571569	21972	2	ENSMUST00000022518	0	ENSMUSG00000021951	ENSMUSG00000021951
chr14	29719672	29723310	14_29719672_29723310	297.277138430181	0.0264023871357588	0.407753742774037	0.933366124227989	Promoter (<=1kb)	14	28904947	29721864	816918	2	ENSMUST00000022567	0	ENSMUSG00000021991	ENSMUSG00000021991
chr14	75130332	75130906	14_75130332_75130906	80.1286452622437	0.0138308031266128	0.434278544061386	0.938179599142375	Promoter (<=1kb)	14	75084303	75130883	46581	2	ENSMUST00000022574	0	ENSMUSG00000021997	ENSMUSG00000021997
chr14	75130332	75130906	14_75130332_75130906	80.1286452622437	0.0138308031266128	0.434278544061386	0.938179599142375	Promoter (<=1kb)	14	75084303	75130883	46581	2	ENSMUST00000022574	0	ENSMUSG00000021997	ENSMUSG00000021997
chr14	96517690	96519043	14_96517690_96519043	102.000638460162	-0.00300422098782583	0.874624802509588	0.989872655017534	Promoter (<=1kb)	14	96105259	96519102	413844	2	ENSMUST00000022666	59	ENSMUSG00000022076	ENSMUSG00000022076
chr14	54575306	54578287	14_54575306_54578287	247.873194245479	-0.0207204530263059	0.478378994842738	0.942545983594424	Promoter (<=1kb)	14	54567469	54577661	10193	2	ENSMUST00000054487	0	ENSMUSG00000022178	ENSMUSG00000022178
chr15	31453021	31454048	15_31453021_31454048	132.500622443948	0.028585050054653	0.238189421040827	0.865705445551767	Promoter (<=1kb)	15	31441210	31453689	12480	2	ENSMUST00000110408	0	ENSMUSG00000022236	ENSMUSG00000022236
chr15	9070449	9073120	15_9070449_9073120	350.818031632376	0.0794861160151571	0.0690512486438455	0.671554341333527	Promoter (<=1kb)	15	9071260	9110487	39228	1	ENSMUST00000067760	0	ENSMUSG00000022253	ENSMUSG00000022253
chr15	41446864	41449052	15_41446864_41449052	221.345722048476	-0.0910116085029392	0.0318275791863641	0.543684946728825	Promoter (<=1kb)	15	41447482	41861045	413564	1	ENSMUST00000090096	0	ENSMUSG00000022307	ENSMUSG00000022307
chr15	44426893	44429044	15_44426893_44429044	318.862412888387	-0.0809409951742913	0.0556997271021554	0.622948317216694	Promoter (<=1kb)	15	44428111	44437685	9575	1	ENSMUST00000060652	0	ENSMUSG00000022338	ENSMUSG00000022338
chr15	44787225	44788077	15_44787225_44788077	48.2971266348589	-0.0118677127545369	0.407010443931781	0.932954541896101	Promoter (<=1kb)	15	44671859	44788063	116205	2	ENSMUST00000090057	0	ENSMUSG00000022340	ENSMUSG00000022340
chr15	55556605	55558385	15_55556605_55558385	202.092835540388	0.0144267769231635	0.561158568625097	0.952564118449653	Promoter (<=1kb)	15	55557408	55626423	69016	1	ENSMUST00000022998	0	ENSMUSG00000022369	ENSMUSG00000022369
chr15	64921434	64923061	15_64921434_64923061	146.23619417321	0.0186833361771096	0.445351262911376	0.93879880389918	Promoter (<=1kb)	15	64699042	64922296	223255	2	ENSMUST00000023007	0	ENSMUSG00000022376	ENSMUSG00000022376
chr15	64381692	64383012	15_64381692_64383012	126.810748286463	-0.0178640487205124	0.425704614587789	0.935311655572524	Promoter (<=1kb)	15	64088539	64382919	294381	2	ENSMUST00000177374	0	ENSMUSG00000022377	ENSMUSG00000022377
chr15	81871189	81874347	15_81871189_81874347	412.299222176514	0.0147768644128517	0.647678547812052	0.969700714557175	Promoter (<=1kb)	15	81872309	81915133	42825	1	ENSMUST00000023116	0	ENSMUSG00000022477	ENSMUSG00000022477
chr16	5048651	5051787	16_5048651_5051787	383.565995942097	0.0149628854671934	0.644128904094471	0.968844632581406	Promoter (<=1kb)	16	5013906	5049910	36005	2	ENSMUST00000023189	0	ENSMUSG00000022536	ENSMUSG00000022536
chr16	13671324	13672725	16_13671324_13672725	194.351578754068	0.00370372123458753	0.888517264813868	0.989872655017534	Promoter (<=1kb)	16	13671858	13703612	31755	1	ENSMUST00000023365	0	ENSMUSG00000022684	ENSMUSG00000022684
chr16	8636391	8638725	16_8636391_8638725	276.99892488553	0.0458691414039321	0.168020433838503	0.823805280482009	Promoter (<=1kb)	16	8637674	8657531	19858	1	ENSMUST00000023396	0	ENSMUSG00000022711	ENSMUSG00000022711
chr16	17147064	17148276	16_17147064_17148276	97.6565587895188	-0.0469545146450659	0.0416122042073741	0.582955267256193	Promoter (<=1kb)	16	17139064	17147229	8166	2	ENSMUST00000023452	0	ENSMUSG00000022768	ENSMUSG00000022768
chr16	17109981	17111338	16_17109981_17111338	124.777376907229	-0.0131432165553492	0.55489121397741	0.950920544422985	Promoter (<=1kb)	16	17086555	17111252	24698	2	ENSMUST00000164458	0	ENSMUSG00000022771	ENSMUSG00000022771
chr16	91042372	91045393	16_91042372_91045393	271.013442823162	0.0172816173968541	0.556126010713566	0.951101674524611	Promoter (<=1kb)	16	91014037	91044543	30507	2	ENSMUST00000118522	0	ENSMUSG00000022974	ENSMUSG00000022974
chr18	37814378	37816976	18_37814378_37816976	310.827290801916	0.00958171865208328	0.753731971334274	0.982123134890008	Promoter (<=1kb)	18	37815079	37841870	26792	1	ENSMUST00000066140	0	ENSMUSG00000023036	ENSMUSG00000023036
chr18	37814378	37816976	18_37814378_37816976	310.827290801916	0.00958171865208328	0.753731971334274	0.982123134890008	Promoter (<=1kb)	18	37815079	37841870	26792	1	ENSMUST00000066140	0	ENSMUSG00000023036	ENSMUSG00000023036
