Chrom	Start	End	X3_134828422_134832665	X167.473597007222	X.1.71902534192092	X7.043222730267941e.15	X8.54483781636107e.11	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr17	47877068	47878364	17_47877068_47878364	75.2923963636801	-1.07318138369019	0.000178019235040173	0.0399949881390255	Promoter (<=1kb)	17	47878480	47878953	474	2	ENSMUST00000154108	589	ENSMUSG00000023991	ENSMUSG00000023991
chr17	78508475	78510736	17_78508475_78510736	85.3059493009472	-1.04372928528046	0.000197239292937866	0.0412570189986585	Promoter (<=1kb)	17	78508063	78627409	119347	1	ENSMUST00000024880	413	ENSMUSG00000024076	ENSMUSG00000024076
chr17	90450738	90456768	17_90450738_90456768	486.573112443449	-0.415036624332014	0.000187888232083153	0.0404262644000376	Promoter (<=1kb)	17	90037077	90455872	418796	2	ENSMUST00000174337	0	ENSMUSG00000024109	ENSMUSG00000024109
chr17	90450738	90456768	17_90450738_90456768	486.573112443449	-0.415036624332014	0.000187888232083153	0.0404262644000376	Promoter (<=1kb)	17	90037077	90455872	418796	2	ENSMUST00000174337	0	ENSMUSG00000024109	ENSMUSG00000024109
chr19	41741292	41743830	19_41741292_41743830	158.499425194625	-0.8498069903478	4.75545826673135e-05	0.0192368427176374	Promoter (<=1kb)	19	41600257	41743492	143236	2	ENSMUST00000169141	0	ENSMUSG00000025020	ENSMUSG00000025020
chr2	4018258	4020075	2_4018258_4020075	80.6123261177519	-1.04616103024618	0.000130352549323004	0.0329466068413892	Promoter (<=1kb)	2	4017744	4614041	596298	1	ENSMUST00000177457	515	ENSMUSG00000026657	ENSMUSG00000026657
chr3	68571779	68577113	3_68571779_68577113	495.847387598294	-0.65828994134755	2.4754485391766e-07	0.000607018122826623	Promoter (<=1kb)	3	68572368	68626482	54115	1	ENSMUST00000170788	0	ENSMUSG00000027777	ENSMUSG00000027777
chr3	68571779	68577113	3_68571779_68577113	495.847387598294	-0.65828994134755	2.4754485391766e-07	0.000607018122826623	Promoter (<=1kb)	3	68572368	68626482	54115	1	ENSMUST00000170788	0	ENSMUSG00000027777	ENSMUSG00000027777
chr3	120885302	120886546	3_120885302_120886546	58.6839014918659	-1.49116691415507	1.61583775355586e-05	0.00980167181306986	Distal Intergenic	3	121155400	121156820	1421	2	ENSMUST00000164968	270274	ENSMUSG00000028133	ENSMUSG00000028133
chr5	104109706	104113512	5_104109706_104113512	218.402652530851	-0.741898994266274	1.04405391466426e-05	0.00844430806180457	Promoter (<=1kb)	5	104079111	104114088	34978	2	ENSMUST00000031249	576	ENSMUSG00000029309	ENSMUSG00000029309
chr5	104109706	104113512	5_104109706_104113512	218.402652530851	-0.741898994266274	1.04405391466426e-05	0.00844430806180457	Promoter (<=1kb)	5	104079111	104114088	34978	2	ENSMUST00000031249	576	ENSMUSG00000029309	ENSMUSG00000029309
chr5	128951853	128953427	5_128951853_128953427	102.872465269161	-0.937126103278413	0.00011960759267473	0.0319602900096445	Promoter (<=1kb)	5	128760401	128953362	192962	2	ENSMUST00000111346	0	ENSMUSG00000029420	ENSMUSG00000029420
chr6	136163616	136173921	6_136163616_136173921	731.30352278914	-0.388286789227846	3.13613499942109e-05	0.0158531624220736	Promoter (<=1kb)	6	135729826	136173511	443686	2	ENSMUST00000111905	0	ENSMUSG00000030209	ENSMUSG00000030209
chr7	120201089	120201980	7_120201089_120201980	43.1195543205677	-1.45709016321956	0.000176545973056511	0.0399949881390255	Promoter (<=1kb)	7	120186380	120202111	15732	2	ENSMUST00000033198	131	ENSMUSG00000030905	ENSMUSG00000030905
chr5	47983198	47989664	5_47983198_47989664	487.835944315599	-0.443897630462493	0.000171311351566936	0.0399682561001936	Promoter (<=1kb)	5	47984571	48304956	320386	1	ENSMUST00000174313	0	ENSMUSG00000031558	ENSMUSG00000031558
chr9	21723191	21725567	9_21723191_21725567	278.680087116696	-0.578095301309121	4.93819391547822e-05	0.0192368427176374	Promoter (<=1kb)	9	21723576	21749916	26341	1	ENSMUST00000034713	0	ENSMUSG00000032193	ENSMUSG00000032193
chr9	21723191	21725567	9_21723191_21725567	278.680087116696	-0.578095301309121	4.93819391547822e-05	0.0192368427176374	Promoter (<=1kb)	9	21723576	21749916	26341	1	ENSMUST00000034713	0	ENSMUSG00000032193	ENSMUSG00000032193
chr9	112229588	112235684	9_112229588_112235684	323.974394148922	-0.477163282541055	0.000184945232286179	0.0404262644000376	Promoter (<=1kb)	9	112065236	112234423	169188	2	ENSMUST00000159432	0	ENSMUSG00000032503	ENSMUSG00000032503
chr8	94266710	94269579	8_94266710_94269579	205.768481033253	-0.980678059555727	9.76436266782289e-08	0.000394870826286757	Intron (ENSMUST00000079961/ENSMUSG00000032939, intron 3 of 21)	8	94227661	94315066	87406	1	ENSMUST00000109547	39050	ENSMUSG00000032939	ENSMUSG00000032939
chr8	116992221	116993611	8_116992221_116993611	149.174119678842	-0.702837067178934	0.000189935465776636	0.0404262644000376	Promoter (<=1kb)	8	116981810	116993537	11728	2	ENSMUST00000040484	0	ENSMUSG00000034424	ENSMUSG00000034424
chr16	55819043	55822503	16_55819043_55822503	341.16024581798	-0.522507398328488	4.7199594035468e-05	0.0192368427176374	Promoter (<=1kb)	16	55811375	55822138	10764	2	ENSMUST00000114458	0	ENSMUSG00000035356	ENSMUSG00000035356
chr7	109167894	109170682	7_109167894_109170682	185.063412595898	-0.736888528136034	5.21177473244551e-05	0.0192368427176374	Promoter (<=1kb)	7	109138572	109170308	31737	2	ENSMUST00000036992	0	ENSMUSG00000036111	ENSMUSG00000036111
chr7	109173216	109175198	7_109173216_109175198	133.184636275539	-0.863812179006499	6.43960405891988e-05	0.0223215075550903	Promoter (2-3kb)	7	109138572	109170308	31737	2	ENSMUST00000036992	-2909	ENSMUSG00000036111	ENSMUSG00000036111
chr8	64690204	64693472	8_64690204_64693472	356.270609908456	-0.481128260601305	9.82995797197922e-05	0.029087085394159	Promoter (<=1kb)	8	64592558	64693040	100483	2	ENSMUST00000048967	0	ENSMUSG00000037852	ENSMUSG00000037852
chr10	29355984	29362868	10_29355984_29362868	423.794927318973	-0.440951639695595	0.000100837204584136	0.0291275468098747	Promoter (<=1kb)	10	29344178	29362442	18265	2	ENSMUST00000037548	0	ENSMUSG00000038876	ENSMUSG00000038876
chr6	144207432	144210224	6_144207432_144210224	192.262590400684	-0.709958409077582	5.23257343951561e-05	0.0192368427176374	Promoter (<=1kb)	6	143828425	144209452	381028	2	ENSMUST00000077160	0	ENSMUSG00000041540	ENSMUSG00000041540
chr15	81936070	81938264	15_81936070_81938264	228.71305519165	-0.595337484381111	0.000234219979568171	0.0463775991574836	Promoter (<=1kb)	15	81936759	81950941	14183	1	ENSMUST00000038757	0	ENSMUSG00000042109	ENSMUSG00000042109
chr12	31710069	31713816	12_31710069_31713816	226.457292169545	-0.676536293158609	4.57695681190002e-05	0.0192368427176374	Promoter (<=1kb)	12	31706867	31713926	7060	2	ENSMUST00000057783	110	ENSMUSG00000044067	ENSMUSG00000044067
chr12	31710069	31713816	12_31710069_31713816	226.457292169545	-0.676536293158609	4.57695681190002e-05	0.0192368427176374	Promoter (<=1kb)	12	31706867	31713926	7060	2	ENSMUST00000057783	110	ENSMUSG00000044067	ENSMUSG00000044067
chr2	21366898	21371489	2_21366898_21371489	283.661684800599	-0.541747502884311	9.11239164976133e-05	0.0285906762663651	Promoter (<=1kb)	2	21367542	21830547	463006	1	ENSMUST00000055946	0	ENSMUSG00000045967	ENSMUSG00000045967
chr2	109692503	109697764	2_109692503_109697764	506.23611527104	-0.431709320559689	5.78247445668376e-05	0.0206332294436727	Promoter (<=1kb)	2	109693027	109727007	33981	1	ENSMUST00000176893	0	ENSMUSG00000048482	ENSMUSG00000048482
chr14	88463678	88467163	14_88463678_88467163	129.384190808459	-0.873737878905385	8.20370055661322e-05	0.0268992689602247	Exon (ENSMUST00000061628/ENSMUSG00000050505, exon 1 of 3)	14	88464747	88471396	6650	2	ENSMUST00000061628	4233	ENSMUSG00000050505	ENSMUSG00000050505
chr1	3666550	3673390	1_3666550_3673390	506.712725922458	-0.494063617814052	6.05876917004624e-06	0.00644225851428968	Promoter (<=1kb)	1	3214482	3671498	457017	2	ENSMUST00000070533	0	ENSMUSG00000051951	ENSMUSG00000051951
chr7	90886998	90889224	7_90886998_90889224	110.157943859622	-0.94057502158885	7.97765815842961e-05	0.0268847079939078	Distal Intergenic	7	91090706	92447003	1356298	1	ENSMUST00000107196	-201482	ENSMUSG00000052572	ENSMUSG00000052572
chr7	90886998	90889224	7_90886998_90889224	110.157943859622	-0.94057502158885	7.97765815842961e-05	0.0268847079939078	Distal Intergenic	7	91090706	92447003	1356298	1	ENSMUST00000107196	-201482	ENSMUSG00000052572	ENSMUSG00000052572
chr7	90886998	90889224	7_90886998_90889224	110.157943859622	-0.94057502158885	7.97765815842961e-05	0.0268847079939078	Distal Intergenic	7	91090706	92447003	1356298	1	ENSMUST00000107196	-201482	ENSMUSG00000052572	ENSMUSG00000052572
chr10	106632603	106634585	10_106632603_106634585	145.50554134852	-0.898181339161018	1.52165990909021e-05	0.00971619895635919	Intron (ENSMUST00000029404/ENSMUSG00000053825, intron 3 of 31)	10	106470346	106777999	307654	1	ENSMUST00000169303	162258	ENSMUSG00000053825	ENSMUSG00000053825
chr5	63648991	63652295	5_63648991_63652295	216.757520385321	-0.919150296461382	3.98581660339525e-07	0.000805932117206519	Promoter (<=1kb)	5	63649950	63650264	315	2	ENSMUST00000067917	0	ENSMUSG00000054714	ENSMUSG00000054714
chr5	63648991	63652295	5_63648991_63652295	216.757520385321	-0.919150296461382	3.98581660339525e-07	0.000805932117206519	Promoter (<=1kb)	5	63649950	63650264	315	2	ENSMUST00000067917	0	ENSMUSG00000054714	ENSMUSG00000054714
chr11	35121172	35124595	11_35121172_35124595	215.641167817991	-0.903697838064284	1.52109285320386e-06	0.00205043316611881	Promoter (<=1kb)	11	35121224	35708507	587284	1	ENSMUST00000069837	0	ENSMUSG00000056427	ENSMUSG00000056427
chr5	93091520	93095740	5_93091520_93095740	497.920519081435	-0.401229470412909	0.00024083323004628	0.0463775991574836	Promoter (<=1kb)	5	93093457	93174958	81502	1	ENSMUST00000074733	0	ENSMUSG00000058013	ENSMUSG00000058013
chr5	93091520	93095740	5_93091520_93095740	497.920519081435	-0.401229470412909	0.00024083323004628	0.0463775991574836	Promoter (<=1kb)	5	93093457	93174958	81502	1	ENSMUST00000074733	0	ENSMUSG00000058013	ENSMUSG00000058013
chr5	93091520	93095740	5_93091520_93095740	497.920519081435	-0.401229470412909	0.00024083323004628	0.0463775991574836	Promoter (<=1kb)	5	93093457	93174958	81502	1	ENSMUST00000074733	0	ENSMUSG00000058013	ENSMUSG00000058013
chr2	80126568	80130051	2_80126568_80130051	279.586681813872	-0.525705084007509	0.000133778335096501	0.0331224237018522	Promoter (<=1kb)	2	79834453	80128939	294487	2	ENSMUST00000102655	0	ENSMUSG00000059173	ENSMUSG00000059173
chr6	96113715	96115018	6_96113715_96115018	58.3533365482996	-1.11925383851397	0.000247677309913198	0.0469503300604205	Promoter (<=1kb)	6	96114649	96115917	1269	1	ENSMUST00000129844	0	ENSMUSG00000059187	ENSMUSG00000059187
chr5	14025306	14027835	5_14025306_14027835	199.518287069238	-0.690042897799837	4.72387426143946e-05	0.0192368427176374	Promoter (<=1kb)	5	14025317	14256689	231373	1	ENSMUST00000073957	0	ENSMUSG00000063531	ENSMUSG00000063531
chr5	14025306	14027835	5_14025306_14027835	199.518287069238	-0.690042897799837	4.72387426143946e-05	0.0192368427176374	Promoter (<=1kb)	5	14025317	14256689	231373	1	ENSMUST00000073957	0	ENSMUSG00000063531	ENSMUSG00000063531
chr13	21529948	21531233	13_21529948_21531233	132.034947240658	-0.842278443415474	5.10764790633679e-05	0.0192368427176374	Promoter (<=1kb)	13	21513222	21531120	17899	2	ENSMUST00000045228	0	ENSMUSG00000063894	ENSMUSG00000063894
chr2	82052276	82056417	2_82052276_82056417	327.461699203604	-0.678582443130264	9.5422130207119e-07	0.00165380183381824	Promoter (<=1kb)	2	82053222	82259879	206658	1	ENSMUST00000047527	0	ENSMUSG00000070866	ENSMUSG00000070866
chr19	8837159	8841049	19_8837159_8841049	298.569236592875	-0.787946342936271	2.50172322299136e-07	0.000607018122826623	Promoter (<=1kb)	19	8837467	8848683	11217	1	ENSMUST00000171649	0	ENSMUSG00000071657	ENSMUSG00000071657
chr19	8837159	8841049	19_8837159_8841049	298.569236592875	-0.787946342936271	2.50172322299136e-07	0.000607018122826623	Promoter (<=1kb)	19	8837467	8848683	11217	1	ENSMUST00000171649	0	ENSMUSG00000071657	ENSMUSG00000071657
chr8	128370402	128371848	8_128370402_128371848	59.7103193299807	-1.70648602363938	1.34798520652003e-06	0.00204421956568762	Intron (ENSMUST00000026917/ENSMUSG00000025810, intron 2 of 16)	8	128359241	128359320	80	1	ENSMUST00000122574	11162	ENSMUSG00000084523	ENSMUSG00000084523
chr15	82958233	82961679	15_82958233_82961679	118.321961596258	-0.798666979424371	0.000237120132158687	0.0463775991574836	Promoter (<=1kb)	15	82959218	82959296	79	2	ENSMUST00000175010	0	ENSMUSG00000092751	ENSMUSG00000092751
chr15	82958233	82961679	15_82958233_82961679	118.321961596258	-0.798666979424371	0.000237120132158687	0.0463775991574836	Promoter (<=1kb)	15	82959218	82959296	79	2	ENSMUST00000175010	0	ENSMUSG00000092751	ENSMUSG00000092751
